EntrezID	GeneSymbol
1	A1BG
29974	A1CF
2	A2M
144568	A2ML1
127550	A3GALT2
53947	A4GALT
51146	A4GNT
8086	AAAS
65985	AACS
13	AADAC
344752	AADACL2
126767	AADACL3
343066	AADACL4
51166	AADAT
195827	AAED1
79719	AAGAB
22848	AAK1
28971	AAMDC
14	AAMP
15	AANAT
25980	AAR2
441376	AARD
16	AARS
57505	AARS2
80755	AARSD1
132949	AASDH
60496	AASDHPPT
10157	AASS
26574	AATF
9625	AATK
18	ABAT
19	ABCA1
20	ABCA2
21	ABCA3
24	ABCA4
23461	ABCA5
23460	ABCA6
10347	ABCA7
10351	ABCA8
10350	ABCA9
10349	ABCA10
26154	ABCA12
154664	ABCA13
5243	ABCB1
5244	ABCB4
340273	ABCB5
10058	ABCB6
22	ABCB7
11194	ABCB8
23457	ABCB9
23456	ABCB10
8647	ABCB11
4363	ABCC1
1244	ABCC2
8714	ABCC3
10257	ABCC4
10057	ABCC5
368	ABCC6
6833	ABCC8
10060	ABCC9
89845	ABCC10
85320	ABCC11
94160	ABCC12
215	ABCD1
225	ABCD2
5825	ABCD3
5826	ABCD4
6059	ABCE1
23	ABCF1
10061	ABCF2
55324	ABCF3
9619	ABCG1
9429	ABCG2
64137	ABCG4
64240	ABCG5
64241	ABCG8
84696	ABHD1
11057	ABHD2
171586	ABHD3
63874	ABHD4
51099	ABHD5
57406	ABHD6
79575	ABHD8
55347	ABHD10
83451	ABHD11
26090	ABHD12
145447	ABHD12B
84945	ABHD13
25864	ABHD14A
84836	ABHD14B
116236	ABHD15
7920	ABHD16A
140701	ABHD16B
81926	ABHD17A
51104	ABHD17B
58489	ABHD17C
80167	ABHD18
10006	ABI1
10152	ABI2
51225	ABI3
25890	ABI3BP
25	ABL1
27	ABL2
3983	ABLIM1
84448	ABLIM2
22885	ABLIM3
28	ABO
29	ABR
137735	ABRA
58527	ABRACL
84142	ABRAXAS1
23172	ABRAXAS2
29777	ABT1
80325	ABTB1
25841	ABTB2
30	ACAA1
10449	ACAA2
31	ACACA
32	ACACB
27034	ACAD8
28976	ACAD9
80724	ACAD10
84129	ACAD11
33	ACADL
34	ACADM
35	ACADS
36	ACADSB
37	ACADVL
176	ACAN
9744	ACAP1
23527	ACAP2
116983	ACAP3
38	ACAT1
39	ACAT2
64746	ACBD3
79777	ACBD4
91452	ACBD5
84320	ACBD6
414149	ACBD7
84680	ACCS
390110	ACCSL
65057	ACD
1636	ACE
59272	ACE2
125981	ACER1
340485	ACER2
55331	ACER3
43	ACHE
22985	ACIN1
2532	ACKR1
1238	ACKR2
57007	ACKR3
51554	ACKR4
47	ACLY
130013	ACMSD
48	ACO1
50	ACO2
730249	ACOD1
641371	ACOT1
10965	ACOT2
122970	ACOT4
641372	ACOT6
11332	ACOT7
10005	ACOT8
23597	ACOT9
26027	ACOT11
134526	ACOT12
55856	ACOT13
51	ACOX1
8309	ACOX2
8310	ACOX3
55289	ACOXL
52	ACP1
53	ACP2
93650	ACP4
54	ACP5
51205	ACP6
390928	ACP7
55	ACPP
49	ACR
84519	ACRBP
56	ACRV1
23205	ACSBG1
81616	ACSBG2
80221	ACSF2
197322	ACSF3
2180	ACSL1
2181	ACSL3
2182	ACSL4
51703	ACSL5
23305	ACSL6
116285	ACSM1
123876	ACSM2A
348158	ACSM2B
6296	ACSM3
341392	ACSM4
54988	ACSM5
142827	ACSM6
84532	ACSS1
55902	ACSS2
79611	ACSS3
58	ACTA1
59	ACTA2
60	ACTB
345651	ACTBL2
70	ACTC1
71	ACTG1
72	ACTG2
86	ACTL6A
51412	ACTL6B
10881	ACTL7A
10880	ACTL7B
81569	ACTL8
284382	ACTL9
170487	ACTL10
87	ACTN1
88	ACTN2
89	ACTN3
81	ACTN4
10121	ACTR1A
10120	ACTR1B
10097	ACTR2
10096	ACTR3
57180	ACTR3B
653857	ACTR3C
79913	ACTR5
64431	ACTR6
93973	ACTR8
55860	ACTR10
139741	ACTRT1
140625	ACTRT2
84517	ACTRT3
90	ACVR1
91	ACVR1B
130399	ACVR1C
92	ACVR2A
93	ACVR2B
94	ACVRL1
95	ACY1
91703	ACY3
97	ACYP1
98	ACYP2
100	ADA
51816	ADA2
132612	ADAD1
161931	ADAD2
161823	ADAL
2515	ADAM2
8756	ADAM7
101	ADAM8
8754	ADAM9
102	ADAM10
4185	ADAM11
8038	ADAM12
8751	ADAM15
6868	ADAM17
8749	ADAM18
8728	ADAM19
8748	ADAM20
8747	ADAM21
53616	ADAM22
8745	ADAM23
10863	ADAM28
11086	ADAM29
11085	ADAM30
203102	ADAM32
80332	ADAM33
27299	ADAMDEC1
9510	ADAMTS1
9509	ADAMTS2
9508	ADAMTS3
9507	ADAMTS4
11096	ADAMTS5
11174	ADAMTS6
11173	ADAMTS7
11095	ADAMTS8
56999	ADAMTS9
81794	ADAMTS10
81792	ADAMTS12
11093	ADAMTS13
140766	ADAMTS14
170689	ADAMTS15
170690	ADAMTS16
170691	ADAMTS17
170692	ADAMTS18
171019	ADAMTS19
80070	ADAMTS20
92949	ADAMTSL1
9719	ADAMTSL2
57188	ADAMTSL3
54507	ADAMTSL4
339366	ADAMTSL5
11033	ADAP1
55803	ADAP2
103	ADAR
104	ADARB1
105	ADARB2
23536	ADAT1
134637	ADAT2
113179	ADAT3
57143	ADCK1
90956	ADCK2
203054	ADCK5
107	ADCY1
108	ADCY2
109	ADCY3
196883	ADCY4
111	ADCY5
112	ADCY6
113	ADCY7
114	ADCY8
115	ADCY9
55811	ADCY10
116	ADCYAP1
117	ADCYAP1R1
118	ADD1
119	ADD2
120	ADD3
79747	ADGB
84435	ADGRA1
25960	ADGRA2
166647	ADGRA3
575	ADGRB1
576	ADGRB2
577	ADGRB3
283383	ADGRD1
347088	ADGRD2
2015	ADGRE1
30817	ADGRE2
84658	ADGRE3
976	ADGRE5
266977	ADGRF1
222611	ADGRF2
165082	ADGRF3
221393	ADGRF4
221395	ADGRF5
9289	ADGRG1
10149	ADGRG2
222487	ADGRG3
139378	ADGRG4
221188	ADGRG5
57211	ADGRG6
84873	ADGRG7
22859	ADGRL1
