GeneSymbol	EntrezID
a	50518
Pzp	11287
Abl1	11350
Abl2	11352
Scgb1b27	11354
Scgb2b27	233099
Scgb2b26	110187
Acadl	11363
Acadm	11364
Acads	11409
Acat1	110446
Acat2	110460
Acd	497652
Ace	11421
Ache	11423
Apoc4	11425
Aco1	11428
Aco2	11429
Acp1	11431
Acp2	11432
Acp5	11433
Acr	11434
Chrna1	11435
Chrna2	110902
Chrna3	110834
Chrna4	11438
Chrna5	110835
Chrnb1	11443
Chrnb2	11444
Chrnb4	108015
Chrnd	11447
Chrne	11448
Chrng	11449
Acta1	11459
Actb	11461
Actc1	11464
Actg1	11465
Acta2	11475
Acvr1	11477
Acvr2b	11481
Acy1	109652
Aspa	11484
Ada	11486
Adcy6	11512
Add1	11518
Add2	11519
Plin2	11520
Adh1	11522
Adh7	11529
Adh5	11532
Adk	11534
Cfd	11537
Adra2a	11551
Adra2b	11552
Adra2c	11553
Adrb1	11554
Adrb2	11555
Adrb3	11556
Grk2	110355
Grk3	320129
Adssl1	11565
Adss	11566
Afp	11576
Agrn	11603
Agt	11606
Agtr1a	11607
Agtr1b	11608
Agtr2	11609
Ahcy	269378
Ahi1	52906
Ak1	11636
Ak2	11637
Ak4	11639
Alpl	11647
Akp3	11648
Akt1	11651
Alas1	11655
Alas2	11656
Alb	11657
Aldoa	11674
Aldob	230163
Alox15	11687
Alox12	11684
Alox5	11689
Ambp	11699
Amd1	11702
Amelx	11704
Amh	11705
Ampd1	229665
Ampd2	109674
Mat1a	11720
Amy1	11722
Amy2a5	109959
Ang	11727
Ank1	11733
Ank2	109676
Ank3	11735
Anxa4	11746
Anxa7	11750
Prdx3	11757
Aox1	11761
Fabp4	11770
Apc	11789
Apeh	235606
Apex1	11792
Aplp1	11803
Aplp2	11804
Apoa1	11806
Apoa2	11807
Apoa4	11808
Apob	238055
Apoc1	11812
Apoc2	11813
Apoc3	11814
Apod	11815
Apoe	11816
Apoh	11818
App	11820
Aprt	11821
Ar	11835
Araf	11836
Arc	11838
Areg	11839
Arg1	11846
Arnt	11863
Arsb	11881
Arsa	11883
Asgr1	11889
Asgr2	11890
Asl	109900
Ass1	11898
Serpinc1	11905
Atf4	11911
Atp1a1	11928
Atp1a2	98660
Atp1a3	232975
Atp1b1	11931
Atp1b2	11932
Atp2a2	11938
Atp2b4	381290
Atp4a	11944
Atp4b	11945
Atp5a1	11946
Atp6v0c	11984
Slc7a1	11987
Avp	11998
Avpr2	12000
B2m	12010
Zbtb12	193736
Tff1	21784
Bckdhb	12040
Bcl2	12043
Bcl2l1	12048
Bcl3	12051
Bcr	110279
Bdkrb1	12061
Bdnf	12064
Glb1	12091
Bglap3	12095
Bglap	12096
Bglap2	12097
Bgn	12111
Blk	12143
Blvra	109778
Bmi1	12151
Manba	110173
Bmp1	12153
Bmp2	12156
Bmp3	110075
Bmp4	12159
Bmp5	12160
Bmp6	12161
Bmyc	107771
Braf	109880
Smarca4	20586
Bsg	12215
Btg1	12226
Btk	12229
Commd3	12238
Tspo	12257
C1qa	12259
C1qb	12260
C1qc	12262
C2	12263
C3	12266
C4b	12268
C4bp	12269
C5ar1	12273
C6	12274
C7	109828
C8b	110382
C8g	69379
S100a8	20201
Anxa2	12306
Calb1	12307
Cald1	109624
Calm1	12313
Calr	12317
Car8	12319
Anxa6	11749
Camk2a	12322
Camk2b	12323
Camk4	12326
Camk2g	12325
Canx	12330
Cap1	12331
Capn1	12333
Capn2	12334
Capns1	12336
Car1	12346
Car2	12349
Car3	12350
Cat	12359
Ctnna1	12385
Ctnna2	12386
Ctnnb1	12387
Serpina6	12401
Cbl	12402
Cbln1	12404
Cbln2	12405
Serpinh1	12406
Cbr1	12408
Cbs	12411
Cbx2	12416
Cacna1d	12289
Cacna1s	12292
Cacna2d1	12293
Cacna1b	12287
Cck	12424
Ccnb1	268697
Ccnb2	12442
Ccnd1	12443
Ccnd2	12444
Ccnd3	12445
Ccne1	12447
Cd14	12475
Cd19	12478
Cd2	12481
Ms4a1	12482
Cd22	12483
Cd24a	12484
Cd27	21940
Cd28	12487
Tnfsf8	21949
Cd34	12490
Cd37	12493
Cd3d	12500
Cd3e	12501
Cd3g	12502
Cd247	12503
Cd4	12504
Cd40	21939
Cd40lg	21947
Cd44	12505
Cd48	12506
Cd5	12507
Cd53	12508
Cd68	12514
Cd69	12515
Cd7	12516
Cd72	12517
Cd8a	12525
Cd8b1	12526
Cd9	12527
Cdc25c	12532
Cdk1	12534
Cdk11b	12537
Cdh1	12550
Cdh2	12558
Cdh3	12560
Cdk4	12567
Cdr1	631990
Cdx1	12590
Cdx2	12591
Cdx4	12592
Cebpb	12608
Cel	12613
Cenpa	12615
Cenpb	12616
Ces1g	12623
F13b	14060
F2	14061
F3	14066
F5	14067
F8	14069
F9	14071
Cfh	12628
Cftr	12638
Cga	12640
Chat	12647
Chd1	12648
Chga	12652
Chgb	12653
Chrm1	12669
Chrm2	243764
Chrm3	12671
Chrm4	12672
Vsx2	12677
Ckb	12709
Ckm	12715
Clcn1	12723
Clps	109791
Clu	12759
Cma2	545055
Cnbp	12785
Cnga1	12788
Cnp	12799
Cntf	12803
Col10a1	12813
Col11a1	12814
Col11a2	12815
Col12a1	12816
Col15a1	12819
Col17a1	12821
Col18a1	12822
Col2a1	12824
Col3a1	12825
Col4a1	12826
Col4a2	12827
Col4a5	12830
Col5a1	12831
Col5a2	12832
Col6a1	12833
Col6a2	12834
Col6a3	12835
Col7a1	12836
Col8a1	12837
Col8a2	329941
Col9a1	12839
Col9a2	12840
Col1a1	12842
Col1a2	12843
Comp	12845
Comt	12846
Cox4i1	12857
Cox5a	12858
Cox5b	12859
Cp	12870
Cpa1	109697
Cpa3	12873
Cpz	242939
Cr2	12902
Crabp1	12903
Crabp2	12904
Masp1	17174
Creb1	12912
Crem	12916
