EntrezID	GeneSymbol
12631	Cfl1
18630	Pet2
20983	Syt4
231769	Sfswap
15364	Hmga2
13713	Elk3
12632	Cfl2
12569	Cdk5r1
12568	Cdk5
20187	Ryk
17210	Mcl1
12075	Bfsp1
20650	Sntb2
20648	Snta1
12524	Cd86
12518	Cd79a
12519	Cd80
16872	Lhx4
20720	Serpine2
20649	Sntb1
20276	Scnn1a
20873	Plk4
18008	Nes
17865	Mybl2
17764	Mtf1
17716	mt-Nd1
217149	Cisd3
16881	Lig1
16592	Fabp5
16392	Isl1
434423	Dppa5a
14062	F2r
14936	Gys1
230027	Coq3
14260	Fmn1
17685	Msh2
27883	Tango2
13712	Elk1
103733	Tubg1
22030	Traf2
22029	Traf1
21374	Tbp
19943	Rpl28
19043	Ppm1b
18778	Pla2g1b
17215	Mcm3
226695	Ifi205
14697	Gnb5
14694	Rack1
77593	Usp45
14479	Usp15
72972	Ccser2
11676	Aldoc
13138	Dag1
20811	Srms
21832	Thpo
21676	Tead1
21406	Tcf12
20307	Ccl8
19015	Ppard
18999	Pou5f1
18994	Pou3f4
18992	Pou3f2
18991	Pou3f1
18987	Pou2f2
18986	Pou2f1
18784	Pla2g5
17387	Mmp14
16638	Klra7
16637	Klra6
16636	Klra5
16635	Klra4
16634	Klra3
16633	Klra2
16627	Klra1
14748	Gpr3
14738	Gpr12
14063	F2rl1
13537	Dusp2
13135	Dad1
12663	Chml
12308	Calb2
12140	Fabp7
12033	Bcap29
11997	Akr1b7
11765	Ap1g1
11772	Ap2a2
11771	Ap2a1
21923	Tnc
20496	Slc12a2
16663	Krt13
13395	Dlx5
13396	Dlx6
20511	Slc1a2
12876	Cpe
21781	Tfdp1
18768	Pkib
17350	Mlh1
15360	Hmgcs2
11857	Arhgdib
13555	E2f1
12352	Car5a
11991	Hnrnpd
22411	Wnt11
19365	Rad52
12311	Calcr
20544	Slc9a1
18019	Nfatc2
21763	Tex2
19250	Ptpn14
18779	Pla2r1
18018	Nfatc1
17722	mt-Nd6
17721	mt-Nd5
17720	mt-Nd4l
17719	mt-Nd4
17718	mt-Nd3
17717	mt-Nd2
17711	mt-Cytb
17710	mt-Co3
17709	mt-Co2
17708	mt-Co1
13226	Defa31
107947	Defa-rs6
13223	Defa-rs4
13221	Defa-rs12
13219	Defa-rs10
11497	Adam3
13010	Cst3
12034	Phb2
12295	Cacnb1
18998	Pou4f3
18997	Pou4f2
18996	Pou4f1
17962	Nat3
21389	Tbx6
21388	Tbx5
14109	Fau
22084	Tsc2
12449	Ccnf
11572	Crisp3
11571	Crisp1
21387	Tbx4
13190	Dct
18993	Pou3f3
18988	Pou2f3
18185	Nrl
17986	Ndp
18107	Nmt1
17252	Rdh11
17880	Myh11
216150	Cdc34
16508	Kcnd2
19060	Ppp5c
18857	Pmp2
16821	Lcn4
16820	Lcn3
13206	Ddx4
12399	Runx3
16871	Lhx3
22242	Umod
12971	Crym
17250	Abcc1
16897	Llgl1
14786	Grb7
217232	Cdc27
12044	Bcl2a1a
15270	H2afx
20810	Srm
19274	Ptprm
19268	Ptprf
18716	Pip
18328	Olfr3
258923	Olfr1
17763	Mtcp1
16404	Itga7
14728	Lilrb4a
14727	Lilr4b
14706	Gng4
14704	Gng3
14702	Gng2
14137	Fdft1
13637	Efna2
13641	Efnb1
12389	Cav1
12959	Cryba4
12962	Crybb3
22325	Vav2
13618	Ednrb
18541	Pcnt
22019	Tpp2
17749	Polr2k
13178	Dck
14915	Guca2a
27632	Nelfe
217069	Trim25
22724	Zbtb7b
103964	Try5
22074	Try4
22073	Prss3
22072	Prss2
20845	Star
20600	Smr2
