"","EntrezID","GeneSymbol","Replicate1","WellAnno","PlateID","Well"
"1",NA,"0610009D07Rik",NA,"Sample",1,"A1"
"2",223921,"Aaas",1,"Sample",1,"A2"
"3",11486,"Ada",0.5,"Sample",1,"A3"
"4",12322,"Camk2a",0.5,"Sample",1,"A4"
"5",12364,"Casp12",0.5,"Sample",1,"A5"
"6",269061,"Cpsf7",1,"Sample",1,"A6"
"7",70248,"Dazap1",1,"Sample",1,"A7"
"8",53817,"Ddx39b",1,"Sample",1,"A8"
"9",212880,"Ddx46",1,"Sample",1,"A9"
"10",13207,"Ddx5",1,"Sample",1,"A10"
"11",69192,"Dhx16",1,"Sample",1,"A11"
"12",217207,"Dhx8",1,"Sample",1,"A12"
"13",67838,"Dnajb11",0.5,"Sample",1,"A13"
"14",20624,"Eftud2",1,"Sample",1,"A14"
"15",217715,"Eif2b2",1,"Sample",1,"A15"
"16",14325,"Ftl1",0.5,"Sample",1,"A16"
"17",14360,"Fyn",0.5,"Sample",1,"A17"
"18",14680,"Gnal",0.5,"Sample",1,"A18"
"19",229279,"Hnrnpa3",1,"Sample",1,"A19"
"20",22027,"Hsp90b1",0.5,"Sample",1,"A20"
"21",15481,"Hspa8",1,"Sample",1,"A21"
"22",57905,"Isy1",1,"Sample",1,"A22"
"23",17149,"Magoh",1,"Sample",1,"A23"
"24",17874,"Myd88",0.5,"Sample",1,"A24"
"25",56520,"Nme4",0.5,"Sample",1,"B1"
"26",54369,"Nme6",0.5,"Sample",1,"B2"
"27",217365,"Nploc4",0.5,"Sample",1,"B3"
"28",66566,"Ntpcr",0.5,"Sample",1,"B4"
"29",103468,"Nup107",1,"Sample",1,"B5"
"30",170762,"Nup155",1,"Sample",1,"B6"
"31",227720,"Nup214",1,"Sample",1,"B7"
"32",69912,"Nup43",1,"Sample",1,"B8"
"33",18226,"Nup62",1,"Sample",1,"B9"
"34",269966,"Nup98",1,"Sample",1,"B10"
"35",53319,"Nxf1",1,"Sample",1,"B11"
"36",170722,"Nxf7",1,"Sample",1,"B12"
"37",258563,"Olfr1006",0.5,"Sample",1,"B13"
"38",258255,"Olfr1010",0.5,"Sample",1,"B14"
"39",257936,"Olfr1028",0.5,"Sample",1,"B15"
"40",259012,"Olfr1052",0.5,"Sample",1,"B16"
"41",258843,"Olfr1087",0.5,"Sample",1,"B17"
"42",257933,"Olfr1089",0.5,"Sample",1,"B18"
"43",258833,"Olfr1132",0.5,"Sample",1,"B19"
"44",258317,"Olfr1145",0.5,"Sample",1,"B20"
"45",258845,"Olfr1161",0.5,"Sample",1,"B21"
"46",258291,"Olfr1167",0.5,"Sample",1,"B22"
"47",258920,"Olfr1180",0.5,"Sample",1,"B23"
"48",258446,"Olfr1231",0.5,"Sample",1,"B24"
"49",383243,"Olfr128",0.5,"Sample",1,"C1"
"50",236784,"Olfr1320",0.5,"Sample",1,"C2"
"51",258851,"Olfr1339",0.5,"Sample",1,"C3"
"52",258852,"Olfr1341",0.5,"Sample",1,"C4"
"53",258881,"Olfr1404",0.5,"Sample",1,"C5"
"54",259039,"Olfr1413",0.5,"Sample",1,"C6"
"55",235256,"Olfr149",0.5,"Sample",1,"C7"
"56",258626,"Olfr1501",0.5,"Sample",1,"C8"
"57",258793,"Olfr1502",0.5,"Sample",1,"C9"
"58",259004,"Olfr175-ps1",0.5,"Sample",1,"C10"
"59",258318,"Olfr186",0.5,"Sample",1,"C11"
"60",436002,"Olfr243",0.5,"Sample",1,"C12"
"61",258683,"Olfr262",0.5,"Sample",1,"C13"
"62",258850,"Olfr295",0.5,"Sample",1,"C14"
"63",18329,"Olfr30",0.5,"Sample",1,"C15"
"64",18330,"Olfr31",0.5,"Sample",1,"C16"
"65",258493,"Olfr319",0.5,"Sample",1,"C17"
"66",259009,"Olfr394",0.5,"Sample",1,"C18"
"67",258705,"Olfr398",0.5,"Sample",1,"C19"
"68",258702,"Olfr410",0.5,"Sample",1,"C20"
"69",258715,"Olfr421-ps1",0.5,"Sample",1,"C21"
"70",258292,"Olfr446",0.5,"Sample",1,"C22"
"71",258989,"Olfr457",0.5,"Sample",1,"C23"
"72",258380,"Olfr461",0.5,"Sample",1,"C24"
"73",258407,"Olfr464",0.5,"Sample",1,"D1"
"74",258491,"Olfr490",0.5,"Sample",1,"D2"
"75",258718,"Olfr513",0.5,"Sample",1,"D3"
"76",259066,"Olfr520",0.5,"Sample",1,"D4"
"77",259116,"Olfr559",0.5,"Sample",1,"D5"
"78",259093,"Olfr572",0.5,"Sample",1,"D6"
"79",404317,"Olfr592",0.5,"Sample",1,"D7"
"80",259048,"Olfr600",0.5,"Sample",1,"D8"
"81",258189,"Olfr624",0.5,"Sample",1,"D9"
"82",258818,"Olfr629",0.5,"Sample",1,"D10"
"83",258597,"Olfr716",0.5,"Sample",1,"D11"
"84",258660,"Olfr736",0.5,"Sample",1,"D12"
"85",258233,"Olfr741",0.5,"Sample",1,"D13"
"86",170639,"Olfr78",0.5,"Sample",1,"D14"
"87",258542,"Olfr786",0.5,"Sample",1,"D15"
"88",258669,"Olfr824",0.5,"Sample",1,"D16"
"89",258518,"Olfr847",0.5,"Sample",1,"D17"
"90",258520,"Olfr849",0.5,"Sample",1,"D18"
"91",258415,"Olfr887",0.5,"Sample",1,"D19"
"92",258416,"Olfr888",0.5,"Sample",1,"D20"
"93",258871,"Olfr898",0.5,"Sample",1,"D21"
"94",258603,"Olfr972",0.5,"Sample",1,"D22"
"95",258854,"Olfr985",0.5,"Sample",1,"D23"
"96",258429,"Olfr996",0.5,"Sample",1,"D24"
"97",54196,"Pabpn1",1,"Sample",1,"E1"
"98",68479,"Phf5a",1,"Sample",1,"E2"
"99",53317,"Plrg1",1,"Sample",1,"E3"
"100",59001,"Pole3",0.5,"Sample",1,"E4"
"101",20020,"Polr2a",1,"Sample",1,"E5"
"102",231329,"Polr2b",1,"Sample",1,"E6"
"103",69241,"Polr2d",1,"Sample",1,"E7"
"104",69833,"Polr2f",1,"Sample",1,"E8"
"105",67710,"Polr2g",1,"Sample",1,"E9"
"106",245841,"Polr2h",1,"Sample",1,"E10"
"107",66537,"Pomp",1,"Sample",1,"E11"
"108",68879,"Prpf6",1,"Sample",1,"E12"
"109",192159,"Prpf8",1,"Sample",1,"E13"
"110",19166,"Psma2",1,"Sample",1,"E14"
"111",19167,"Psma3",1,"Sample",1,"E15"
"112",26441,"Psma4",1,"Sample",1,"E16"
"113",26443,"Psma6",1,"Sample",1,"E17"
"114",19170,"Psmb1",1,"Sample",1,"E18"
"115",26445,"Psmb2",1,"Sample",1,"E19"
"116",26446,"Psmb3",1,"Sample",1,"E20"
"117",19172,"Psmb4",1,"Sample",1,"E21"
"118",19179,"Psmc1",1,"Sample",1,"E22"
"119",19182,"Psmc3",1,"Sample",1,"E23"
"120",23996,"Psmc4",1,"Sample",1,"E24"
"121",19184,"Psmc5",1,"Sample",1,"F1"
"122",67089,"Psmc6",1,"Sample",1,"F2"
