EntrezID,GeneSymbol,PathwayID,PathwayName
4522,MTHFD1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
5167,ENPP1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
119391,GSTO2,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
9446,GSTO1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
8566,PDXK,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
55163,PNPO,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
79717,PPCS,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
27010,TPK1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
54,ACP5,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
60490,PPCDC,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
6470,SHMT1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
4524,MTHFR,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
23475,QPRT,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
93100,NAPRT1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
4363,ABCC1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
55191,NADSYN1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
31,ACACA,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
32,ACACB,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
64087,MCCC2,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
56922,MCCC1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
5091,PC,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
5095,PCCA,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
5096,PCCB,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
316,AOX1,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
8884,SLC5A6,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
3141,HLCS,3359467,Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE
