EntrezID,GeneSymbol,PathwayID,PathwayName
21410,Hnf1b,186589,Late stage (branching morphogenesis) pancreatic bud precursor cells
246086,Onecut3,186589,Late stage (branching morphogenesis) pancreatic bud precursor cells
11925,Neurog3,186589,Late stage (branching morphogenesis) pancreatic bud precursor cells
15205,Hes1,186589,Late stage (branching morphogenesis) pancreatic bud precursor cells
53626,Insm1,186574,Endocrine-committed (Ngn3+) progenitor cells
18012,Neurod1,186574,Endocrine-committed (Ngn3+) progenitor cells
18088,Nkx2-2,186574,Endocrine-committed (Ngn3+) progenitor cells
18506,Pax4,186574,Endocrine-committed (Ngn3+) progenitor cells
56458,Foxo1,186601,Regulation of gene expression in beta cells
11651,Akt1,186601,Regulation of gene expression in beta cells
100047666,NA,186601,Regulation of gene expression in beta cells
11652,Akt2,186601,Regulation of gene expression in beta cells
100048123,NA,186601,Regulation of gene expression in beta cells
18609,Pdx1,186601,Regulation of gene expression in beta cells
15377,Foxa3,186601,Regulation of gene expression in beta cells
15378,Hnf4a,186601,Regulation of gene expression in beta cells
30942,Hnf4g,186601,Regulation of gene expression in beta cells
20526,Slc2a2,186601,Regulation of gene expression in beta cells
18770,Pklr,186601,Regulation of gene expression in beta cells
16333,Ins1,186601,Regulation of gene expression in beta cells
103988,Gck,186601,Regulation of gene expression in beta cells
15874,Iapp,186601,Regulation of gene expression in beta cells
18096,Nkx6-1,186601,Regulation of gene expression in beta cells
56458,Foxo1,186666,FOXO1-mediated regulation of Pdx1 expression
11651,Akt1,186666,FOXO1-mediated regulation of Pdx1 expression
100047666,NA,186666,FOXO1-mediated regulation of Pdx1 expression
11652,Akt2,186666,FOXO1-mediated regulation of Pdx1 expression
100048123,NA,186666,FOXO1-mediated regulation of Pdx1 expression
18609,Pdx1,186674,Early stage pancreatic precursor cells
19213,Ptf1a,186674,Early stage pancreatic precursor cells
15379,Onecut1,186674,Early stage pancreatic precursor cells
246086,Onecut3,186674,Early stage pancreatic precursor cells
26424,Nr5a2,186674,Early stage pancreatic precursor cells
18096,Nkx6-1,186674,Early stage pancreatic precursor cells
56458,Foxo1,210774,Regulation of Beta-Cell Development
11651,Akt1,210774,Regulation of Beta-Cell Development
100047666,NA,210774,Regulation of Beta-Cell Development
11652,Akt2,210774,Regulation of Beta-Cell Development
100048123,NA,210774,Regulation of Beta-Cell Development
15379,Onecut1,210774,Regulation of Beta-Cell Development
19213,Ptf1a,210774,Regulation of Beta-Cell Development
246086,Onecut3,210774,Regulation of Beta-Cell Development
18609,Pdx1,210774,Regulation of Beta-Cell Development
26424,Nr5a2,210774,Regulation of Beta-Cell Development
18096,Nkx6-1,210774,Regulation of Beta-Cell Development
18012,Neurod1,210774,Regulation of Beta-Cell Development
18088,Nkx2-2,210774,Regulation of Beta-Cell Development
53626,Insm1,210774,Regulation of Beta-Cell Development
18506,Pax4,210774,Regulation of Beta-Cell Development
15377,Foxa3,210774,Regulation of Beta-Cell Development
15378,Hnf4a,210774,Regulation of Beta-Cell Development
30942,Hnf4g,210774,Regulation of Beta-Cell Development
20526,Slc2a2,210774,Regulation of Beta-Cell Development
18770,Pklr,210774,Regulation of Beta-Cell Development
21410,Hnf1b,210774,Regulation of Beta-Cell Development
11925,Neurog3,210774,Regulation of Beta-Cell Development
15205,Hes1,210774,Regulation of Beta-Cell Development
16333,Ins1,210774,Regulation of Beta-Cell Development
103988,Gck,210774,Regulation of Beta-Cell Development
15874,Iapp,210774,Regulation of Beta-Cell Development
320558,Sycp2,1221633,Meiotic Synapsis
20962,Sycp3,1221633,Meiotic Synapsis
69386,Hist1h4h,1221633,Meiotic Synapsis
97122,Hist2h4,1221633,Meiotic Synapsis
319155,Hist1h4c,1221633,Meiotic Synapsis
319156,Hist1h4d,1221633,Meiotic Synapsis
319157,Hist1h4f,1221633,Meiotic Synapsis
319158,Hist1h4i,1221633,Meiotic Synapsis
319159,Hist1h4j,1221633,Meiotic Synapsis
319160,Hist1h4k,1221633,Meiotic Synapsis
319161,Hist1h4n,1221633,Meiotic Synapsis
320332,Hist4h4,1221633,Meiotic Synapsis
326619,Hist1h4a,1221633,Meiotic Synapsis
326620,Hist1h4b,1221633,Meiotic Synapsis
100041230,Hist1h4m,1221633,Meiotic Synapsis
674678,NA,1221633,Meiotic Synapsis
15270,H2afx,1221633,Meiotic Synapsis
20842,Stag1,1221633,Meiotic Synapsis
20843,Stag2,1221633,Meiotic Synapsis
50878,Stag3,1221633,Meiotic Synapsis
19357,Rad21,1221633,Meiotic Synapsis
56739,Rec8,1221633,Meiotic Synapsis
24061,Smc1a,1221633,Meiotic Synapsis
140557,Smc1b,1221633,Meiotic Synapsis
13006,Smc3,1221633,Meiotic Synapsis
69382,1700024P04Rik,1221633,Meiotic Synapsis
319177,Hist1h2ba,1221633,Meiotic Synapsis
319178,Hist1h2bb,1221633,Meiotic Synapsis
68024,Hist1h2bc,1221633,Meiotic Synapsis
319179,Hist1h2be,1221633,Meiotic Synapsis
319181,Hist1h2bg,1221633,Meiotic Synapsis
319189,Hist2h2bb,1221633,Meiotic Synapsis
319180,Hist1h2bf,1221633,Meiotic Synapsis
319183,Hist1h2bj,1221633,Meiotic Synapsis
319185,Hist1h2bl,1221633,Meiotic Synapsis
319187,Hist1h2bn,1221633,Meiotic Synapsis
665596,Hist1h2bq,1221633,Meiotic Synapsis
100046213,NA,1221633,Meiotic Synapsis
319182,Hist1h2bh,1221633,Meiotic Synapsis
319184,Hist1h2bk,1221633,Meiotic Synapsis
319186,Hist1h2bm,1221633,Meiotic Synapsis
319188,Hist1h2bp,1221633,Meiotic Synapsis
319190,Hist2h2be,1221633,Meiotic Synapsis
78303,Hist3h2ba,1221633,Meiotic Synapsis
382522,Hist3h2bb-ps,1221633,Meiotic Synapsis
97908,Hist1h3g,1221633,Meiotic Synapsis
319152,Hist1h3h,1221633,Meiotic Synapsis
319153,Hist1h3i,1221633,Meiotic Synapsis
360198,Hist1h3a,1221633,Meiotic Synapsis
382523,Gm12260,1221633,Meiotic Synapsis
