"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",154,"Novel","2",-1.982,NA,"IL10, LRP1, IL1B",3,NA,0,"IL10, IL1B",2,"",0,NA,0,"IL1B",1,"",0,1
"2","ABI2",621,"Regulation of actin cytoskeleton","10152",0.984,NA,"BRK1, UBC, PDLIM7, NCKAP1, WASF1",5,"BRK1, NCKAP1, WASF1",3,NA,0,"",0,"BRK1, NCKAP1, WASF1",3,NA,0,"",0,3
"3","ACACB",190,"Novel","32",-1.036,"Propanoate metabolism","UBQLN4, PIKFYVE, OASL, RRAGA, SUN1, SPAG4, UBB, RPS27A, UBC, E2F3, ISG15, IL4",12,"PIKFYVE",1,"IL4",1,"",0,"PIKFYVE",1,NA,0,"",0,1
"4","ACIN1",210,"Novel","22985",-2.425,"Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,"",0,NA,0,NA,0,"",0,0
"5","ACKR3",662,"Cytokine-cytokine receptor interaction","57007",0.028,NA,"UBC",1,NA,0,NA,0,"",0,NA,0,NA,0,"",0,0
"6","ACTA2",183,"Novel","59",-1.863,NA,"CFL1, MYH9, MYH10, UBC",4,"MYH10, MYH9, CFL1",3,NA,0,"",0,"MYH10, MYH9, CFL1",3,NA,0,"",0,3
"7","ACTB",176,"Regulation of actin cytoskeleton","60",0.154,NA,"ACTG1, CFL1, PFN1, MYH9, CFL2, UBC, PPP1CA, ACTN2, IQGAP1",9,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,"",0,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,"",0,8
"8","ACTG1",184,"Regulation of actin cytoskeleton","71",-0.843,NA,"CFL1, CFL2, UBC, ACTB, WASL",5,"WASL, CFL2, CFL1, ACTB",4,NA,0,"",0,"WASL, CFL2, CFL1, ACTB",4,NA,0,"",0,4
"9","ACTN1",115,"Regulation of actin cytoskeleton","87",-0.452,NA,"UBE2I, ACTN2, ACTN4, UBC, PSMA6",5,"ACTN2, ACTN4",2,NA,0,"",0,"ACTN2, ACTN4",2,NA,0,"",0,2
"10","ACTN2",96,"Regulation of actin cytoskeleton","88",-0.65,NA,"ACTN4, ACTN1, UBE2I, ACTB, UBC, PSMA6",6,"ACTN1, ACTN4, ACTB",3,NA,0,"",0,"ACTN1, ACTN4, ACTB",3,NA,0,"",0,3
