EntrezID,GeneSymbol,Score
1,A1BG,0
10,NAT2,0
100,ADA,0
1000,CDH2,0
10000,AKT3,0
10001,MED6,0
10002,NR2E3,0
10003,NAALAD2,0.5
100037417,DDTL,0
100038246,TLX1NB,0
10004,NAALADL1,0
10005,ACOT8,0
10006,ABI1,1
10007,GNPDA1,0
10008,KCNE3,0
10009,ZBTB33,0
1001,CDH3,0
10010,TANK,0
10011,SRA1,0
10013,HDAC6,0
10014,HDAC5,0
10015,PDCD6IP,0
10016,PDCD6,0
10017,BCL2L10,0
10018,BCL2L11,0
10019,SH2B3,0
1002,CDH4,0
10020,GNE,0
10021,HCN4,0
10022,INSL5,0
10023,FRAT1,0
10024,TROAP,0
10025,MED16,0
10026,PIGK,0
1003,CDH5,0.5
10036,CHAF1A,0
10038,PARP2,0
10039,PARP3,0
1004,CDH6,0
10040,TOM1L1,0
10042,HMGXB4,0
10043,TOM1,0
10044,SH2D3C,0
10045,SH2D3A,0
10046,MAMLD1,0
10047,CST8,0
10048,RANBP9,0.5
10049,DNAJB6,0.5
1005,CDH7,0
10050,SLC17A4,0
10051,SMC4,0
10052,GJC1,0
10053,AP1M2,0
10054,UBA2,0
10055,SAE1,0
10056,FARSB,0
10057,ABCC5,0
10058,ABCB6,0
10059,DNM1L,1
1006,CDH8,0
10060,ABCC9,0
10061,ABCF2,0
10062,NR1H3,0
10063,COX17,0
10066,SCAMP2,0
10067,SCAMP3,0
10068,IL18BP,0.5
10069,RWDD2B,0
1007,CDH9,0
10072,DPP3,0
10073,SNUPN,0
10075,HUWE1,0
10076,PTPRU,0
10077,TSPAN32,0
10078,TSSC4,0
10079,ATP9A,0
1008,CDH10,0
10081,PDCD7,0
10082,GPC6,0
10083,USH1C,0
10084,PQBP1,0
10085,EDIL3,0
10087,COL4A3BP,0
10089,KCNK7,0
1009,CDH11,0
10090,UST,0
10092,ARPC5,0
10093,ARPC4,0
10094,ARPC3,0
10095,ARPC1B,0.5
10096,ACTR3,0
10097,ACTR2,1
10098,TSPAN5,0.5
10099,TSPAN3,0
101,ADAM8,0
1010,CDH12,0
10100,TSPAN2,0
10101,NUBP2,0
10102,TSFM,0
10103,TSPAN1,0
10105,PPIF,0
10106,CTDSP2,0
10107,TRIM10,0.5
10109,ARPC2,0
10110,SGK2,0
10111,RAD50,0
