Column1,GeneSymbol,Cutoff
825,37500,0
12853,1-Mar,0
15307,1-Mar,0
11772,2-Mar,0
12831,2-Mar,0
3394,3-Mar,0
14215,4-Mar,0
12607,5-Mar,0
2353,6-Mar,0
15362,7-Mar,0
6159,8-Mar,0
19472,9-Mar,0
5202,10-Mar,0
10932,11-Mar,0
5461,1-Sep,0
11168,2-Sep,0
13561,3-Sep,0
12396,4-Sep,0
12395,5-Sep,0
880,6-Sep,0
6606,6-Sep,0
1419,7-Sep,0
20079,7-Sep,0
1517,9-Sep,0
2777,9-Sep,0
4846,10-Sep,0
806,11-Sep,0
13403,11-Sep,0
3773,12-Sep,0
9510,14-Sep,0
19614,15-Sep,0
11461,1-Dec,0
214,1!,0.5
1486,1!,0
1909,1!,0
1939,1!,0
2068,A1BG,0
8839,A1CF,0
5739,A2M,0
4543,A2ML1,0
3941,A3GALT2,0
12365,A4GALT,0
11687,A4GNT,0
17368,AAAS,0
15618,AACS,0
4051,AADAC,0
9475,AADACL2,0
9431,AADACL4,0
11703,AADAT,0
5641,AAED1,0
16902,AAGAB,0
6363,AAK1,0
8585,AAMDC,0
4366,AAMP,0
4795,AANAT,0
7519,AAR2,0
10942,AARD,0
569,AARS,0
5128,AARS,0
14157,AARS2,0
17325,AARSD1,0
4161,AASDH,0
14684,AASDHPPT,0
2215,AASS,0
7788,AATF,0
19836,AATK,0
5516,ABAT,0
5595,ABCA1,0
2393,ABCA10,0
7629,ABCA12,0
4992,ABCA13,0
5740,ABCA2,0
5956,ABCA3,0
7044,ABCA4,0
6852,ABCA5,0
6851,ABCA6,0
2392,ABCA7,0
2395,ABCA8,0
2394,ABCA9,0
12190,ABCB1,0
6848,ABCB10,0
18623,ABCB11,0
12191,ABCB4,0
9344,ABCB5,0
2125,ABCB6,0
6122,ABCB7,0
3110,ABCB8,0
6849,ABCB9,0
10875,ABCC1,0
18911,ABCC10,0
18474,ABCC11,0
19646,ABCC12,0
3770,ABCC2,0
18683,ABCC3,0
2313,ABCC4,0
2124,ABCC5,0
9760,ABCC6,0
15839,ABCC8,0
2128,ABCC9,0
5997,ABCD1,0
6298,ABCD2,0
14406,ABCD3,0
14407,ABCD4,0
1485,ABCE1,0
14696,ABCE1,0
1683,ABCF1,0
6481,ABCF1,0
2129,ABCF2,0
13134,ABCF3,0
19831,ABCG1,0
19664,ABCG2,0
15069,ABCG4,0
15122,ABCG5,0
15123,ABCG8,0
