"","EntrezID","AveCells.LogPlateNorm","Replicate1","Score","PrimaryTier","ConfirmTier","RANK.hits","RANK.nonhits","Normalized.triage","Selected.triage","Confirmed.triage"
"1",1,-1.70058348876663,1.22,0.658,0,0,12113,11903,0,0,0
"2",2,-0.64721978952012,1.18,0.731,0,0,12467,12257,0,0,0
"3",9,-0.0587137993255414,0.93,-0.358,0,0,5877,5667,0,0,0
"4",10,-0.888765532113496,1.49,1.751,0,0,15882,15672,0,0,0
"5",12,-0.535088328997759,0.94,-0.415,0,0,5539,5329,0,0,0
"6",13,-0.0554397255419267,1.17,0.687,0,0,12261,12051,0,0,0
"7",14,-0.501239107917289,1.09,0.639,0,0,12006,11796,0,0,0
"8",15,-1.70058348876663,0.75,-0.934,0,0,2796,2586,0,0,0
"9",16,-0.939449726249368,0.64,-1.306,0,0,1429,1219,0,0,0
"10",18,-0.0942015689297177,0.87,-0.508,0,0,5000,4790,0,0,0
"11",19,0.889304030217774,0.79,-0.861,0,0,3117,2907,0,0,0
"12",20,-0.835216373651124,1.55,1.775,0,0,15917,15707,0,0,0
"13",21,-0.270508252196897,0.88,-0.493,0,0,5084,4874,0,0,0
"14",22,-1.10416687063775,1.16,0.626,0,0,11944,11734,0,0,0
"15",23,-0.801885691077996,1.51,1.64,0,0,15678,15468,0,0,0
"16",24,0.597367023857497,0.96,-0.234,0,0,6634,6424,0,0,0
"17",25,0.472480515807341,1.08,0.443,0,0,10891,10681,0,0,0
"18",26,0.943427584420175,0.78,-0.895,0,0,2965,2755,0,0,0
"19",27,1.23985616662538,0.86,-0.901,0,0,2937,2727,0,0,0
"20",28,-0.486887829979409,1.38,1.273,0,0,14768,14558,0,0,0
"21",29,-0.343815936749142,1.22,0.923,0,0,13402,13192,0,0,0
"22",30,-1.19194313506477,1.51,1.748,0,0,15878,15668,0,0,0
"23",31,0.351541651593965,1.1,0.261,0,0,9828,9618,0,0,0
"24",32,0.862185025495426,1.32,1.056,0,0,13959,13749,0,0,0
"25",33,-1.57452198200366,0.77,-0.86,0,0,3125,2915,0,0,0
"26",34,-0.204129014570247,1.22,0.726,0,0,12444,12234,0,0,0
"27",35,-0.303535503178921,1.57,1.96,0,0,16116,15906,0,0,0
"28",36,-0.658549819254718,1.27,0.902,0,0,13317,13107,0,0,0
"29",37,0.17412288878788,1.1,0.303,0,0,10096,9886,0,0,0
"30",38,0.270123991707286,1.24,0.796,0,0,12780,12570,0,0,0
"31",39,-0.0322397575997257,0.64,-1.639,0.5,0.5,718,515,0.5,0.5,0.5
"32",40,-0.501089276011983,1.11,0.285,0,0,9987,9777,0,0,0
"33",41,-0.90396851631515,1.16,0.455,0,0,10953,10743,0,0,0
"34",43,0.491723216727226,1.25,0.803,0,0,12833,12623,0,0,0
"35",47,-0.473819024167399,1.29,0.895,0,0,13287,13077,0,0,0
"36",48,0.204113276896619,1.4,1.267,0,0,14739,14529,0,0,0
"37",49,0.625564476127761,0.51,-1.776,0.5,0.5,525,337,0.5,0.5,0.5
"38",50,0.0735515224854507,1.41,1.301,0,0,14856,14646,0,0,0
"39",51,0.270123991707286,1.37,1.255,0,0,14695,14485,0,0,0
"40",52,0.758631544364651,0.96,-0.17,0,0,7050,6840,0,0,0
"41",53,0.407804662379182,0.94,-0.261,0,0,6483,6273,0,0,0
"42",54,0.91985372717043,0.75,-1.107,0,0,2098,1888,0,0,0
"43",55,1.04438755421025,0.71,-1.285,0,0,1485,1275,0,0,0
"44",56,-0.20029286094597,1.25,0.759,0,0,12620,12410,0,0,0
"45",58,0.393968879326294,0.62,-1.666,0.5,0.5,667,466,0.5,0.5,0.5
"46",59,1.0629245432155,0.63,-1.623,0.5,0.5,749,543,0.5,0.5,0.5
"47",70,1.04927097843109,0.88,-0.544,0,0,4778,4568,0,0,0
"48",71,1.0629245432155,1.05,0.19,0,0,9387,9177,0,0,0
"49",72,-0.0912455859788874,1.05,0.19,0,0,9388,9178,0,0,0
"50",81,-0.0684287066244088,1.03,0.104,0,0,8844,8634,0,0,0
"51",86,-0.859827609475227,0.92,-0.371,0,0,5783,5573,0,0,0
"52",87,-0.632710201241904,1.29,1.149,0,0,14332,14122,0,0,0
"53",88,1.28837655565537,0.87,-0.54,0,0,4815,4605,0,0,0
"54",89,0.968342068031966,0.6,-1.625,0.5,0.5,745,539,0.5,0.5,0.5
"55",90,0.748483598515999,0.86,-0.901,0,0,2938,2728,0,0,0
"56",91,-0.350301061639277,0.94,-0.412,0,0,5553,5343,0,0,0
"57",92,0.0492320972043667,1.12,0.688,0,0,12276,12066,0,0,0
"58",93,-1.31536132564919,1.12,0.688,0,0,12277,12067,0,0,0
"59",94,-0.676743421645496,1.07,0.382,0,0,10540,10330,0,0,0
"60",95,-0.283027845117795,0.65,-1.283,0,0,1492,1282,0,0,0
"61",97,1.15581985285693,0.77,-1.068,0,0,2259,2049,0,0,0
"62",98,0.255534688329859,0.98,-0.263,0,0,6457,6247,0,0,0
"63",100,0.740420495054897,1.04,0.092,0,0,8757,8547,0,0,0
"64",101,-0.585713603162378,0.88,-0.493,0,0,5085,4875,0,0,0
"65",102,1.51358303239106,0.21,-3.436,1,1,3,NA,1,1,1
"66",103,0.977288103547334,0.97,-0.189,0,0,6925,6715,0,0,0
"67",104,-0.705752907979229,1.09,0.218,0,0,9567,9357,0,0,0
"68",105,0.586542517525342,0.74,-0.968,0,0,2652,2442,0,0,0
"69",107,0.453301407797574,0.91,-0.392,0,0,5643,5433,0,0,0
"70",108,-0.319035652789549,0.83,-0.663,0,0,4128,3918,0,0,0
"71",109,0.600704086654186,0.97,-0.189,0,0,6926,6716,0,0,0
"72",111,1.73010552067133,1.33,1.03,0,0,13851,13641,0,0,0
"73",112,0.453301407797574,0.63,-1.34,0,0,1330,1121,0.5,0,0
"74",113,-0.15508968608725,1.31,0.963,0,0,13594,13384,0,0,0
"75",114,1.42646214601432,1.08,0.184,0,0,9333,9123,0,0,0
"76",115,1.0753256157477,0.71,-1.069,0,0,2254,2044,0,0,0
"77",116,-1.43815653964699,1.27,0.827,0,0,12930,12720,0,0,0
"78",117,-2.08927439032382,1.2,1.152,0,0,NA,NA,0,0,0
"79",118,0.418923009027084,0.84,-0.66,0,0,4158,3948,0,0,0
"80",119,-0.421769748323832,1,-0.099,0,0,7488,7278,0,0,0
"81",120,0.294519100928143,1.1,0.385,0,0,10563,10353,0,0,0
"82",123,1.534006801768,0.88,-0.493,0,0,5086,4876,0,0,0
"83",124,-0.0495646755235835,1.44,1.489,0,0,15370,15160,0,0,0
"84",125,-1.30541824222081,1.44,1.872,0,0,16043,15833,0,0,0
"85",127,-1.17981271339894,1.27,1.126,0,0,14250,14040,0,0,0
"86",130,1.13788662082022,0.89,-0.51,0,0,4974,4764,0,0,0
"87",131,0.496132340037522,0.97,-0.16,0,0,7120,6910,0,0,0
"88",132,-0.206986519718343,1.04,0.199,0,0,9442,9232,0,0,0
"89",133,0.551099228493876,0.88,-0.474,0,0,5168,4958,0,0,0
"90",134,-0.778474560792574,1.2,1.152,0,0,14354,14144,0,0,0
"91",135,-1.40868411394678,1.07,0.388,0,0,10582,10372,0,0,0
"92",136,-0.338863167180826,1.24,1.388,0,0,15109,14899,0,0,0
"93",140,-1.14576019373567,1.03,0.152,0,0,9133,8923,0,0,0
"94",141,0.467261721626349,0.92,-0.389,0,0,5670,5460,0,0,0
"95",142,-0.986335421663232,1.09,0.336,0,0,10297,10087,0,0,0
"96",143,0.887307797955007,0.95,-0.226,0,0,6672,6462,0,0,0
"97",146,-1.71688651835437,1.14,0.799,0,0,12804,12594,0,0,0
"98",147,-0.25758936576153,0.99,-0.093,0,0,7559,7349,0,0,0
"99",148,1.12030781106919,0.94,-0.38,0,0,5742,5532,0,0,0
"100",150,-0.916499247796617,1.3,1.741,0,0,15869,15659,0,0,0
"101",151,1.54262536079674,0.81,-1.142,0,0,1969,1759,0,0,0
"102",152,-1.10545656933978,0.84,-0.966,0,0,2664,2454,0,0,0
"103",153,0.177076162909546,1.14,0.799,0,0,12805,12595,0,0,0
"104",154,-1.01473217667513,0.805,-1.189,0.5,0.5,1808,1598,0,0.5,0
"105",155,-0.530710796856614,1.17,0.976,0,0,13647,13437,0,0,0
"106",156,1.11866683184014,0.85,-0.93,0,0,2824,2614,0,0,0
"107",157,0.772449834143664,0.87,-0.802,0,0,3409,3199,0,0,0
"108",158,-0.0425824606603268,1.19,0.62,0,0,11887,11677,0,0,0
"109",159,0.907902873977519,0.97,-0.209,0,0,6780,6570,0,0,0
"110",160,0.761789271169964,1.6,1.945,0,0,16104,15894,0,0,0
"111",161,0.62866768277188,1.03,0.014,0,0,8230,8020,0,0,0
"112",162,0.977288103547334,0.76,-0.9,0,0,2948,2738,0,0,0
"113",163,1.05659997226577,0.7,-1.223,0,0,1695,1485,0,0,0
"114",164,0.774529200681688,1.31,0.963,0,0,13595,13385,0,0,0
"115",165,1.19758988742043,1.12,0.319,0,0,10163,9953,0,0,0
"116",166,-0.420594644819068,1.14,0.387,0,0,10579,10369,0,0,0
"117",167,-0.771702100234934,1.32,0.972,0,0,13632,13422,0,0,0
"118",173,0.908535960883308,1.13,0.353,0,0,10382,10172,0,0,0
"119",174,0.257434181564344,1.07,0.264,0,0,9858,9648,0,0,0
"120",175,0.270123991707286,0.97,-0.155,0,0,7162,6952,0,0,0
"121",176,-0.050270602704962,1.17,1.295,0,0,14829,14619,0,0,0
"122",177,0.863051203615117,0.88,-0.544,0,0,4779,4569,0,0,0
"123",178,-1.58266317748919,1.35,1.477,0,0,15344,15134,0,0,0
"124",181,0.00970580854727119,1.11,0.484,0,0,11143,10933,0,0,0
"125",182,0.662978469321774,0.99,-0.115,0,0,7422,7212,0,0,0
"126",183,-0.290774375307029,1.21,0.88,0,0,13202,12992,0,0,0
"127",185,1.25703909226313,0.96,-0.26,0,0,6486,6276,0,0,0
"128",186,1.54165387877338,0.755,-1.5035,0.5,0.5,968,760,0.5,0.5,0.5
"129",187,0.497548415459661,0.87,-0.789,0,0,3468,3258,0,0,0
"130",189,-0.242971419955015,1.24,0.796,0,0,12781,12571,0,0,0
"131",190,0.897436475682664,0.84,-0.797,0,0,3437,3227,0,0,0
"132",191,0.996787839355089,0.68,-1.177,0,0,1852,1642,0,0,0
"133",196,0.862551983686315,0.78,-1.07,0,0,2242,2032,0,0,0
"134",197,0.799717669696635,1.76,2.486,0,0,16396,16186,0,0,0
