GeneSymbol,ZHL,epval,efdr,Replicate1
Tnf,4.489866823,0,0,1
Ly96,4.169768864,0,0,1
Cd14,4.060426026,0,0,1
Myd88,3.926765129,0,0,1
Ticam2,3.675583337,0,0,1
Dad1,3.182832326,0,0,1
Ddost,2.902431481,4.62E-07,0.00125,1
Ticam1,2.836395035,4.62E-07,0.00125,1
Tirap,2.772520438,9.23E-07,0.002222222,1
Tlr4,2.73520947,1.38E-06,0.0025,1
Rela,2.67879517,1.38E-06,0.0025,1
Ctcf,2.659248843,1.38E-06,0.0025,1
Traf6,2.524930769,9.23E-06,0.015384615,1
Rpn1,2.380562389,1.80E-05,0.027857143,1
Rbx1,2.318603118,2.72E-05,0.039333333,1
Pabpc1,2.299989536,3.05E-05,0.04125,1
Srp54c,2.261524799,3.83E-05,0.048823529,1
Xab2,2.231254193,4.75E-05,0.057222222,1
Rbck1,2.179361668,7.11E-05,0.0805,1
Tmem258,2.173786467,7.43E-05,0.0805,1
Cebpb,2.085317439,0.00013478,0.130666667,1
Ikzf1,2.073749254,0.000149088,0.130666667,1
Ikbkb,2.062998733,0.000159705,0.130666667,1
Ddx39b,2.061524967,0.000161089,0.130666667,1
Ctr9,2.054226047,0.000168013,0.130666667,1
Olfr187,2.051440749,0.00017309,0.130666667,1
Paf1,2.05055862,0.00017309,0.130666667,1
Gtf2b,2.043210213,0.000179091,0.130666667,1
Polr2g,2.041390512,0.000180475,0.130666667,1
Midn,2.040848692,0.000180937,0.130666667,1
Tipin,2.026473771,0.000198938,0.139032258,1
Leo1,1.990683215,0.000260328,0.17625,1
Rpl10,1.985545211,0.000274637,0.18030303,1
Actb,1.964196092,0.00032264,0.202222222,1
Rpl35,1.960506771,0.000334641,0.202222222,1
Mapkapk2,1.958713476,0.000336026,0.202222222,1
Sgms1,1.941694923,0.000372029,0.217837838,1
Gabpb1,1.922518404,0.000432495,0.244102564,1
Akirin2,1.920696346,0.000439418,0.244102564,1
Ddx10,1.908056272,0.000479114,0.2595,1
Ash2l,1.902396638,0.0004985,0.261052632,1
Rnf31,1.897867848,0.000516501,0.261052632,1
Napa,1.893460881,0.000532656,0.261052632,1
Fgd6,1.893003675,0.000534503,0.261052632,1
4932429P05Rik,1.889127483,0.000544196,0.261052632,1
Cul3,1.88665461,0.000554812,0.261052632,1
Tti2,1.875924417,0.000601892,0.261052632,1
4921511H03Rik,1.875839214,0.000601892,0.261052632,1
Orc6,1.871886555,0.000618048,0.261052632,1
Prpf40a,1.871448656,0.000619894,0.261052632,1
Wdr61,1.867596632,0.000637895,0.261052632,1
Map3k8,1.865532581,0.000648511,0.261052632,1
Gpkow,1.865383526,0.000649435,0.261052632,1
Fam155a,1.862639508,0.000660512,0.261052632,1
Srpr,1.861022181,0.000667436,0.261052632,1
Rpl23a,1.859477595,0.000677591,0.261052632,1
Rtf1,1.857136099,0.000686822,0.261052632,1
BC023829,1.839843453,0.000774521,0.289310345,1
Copz1,1.83532487,0.000798985,0.293389831,1
Steap4,1.821923048,0.000875606,0.316166667,1
N4bp2l2,1.818359828,0.000900531,0.319836066,1
Rpl26,1.80426681,0.000996538,0.345,1
Hsp90b1,1.802835566,0.001008078,0.345,1
Limk1,1.799696955,0.001032079,0.345,1
Rbm27,1.7988611,0.00103808,0.345,1
Bcl2a1d,1.797327267,0.001051004,0.345,1
Brd2,1.78710044,0.001118394,0.361470588,1
Pcf11,1.785249461,0.001134549,0.361470588,1
Fam96b,1.782594526,0.001152089,0.36173913,1
Dhx15,1.778811178,0.001183476,0.366285714,1
Lrrc17,1.76540272,0.001304408,0.394027778,1
Arap2,1.764823338,0.001309485,0.394027778,1
Rpn2,1.758205775,0.001366259,0.404533333,1
Fkbp8,1.756587281,0.001383337,0.404533333,1
Gtf2h1,1.755112059,0.001400415,0.404533333,1
Cyc1,1.750118126,0.001441957,0.40525641,1
2610301B20Rik,1.749833997,0.001443803,0.40525641,1
Vps41,1.748444311,0.001459035,0.40525641,1
Vmn1r71,1.739296459,0.001563351,0.426024096,1
Vmn1r212,1.734576029,0.001615047,0.426024096,1
D3Bwg0562e,1.734060881,0.00161874,0.426024096,1
Rbms1,1.733397643,0.001629356,0.426024096,1
Ruvbl2,1.732995537,0.001632126,0.426024096,1
Ikbkg,1.721244189,0.001776137,0.458095238,1
Wasf2,1.716966464,0.001825987,0.459545455,1
Sec13,1.715339513,0.001845373,0.459545455,1
0610009D07Rik,1.713882414,0.001865682,0.459545455,1
mmu-mir-466c-2,1.713745013,0.001866605,0.459545455,1
Traf3,1.705051034,0.001985691,0.483370787,1
Dr1,1.702694427,0.002020771,0.486444444,1
Vmn2r2,1.700851869,0.002045234,0.486923077,1
Hmgn5,1.69487789,0.002128318,0.488137255,1
Ube3a,1.694235047,0.002138472,0.488137255,1
NonTargetingControlGuideForMouse_76,1.690929809,0.002179552,0.488137255,1
Cep41,1.689578056,0.002202631,0.488137255,1
Traf2,1.685960228,0.002249712,0.488137255,1
Bex1,1.684814625,0.002268636,0.488137255,1
Psma1,1.684479064,0.002273252,0.488137255,1
Snip1,1.68401199,0.002279252,0.488137255,1
Cd69,1.683018287,0.002295869,0.488137255,1
Plet1,1.682988714,0.002295869,0.488137255,1
Enox2,1.682697022,0.002298177,0.488137255,1
Cnot1,1.681077712,0.00233141,0.49038835,1
Srsf1,1.677000611,0.002402954,0.499142857,1
Ube2f,1.675813057,0.002419109,0.499142857,1
Hars2,1.670667126,0.00250727,0.51245283,1
Fbn1,1.666321746,0.002576044,0.521588785,1
Wdr36,1.663515254,0.002621279,0.525504587,1
Olfr835,1.662478986,0.002643896,0.525504587,1
Pnpla8,1.658691287,0.002699746,0.531727273,1
Tsr2,1.657334897,0.002732518,0.533333333,1
Gtf2e2,1.654611371,0.002781906,0.536460177,1
Hbb-bh2,1.653687361,0.002798061,0.536460177,1
Acvr1b,1.651003883,0.002849296,0.541491228,1
Ager,1.648374625,0.002906993,0.544957265,1
Pes1,1.647331794,0.002928225,0.544957265,1
Gm11837,1.64663209,0.002942996,0.544957265,1
Syngap1,1.643725491,0.002999769,0.550762712,1
Rpl10a,1.641214136,0.003048696,0.555042017,1
Rnf40,1.637732513,0.003127164,0.56338843,1
Vmn1r31,1.636847697,0.00314655,0.56338843,1
Helz2,1.629831906,0.00328456,0.582439024,1
Dctn5,1.629023489,0.003306716,0.582439024,1
Haus7,1.622323682,0.003449804,0.5953125,1
Epn2,1.621930803,0.003455804,0.5953125,1
Haus6,1.620512824,0.003488576,0.5953125,1
Psmb2,1.62028585,0.003491345,0.5953125,1
Vmn1r32,1.619137176,0.003517194,0.5953125,1
Smpx,1.613641741,0.003662128,0.61503876,1
Tff1,1.612025997,0.003706901,0.617769231,1
Klra17,1.604812914,0.003875837,0.640992366,1
Ubn1,1.601679987,0.003957997,0.649621212,1
Ubr7,1.598012296,0.004054927,0.651736111,1
Otof,1.594228576,0.004151396,0.651736111,1
Coq5,1.593036378,0.004182322,0.651736111,1
Rps18,1.591687216,0.004220171,0.651736111,1
Oser1,1.591322045,0.004228941,0.651736111,1
Slc4a2,1.590983585,0.004239557,0.651736111,1
Wfdc15a,1.590131219,0.004263097,0.651736111,1
Ppp1r12c,1.590114945,0.004263559,0.651736111,1
Yae1d1,1.589871631,0.004272329,0.651736111,1
Pkhd1l1,1.58902851,0.004290792,0.651736111,1
Zfp420,1.587947466,0.004321717,0.651736111,1
Smco4,1.587749238,0.004331872,0.651736111,1
Fto,1.582859601,0.004462497,0.65915,1
Poldip3,1.582750981,0.004465728,0.65915,1
Mchr1,1.578947689,0.004578814,0.65915,1
Caap1,1.578744909,0.004586199,0.65915,1
Thbd,1.577638993,0.004613893,0.65915,1
Fam13b,1.575558464,0.004675283,0.65915,1
Abcf1,1.574697724,0.004697438,0.65915,1
Ell,1.573343138,0.004739903,0.65915,1
Parp6,1.571663069,0.004787445,0.65915,1
C1d,1.570434089,0.004822525,0.65915,1
Fau,1.567811127,0.004903762,0.65915,1
Olfr1054,1.565809704,0.004970228,0.65915,1
Map2k3,1.563477229,0.00505285,0.65915,1
Nop56,1.563161422,0.00506439,0.65915,1
Fam45a,1.561559265,0.005113778,0.65915,1
Tsx,1.561072565,0.005130395,0.65915,1
Csnk1a1,1.559932515,0.005165936,0.65915,1
H2-M10.3,1.558882201,0.005206093,0.65915,1
Nipbl,1.557207896,0.005255943,0.65915,1
Pold3,1.555542402,0.005304408,0.65915,1
Actl6a,1.55464442,0.005330256,0.65915,1
Gzmf,1.554204427,0.00534595,0.65915,1
E2f3,1.553389066,0.005379183,0.65915,1
Hnf4g,1.553225243,0.005386568,0.65915,1
Aldh3b1,1.553106534,0.005393953,0.65915,1
Dync1h1,1.552474487,0.005412878,0.65915,1
Arid3c,1.551192631,0.005454881,0.65915,1
Tpt1,1.550897282,0.005462266,0.65915,1
Tmem222,1.549872426,0.005491807,0.65915,1
Npat,1.549863896,0.005492269,0.65915,1
Rhox6,1.549684932,0.005497808,0.65915,1
Srp68,1.549434544,0.005504731,0.65915,1
Mrpl40,1.549392535,0.005505193,0.65915,1
Il18,1.54902384,0.005518117,0.65915,1
Bmp1,1.546830466,0.005598892,0.65915,1
Dcaf10,1.546524171,0.005607662,0.65915,1
Trrap,1.546495657,0.005608585,0.65915,1
Nmd3,1.546089725,0.005621971,0.65915,1
Thoc2,1.543140555,0.00572721,0.65915,1
Ramp2,1.540984834,0.005796907,0.65915,1
Dynlrb1,1.540285788,0.005827371,0.65915,1
Glrx3,1.540197388,0.005830141,0.65915,1
Irak4,1.539439863,0.005861989,0.65915,1
Polr2h,1.537218337,0.005940919,0.65915,1
Dhx33,1.536940565,0.005949688,0.65915,1
Nnt,1.536837586,0.00595615,0.65915,1
Naa40,1.536693317,0.005961228,0.65915,1
Polr2j,1.535431293,0.006009693,0.65915,1
Unkl,1.535382511,0.006012462,0.65915,1
Shisa2,1.534468791,0.006045696,0.65915,1
Cmpk1,1.534442264,0.006047542,0.65915,1
Zfp811,1.534309118,0.006052619,0.65915,1
Olfr313,1.533993814,0.006065082,0.65915,1
Srprb,1.533794885,0.006071082,0.65915,1
Atf7ip,1.533642439,0.006078468,0.65915,1
Cnot11,1.533424819,0.00608493,0.65915,1
Eef2,1.531249006,0.006159243,0.663880597,1
Olfr1033,1.530199424,0.006200785,0.665049505,1
Larp1,1.528464652,0.006258481,0.665609756,1
Ugt3a2,1.527622879,0.006288022,0.665609756,1
Mcm3,1.527319228,0.006298177,0.665609756,1
Hprt,1.524656577,0.006400185,0.673106796,1
Ppp1r10,1.523359554,0.006446342,0.674190476,1
Vit,1.522128718,0.006497115,0.674190476,1
Smr3a,1.521628601,0.006520655,0.674190476,1
Kctd3,1.521262263,0.006534964,0.674190476,1
Tmem186,1.519933297,0.006586661,0.675188679,1
Gucy1a2,1.519398701,0.00660697,0.675188679,1
Vwc2l,1.518058357,0.006661435,0.675570776,1
Nfx1,1.514666485,0.006807293,0.675570776,1
Guk1,1.514641532,0.006808678,0.675570776,1
Bambi,1.514633944,0.006808678,0.675570776,1
Clcnkb,1.514512786,0.006812832,0.675570776,1
Gmps,1.514412879,0.006818832,0.675570776,1
Kpnb1,1.514206074,0.006828987,0.675570776,1
Ybx1,1.512904675,0.006880222,0.677545455,1
Gpr27,1.507884786,0.007088853,0.693139013,1
Usp4,1.507136417,0.007115163,0.693139013,1
Gja3,1.506673896,0.007134549,0.693139013,1
Gm6902,1.505424201,0.007194092,0.695803571,1
Ptbp1,1.503545572,0.007274867,0.697894737,1
Olfr180,1.503322126,0.007280868,0.697894737,1
Dkkl1,1.502376617,0.007324717,0.697894737,1
Dcps,1.502000078,0.007344565,0.697894737,1
Ccser2,1.500563865,0.007409185,0.700960699,1
Rps23,1.498639179,0.00750427,0.706869565,1
Sec23b,1.495220107,0.007679668,0.717222222,1
Prrg2,1.494830689,0.007698592,0.717222222,1
