Column1,EntrezID,Cutoff,Cutoff2
33,54,1,2
35,2180,1,2
37,2182,1,2
48,100,1,2
182,488,1,2
214,10409,1,2
293,6364,1,2
295,388372,1,2
296,6352,1,2
308,29126,1,2
310,948,1,2
311,958,1,2
318,972,1,2
336,51142,1,2
414,1382,1,2
424,1471,1,2
496,3301,1,2
500,10049,1,2
542,10938,1,2
588,23136,1,2
618,2171,1,2
637,8789,1,2
639,2217,1,2
661,285527,1,2
662,6624,1,2
663,2495,1,2
685,2633,1,2
694,2673,1,2
710,2744,1,2
771,3043,1,2
828,3162,1,2
878,3383,1,2
885,3620,1,2
889,64135,1,2
890,3434,1,2
891,3433,1,2
892,3437,1,2
898,3552,1,2
899,3553,1,2
900,3557,1,2
901,259307,1,2
922,9636,1,2
923,3669,1,2
952,8942,1,2
976,3988,1,2
1004,4069,1,2
1023,4082,1,2
1056,4360,1,2
1067,4502,1,2
1079,4599,1,2
1080,4600,1,2
1102,10135,1,2
1111,654816,1,2
1122,4697,1,2
1137,4790,1,2
1138,4791,1,2
1160,8013,1,2
1256,5209,1,2
1287,5329,1,2
1293,23646,1,2
1310,5464,1,2
1417,5743,1,2
1423,5771,1,2
1483,10741,1,2
1498,5966,1,2
1503,28984,1,2
1510,8635,1,2
1662,5055,1,2
1665,5272,1,2
1695,57823,1,2
1743,6648,1,2
1761,6727,1,2
1786,6776,1,2
1801,8676,1,2
1846,7037,1,2
1847,7045,1,2
1881,7127,1,2
1882,25816,1,2
1884,79931,1,2
1909,7185,1,2
1939,7295,1,2
1999,51096,1,2
2033,7453,1,2
2066,137209,1,2
40,345651,0.5,1
49,102,0.5,1
68,10768,0.5,1
109,308,0.5,1
111,310,0.5,1
130,350,0.5,1
156,10550,0.5,1
183,489,0.5,1
185,493,0.5,1
198,537,0.5,1
228,644,0.5,1
255,760,0.5,1
262,817,0.5,1
271,65981,0.5,1
283,867,0.5,1
294,6348,0.5,1
304,909,0.5,1
306,911,0.5,1
307,30835,0.5,1
312,960,0.5,1
314,962,0.5,1
317,967,0.5,1
319,975,0.5,1
320,928,0.5,1
353,1152,0.5,1
360,1211,0.5,1
366,123920,0.5,1
367,7555,0.5,1
375,22796,0.5,1
409,8895,0.5,1
417,1429,0.5,1
425,1476,0.5,1
431,1508,0.5,1
434,1512,0.5,1
437,1522,0.5,1
449,1601,0.5,1
468,9188,0.5,1
477,23586,0.5,1
528,6993,0.5,1
540,79180,0.5,1
543,30844,0.5,1
547,5610,0.5,1
563,27335,0.5,1
611,60412,0.5,1
617,2167,0.5,1
625,116496,0.5,1
638,2207,0.5,1
659,23048,0.5,1
664,2512,0.5,1
673,11337,0.5,1
681,57459,0.5,1
686,2634,0.5,1
697,8836,0.5,1
704,2734,0.5,1
714,2760,0.5,1
735,2820,0.5,1
755,283464,0.5,1
762,3020,0.5,1
772,3055,0.5,1
792,3008,0.5,1
794,255626,0.5,1
800,3099,0.5,1
802,3105,0.5,1
805,3106,0.5,1
820,3148,0.5,1
822,3157,0.5,1
824,3151,0.5,1
854,3290,0.5,1
884,3422,0.5,1
893,3482,0.5,1
921,3663,0.5,1
927,3684,0.5,1
928,3687,0.5,1
930,3689,0.5,1
945,8564,0.5,1
949,3837,0.5,1
965,3937,0.5,1
970,3958,0.5,1
972,5641,0.5,1
979,4001,0.5,1
989,126364,0.5,1
994,124801,0.5,1
997,4046,0.5,1
1003,11313,0.5,1
1010,4124,0.5,1
1026,27430,0.5,1
1044,4321,0.5,1
1047,92597,0.5,1
1049,158747,0.5,1
1068,9219,0.5,1
1073,10797,0.5,1
1090,64005,0.5,1
1107,8774,0.5,1
1112,4688,0.5,1
1117,23385,0.5,1
1120,4705,0.5,1
1141,57224,0.5,1
1154,10577,0.5,1
1167,8439,0.5,1
1169,51667,0.5,1
1181,4939,0.5,1
1182,4940,0.5,1
1183,54940,0.5,1
1199,26986,0.5,1
1207,51247,0.5,1
1217,83666,0.5,1
1231,11333,0.5,1
1248,5175,0.5,1
1272,55361,0.5,1
1285,5321,0.5,1
1295,5341,0.5,1
1300,5371,0.5,1
1317,10105,0.5,1
1327,94274,0.5,1
1328,170954,0.5,1
1340,5538,0.5,1
1370,11168,0.5,1
1410,9050,0.5,1
1420,5770,0.5,1
1447,23011,0.5,1
1473,5903,0.5,1
1491,55758,0.5,1
1502,23180,0.5,1
1530,6142,0.5,1
1532,6144,0.5,1
1534,9349,0.5,1
1539,6157,0.5,1
1540,6158,0.5,1
1545,6161,0.5,1
1547,11224,0.5,1
1550,6173,0.5,1
1554,6169,0.5,1
1557,6125,0.5,1
1572,6207,0.5,1
1578,6222,0.5,1
1579,6223,0.5,1
