Column1,EntrezID,Cutoff
1000,4067,0
1237,2923,0
1494,5962,0
1823,10492,0
1900,7170,0
2039,57705,0
6,16,0
7,6059,0
8,23,0
9,55347,0
10,26090,0
11,84836,0
12,10006,0
13,29,0
14,58527,0
15,30,0
16,10449,0
17,28976,0
18,34,0
19,37,0
20,23527,0
21,38,0
22,39,0
23,1636,0
24,22985,0
25,47,0
26,48,0
27,50,0
28,55856,0
29,11332,0
30,23597,0
31,51,0
32,52,0
33,54,1
34,80221,0
35,2180,1
36,2181,0
37,2182,1
38,59,0
39,60,0
40,345651,0.5
41,86,0
42,87,0
43,81,0
44,10121,0
45,10120,0
46,10097,0
47,10096,0
48,100,1
49,102,0.5
50,103,0
51,128,0
52,132,0
53,84890,0
54,83440,0
55,141,0
56,54936,0
58,11047,0
59,158,0
60,159,0
61,10939,0
62,175,0
63,3267,0
64,27161,0
66,8540,0
67,191,0
68,10768,0.5
69,79026,0
70,10598,0
71,199,0
72,9131,0
74,9255,0
75,7965,0
76,9049,0
77,204,0
78,50808,0
79,11214,0
80,10327,0
81,231,0
82,8574,0
83,207,0
84,210,0
85,214,0
86,126133,0
87,216,0
88,8854,0
89,217,0
90,224,0
91,8659,0
92,223,0
93,226,0
94,230,0
95,56052,0
96,246,0
97,10189,0
98,271,0
99,91526,0
100,196527,0
101,8125,0
102,10541,0
103,81611,0
104,290,0
105,301,0
106,311,0
107,302,0
108,307,0
109,308,0.5
110,309,0
111,310,0.5
112,162,0
113,164,0
114,8907,0
115,160,0
116,161,0
117,163,0
118,1173,0
119,1175,0
120,8546,0
121,8943,0
122,26985,0
123,1176,0
124,54518,0
125,327,0
126,328,0
127,8539,0
128,57136,0
129,55911,0
130,350,0.5
131,26060,0
132,353,0
133,372,0
134,377,0
135,382,0
136,84364,0
137,26286,0
138,10565,0
139,27236,0
140,392,0
141,79658,0
142,55114,0
143,93663,0
144,9938,0
145,257106,0
146,393,0
147,64333,0
148,396,0
149,397,0
150,9138,0
151,9181,0
152,9459,0
153,8874,0
154,8289,0
155,403,0
156,10550,0.5
157,55207,0
158,10095,0
159,10109,0
160,10094,0
161,10093,0
162,10092,0
163,81873,0
164,348110,0
165,408,0
166,409,0
167,410,0
168,411,0
169,427,0
170,50807,0
171,439,0
172,64422,0
173,10533,0
174,471,0
175,25923,0
176,475,0
177,57130,0
178,79572,0
179,476,0
180,481,0
181,483,0
182,488,1
183,489,0.5
184,490,0
185,493,0.5
186,498,0
187,506,0
188,509,0
189,513,0
190,514,0
191,515,0
192,10476,0
193,521,0
194,522,0
195,100526740,0
196,10632,0
197,539,0
198,537,0.5
199,9114,0
200,523,0
201,526,0
202,528,0
203,51382,0
204,529,0
205,9296,0
206,9550,0
207,51606,0
208,25814,0
209,11273,0
210,549,0
211,567,0
212,29086,0
213,8815,0
214,10409,1
215,55973,0
216,10134,0
217,594,0
218,10295,0
219,23786,0
220,599,0
221,9774,0
222,622,0
223,23299,0
224,637,0
225,51411,0
226,642,0
227,2647,0
228,644,0.5
229,645,0
230,55589,0
231,552900,0
232,10380,0
233,79184,0
234,55845,0
235,682,0
236,689,0
237,91408,0
238,695,0
239,9184,0
240,8896,0
241,9689,0
243,256815,0
244,28970,0
246,57020,0
248,54987,0
249,708,0
250,8209,0
251,9847,0
252,728,0
253,285636,0
255,760,0.5
256,51719,0
257,27101,0
258,805,0
259,811,0
