"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Rheumatoid arthritis",0,0,0,91,9,"ACP5, ATP6AP1, ICAM1, IL1A, IL1B, ITGB2, CCL3, CCL5, CCL20"
"Hematopoietic cell lineage",0,0,0,86,9,"CD1A, CD1C, CD9, CD36, CD44, IL1A, IL1B, ITGAM, TFRC"
"Leishmaniasis",0,0,0,72,8,"IL1A, IL1B, ITGAM, ITGB2, NCF2, NFKB1, PTGS2, STAT1"
"Malaria",0,0,0,49,8,"CD36, CD40, CD81, HBB, ICAM1, IL1B, ITGB2, PECAM1"
"Phagosome",0,0,0.002,150,10,"ATP6AP1, CD36, HLA-A, HLA-B, ITGAM, ITGB2, MRC1, NCF2, TFRC, CD209"
"Osteoclast differentiation",0,0,0.003,127,9,"ACP5, IL1A, IL1B, LCP2, NCF2, NFKB1, NFKB2, STAT1, SQSTM1"
"Cell adhesion molecules (CAMs)",0,0,0.003,127,9,"CD40, GLG1, HLA-A, HLA-B, ICAM1, ITGAM, ITGB2, PECAM1, CD274"
"Tryptophan metabolism",0,0.002,0.018,39,5,"IDO1, WARS, KMO, KYNU, IL4I1"
"Hepatitis C",0,0.003,0.029,131,8,"CD81, IFIT1, NFKB1, OAS2, OAS3, EIF2AK2, STAT1, DDX58"
"Toll-like receptor signaling pathway",0,0.004,0.038,102,7,"CD40, IL1B, IRF5, NFKB1, CCL3, CCL5, STAT1"
"Amoebiasis",0,0.004,0.046,105,7,"SERPINB1, IL1B, ITGAM, ITGB2, NFKB1, SERPINB2, SERPINB9"
"Cytosolic DNA-sensing pathway",0,0.008,0.104,56,5,"IL1B, NFKB1, CCL5, DDX58, CCL4L2"
"African trypanosomiasis",0,0.008,0.11,32,4,"HBB, ICAM1, IL1B, IDO1"
"Natural killer cell mediated cytotoxicity",0.001,0.013,0.178,131,7,"CD48, FCER1G, HLA-A, HLA-B, ICAM1, ITGB2, LCP2"
"Graft-versus-host disease",0.001,0.016,0.236,39,4,"HLA-A, HLA-B, IL1A, IL1B"
"Epithelial cell signaling in Helicobacter pylori infection",0.001,0.016,0.254,68,5,"ADAM10, ATP6AP1, NFKB1, CCL5, SRC"
"Viral myocarditis",0.001,0.016,0.272,69,5,"CD40, HLA-A, HLA-B, ICAM1, ITGB2"
"PPAR signaling pathway",0.001,0.016,0.29,70,5,"CD36, FABP4, FABP5, ACSL1, ACSL4"
"Type I diabetes mellitus",0.002,0.018,0.342,43,4,"HLA-A, HLA-B, IL1A, IL1B"
"Chemokine signaling pathway",0.006,0.064,1,185,7,"HCK, NFKB1, CCL3, CCL5, CCL20, STAT1, CCL4L2"
"Alanine, aspartate and glutamate metabolism",0.006,0.065,1,32,3,"GFPT1, GLS, IL4I1"
"Adipocytokine signaling pathway",0.008,0.078,1,68,4,"CD36, ACSL1, ACSL4, NFKB1"
"Fructose and mannose metabolism",0.008,0.078,1,36,3,"HK2, PFKFB3, FBP2"
"Prion diseases",0.008,0.078,1,35,3,"IL1A, IL1B, CCL5"
"Allograft rejection",0.009,0.078,1,37,3,"CD40, HLA-A, HLA-B"
"RIG-I-like receptor signaling pathway",0.009,0.078,1,70,4,"NFKB1, ISG15, DDX58, IFIH1"
"Leukocyte transendothelial migration",0.01,0.082,1,112,5,"ICAM1, ITGAM, ITGB2, NCF2, PECAM1"
"Autoimmune thyroid disease",0.023,0.183,1,52,3,"CD40, HLA-A, HLA-B"
"Staphylococcus aureus infection",0.024,0.186,1,53,3,"ICAM1, ITGAM, ITGB2"
"NOD-like receptor signaling pathway",0.029,0.217,1,57,3,"IL1B, NFKB1, CCL5"
"Cytokine-cytokine receptor interaction",0.032,0.231,1,260,7,"CD40, IL1A, IL1B, CCL3, CCL5, CCL20, CCL4L2"
"Chagas disease (American trypanosomiasis)",0.033,0.234,1,104,4,"IL1B, NFKB1, CCL3, CCL5"
"D-Glutamine and D-glutamate metabolism",0.046,0.316,1,4,1,"GLS"
"Asthma",0.048,0.318,1,30,2,"CD40, FCER1G"
