"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"197",54,"ACP5","HighConf","Yes","Lysosome, Osteoclast differentiation",NA,NA
"210",2180,"ACSL1","HighConf","Yes","Ferroptosis, PPAR signaling pathway, Fatty acid biosynthesis, Adipocytokine signaling pathway, Fatty acid metabolism","PPT1","Fatty acid metabolism (1), Lysosome (1)"
"215",2182,"ACSL4","HighConf","Yes","Ferroptosis, PPAR signaling pathway, Fatty acid biosynthesis, Adipocytokine signaling pathway, Fatty acid metabolism","PPT1","Fatty acid metabolism (1), Lysosome (1)"
"1367",537,"ATP6AP1","MedConf","Yes","Lysosome, Phagosome",NA,NA
"2334",817,"CAMK2D","MedConf","Yes","Necroptosis, HIF-1 signaling pathway, ErbB signaling pathway","STAT1","Prolactin signaling pathway (1), Chemokine signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Toll-like receptor signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1)"
"2458",867,"CBL","MedConf","Yes","Endocytosis, ErbB signaling pathway","STAT5A, LCP2, CLTA, HLA-A, FCER1G","Natural killer cell mediated cytotoxicity (3), Endocytosis (2), Cellular senescence (1), Antigen processing and presentation (1), Type I diabetes mellitus (1), Phagosome (1), Lysosome (1), Osteoclast differentiation (1), ErbB signaling pathway (1), Prolactin signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Necroptosis (1), Cell adhesion molecules (CAMs) (1)"
"2633",6364,"CCL20","HighConf","Yes","TNF signaling pathway, Chemokine signaling pathway",NA,NA
"2643",6348,"CCL3","MedConf","Yes","Toll-like receptor signaling pathway, Chemokine signaling pathway",NA,NA
"2648",388372,"CCL4L1","HighConf","Yes","NF-kappa B signaling pathway, Toll-like receptor signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway",NA,NA
"2652",6352,"CCL5","HighConf","Yes","NOD-like receptor signaling pathway, Toll-like receptor signaling pathway, TNF signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway",NA,NA
"2733",909,"CD1A","MedConf","Yes","Hematopoietic cell lineage",NA,NA
"2736",911,"CD1C","MedConf","Yes","Hematopoietic cell lineage",NA,NA
"2745",30835,"CD209","MedConf","Yes","Phagosome",NA,NA
"2753",29126,"CD274","HighConf","Yes","Cell adhesion molecules (CAMs)",NA,NA
"2771",948,"CD36","HighConf","Yes","Hematopoietic cell lineage, Phagosome, PPAR signaling pathway, Adipocytokine signaling pathway","CD9, FABP4","PPAR signaling pathway (1), Hematopoietic cell lineage (1)"
