"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Protein digestion and absorption",0,0,0,79,7,2,"Col3a1, Col5a1","Col12a1, Col14a1, Col5a2, Col1a1, Eln",0.187
"2","ECM-receptor interaction",0,0.001,0.001,75,6,1,"Tnn","Col1a1, Lamb1, Thbs2, Thbs4, Itga11",0.123
"3","Focal adhesion",0,0.007,0.02,179,7,1,"Tnn","Col1a1, Igf1, Lamb1, Thbs2, Thbs4, Itga11",0.091
"4","PI3K-Akt signaling pathway",0.001,0.035,0.14,322,8,2,"Il4ra, Tnn","Col1a1, Igf1, Lamb1, Thbs2, Thbs4, Itga11",0.137
"5","Relaxin signaling pathway",0.001,0.043,0.213,125,5,4,"Col3a1, Mmp13, Mmp2, Nos2","Col1a1",0.42
"6","Complement and coagulation cascades",0.002,0.064,0.386,84,4,4,"Bdkrb1, Cfi, Masp1, Kng2","",0.524
"7","IL-17 signaling pathway",0.002,0.071,0.498,90,4,4,"Cxcl10, Mmp13, Mmp3, Cxcl5","",0.522
"8","HIF-1 signaling pathway",0.003,0.076,0.656,97,4,2,"Nos2, Timp1","Hif1a, Igf1",0.271
"9","AGE-RAGE signaling pathway in diabetic complications",0.003,0.076,0.732,100,4,3,"Col3a1, Mmp2, Nox4","Col1a1",0.395
"10","Cytokine-cytokine receptor interaction",0.003,0.076,0.768,243,6,6,"Ccr5, Cxcl10, Il11, Il4ra, Ccl8, Cxcl5","",0.512
"11","TNF signaling pathway",0.004,0.076,0.904,106,4,3,"Bcl3, Cxcl10, Mmp3","Mmp14",0.394
"12","Cytosolic DNA-sensing pathway",0.004,0.076,0.913,52,3,2,"Cxcl10, Il33","Zbp1",0.362
"13","Chemokine signaling pathway",0.019,0.364,1,171,4,4,"Ccr5, Cxcl10, Ccl8, Cxcl5","",0.512
"14","Valine, leucine and isoleucine biosynthesis",0.024,0.425,1,4,1,1,"Bcat1","",0.625
"15","Arginine and proline metabolism",0.031,0.516,1,46,2,2,"Nos2, P4ha3","",0.522
"16","Caffeine metabolism",0.036,0.555,1,6,1,1,"Uox","",0.583
