"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"1",55752,"11-Sep",607,"HighConf","Novel",NA,2,"UBC, SIN3A",0,NA,0,NA,0,"",0
"2",2,"A2M",169,"HighConf","Novel",NA,16,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IL1B, KALRN, RHOF, IGF2, PF4, SERPING1, TGFB2, GAB2",0,NA,0,NA,0,"",0
"3",20,"ABCA2",840,"MedConf","Novel",NA,3,"ATP1A3, ATP12A, ATP1B3",0,NA,0,NA,0,"",0
"4",10006,"ABI1",701,"HighConf","Novel",NA,6,"ARPC1B, EPS8, EGFR, ACTR2, ITGB1, SYK",0,NA,0,NA,0,"",0
"5",32,"ACACB",224,"MedConf","Novel",NA,9,"OASL, SUN1, UBQLN4, UBC, UBB, ISG15, SP1, E2F3, RPS27A",0,NA,0,NA,0,"",0
"6",36,"ACADSB",790,"MedConf","Novel",NA,1,"HADHA",0,NA,0,NA,0,"",0
"7",1636,"ACE",772,"MedConf","Novel","Renin secretion",1,"AGT",0,NA,0,NA,0,"",0
"8",22985,"ACIN1",258,"HighConf","RNA transport","RNA transport, Spliceosome",2,"SRPK2, UBC",0,NA,0,NA,0,"",0
"9",59,"ACTA2",202,"MedConf","Novel","Relaxin signaling pathway",6,"SORBS3, CFL1, VCL, ITGA1, UBC, PXN",0,NA,0,NA,0,"",0
"10",10097,"ACTR2",205,"HighConf","Novel",NA,7,"WIPF2, ABI1, PDGFRB, ARPC1B, CDC42, UBC, PSMA7",0,NA,1,"PSMA7",0,"",1
"11",8038,"ADAM12",786,"MedConf","Novel",NA,3,"ITGB1, LRIG1, EGFR",0,NA,0,NA,0,"",0
"12",127,"ADH4",488,"MedConf","Novel",NA,6,"GSTA3, GSTO1, MGST1, ALDH3A2, GSTP1, GSTA1",0,NA,0,NA,0,"",0
"13",154,"ADRB2",354,"HighConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes",20,"AGT, ADRBK1, VIPR1, PRKAR2B, MC2R, EDN1, GHRH, GPBAR1, HTR6, PTGER2, DRD5, GRK4, CXCR4, UBC, CALCR, HRH2, GNAI3, SCT, PTGIR, CFTR",0,NA,0,NA,0,"",0
"14",156,"ADRBK1",371,"MedConf","Novel",NA,30,"CXCR5, GNA15, CXCL8, EDN1, TACR1, CXCR3, DRD2, TACR3, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, NMUR2, AGT, GIT1, OPRM1, CXCR4, CX3CR1, ADRB2, CCR8, UBC",0,NA,0,NA,0,"",0
"15",174,"AFP",739,"MedConf","Novel",NA,2,"JUN, UBC",0,NA,0,NA,0,"",0
"16",177,"AGER",707,"MedConf","Novel","AGE-RAGE signaling pathway in diabetic complications",4,"NFKBIB, RELA, IKBKB, ITGAM",0,NA,0,NA,0,"",0
"17",375790,"AGRN",448,"HighConf","Novel","ECM-receptor interaction",16,"EXT2, GPC2, CSPG5, NCAM1, HPSE2, SLC35D2, MUSK, ARHGEF6, APOB, CDC42, PTK2B, LAMA5, ITGB1, LRP1, PXN, ITGA1",0,NA,0,NA,0,"",0
"18",183,"AGT",360,"MedConf","Novel","Renin secretion",50,"ADRBK1, CXCR5, GNA15, CXCL13, CXCL8, MTNR1B, PRKAR2B, EDN1, TACR1, CXCR3, NPY, DRD2, TACR3, GNA11, PNOC, CXCL11, HTR1A, KALRN, SSTR4, PTGDR2, S1PR2, HCAR2, CHRM2, NPBWR2, RGS20, AVPR1A, FPR3, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, ACE, MME, GNRH2, ADRB2, CFTR, CCR8, C5, CXCR4, NMUR2, NCOA6, OPRM1, DNM1, GNAI3",0,NA,0,NA,0,"",0
"19",202,"AIM1",716,"MedConf","Novel",NA,2,"CDCA8, BIRC5",0,NA,0,NA,0,"",0
"20",326,"AIRE",674,"HighConf","Novel",NA,1,"HDAC2",0,NA,0,NA,0,"",0
"21",205,"AK4",832,"HighConf","Novel",NA,4,"PDE1B, DCK, NT5C, AMPD1",0,NA,0,NA,0,"",0
"22",122481,"AK7",552,"HighConf","Novel",NA,4,"PDE1B, AMPD1, NT5C, DCK",0,NA,0,NA,0,"",0
"23",211,"ALAS1",723,"MedConf","Novel",NA,4,"POLD4, UBC, ESRRA, NCOA6",0,NA,0,NA,0,"",0
"24",224,"ALDH3A2",486,"HighConf","Novel","Lysine degradation",2,"ADH4, UBC",0,NA,0,NA,0,"",0
"25",226,"ALDOA",260,"HighConf","Novel",NA,13,"ARNT, IGF2, PF4, PGAM2, FBP1, DERA, TKTL2, SERPING1, G6PC, TGFB2, GAPDH, UBC, A2M",0,NA,0,NA,0,"",0
"26",246,"ALOX15",825,"MedConf","Novel","Serotonergic synapse",6,"GPX1, JMJD7-PLA2G4B, PLA2G4A, PLA2G6, PLA2G4D, GPX3",0,NA,0,NA,0,"",0
"27",57679,"ALS2",873,"HighConf","Novel",NA,1,"RAB5A",0,NA,0,NA,0,"",0
