"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"287",2180,"ACSL1","HighConf","Yes",NA,"PPT1",NA
"289",2182,"ACSL4","HighConf","Yes",NA,"PPT1",NA
"305",345651,"ACTBL2","MedConf","Yes",NA,NA,NA
"341",100,"ADA","HighConf","Yes",NA,NA,NA
"345",102,"ADAM10","MedConf","Yes",NA,"NCSTN",NA
"550",10768,"AHCYL1","MedConf","Yes",NA,NA,NA
"857",308,"ANXA5","MedConf","Yes",NA,NA,NA
"859",310,"ANXA7","MedConf","Yes",NA,NA,NA
"944",350,"APOH","MedConf","Yes",NA,NA,NA
"1091",10550,"ARL6IP5","MedConf","Yes",NA,NA,NA
"1296",488,"ATP2A2","HighConf","Yes",NA,NA,NA
"1297",489,"ATP2A3","MedConf","Yes",NA,NA,NA
"1301",493,"ATP2B4","MedConf","Yes",NA,NA,NA
"1474",10409,"BASP1","HighConf","Yes",NA,NA,NA
"1606",644,"BLVRA","MedConf","Yes",NA,NA,NA
"2152",760,"CA2","MedConf","Yes",NA,NA,NA
"2240",817,"CAMK2D","MedConf","Yes",NA,NA,NA
"2278",65981,"CAPRIN2","MedConf","Yes",NA,NA,NA
"2348",867,"CBL","MedConf","Yes",NA,"STAT5A, LCP2, CLTA, HLA-A, FCER1G",NA
"2617",30835,"CD209","MedConf","Yes",NA,NA,NA
"2624",29126,"CD274","HighConf","Yes",NA,NA,NA
"2639",948,"CD36","HighConf","Yes",NA,"FABP4, CD9",NA
"2647",958,"CD40","HighConf","Yes",NA,"NFKB1, TRAF1, STAT5A",NA
"2649",960,"CD44","MedConf","Yes",NA,"MT2A, HLA-B, ICAM1, HLA-A, GBP1, GBP2, GLG1, IRF5, OAS3, PML, OAS2",NA
"2652",962,"CD48","MedConf","Yes",NA,NA,NA
"2661",967,"CD63","MedConf","Yes",NA,"CD9",NA
"2667",972,"CD74","HighConf","Yes",NA,"CTSB, LGMN, CLTA","Antigen processing and presentation (2), Lysosome (2), Apoptosis (1), NOD-like receptor signaling pathway (1)"
"2671",975,"CD81","MedConf","Yes",NA,"CD9",NA
"2678",928,"CD9","MedConf","Yes",NA,"CD36, CD63, CD81",NA
"2997",51142,"CHCHD2","HighConf","Yes",NA,NA,NA
"3131",1152,"CKB","MedConf","Yes",NA,NA,NA
"3251",1211,"CLTA","MedConf","Yes",NA,"CD74, CBL, NCF2",NA
"3274",123920,"CMTM3","MedConf","Yes",NA,NA,NA
"3285",7555,"CNBP","MedConf","Yes",NA,NA,NA
"3359",22796,"COG2","MedConf","Yes",NA,NA,NA
"3524",8895,"CPNE3","MedConf","Yes",NA,NA,NA
"3556",1382,"CRABP2","HighConf","Yes",NA,NA,NA
"3636",1429,"CRYZ","MedConf","Yes",NA,NA,NA
"3685",1471,"CST3","HighConf","Yes",NA,"TGFBI, LYZ, CTSB","Antigen processing and presentation (1), Apoptosis (1), NOD-like receptor signaling pathway (1), Lysosome (1)"
"3694",1476,"CSTB","MedConf","Yes",NA,"CTSB","Antigen processing and presentation (1), Apoptosis (1), NOD-like receptor signaling pathway (1), Lysosome (1)"
"3760",1508,"CTSB","MedConf","Yes","Lysosome, NOD-like receptor signaling pathway, Apoptosis, Antigen processing and presentation","CST3, CD74, CSTB",NA
"4074",9188,"DDX21","MedConf","Yes",NA,NA,NA
"4343",3301,"DNAJA1","HighConf","Yes",NA,NA,NA
"4356",10049,"DNAJB6","HighConf","Yes",NA,NA,NA
"4594",6993,"DYNLT1","MedConf","Yes",NA,NA,NA
"4696",79180,"EFHD2","MedConf","Yes",NA,NA,NA
"4723",10938,"EHD1","HighConf","Yes",NA,"EHD4",NA
"4726",30844,"EHD4","MedConf","Yes",NA,"EHD1",NA
"4743",5610,"EIF2AK2","MedConf","Yes",NA,NA,NA
"4766",27335,"EIF3K","MedConf","Yes",NA,"PABPC1, RPL32, RPL18A, RPS19, RPL38, RPS13, RPL35, RPL5, RPL27A, RPL21, RPS23",NA
"4907",23136,"EPB41L3","HighConf","Yes",NA,NA,NA
"5073",60412,"EXOC4","MedConf","Yes",NA,NA,NA
"5131",2167,"FABP4","MedConf","Yes",NA,"CD36",NA
"5132",2171,"FABP5","HighConf","Yes",NA,NA,NA
"5185",116496,"FAM129A","MedConf","Yes",NA,NA,NA
"5430",8789,"FBP2","HighConf","Yes",NA,"HK2, PFKFB3",NA
"5498",2207,"FCER1G","MedConf","Yes",NA,"CBL, PLA2G4A, LCP2",NA
"5509",2217,"FCGRT","HighConf","Yes",NA,NA,NA
"5682",23048,"FNBP1","MedConf","Yes",NA,NA,NA
"5784",285527,"FRYL","HighConf","Yes",NA,NA,NA
"5787",6624,"FSCN1","HighConf","Yes",NA,"ZYX",NA
"5803",2495,"FTH1","HighConf","Yes",NA,"FTL",NA
"5805",2512,"FTL","MedConf","Yes",NA,"FTH1",NA
"5870",11337,"GABARAP","MedConf","Yes","NOD-like receptor signaling pathway, Mitophagy - animal","SQSTM1",NA
"5978",57459,"GATAD2B","MedConf","Yes",NA,NA,NA
"5991",2633,"GBP1","HighConf","Yes",NA,"GBP2, OAS3, OAS2, HLA-B, ICAM1, MT2A, PML, HLA-A, CD44, IRF5",NA
"5992",2634,"GBP2","MedConf","Yes",NA,"ISG15, HLA-B, IFIT2, PML, GBP1, ISG20, OAS3, MX2, IFIT3, CD44, IRF5, OAS2, IFIT1, MX1, MT2A, HLA-A, ICAM1",NA
"6065",2673,"GFPT1","HighConf","Yes",NA,"HK2, GLS",NA
"6077",8836,"GGH","MedConf","Yes",NA,NA,NA
"6157",2734,"GLG1","MedConf","Yes",NA,"CD44",NA
"6185",2744,"GLS","HighConf","Yes",NA,"GFPT1",NA
"6334",2820,"GPD2","MedConf","Yes",NA,NA,NA
"6604",283464,"GXYLT1","MedConf","Yes",NA,NA,NA
"6634",3020,"H3F3A","MedConf","Yes",NA,NA,NA
"6680",3043,"HBB","HighConf","Yes",NA,"PABPC1",NA
"6830",3008,"HIST1H1E","MedConf","Yes",NA,NA,NA
"6844",255626,"HIST1H2BA","MedConf","Yes",NA,NA,NA
"6898",3099,"HK2","MedConf","Yes",NA,"FBP2, PFKFB3, GFPT1",NA
"6902",3105,"HLA-A","MedConf","Yes",NA,"GBP1, ISG20, MX2, GBP2, CBL, HLA-B, CD44, IFIT1, IFIT2, ICAM1, IFIT3, ISG15, LCP2, PML, MX1, OAS2, OAS3, MT2A, IRF5",NA
"6903",3106,"HLA-B","MedConf","Yes",NA,"ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, OAS3, IRF5, ISG15, MT2A, CD44, IFIT1, OAS2, PML",NA
"6937",3148,"HMGB2","MedConf","Yes",NA,NA,NA
"6943",3157,"HMGCS1","MedConf","Yes",NA,NA,NA
"6946",3151,"HMGN2","MedConf","Yes",NA,NA,NA
"7087",3290,"HSD11B1","MedConf","Yes",NA,NA,NA
"7196",3383,"ICAM1","HighConf","Yes",NA,"HLA-A, GBP1, GBP2, OAS3, OAS2, CD44, IRF5, ITGAX, PML, HLA-B, MT2A, ITGAM, ITGB2, NFKB1",NA
"7216",3422,"IDI1","MedConf","Yes",NA,NA,NA
"7236",64135,"IFIH1","HighConf","Yes",NA,NA,NA
"7237",3434,"IFIT1","HighConf","Yes",NA,"OAS3, OAS2, IRF5, HLA-B, IFIT3, IFIT2, MX1, HLA-A, ISG20, MX2, GBP2, ISG15",NA
"7239",3433,"IFIT2","HighConf","Yes",NA,"MX1, HLA-A, ISG20, MX2, GBP2, ISG15, IRF5, OAS3, IFIT3, OAS2, IFIT1, HLA-B",NA
"7240",3437,"IFIT3","HighConf","Yes",NA,"IFIT2, MX1, HLA-A, ISG20, MX2, GBP2, OAS2, IFIT1, HLA-B, IRF5, OAS3, ISG15",NA
"7371",3552,"IL1A","HighConf","Yes",NA,"IL1RN, IL1B",NA
"7372",3553,"IL1B","HighConf","Yes",NA,"IL1A, IL1RN, IRF5, NFKB2, SQSTM1, NFKB1",NA
"7381",3557,"IL1RN","HighConf","Yes",NA,"IL1A, IL1B",NA
"7549",3663,"IRF5","MedConf","Yes",NA,"CD44, MT2A, HLA-B, ICAM1, IL1B, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, OAS3, ISG15, OAS2, IFIT1, PML",NA
"7569",9636,"ISG15","HighConf","Yes",NA,"IFIT1, OAS3, OAS2, IRF5, HLA-B, IFIT3, IFIT2, MX1, HLA-A, ISG20, MX2, GBP2",NA
"7570",3669,"ISG20","HighConf","Yes",NA,"MX2, GBP2, IRF5, IFIT2, OAS2, MX1, OAS3, IFIT1, HLA-B, IFIT3, ISG15, HLA-A",NA
"7601",3684,"ITGAM","MedConf","Yes",NA,"ITGB2, ICAM1, TGFBI, NFKB1, PLAUR, ITGAX",NA
"7603",3687,"ITGAX","MedConf","Yes",NA,"ITGAM, ITGB2, ICAM1",NA
"7607",3689,"ITGB2","MedConf","Yes",NA,"ICAM1, TGFBI, ITGAM, NFKB1, ITGAX, PLAUR",NA
"8078",8564,"KMO","MedConf","Yes",NA,"KYNU",NA
"8100",3837,"KPNB1","MedConf","Yes",NA,"RANBP2",NA
"8244",8942,"KYNU","HighConf","Yes",NA,"SMS, KMO",NA
"8348",3937,"LCP2","MedConf","Yes",NA,"HLA-A, FCER1G, CBL",NA
"8397",3958,"LGALS3","MedConf","Yes",NA,NA,NA
"8410",5641,"LGMN","MedConf","Yes","Lysosome, Antigen processing and presentation","CD74",NA
"8635",126364,"LRRC25","MedConf","Yes",NA,NA,NA
"8710",124801,"LSM12","MedConf","Yes",NA,NA,NA
"8722",4046,"LSP1","MedConf","Yes",NA,NA,NA
"8777",11313,"LYPLA2","MedConf","Yes",NA,NA,NA
"8790",4069,"LYZ","HighConf","Yes",NA,"CST3, TGFBI",NA
"8883",4124,"MAN2A1","MedConf","Yes",NA,NA,NA
"8977",4082,"MARCKS","HighConf","Yes",NA,NA,NA
"8999",27430,"MAT2B","MedConf","Yes",NA,NA,NA
"9347",4321,"MMP12","MedConf","Yes",NA,NA,NA
"9380",92597,"MOB1B","MedConf","Yes",NA,NA,NA
"9413",158747,"MOSPD2","MedConf","Yes",NA,NA,NA
"9454",4360,"MRC1","HighConf","Yes",NA,NA,NA
"9614",4502,"MT2A","HighConf","Yes",NA,"HLA-B, ICAM1, HLA-A, GBP1, GBP2, OAS2, CD44, OAS3, PML, IRF5",NA
"9618",9219,"MTA2","MedConf","Yes",NA,NA,NA
"9642",10797,"MTHFD2","MedConf","Yes",NA,NA,NA
"9706",4599,"MX1","HighConf","Yes",NA,"HLA-A, ISG20, MX2, GBP2, IFIT2, IFIT3, OAS3, ISG15, OAS2, IRF5, HLA-B, IFIT1",NA
"9707",4600,"MX2","HighConf","Yes",NA,"GBP2, OAS3, IFIT2, OAS2, IFIT3, ISG20, ISG15, IRF5, HLA-A, MX1, IFIT1, HLA-B",NA
"9782",64005,"MYO1G","MedConf","Yes",NA,NA,NA
"9873",8774,"NAPG","MedConf","Yes",NA,NA,NA
"9925",654816,"NCF1B","HighConf","Yes",NA,NA,NA
"9926",4688,"NCF2","MedConf","Yes",NA,"CLTA",NA
"9950",23385,"NCSTN","MedConf","Yes",NA,"ADAM10, NFKB1, STAT5A",NA
"9970",4705,"NDUFA10","MedConf","Yes",NA,"NDUFA4",NA
"9975",4697,"NDUFA4","HighConf","Yes",NA,"NDUFA10",NA
"10099",4790,"NFKB1","HighConf","Yes",NA,"REL, NFKB2, NCSTN, ITGAM, ITGB2, ICAM1, IL1B, CD40, TRAF1, SQSTM1",NA
"10100",4791,"NFKB2","HighConf","Yes",NA,"IL1B, REL, NFKB1",NA
"10130",57224,"NHSL1","MedConf","Yes",NA,NA,NA
"10363",8013,"NR4A3","HighConf","Yes",NA,NA,NA
"10406",8439,"NSMAF","MedConf","Yes",NA,NA,NA
"10453",51667,"NUB1","MedConf","Yes",NA,NA,NA
"10543",4939,"OAS2","MedConf","Yes",NA,"IRF5, CD44, MT2A, HLA-B, ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, OAS3, PML, ISG15, IFIT1",NA
"10544",4940,"OAS3","MedConf","Yes",NA,"OAS2, IRF5, CD44, MT2A, HLA-B, ICAM1, IFIT3, IFIT2, MX1, HLA-A, GBP1, ISG20, MX2, GBP2, ISG15, PML, IFIT1",NA
"10558",54940,"OCIAD1","MedConf","Yes",NA,NA,NA
"11105",26986,"PABPC1","MedConf","Yes",NA,"HBB, PAIP2, RPL32, RPS19, EIF3K, RPL21, RPL18A, RPS13, RPL38, RPL27A, RPL35, RPL5, RPS23",NA
"11142",51247,"PAIP2","MedConf","Yes",NA,"PABPC1",NA
"11211",83666,"PARP9","MedConf","Yes",NA,NA,NA
"11360",11333,"PDAP1","MedConf","Yes",NA,NA,NA
"11463",5175,"PECAM1","MedConf","Yes",NA,NA,NA
"11508",5209,"PFKFB3","HighConf","Yes",NA,"HK2, FBP2",NA
"11612",55361,"PI4K2A","MedConf","Yes",NA,NA,NA
"11749",5321,"PLA2G4A","MedConf","Yes",NA,"FCER1G, PTGS2, PLD3",NA
"11769",5329,"PLAUR","HighConf","Yes",NA,"ITGAM, ITGB2, VTN, SERPINB2",NA
"11793",23646,"PLD3","HighConf","Yes",NA,"PLA2G4A",NA
"11798",5341,"PLEK","MedConf","Yes",NA,NA,NA
"11890",5371,"PML","MedConf","Yes",NA,"OAS3, OAS2, IRF5, CD44, MT2A, HLA-B, ICAM1, HLA-A, GBP1, GBP2",NA
"12045",5464,"PPA1","HighConf","Yes",NA,NA,NA
"12073",10105,"PPIF","MedConf","Yes",NA,NA,NA
"12108",94274,"PPP1R14A","MedConf","Yes",NA,NA,NA
"12117",170954,"PPP1R18","MedConf","Yes",NA,NA,NA
"12172",5538,"PPT1","MedConf","Yes",NA,"ACSL1, ACSL4",NA
"12432",11168,"PSIP1","MedConf","Yes",NA,NA,NA
"12490",9050,"PSTPIP2","MedConf","Yes",NA,NA,NA
"12526",5743,"PTGS2","HighConf","Yes",NA,"PLA2G4A",NA
"12546",5770,"PTPN1","MedConf","Yes",NA,"STAT5A",NA
"12552",5771,"PTPN2","HighConf","Yes",NA,"UCHL5",NA
"12677",23011,"RAB21","MedConf","Yes",NA,NA,NA
"12796",5903,"RANBP2","MedConf","Yes",NA,"KPNB1",NA
"12875",10741,"RBBP9","HighConf","Yes",NA,NA,NA
"12962",55758,"RCOR3","MedConf","Yes",NA,NA,NA
"12993",5966,"REL","HighConf","Yes",NA,"NFKB2, NFKB1",NA
"13040",23180,"RFTN1","MedConf","Yes",NA,NA,NA
"13055",28984,"RGCC","HighConf","Yes",NA,NA,NA
"13196",8635,"RNASET2","HighConf","Yes",NA,NA,NA
"13341",6142,"RPL18A","MedConf","Yes",NA,"RPS13, RPS19, RPS23, RPL5, RPL32, RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9",NA
"13345",6144,"RPL21","MedConf","Yes",NA,"RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPL18A, RPL32, RPS13, RPL5, RPL27A, RPS19, RPS23",NA
"13348",9349,"RPL23","MedConf","Yes",NA,NA,NA
"13355",6157,"RPL27A","MedConf","Yes",NA,"RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPL18A, RPL32, RPS13, RPS19, RPL5, RPS23",NA
"13356",6158,"RPL28","MedConf","Yes",NA,NA,NA
"13361",6161,"RPL32","MedConf","Yes",NA,"RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS19, RPL5, RPS13, RPS23, RPL18A",NA
"13363",11224,"RPL35","MedConf","Yes",NA,"RPL38, EIF3K, PABPC1, SRP14, SRP9, RPL32, RPL21, RPL18A, RPS13, RPS19, RPS23, RPL5, RPL27A",NA
"13366",6173,"RPL36A","MedConf","Yes",NA,NA,NA
"13370",6169,"RPL38","MedConf","Yes",NA,"EIF3K, PABPC1, SRP14, SRP9, RPL32, RPS23, RPL21, RPL5, RPL35, RPL18A, RPL27A, RPS19, RPS13",NA
"13376",6125,"RPL5","MedConf","Yes",NA,"RPL32, RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPL18A, RPS19, RPS23, RPS13",NA
"13403",6207,"RPS13","MedConf","Yes",NA,"RPS19, RPS23, RPL5, RPL32, RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPL18A",NA
"13410",6222,"RPS18","MedConf","Yes",NA,NA,NA
"13411",6223,"RPS19","MedConf","Yes",NA,"RPS23, RPL5, RPL32, RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPL18A, RPS13",NA
"13416",6228,"RPS23","MedConf","Yes",NA,"RPL5, RPL32, RPL27A, RPL21, RPL35, RPL38, EIF3K, PABPC1, SRP14, SRP9, RPS27L, RPS13, RPL18A, RPS19",NA
"13421",51065,"RPS27L","MedConf","Yes",NA,"RPL21, RPL5, RPS19, RPS23, RPS13, RPL27A",NA
"13611",219285,"SAMD9L","MedConf","Yes",NA,NA,NA
"13744",6386,"SDCBP","MedConf","Yes",NA,NA,NA
"13890",1992,"SERPINB1","MedConf","Yes",NA,NA,NA
"13895",5055,"SERPINB2","HighConf","Yes",NA,"PLAUR",NA
"13902",5272,"SERPINB9","HighConf","Yes",NA,NA,NA
"13990",8879,"SGPL1","MedConf","Yes",NA,NA,NA
"14127",8935,"SKAP2","MedConf","Yes",NA,NA,NA
"14142",57823,"SLAMF7","HighConf","Yes",NA,NA,NA
"14619",6611,"SMS","MedConf","Yes",NA,"KYNU",NA
"14726",6648,"SOD2","HighConf","Yes",NA,NA,NA
"14959",8878,"SQSTM1","MedConf","Yes",NA,"NFKB1, IL1B, GABARAP","Mitophagy - animal (1), NOD-like receptor signaling pathway (1)"
"14981",6727,"SRP14","HighConf","Yes",NA,"SRP9, RPS19, RPL38, RPL35, RPL32, RPS23, RPL27A, RPL5, RPL18A, RPS13, RPL21",NA
"14986",6726,"SRP9","MedConf","Yes",NA,"RPS19, RPL27A, RPS23, SRP14, RPL32, RPL18A, RPS13, RPL38, RPL35, RPL5, RPL21",NA
"15115",6776,"STAT5A","HighConf","Yes",NA,"NCSTN, CD40, PTPN1, CBL",NA
"15191",8676,"STX11","HighConf","Yes",NA,NA,NA
"15242",25870,"SUMF2","MedConf","Yes",NA,NA,NA
"15252",11198,"SUPT16H","MedConf","Yes",NA,"TOP1",NA
"15696",7045,"TGFBI","HighConf","Yes",NA,"ITGB2, ITGAM, CST3, LYZ",NA
"15796",51300,"TIMMDC1","MedConf","Yes",NA,NA,NA
"15864",51372,"TMA7","MedConf","Yes",NA,NA,NA
"16162",7127,"TNFAIP2","HighConf","Yes",NA,NA,NA
"16165",25816,"TNFAIP8","HighConf","Yes",NA,NA,NA
"16204",79931,"TNIP3","HighConf","Yes",NA,NA,NA
"16240",10043,"TOM1","MedConf","Yes",NA,NA,NA
"16253",7150,"TOP1","MedConf","Yes",NA,"SUPT16H",NA
"16331",7185,"TRAF1","HighConf","Yes",NA,"NFKB1, CD40",NA
"16728",1890,"TYMP","MedConf","Yes",NA,"UPP1",NA
"16825",23352,"UBR4","MedConf","Yes",NA,"USP9X",NA
"16836",23190,"UBXN4","MedConf","Yes",NA,NA,NA
"16841",51377,"UCHL5","MedConf","Yes",NA,"PTPN2",NA
"16931",7378,"UPP1","MedConf","Yes",NA,"TYMP",NA
"17015",8239,"USP9X","MedConf","Yes",NA,"UBR4, ZYX",NA
"17024",51096,"UTP18","HighConf","Yes",NA,NA,NA
"17045",8673,"VAMP8","MedConf","Yes",NA,NA,NA
"17172",7448,"VTN","MedConf","Yes",NA,"PLAUR",NA
"17187",7453,"WARS","HighConf","Yes",NA,NA,NA
"17512",56829,"ZC3HAV1","MedConf","Yes",NA,NA,NA
"17579",677,"ZFP36L1","MedConf","Yes",NA,NA,NA
"17918",137209,"ZNF572","HighConf","Yes",NA,NA,NA
"18146",7791,"ZYX","MedConf","Yes",NA,"USP9X, FSCN1",NA
