"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Lysosome",0,0,0,123,13,2,"LIPA, ACP5","NPC2, CLTA, CTSB, CTSH, CTSZ, GM2A, IGF2R, ATP6AP1, PPT1, LGMN, CD63",0.13
"2","NOD-like receptor signaling pathway",0,0.001,0.001,168,12,6,"NAMPT, GBP1, IL1B, NFKB1, CCL5, TXN","GABARAP, CTSB, GBP2, OAS2, OAS3, STAT1",0.286
"3","Hematopoietic cell lineage",0,0.001,0.002,96,9,4,"IL1A, IL1B, TFRC, CD36","ITGAM, CD1A, CD1C, CD9, CD44",0.269
"4","NF-kappa B signaling pathway",0,0.001,0.002,94,9,8,"ICAM1, IL1B, CCL4L1, NFKB1, NFKB2, PTGS2, TRAF1, CD40","DDX58",0.492
"5","Ferroptosis",0,0.001,0.005,40,6,5,"ACSL1, ACSL4, FTH1, HMOX1, TFRC","FTL",0.492
"6","Phagosome",0,0.003,0.016,151,10,3,"MRC1, TFRC, CD36","CD209, HLA-A, HLA-B, ITGAM, ITGB2, NCF2, ATP6AP1",0.183
"7","Osteoclast differentiation",0,0.003,0.022,127,9,5,"IL1A, IL1B, NFKB1, NFKB2, ACP5","LCP2, NCF2, STAT1, SQSTM1",0.313
"8","Necroptosis",0,0.004,0.03,163,10,4,"FTH1, IL1A, IL1B, STAT5A","FTL, PLA2G4A, EIF2AK2, STAT1, CAMK2D, SQSTM1",0.231
"9","Toll-like receptor signaling pathway",0,0.004,0.032,104,8,5,"IL1B, CCL4L1, NFKB1, CCL5, CD40","IRF5, CCL3, STAT1",0.351
"10","Endocytosis",0,0.005,0.05,243,12,2,"EHD1, TFRC","CLTA, DAB2, EHD4, HLA-A, HLA-B, IGF2R, PML, SRC, CBL, SNX3",0.108
"11","Cell adhesion molecules (CAMs)",0,0.005,0.056,143,9,3,"CD274, ICAM1, CD40","GLG1, HLA-A, HLA-B, ITGAM, ITGB2, PECAM1",0.198
"12","TNF signaling pathway",0.001,0.019,0.24,108,7,7,"ICAM1, IL1B, NFKB1, PTGS2, CCL5, CCL20, TRAF1","",0.532
"13","Complement and coagulation cascades",0.001,0.019,0.246,79,6,2,"SERPINB2, PLAUR","ITGAM, ITGAX, ITGB2, VTN",0.205
"14","Cytosolic DNA-sensing pathway",0.002,0.039,0.541,63,5,4,"IL1B, CCL4L1, NFKB1, CCL5","DDX58",0.44
"15","Natural killer cell mediated cytotoxicity",0.002,0.041,0.614,127,7,1,"ICAM1","FCER1G, HLA-A, HLA-B, ITGB2, LCP2, CD48",0.099
"16","Tryptophan metabolism",0.003,0.041,0.654,40,4,3,"IL4I1, IDO1, KYNU","KMO",0.425
"17","HIF-1 signaling pathway",0.003,0.044,0.783,99,6,4,"HMOX1, NFKB1, PFKFB3, TFRC","HK2, CAMK2D",0.364
"18","AGE-RAGE signaling pathway in diabetic complications",0.003,0.044,0.783,99,6,5,"ICAM1, IL1A, IL1B, NFKB1, STAT5A","STAT1",0.447
"19","Type I diabetes mellitus",0.003,0.045,0.854,43,4,2,"IL1A, IL1B","HLA-A, HLA-B",0.297
"20","PPAR signaling pathway",0.004,0.049,0.971,72,5,4,"FABP5, ACSL1, ACSL4, CD36","FABP4",0.435
"21","Antigen processing and presentation",0.004,0.049,1,73,5,1,"CD74","CTSB, HLA-A, HLA-B, LGMN",0.134
"22","Chemokine signaling pathway",0.005,0.062,1,185,8,4,"CCL4L1, NFKB1, CCL5, CCL20","HCK, CCL3, SRC, STAT1",0.272
"23","Mineral absorption",0.006,0.069,1,51,4,3,"FTH1, HMOX1, MT2A","FTL",0.414
"24","Antifolate resistance",0.01,0.105,1,31,3,2,"IL1B, NFKB1","GGH",0.382
"25","Fructose and mannose metabolism",0.012,0.12,1,33,3,2,"PFKFB3, FBP2","HK2",0.379
"26","Alanine, aspartate and glutamate metabolism",0.014,0.136,1,35,3,3,"IL4I1, GFPT1, GLS","",0.543
"27","Apoptosis",0.015,0.136,1,138,6,2,"NFKB1, TRAF1","CTSB, CTSH, CTSZ, LMNB1",0.188
"28","Fatty acid biosynthesis",0.015,0.136,1,13,2,2,"ACSL1, ACSL4","",0.577
"29","Adipocytokine signaling pathway",0.018,0.152,1,69,4,4,"ACSL1, ACSL4, NFKB1, CD36","",0.529
"30","Prolactin signaling pathway",0.019,0.152,1,70,4,2,"NFKB1, STAT5A","SRC, STAT1",0.279
"31","RIG-I-like receptor signaling pathway",0.019,0.152,1,70,4,3,"NFKB1, IFIH1, ISG15","DDX58",0.404
"32","Leukocyte transendothelial migration",0.024,0.184,1,112,5,1,"ICAM1","ITGAM, ITGB2, NCF2, PECAM1",0.122
"33","Cellular senescence",0.029,0.215,1,159,6,2,"IL1A, NFKB1","HLA-A, HLA-B, ZFP36L1, SQSTM1",0.186
"34","Fatty acid metabolism",0.033,0.239,1,48,3,2,"ACSL1, ACSL4","PPT1",0.365
"35","ErbB signaling pathway",0.035,0.252,1,85,4,1,"STAT5A","SRC, CAMK2D, CBL",0.149
"36","IL-17 signaling pathway",0.047,0.324,1,93,4,4,"IL1B, NFKB1, PTGS2, CCL20","",0.522
