"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","MAPK signaling pathway",0,0,0,252,48,17,"DUSP5, DUSP6, ELK4, FGF7, FGFR3, TAB2, JUN, KRAS, MOS, PDGFRB, RAP1A, MAP3K7, TNFRSF1A, CACNA2D1, CACNB4, JMJD7-PLA2G4B, CD14","DUSP10, MAP3K8, DUSP7, EGFR, FGF8, FGF9, FGF10, FGF12, MRAS, PLA2G4D, NR4A1, IKBKB, IL1A, IL1B, STMN1, MAX, MAP3K3, TAOK3, PDGFRA, PLA2G4A, PPP3R2, MAPK13, MAP2K6, RELA, BRAF, TGFB2, CACNA1C, MAPKAPK3, CACNA2D2, CDC25B, CDC42",0.272
"2","Rap1 signaling pathway",0,0,0,209,41,10,"CSF1R, CTNND1, FGF7, FGFR3, ITGB3, KRAS, PLCE1, PDGFRB, RAP1A, PIK3R3","RAPGEF3, DRD2, EFNA2, EGFR, FGF8, FGF9, FGF10, FGF12, MRAS, FLT4, LAT, GNAI3, GNAO1, LPAR4, PFN3, ITGAM, ITGB1, NGFR, PDGFRA, PFN1, PLCB4, PRKD1, MAPK13, MAP2K6, PARD3, BRAF, TLN2, PARD6G, SKAP1, RAPGEF5, CDC42",0.22
"3","PI3K-Akt signaling pathway",0,0,0,336,66,21,"COL1A2, CREB1, CSF1R, FGF7, FGFR3, GNG4, GYS2, IL3, IL3RA, ITGB3, KRAS, PDGFRB, PPP2CB, PPP2R5E, BCL2L1, TLR4, HSP90B1, YWHAG, PIK3R3, CCND2, CCND3","CREB3, CHRM2, COL4A2, COL4A3, COL6A1, ATF6B, EFNA2, EGFR, EIF4B, EPO, FGF8, FGF9, FGF10, FGF12, FLT4, G6PC, GH2, GNG3, GNG10, LPAR4, NR4A1, TNC, IFNA13, IFNA14, IFNA16, IKBKB, ITGA1, ITGA5, ITGAV, ITGB1, LAMA4, LAMA5, NGFR, PDGFRA, PDPK1, PPP2R5A, PKN2, PRL, RELA, TNN, SYK, TLR2, YWHAH, CCNE1, CREB3L1",0.257
"4","Toll-like receptor signaling pathway",0,0,0,104,28,11,"TIRAP, TAB2, LY96, IL12A, JUN, MYD88, STAT1, MAP3K7, TLR4, PIK3R3, CD14","MAP3K8, TICAM1, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, CXCL8, IRAK1, TOLLIP, MAPK13, MAP2K6, RELA, CCL3, CXCL11, TLR2, RIPK1",0.331
"5","RNA transport",0,0,0,156,41,11,"EIF1, NXF1, EIF2S1, EIF4G1, EIF4G2, ACIN1, RPP25, SUMO3, EIF3A, EIF2S2, RBM8A","SRRM1, SAP18, TACC3, RPP40, RPP25L, PABPC5, EIF2S3, EIF4A1, EIF4B, NUP188, CYFIP2, NXT1, PABPC1L2A, NUP43, ELAC1, THOC2, RANBP2, RANGAP1, RGPD2, UBE2I, THOC7, RAE1, EIF3B, EIF3I, EIF3J, PABPC4, EIF2B3, NUP210L, NUP155, THOC1",0.266
"6","Spliceosome",0,0,0,128,31,14,"LSM6, HNRNPA1L2, CCDC12, SNW1, ACIN1, SF3B1, HNRNPC, SF3B6, SRSF1, SNRPC, SNRPD3, PHF5A, PRPF38A, RBM8A","BCAS2, PPIH, PRPF8, SF3B2, LSM4, PRPF31, HNRNPM, PLRG1, XAB2, THOC2, SRSF2, SRSF3, TRA2B, EFTUD2, CDC5L, THOC1",0.347
"7","Regulation of actin cytoskeleton",0,0,0,210,43,12,"CFL1, FGF7, FGFR3, ITGB3, KRAS, MOS, PDGFRB, PXN, PIK3R3, MYLK2, CD14, ARHGEF6","ARPC1B, CFL2, CHRM2, DIAPH1, EGFR, SPATA13, FGF8, FGF9, FGF10, FGF12, MRAS, PIP5K1C, CYFIP2, GIT1, MYLPF, PFN3, ITGA1, ITGA5, ITGAM, ITGAV, ITGB1, PDGFRA, PFN1, SSH3, MYL7, BDKRB1, BDKRB2, BRAF, VCL, MYH14, CDC42",0.242
"8","Proteasome",0,0,0,44,29,19,"POMP, PSMA2, PSMA4, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMC1, PSMC2, PSMC3, PSMC5, PSMD1, PSMD2, PSMD3, PSMD7, PSMD8, PSMD11","PSMA1, PSMA3, PSMA5, PSMB5, PSMB9, PSMC4, PSMC6, PSMD12, PSMF1, PSMD6",0.657
"9","Cytokine-cytokine receptor interaction",0,0,0,266,52,11,"CCR8, CSF1R, IL3, IL3RA, IL12A, PDGFRB, CCL7, THPO, TNFRSF1A, CXCR4, PLEKHO2","CXCL13, EDAR, CNTFR, CSF2, CX3CR1, EDA, EGFR, EPO, FLT4, GH2, CXCR3, IL19, IFNA13, IFNA14, IFNA16, IL1A, IL1B, CXCL8, IL12RB2, TNFRSF9, IL17A, NGFR, IL21R, IL22, PDGFRA, PF4, PRL, TNFRSF17, CCL3, CCL13, CCL15, CCL18, CXCL11, CXCR5, BMP7, BMPR1B, XCL2, TGFB2, TNFRSF4, TNFRSF11A, TNFRSF8",0.204
"10","NF-kappa B signaling pathway",0,0,0,93,28,13,"TIRAP, CSNK2A2, ERC1, TAB2, LY96, ICAM1, MYD88, BCL2L1, MAP3K7, TLR4, TNFRSF1A, CFLAR, CD14","PARP1, TICAM1, TAB3, LAT, IKBKB, IL1B, CXCL8, IRAK1, RELA, CCL13, SYK, UBE2I, CARD11, RIPK1, TNFRSF11A",0.383
