"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Endocytosis",0,0,0,238,102,81,"Ldlrap1, Arap3, Vps37c, Arrb1, Ap2a2, Arf1, Arf3, Arf5, Capza1, Capza2, Cdc42, Cxcr4, Ccr5, Epn1, Epn2, Acap3, Grk4, H2-D1, H2-K1, H2-L, H2-M3, H2-Q4, H2-T10, H2-T23, H2-T24, Il2ra, Il2rg, Kif5a, Kif5b, Kif5c, Smad3, Mdm2, Rab8a, Pip5k1c, Prkci, Pld1, Pml, Rab10, Rab22a, Rab5b, Rab5c, Hspa1a, Src, Cblb, Arfgef1, Asap2, Agap3, Rab11fip3, Psd4, Arrb2, Tgfbr1, Snx32, Asap3, Iqsec1, Iqsec2, Ehd2, Grk6, Rab5a, Fam21, Bin1, A230046K03Rik, Agap1, Sh3glb1, Sh3kbp1, Vta1, Smurf2, 2610002M06Rik, Chmp1b, Arpc5, Snx2, Chmp2a, Vps26b, Ap2b1, Ist1, Mvb12b, Rab11fip2, Chmp4b, Rab11fip1, Chmp5, Rbsn, Ehd4","Ap2a1, Rhoa, Grk5, Pip5k1b, Pld2, Cyth1, Sh3glb2, Zfyve9, Git2, Snf8, Zfyve27, Vps37b, Pard6a, Pard6b, Ccdc53, Rnf41, Stambp, Snx6, Wasl, Arpc2, Arfgef2",0.611
"2","RIG-I-like receptor signaling pathway",0,0,0,52,33,24,"Isg15, Casp8, Cxcl10, Nfkb1, Nfkbia, Nfkbib, Tank, Trim25, Tnf, Traf2, Ddx58, Map3k1, Mapk14, Mapk9, Nlrx1, Azi2, Irf7, Otud5, Tbk1, Sike1, Ifih1, Tbkbp1, Cyld, Dhx58","Atg5, Fadd, Rela, Traf3, Mavs, Map3k7, Mapk8, Irf3, Ikbke",0.681
"3","Osteoclast differentiation",0,0,0,119,56,42,"Akt2, Socs3, Socs1, Csf1, Fcgr1, Fyn, Lilrb4a, Ifnar1, Ifnar2, Ifngr1, Irf9, Junb, Lck, Lcp2, Mitf, Nfatc2, Nfkb1, Nfkbia, Pik3ca, Pik3cd, Pik3r2, Pirb, Ppp3cb, Sirpa, Stat1, Stat2, Tgfbr1, Tnf, Tnfrsf11a, Tnfrsf1a, Traf2, Akt3, Fcgr4, Map2k1, Map2k7, Mapk14, Mapk9, Map3k14, Tyk2, Tab1, Tab2, Cyld","Akt1, Btk, Itgb3, Jak1, Jun, Jund, Nfkb2, Pik3r1, Ppp3ca, Ppp3r1, Rela, Map3k7, Mapk8, Sirpb1b",0.61
"4","MAPK signaling pathway",0,0,0,211,99,74,"Arrb1, Raf1, Akt2, Cacna1a, Cacnb1, Cacnb2, Casp3, Cdc25b, Cdc42, Crk, Crkl, Daxx, Gadd45a, Dusp2, Fas, Gna12, Gng12, Kras, Mapkapk2, Max, Mef2c, Mknk2, Mras, Gadd45b, Nfkb1, Nlk, Nras, Prkaca, Pla2g4a, Ppm1b, Ppp3cb, Dusp1, Hspa1a, Rps6ka1, Sos1, Rap1b, Arrb2, Tgfbr1, Tnf, Tnfrsf1a, Traf2, Map4k3, Akt3, Gadd45g, Mapk7, Rasgrp3, Dusp5, Map2k1, Map2k4, Map2k7, Map3k1, Map3k12, Map3k2, Map3k3, Map3k4, Map3k8, Map4k2, Mapk14, Mapk9, Flnb, Cacna2d4, Ptpn7, Taok3, Map3k6, Map3k14, Dusp10, Zak, Tab1, Tab2, Dusp16, Dusp3, Rps6ka5, Dusp9, Rapgef2","Akt1, Egf, Elk1, Jun, Jund, Rac3, Nfatc3, Nfkb2, Ppp3ca, Ppp3r1, Ppp5c, Mapk8ip1, Rasgrp2, Rela, Rras, Sos2, Rasa1, Map3k11, Map3k7, Mapk8, Ecsit, Mapk8ip3, Stk3, Dusp6, Flnc",0.608
"5","Chemokine signaling pathway",0,0,0,155,70,54,"Arrb1, Raf1, Adcy7, Adcy9, Akt2, Cdc42, Cxcr3, Cxcr4, Ccr5, Crk, Crkl, Elmo1, Ptk2, Gnb4, Gnb5, Gng12, Grk4, Hck, Cxcl10, Jak2, Kras, Lyn, Cxcl9, Nfkb1, Nfkbia, Nfkbib, Nras, Pik3ca, Pik3cd, Pik3r2, Prkaca, Plcb3, Ptk2b, Rock1, Rock2, Ccl12, Ccl3, Ccl4, Ccl5, Ccl9, Shc1, Sos1, Src, Stat1, Stat2, Stat3, Rap1b, Arrb2, Tiam1, Vav2, Akt3, Grk6, Map2k1, Foxo3","Akt1, Rhoa, Ccr1, Ccr1l1, Ccr7, Gnb1, Grk5, Pik3r1, Rasgrp2, Rela, Ccl7, Ccl8, Sos2, Stat5b, Wasl, Cxcr6",0.612
"6","Autophagy - animal",0,0,0,122,72,52,"Atg14, Raf1, Akt2, Bcl2, Bnip3, Cflar, Dapk3, Eif2ak3, Itpr1, Kras, Lamp2, Mras, Nras, Igbp1, Pdpk1, Pik3ca, Pik3cd, Pik3r2, Prkaca, Pten, Camkk2, Atg9b, Ulk1, Vamp8, Pik3c3, Ambra1, Atg4d, Akt3, Atg4c, Map2k1, Mapk9, Eif2ak4, Ulk2, Atg2a, Atg13, Rragd, Rragc, Sh3glb1, Mlst8, Supt20, Tsc1, Akt1s1, Trp53inp2, Dapk1, Atg7, Wipi2, Atg2b, Atg16l1, Uvrag, Ern1, Mtmr14, Deptor","Akt1, Atg5, Rb1cc1, Hif1a, Mtmr4, Pik3r1, Ppp2ca, Rras, Stk11, Zfyve1, Map3k7, Mapk8, Wipi1, Becn1, Gabarapl1, Snap29, Stx17, Atg3, Atg101, Atg16l2",0.656
"7","Cellular senescence",0,0,0,159,76,62,"Traf3ip2, Fbxw11, Raf1, Akt2, Atm, Zfp36l1, Zfp36l2, Ccnd2, Ccne2, Cdk2, Cdkn1a, Cdkn2b, Gadd45a, E2f1, Foxm1, H2-D1, H2-K1, H2-L, H2-M3, H2-Q4, H2-T10, H2-T23, H2-T24, Hus1, Itpr1, Itpr2, Kras, Smad3, Mapkapk2, Mdm2, Mras, Gadd45b, Nfatc2, Nfkb1, Nras, Pik3ca, Pik3cd, Pik3r2, Serpine1, Ppp1cc, Ppp3cb, Pten, Rad1, Rad50, Rb1, Rbl1, Rbl2, Mcu, Lin52, Tgfbr1, Vdac3, Akt3, Ets1, Gadd45g, E2f2, Map2k1, Mapk14, Chek2, Foxo1, Foxo3, Tsc1, Sirt1","Akt1, Capn2, Ccna2, Cdc25a, E2f5, Il6, Nfatc3, Pik3r1, Ppp3ca, Ppp3r1, Rad9a, Rela, Rras, Ppid",0.647
"8","AMPK signaling pathway",0,0,0,108,53,39,"Prkag2, Akt2, Cab39, Cpt1a, Eef2k, Fasn, Gys1, Insr, Lipe, Pfkfb3, Rab8a, Pdpk1, Pfkfb2, Pik3ca, Pik3cd, Pik3r2, Prkag1, Rab10, Scd2, Camkk2, Creb3l2, Ppp2r5d, Ulk1, Ppp2r5a, Creb5, Akt3, Pfkfb4, Ppp2r1a, Pfkp, Foxo1, Foxo3, Tbc1d1, Tsc1, Akt1s1, Adipor2, Cab39l, Ppp2r2a, Adipor1, Sirt1","Prkab2, Akt1, Ccna2, Creb3, Pfkl, Pfkm, Pik3r1, Ppp2ca, Prkab1, Stk11, Stradb, Map3k7, Mlycd, Pck2",0.613
"9","Mitophagy - animal",0,0,0,61,38,26,"Bnip3, Bnip3l, Csnk2b, E2f1, Eif2ak3, Usp15, Kras, Mitf, Mras, Cited2, Nbr1, Nras, Sp1, Src, Atg9b, Tfeb, Rhot2, Ulk1, Ambra1, Tbc1d17, Mapk9, Tax1bp1, Tbk1, Foxo3, Rhot1, Optn","Usp30, Atg5, Csnk2a1, Hif1a, Jun, Rela, Rras, Mapk8, Becn1, Gabarapl1, Fis1, Pink1",0.654
"10","Phosphatidylinositol signaling system",0,0,0,90,48,38,"Inpp5f, Synj1, Dgkz, Pip4k2b, Pip4k2c, Dgka, Inpp1, Inpp5b, Inpp5d, Itpr1, Itpr2, Mtm1, Pik3c2a, Pik3ca, Pik3cd, Pik3r2, Pikfyve, Pip5k1c, Plcb3, Plcg1, Inpp5k, Pten, Synj2, Inpp5a, Tmem55b, Mtmr6, Pik3c3, Ppip5k2, Itpkb, Ppip5k1, Dgkh, Inpp5e, Pi4k2b, Tmem55a, Cds1, Ippk, Pi4k2a, Mtmr14","Mtmr4, Pik3r1, Pip5k1b, Itpk1, Dgkd, Ip6k1, Ipmk, Plcd3, Ip6k2, Sacm1l",0.662
"11","NOD-like receptor signaling pathway",0,0,0,148,80,64,"Nod1, Birc3, Birc2, Xiap, Bcl2, Casp1, Casp4, Casp8, Gbp2, Ifi204, Ifnar1, Ifnar2, Il18, Irf9, Itpr1, Itpr2, Myd88, Naip5, Naip6, Nfkb1, Nfkbia, Nfkbib, P2rx7, Plcb3, Ripk2, Ccl12, Ccl5, Stat1, Stat2, Tank, Mcu, Dhx33, Tnf, Tnfaip3, Traf2, Txn1, Vdac3, Gbp5, Gbp7, Oas1b, Oas3, Oas1a, Nod2, Mapk14, Mapk9, Irak4, Rnf31, Nlrc4, Nlrx1, Trp53bp1, Card9, Aim2, Irf7, Tyk2, Gbp3, Panx1, Tbk1, Nampt, Nek7, Tab1, Tab2, Gsdmd, Dnm1l, Atg16l1","Atg5, Rhoa, Cybb, Fadd, Il6, Jak1, Jun, Rela, Traf3, Mavs, Map3k7, Mapk8, Irf3, Ikbke, Gabarapl1, Pycard",0.67
"12","Prolactin signaling pathway",0,0,0,56,35,28,"Raf1, Akt2, Ccnd2, Socs3, Socs1, Galt, Irf1, Jak2, Kras, Nfkb1, Nras, Pik3ca, Pik3cd, Pik3r2, Socs7, Shc1, Sos1, Src, Stat1, Stat3, Stat5a, Tnfrsf11a, Akt3, Map2k1, Mapk14, Mapk9, Socs5, Foxo3","Akt1, Pik3r1, Rela, Sos2, Stat5b, Mapk8, Socs6",0.712
"13","Necroptosis",0,0,0,131,62,49,"Camk2d, Birc3, Birc2, Xiap, Bcl2, Bid, Camk2g, Casp1, Casp8, Cflar, Fas, Tlr3, Glul, H2afx, Ifnar1, Ifnar2, Ifngr1, Irf9, Jak2, Pla2g4a, Eif2ak2, Stat1, Stat2, Stat3, Stat5a, Stat6, Tnf, Tnfaip3, Tnfrsf1a, Traf2, Tnfsf10, Vdac3, Ticam2, Parp3, Mapk9, Rnf31, H2afy, Hist3h2a, Parp4, Tyk2, Zbp1, 2610002M06Rik, Chmp1b, Chmp2a, Dnm1l, Cyld, Mlkl, Chmp4b, Chmp5","Pygl, Parp1, Capn2, Cybb, Fadd, Jak1, Stat5b, Tnfrsf10b, Mapk8, H2afz, Pycard, Ppid, Il33",0.632
