"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","replicate1","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"A1BG",1,6,0.29459,0.82525,0.8586,0.99732,0.40923,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.27229,0.6203,0.92593,0.99913,0.53506,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.32386,0.82179,0.77232,0.99578,0.4112,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.20053,0.50073,0.85634,0.99732,0.61656,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.21847,0.45521,0.90957,0.99913,0.64896,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.51214,1.1754,0.30728,0.9671,0.23983,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.15289,0.45576,0.7201,0.9938,0.64856,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.64074,0.95591,0.12707,0.86855,0.33912,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.33177,0.7743,0.74932,0.9938,0.43875,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,6,0.36168,0.94898,0.66461,0.9938,0.34263,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.39882,0.7609,0.561,0.98583,0.44672,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.45086,0.75611,0.43043,0.97881,0.44958,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.025161,0.068021,0.40614,0.97543,0.94577,0.98646,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.37171,0.90382,0.63612,0.99181,0.36609,0.94395,0,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",195827,6,0.32479,0.55039,0.769,0.99494,0.58205,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,-0.19579,-0.68729,0.10614,0.83533,0.4919,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,6,0.74244,1.0174,0.054616,0.72655,0.30894,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.16854,0.25921,0.76453,0.99494,0.79547,0.95561,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,-0.2999,-0.96159,0.050007,0.70592,0.33625,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.33095,0.80034,0.75167,0.9938,0.42351,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,-0.014746,-0.033629,0.32889,0.97005,0.97317,0.99355,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,6,0.31252,0.71265,0.805,0.99668,0.47606,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,-0.291,-0.98546,0.054247,0.72655,0.3244,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARS2",57505,6,0.35643,0.71878,0.67871,0.9938,0.47227,0.94395,0,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARSD1",80755,6,0.23111,0.74751,0.94926,0.99913,0.45475,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,6,0.54459,1.1179,0.25022,0.95129,0.26361,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.42128,0.97791,0.50399,0.98209,0.32812,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.054505,0.12548,0.4691,0.98105,0.90015,0.97682,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.1804,0.43771,0.79771,0.99598,0.66159,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,-0.15186,-0.48394,0.14361,0.88655,0.62843,0.94395,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,6,0.44127,0.83434,0.45264,0.98007,0.40409,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.36276,0.93053,0.66157,0.9938,0.3521,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.52501,1.0121,0.28313,0.95663,0.31147,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.43564,0.87273,0.46707,0.98057,0.38281,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.35957,0.66328,0.67078,0.9938,0.50715,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,-0.032316,-0.07818,0.29811,0.96409,0.93769,0.98505,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,6,0.005995,0.015008,0.3683,0.97382,0.98803,0.99765,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.77121,1.2294,0.042448,0.67325,0.21894,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA5",23461,6,0.44593,1.1707,0.44296,0.97974,0.24171,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.42058,0.8468,0.50583,0.98209,0.39711,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.28718,0.6864,0.88183,0.9983,0.49246,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.48192,1.2353,0.36415,0.97382,0.2167,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,6,0.83182,1.1832,0.022768,0.53989,0.23673,0.94395,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCB1",5243,6,0.50291,0.85281,0.32438,0.96993,0.39376,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.30345,0.76102,0.83127,0.99668,0.44664,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.55642,0.73846,0.23155,0.94724,0.46024,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.31331,0.61789,0.80283,0.99668,0.53665,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,6,0.55005,1.2613,0.24142,0.9507,0.20721,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.15847,0.46936,0.73572,0.9938,0.63881,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,-0.18517,-0.51214,0.11462,0.85065,0.60855,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.2608,0.58156,0.96156,0.9993,0.56087,0.94395,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
