"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","RNA transport",0,0,0,161,39,9,"POM121C, RPP38, KPNB1, POP5, PHAX, RAN, RPP21, NUP93, NUP153","SNUPN, EIF1, POP7, RNPS1, RPP25L, EIF1AX, EIF2S3, EIF4G1, FMR1, NUP62, GEMIN5, NCBP1, NUP98, NDC1, NXT2, RANGAP1, UPF1, SMN1, UBE2I, XPO1, DDX39B, NUP85, THOC3, EIF3A, EIF3D, EIF2B4, EIF2B2, NUP155, EIF4A3, RBM8A",0.237
"2","Ribosome",0,0,0,133,60,34,"RPS10-NUDT3, MRPL3, RPL13A, RPL36, RSL24D1, RPL3, RPL6, RPL7A, RPL8, RPL10, RPL11, RPL13, RPL15, RPL17, RPL18A, RPL19, RPL23A, RPL29, RPL32, RPL37, RPL37A, RPLP2, RPS4X, RPS5, RPS11, RPS14, RPS15A, RPS18, RPS19, RPS23, RPS27, RPS29, RPL23, MRPL33","RPL17-C18orf32, MRPL28, MRPL10, MRPL13, MRPS16, MRPS21, MRPL16, MRPL20, RPL9, RPL21, RPL24, RPL30, RPL28, RPL34, RPLP0, RPLP1, RPS3A, RPS16, RPS17, RPS24, RPS25, RPS26, RPS28, MRPS15, MRPL36, RPL14",0.509
"3","Nucleotide excision repair",0,0,0,46,13,5,"ERCC2, PCNA, POLE3, RFC5, RPA1","POLD3, DDB1, ERCC5, GTF2H2, POLE2, RAD23B, RFC4, RPA3",0.334
"4","Spliceosome",0,0,0,129,41,15,"SF3B4, TXNL4A, SNRNP27, SNW1, PRPF19, HNRNPC, HSPA8, PRPF38B, SRSF2, TRA2B, SNRPD1, SNRPD3, SNRPF, BUD31, PRPF4","PRPF8, SRSF10, U2AF2, DHX15, HNRNPA3, SF3B1, HNRNPK, NCBP1, PRPF40A, LSM2, SRSF1, SRSF3, SRSF7, SNRNP70, SNRPA1, SNRPC, SNRPG, DDX39B, SF3A2, SF3B5, THOC3, PHF5A, PRPF3, EIF4A3, CDC5L, RBM8A",0.342
"5","Aminoacyl-tRNA biosynthesis",0,0,0,43,12,5,"FARSB, NARS, SARS2, IARS2, YARS","DARS, FARSA, LARS2, SEPSECS, DARS2, CARS2, MARS2",0.348
"6","Cell cycle",0,0,0,124,22,7,"MYC, PCNA, RBL2, CDC45, CDC16, CCND3, CDC20","SMC1B, ANAPC2, MAD2L1, MCM7, ANAPC5, PLK1, YWHAG, YWHAH, CCNB3, CDC23, CCNA2, PKMYT1, SMC3, BUB3, PTTG1",0.248
"7","Ribosome biogenesis in eukaryotes",0,0,0,73,21,7,"AK6, RPP38, SPATA5, DROSHA, EIF6, POP5, RAN","POP7, UTP14A, RPP25L, FBL, WDR43, MDN1, NOP58, HEATR1, NHP2, NXT2, PWP2, XPO1, UTP15, IMP4",0.311
"8","Proteasome",0,0,0,44,12,3,"PSMA4, PSMA6, PSMB3","PSMD14, IFNG, PSMB4, PSMB7, PSMC1, PSMC3, PSMC6, PSMD7, PSMD12",0.261
"9","DNA replication",0,0,0,35,11,4,"PCNA, POLE3, RFC5, RPA1","RNASEH2A, POLD3, MCM7, POLE2, PRIM1, RFC4, RPA3",0.339
"10","Pyrimidine metabolism",0,0,0.001,101,18,9,"DTYMK, ZNRD1, POLR3K, POLE3, POLR2D, POLR2E, POLR2I, POLR2L, RRM2","POLD3, POLR3A, POLR3H, DHODH, DUT, POLE2, PRIM1, CAD, POLR1B",0.339
"11","mRNA surveillance pathway",0,0,0.001,85,16,2,"BCL2L2-PABPN1, PELO","RNPS1, NUDT21, CSTF3, SSU72, NCBP1, PCF11, PPP1CB, NXT2, UPF1, DDX39B, SYMPK, RNMT, EIF4A3, RBM8A",0.157
"12","RNA degradation",0,0,0.001,73,15,5,"BTG3, ENO1, ENO3, HSPA9, EXOSC10","EXOSC6, DHX36, EXOSC7, EDC4, DCPS, EXOSC3, PFKP, LSM2, PAPD5, TTC37",0.269
"13","RNA polymerase",0,0,0.004,31,9,6,"ZNRD1, POLR3K, POLR2D, POLR2E, POLR2I, POLR2L","POLR3A, POLR3H, POLR1B",0.478
"14","Carbon metabolism",0,0,0.004,113,18,5,"ENO1, ENO3, GAPDH, SDHD, TPI1","DLD, ALDOA, GPI, PGP, IDH2, ACO1, ACO2, PFKP, PGAM1, SDHC, TKTL1, TKTL2, ACSS1",0.219
"15","Biosynthesis of amino acids",0,0.001,0.01,69,13,5,"ENO1, ENO3, GAPDH, ALDH18A1, TPI1","ALDOA, IDH2, ACO1, ACO2, PFKP, PGAM1, TKTL1, TKTL2",0.287
"16","Oocyte meiosis",0,0.001,0.024,118,17,3,"SPDYE5, CDC16, CDC20","SMC1B, ANAPC2, MAD2L1, ANAPC5, PLK1, PPP1CB, PRKACA, YWHAG, YWHAH, CAMK2B, CDC23, PKMYT1, SMC3, PTTG1",0.16
"17","Mismatch repair",0,0.002,0.026,23,7,3,"PCNA, RFC5, RPA1","POLD3, MLH3, RFC4, RPA3",0.366
"18","Ubiquitin mediated proteolysis",0,0.006,0.113,134,17,4,"PRPF19, CDC16, UBE2M, CDC20","UBA2, STUB1, DDB1, NEDD4L, CBLC, ANAPC2, ANAPC5, UBE2A, UBE2I, UBE2N, CDC23, UBA3, KEAP1",0.181
"19","Progesterone-mediated oocyte maturation",0.001,0.012,0.232,94,13,2,"SPDYE5, CDC16","GNAI2, ANAPC2, MAD2L1, ANAPC5, PIK3CA, PLK1, PRKACA, CCNB3, CDC23, CCNA2, PKMYT1",0.146
"20","Purine metabolism",0.001,0.013,0.262,170,19,11,"AK6, PAICS, GUK1, ZNRD1, POLR3K, POLE3, POLR2D, POLR2E, POLR2I, POLR2L, RRM2","POLD3, POLR3A, AK7, POLR3H, POLE2, PRIM1, ALLC, POLR1B",0.345
"21","Glycolysis / Gluconeogenesis",0.002,0.021,0.443,66,10,4,"ENO1, ENO3, GAPDH, TPI1","DLD, ALDOA, GPI, PFKP, PGAM1, ACSS1",0.276
"22","Citrate cycle (TCA cycle)",0.004,0.041,0.902,30,6,1,"SDHD","DLD, IDH2, ACO1, ACO2, SDHC",0.183
"23","Base excision repair",0.006,0.064,1,33,6,2,"PCNA, POLE3","POLD3, PARP4, APEX2, POLE2",0.258
"24","Pentose phosphate pathway",0.015,0.153,1,29,5,0,"","ALDOA, GPI, PFKP, TKTL1, TKTL2",0.086
"25","Fanconi anemia pathway",0.035,0.346,1,48,6,2,"RPA1, SLX4","FANCG, UBE2T, REV3L, RPA3",0.229
"26","Cytosolic DNA-sensing pathway",0.038,0.366,1,62,7,3,"POLR3K, POLR2E, POLR2L","POLR3A, POLR3H, IFNA7, IL1B",0.271
