"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Apoptosis",0,0,0,135,15,9,"CTSL, FAS, NFKBIA, PMAIP1, BAK1, BID, CASP3, CASP8, FADD","GADD45G, APAF1, PIK3R1, MAPK1, DIABLO, TUBA1C",0.356
"2","Apoptosis - multiple species",0,0,0,31,8,6,"PMAIP1, BAK1, BID, CASP3, CASP8, FADD","APAF1, DIABLO",0.504
"3","Phagosome",0,0,0.001,146,15,5,"CTSL, DYNC1LI2, HLA-C, NOS1, ATP6V0A4","CYBA, STX12, HLA-A, ITGA2, ITGA5, LAMP1, RAB5C, COLEC11, TUBA1C, ATP6V0D1",0.218
"4","Platinum drug resistance",0,0.001,0.003,73,10,7,"FAS, PMAIP1, BAK1, BID, CASP3, CASP8, FADD","APAF1, PIK3R1, MAPK1",0.418
"5","MAPK signaling pathway",0,0.001,0.005,253,19,3,"FAS, CASP3, CDC25B","RASGRP2, GADD45G, ATF2, DUSP4, FGF3, MAPK8IP2, MAP3K3, MYC, PDGFA, PPM1A, PPP3R2, MAPK1, RAP1B, RASGRF2, SRF, FGF19",0.116
"6","Regulation of actin cytoskeleton",0,0.001,0.005,210,17,1,"ARPC1B","F2R, SPATA13, FGF3, FN1, INSRR, ITGA2, ITGA5, MSN, MYH10, MYL2, PDGFA, PIK3R1, SSH3, MAPK1, EZR, FGF19",0.07
"7","p53 signaling pathway",0,0.001,0.009,66,9,5,"FAS, PMAIP1, BID, CASP3, CASP8","GADD45G, APAF1, CCND3, CDK1",0.346
"8","Natural killer cell mediated cytotoxicity",0,0.01,0.077,125,11,4,"HLA-C, FAS, BID, CASP3","KLRK1, LAT, HLA-A, KIR3DL1, PIK3R1, PPP3R2, MAPK1",0.226
"9","Long-term depression",0.001,0.019,0.168,59,7,1,"NOS1","GRIA1, GRM1, PPP2CA, PRKG2, MAPK1, RYR1",0.131
"10","RNA transport",0.001,0.019,0.189,161,12,3,"EIF4E, FMR1, SUMO2","NXF1, NUP50, POP4, EIF4G1, NUP205, UPF3A, THOC5, EIF2B3, NUP153",0.162
"11","NOD-like receptor signaling pathway",0.001,0.019,0.223,164,12,5,"GBP4, NFKBIA, TRPV2, CASP8, FADD","DNM1L, CYBA, PYDC1, IL18, MFN1, MAPK1, CASP5",0.245
"12","Wnt signaling pathway",0.001,0.019,0.228,142,11,1,"DVL2","CREBBP, DKK1, MYC, NFATC4, PPP3R2, CHD8, SFRP5, WNT1, CCND3, CER1",0.084
"13","Non-alcoholic fatty liver disease (NAFLD)",0.001,0.019,0.257,144,11,6,"COX6B1, FAS, BID, MLX, CASP3, CASP8","COX7B2, UQCRHL, NDUFV3, PIK3R1, PRKAG3",0.311
"14","Autophagy - animal",0.001,0.019,0.269,123,10,2,"CTSL, WIPI2","RRAGA, PRAP1, LAMP1, PIK3R1, PPP2CA, AMBRA1, MAPK1, ATG4C",0.141
"15","TNF signaling pathway",0.002,0.027,0.401,108,9,5,"FAS, NFKBIA, CASP3, CASP8, FADD","DNM1L, ATF2, PIK3R1, MAPK1",0.319
"16","Cellular senescence",0.002,0.029,0.466,155,11,1,"HLA-C","GADD45G, HLA-A, MYC, NFATC4, PIK3R1, PPP3R2, MAPK1, SLC25A31, CCND3, CDK1",0.081
"17","PI3K-Akt signaling pathway",0.002,0.031,0.53,337,18,2,"EIF4E, VWF","ATF2, F2R, FGF3, FN1, GNB2, ITGA2, ITGA5, MYC, PDGFA, PIK3R1, PPP2CA, MAPK1, SPP1, TNR, CCND3, FGF19",0.082
