"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","replicate1","replicate2","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"A1BG",1,6,0.47737,0.69908,0.995579,14616,3,0.035398,0.36356,0.52116,0.990367,10901,1,0.035398,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.79342,0.88753,0.998011,18971,2,-0.016864,0.52121,0.66143,0.990367,13934,1,-0.016864,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.0015193,0.0076466,0.906536,166,2,0.47889,0.78774,0.80057,0.992362,17418,1,0.47889,0.5,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.063468,0.19493,0.995379,3939,5,-1.1025,0.33419,0.49602,0.990367,10330,1,-1.1025,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.10118,0.26347,0.995379,5385,4,-2.158,0.12019,0.25304,0.990367,5132,1,-2.158,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.99908,0.9991,1,21665,0,1.9075,0.0036543,0.015095,0.973334,304,5,1.9075,0,0,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"A4GNT",51146,5,0.36684,0.58904,0.995379,12505,2,0.16524,0.1961,0.33605,0.990367,7360,2,0.16524,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.0019483,0.0097428,0.927825,212,5,-5.5205,0.73516,0.76711,0.992015,16614,1,-5.5205,0.5,0,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.60486,0.78477,0.99581,16555,2,0.5824,0.22312,0.40273,0.990367,8125,2,0.5824,0,0,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,5,0.34584,0.56587,0.995379,12073,2,0.72423,0.038607,0.10183,0.990367,2187,3,0.72423,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.21064,0.43996,0.995379,8993,4,-0.79662,0.77508,0.79192,0.992015,17203,1,-0.79662,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.18876,0.40695,0.995379,8337,2,0.75519,0.35259,0.51177,0.990367,10699,1,0.75519,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.11226,0.28271,0.995379,5809,4,-1.2785,0.40333,0.55568,0.990367,11692,2,-1.2785,0,0,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
