"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Vasopressin-regulated water reabsorption",0,0.007,0.007,44,5,0,"","ADCY9, AVPR2, PRKACA, RAB5A, CREB3L3",0.057
"2","PI3K-Akt signaling pathway",0,0.009,0.021,337,11,2,"IKBKB, IRS1","COL6A3, EFNA5, GNB2, IFNA13, PIK3CA, THBS4, TLR2, CREB3L3, OSMR",0.107
"3","Chemokine signaling pathway",0,0.009,0.028,181,8,2,"IKBKB, CCL15","ADCY9, GNB2, CCL4L1, PIK3CA, PRKACA, VAV2",0.147
"4","B cell receptor signaling pathway",0,0.014,0.068,70,5,1,"IKBKB","NFATC2, PIK3CA, VAV2, BCL10",0.136
"5","Cholinergic synapse",0,0.014,0.078,112,6,1,"KCNJ2","ADCY9, GNB2, PIK3CA, PRKACA, CREB3L3",0.11
"6","cGMP-PKG signaling pathway",0,0.014,0.087,161,7,2,"MEF2B, IRS1","ADCY9, KCNU1, NFATC2, ATP2B1, CREB3L3",0.165
"7","Autophagy - animal",0.001,0.018,0.129,123,6,3,"IRS1, RRAGD, RRAGC","PIK3CA, PRKACA, EIF2AK3",0.274
"8","Endocrine and other factor-regulated calcium reabsorption",0.001,0.019,0.149,47,4,1,"CALB1","ADCY9, ATP2B1, PRKACA",0.168
"9","GABAergic synapse",0.001,0.02,0.186,87,5,1,"GABRD","ADCY9, GABRE, GNB2, PRKACA",0.129
"10","Longevity regulating pathway",0.001,0.02,0.196,88,5,1,"IRS1","ADCY9, PIK3CA, PRKACA, CREB3L3",0.128
"11","Regulation of lipolysis in adipocytes",0.001,0.022,0.253,54,4,1,"IRS1","ADCY9, PIK3CA, PRKACA",0.162
"12","Pancreatic secretion",0.001,0.022,0.277,95,5,1,"CTRB1","ADCY9, ATP2B1, CELA2A, RAB3D",0.126
"13","Cytokine-cytokine receptor interaction",0.001,0.022,0.347,263,8,1,"CCL15","IFNA13, IL10RB, IL15RA, CCL4L1, IL23A, ACVR1, OSMR",0.078
"14","T cell receptor signaling pathway",0.001,0.022,0.349,100,5,1,"IKBKB","NFATC2, PIK3CA, VAV2, BCL10",0.125
"15","mTOR signaling pathway",0.001,0.022,0.365,150,6,4,"IKBKB, IRS1, RRAGD, RRAGC","PIK3CA, WNT3",0.353
"16","Oxytocin signaling pathway",0.002,0.022,0.378,151,6,1,"KCNJ2","ADCY9, EEF2K, NFATC2, PRKACA, CACNB2",0.103
"17","Toll-like receptor signaling pathway",0.002,0.022,0.381,102,5,1,"IKBKB","IFNA13, CCL4L1, PIK3CA, TLR2",0.125
"18","Jak-STAT signaling pathway",0.002,0.022,0.391,152,6,0,"","IFNA13, IL10RB, IL15RA, IL23A, PIK3CA, OSMR",0.02
"19","Longevity regulating pathway - multiple species",0.002,0.022,0.425,62,4,1,"IRS1","ADCY9, PIK3CA, PRKACA",0.157
"20","Relaxin signaling pathway",0.004,0.053,1,129,5,0,"","ADCY9, GNB2, PIK3CA, PRKACA, CREB3L3",0.019
"21","Insulin secretion",0.005,0.058,1,85,4,0,"","ADCY9, KCNU1, PRKACA, CREB3L3",0.024
