"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","KEGG.5","KEGG.class.iteration5","Network.5","Network.class.iteration5","Pathway"
"A1BG",1,6,0.38261,0.28625,0.488127,12650,3,0.082854,0.38389,0.5742,1,10702,1,0.082854,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.80746,0.66749,0.784937,18428,2,-0.10119,0.52209,0.6996,1,12988,1,-0.10119,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.56371,0.44641,0.612126,15709,2,0.38732,0.81194,0.86579,1,16815,1,0.38732,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.20626,0.1605,0.395811,8789,4,-0.63906,0.35595,0.53684,1,10162,1,-0.63906,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.081475,0.077221,0.33459,4713,4,-2.3338,0.11431,0.26173,1,4783,1,-2.3338,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.99854,0.99594,1,20658,0,1.7543,0.021726,0.077512,1,1324,4,1.7543,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.33598,0.25905,0.473134,11727,2,1.2478,0.018797,0.070329,1,1189,3,1.2478,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.0045036,0.0021937,0.107324,425,5,-5.073,0.75192,0.81257,1,15752,1,-5.073,"LowConf","No","0","No","0","No","0","No","0","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.63483,0.49446,0.650459,16447,2,0.44581,0.21074,0.40583,1,7392,2,0.44581,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,5,0.26291,0.20359,0.449848,10345,2,0.67165,0.040483,0.10715,1,2262,3,0.67165,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.18272,0.1411,0.374342,8101,4,-0.89227,0.79485,0.85077,1,16510,1,-0.89227,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.18219,0.1411,0.374342,8091,2,0.64241,0.40444,0.58832,1,11079,1,0.64241,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.16523,0.12676,0.362133,7585,3,-0.50913,0.79799,0.85279,1,16559,1,-0.50913,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.94788,0.8405,0.926331,19727,1,1.3674,0.05055,0.15088,1,2655,3,1.3674,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAED1",195827,6,0.044974,0.05452,0.329107,2978,4,-0.67245,0.17713,0.36792,1,6648,1,-0.67245,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,0.35437,0.27118,0.479923,12113,3,-0.44015,0.85574,0.89987,1,17714,0,-0.44015,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,5,0.07468,0.064296,0.330403,4464,3,-1.1778,0.10273,0.24623,1,4402,1,-1.1778,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.052141,0.057288,0.329107,3341,4,-1.6288,0.38583,0.5742,1,10734,2,-1.6288,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,0.53175,0.40904,0.579061,15217,2,1.1587,0.42552,0.61725,1,11461,2,1.1587,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.17717,0.13712,0.374268,7936,1,1.5331,0.076348,0.18646,1,3551,3,1.5331,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.059409,0.059639,0.329107,3756,4,-2.4455,0.068682,0.17695,1,3293,1,-2.4455,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,5,0.139,0.11485,0.359646,6733,3,-0.66307,0.11065,0.25577,1,4653,2,-0.66307,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,0.11912,0.10219,0.35622,6058,3,-1.8718,0.35568,0.53684,1,10157,2,-1.8718,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARS2",57505,6,0.0035072,0.0017551,0.107324,344,1,0.17671,0.74761,0.80649,1,15684,1,0.17671,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AARSD1",80755,6,0.85481,0.73689,0.843588,18912,1,2.436,0.0052986,0.03593,1,437,4,2.436,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AASDH",132949,5,0.32195,0.24495,0.470634,11462,3,-0.5047,0.14104,0.28028,1,5607,2,-0.5047,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.37816,0.28513,0.488127,12573,3,-0.0626,0.3887,0.57701,1,10778,2,-0.0626,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.068844,0.070248,0.33459,4233,4,-1.8709,0.9617,0.98784,1,19864,0,-1.8709,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.63225,0.49446,0.650459,16419,2,-0.87078,0.79625,0.85279,1,16535,1,-0.87078,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,0.15118,0.12033,0.359646,7153,4,-0.72034,0.78515,0.83667,1,16349,1,-0.72034,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,5,0.95785,0.87962,0.956174,19886,0,0.56372,0.031511,0.092843,1,1840,2,0.56372,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.96329,0.87129,0.949168,19977,1,1.0838,0.16992,0.35651,1,6440,3,1.0838,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.90153,0.77414,0.873427,19233,1,0.4824,0.45663,0.65218,1,12058,2,0.4824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.21979,0.17952,0.420853,9178,3,-0.59285,0.42226,0.61328,1,11402,1,-0.59285,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.76727,0.61752,0.74587,17945,1,0.80718,0.12884,0.28685,1,5226,2,0.80718,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,0.041855,0.053437,0.329107,2802,4,-3.0346,0.8063,0.86383,1,16706,1,-3.0346,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,5,0.037663,0.044731,0.329107,2543,2,0.2816,0.093443,0.23503,1,4077,2,0.2816,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.72379,0.56388,0.701298,17450,1,0.97576,0.010005,0.042292,1,730,2,0.97576,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"ABCA5",23461,6,0.21485,0.17191,0.411142,9059,4,-0.68624,0.88857,0.93663,1,18358,0,-0.68624,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.9107,0.7827,0.880202,19317,1,0.25522,0.88675,0.93542,1,18315,0,0.25522,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.23406,0.20085,0.44571,9591,2,0.16741,0.61974,0.7371,1,13967,1,0.16741,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.85236,0.73519,0.842132,18891,1,0.48017,0.087038,0.20414,1,3888,1,0.48017,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,5,0.84723,0.68785,0.80262,18849,1,0.48552,0.34934,0.53705,1,10046,2,0.48552,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.023782,0.031727,0.329107,1757,3,-2.2846,0.3904,0.57701,1,10803,1,-2.2846,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.17271,0.13126,0.365122,7805,3,0.35503,0.14657,0.31642,1,5776,2,0.35503,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.3378,0.26046,0.474011,11774,3,0.22175,0.14814,0.32093,1,5834,3,0.22175,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.33444,0.25905,0.473134,11693,2,0.58288,0.14226,0.31259,1,5642,2,0.58288,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,5,0.58903,0.43447,0.602316,15988,2,0.50764,0.094135,0.23641,1,4104,2,0.50764,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.25595,0.22415,0.462088,10200,2,-0.20083,0.4626,0.65583,1,12158,1,-0.20083,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,0.0099092,0.015638,0.329107,855,5,-3.4661,0.0736,0.18314,1,3442,1,-3.4661,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0","No","0",NA
