"GeneSymbol","EntrezID","num","neg.score","neg.p.value","neg.fdr","neg.rank","neg.goodsgrna","neg.lfc","pos.score","pos.p.value","pos.fdr","pos.rank","pos.goodsgrna","pos.lfc","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"A1BG",1,6,0.15263,0.69079,1,7326,3,-7.8725,0.33767,0.46522,1,6944,0,-7.8725,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.70301,0.9553,1,17256,2,-7.036,0.89547,0.89548,1,18464,0,-7.036,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.0038061,0.13524,1,406,5,-8.9193,0.92869,0.91655,1,19163,0,-8.9193,"LowConf","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.019968,0.30702,1,1650,4,-8.2123,0.61204,0.75557,1,12665,0,-8.2123,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.17245,0.71502,1,7925,3,-7.5737,0.49496,0.6827,1,10246,0,-7.5737,"LowConf","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.12935,0.66739,1,6634,4,-8.5475,0.6281,0.76834,1,12976,0,-8.5475,"LowConf","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.16501,0.70855,1,7689,4,-8.2802,0.57143,0.74014,1,11833,0,-8.2802,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.59391,0.93653,1,15966,3,-7.7282,0.80093,0.84491,1,16564,0,-7.7282,"LowConf","No","0","No","0","No","0","No","0",NA
"AACS",65985,6,0.077519,0.56958,1,4709,4,-8.5025,0.039164,0.076403,1,807,1,-8.5025,"LowConf","No","0","No","0","No","0","No","0",NA
"AADAC",13,5,0.74616,0.94856,1,17650,2,-5.2271,0.10302,0.12332,1,2089,0,-5.2271,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.045796,0.45761,1,3160,5,-8.6381,0.66967,0.77883,1,13860,0,-8.6381,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.098812,0.62003,1,5609,4,-8.4804,0.66408,0.77883,1,13768,0,-8.4804,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.0051762,0.16693,1,544,4,-9.264,0.88514,0.89367,1,18261,0,-9.264,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.72538,0.95937,1,17442,2,-6.806,0.74551,0.81704,1,15479,0,-6.806,"LowConf","No","0","No","0","No","0","No","0",NA
"AAED1",195827,6,0.24362,0.78381,1,9819,3,-7.7769,0.57143,0.74014,1,11835,0,-7.7769,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,0.56465,0.92937,1,15476,2,-5.3988,0.21478,0.27893,1,4404,0,-5.3988,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAK1",22848,5,0.397,0.84725,1,12966,1,-7.0116,0.60715,0.71713,1,12545,0,-7.0116,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.16485,0.70824,1,7681,3,-7.1265,0.32915,0.44719,1,6789,0,-7.1265,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,0.94403,0.98632,1,19684,1,-4.9832,0.22434,0.28811,1,4602,0,-4.9832,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AANAT",15,6,0.3406,0.85303,1,12076,3,-7.8153,0.35809,0.50324,1,7370,0,-7.8153,"LowConf","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.73951,0.96152,1,17582,1,-6.4611,0.7893,0.83782,1,16331,0,-6.4611,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,5,0.38015,0.8381,1,12717,3,-7.356,0.082117,0.10985,1,1658,0,-7.356,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,0.80971,0.97067,1,18305,2,-7.2585,0.76328,0.82559,1,15854,0,-7.2585,"LowConf","No","0","No","0","No","0","No","0",NA
"AARS2",57505,6,0.026393,0.35146,1,2054,4,-8.7185,0.1281,0.15164,1,2607,0,-8.7185,"LowConf","No","0","No","0","No","0","No","0",NA
"AARSD1",80755,6,0.057592,0.50108,1,3744,3,-7.7261,0.75151,0.81848,1,15602,0,-7.7261,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,5,0.079496,0.52631,1,4786,4,-7.8526,0.44255,0.62065,1,9186,0,-7.8526,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,5,0.0062054,0.15553,1,634,4,-8.9595,0.94319,0.91711,1,19440,0,-8.9595,"LowConf","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.28524,0.82073,1,10853,2,-7.5853,0.84967,0.87053,1,17546,0,-7.5853,"LowConf","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.49714,0.91161,1,14483,2,-4.5374,0.18207,0.23203,1,3721,0,-4.5374,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,0.24045,0.78232,1,9727,3,-7.8746,0.23278,0.31037,1,4773,0,-7.8746,"LowConf","Missing","0","No","0","Missing","0","No","0",NA
"ABAT",18,5,0.069102,0.50356,1,4326,4,-7.5472,0.77385,0.80639,1,16053,0,-7.5472,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.26762,0.80695,1,10453,2,-6.6289,0.32544,0.43983,1,6685,0,-6.6289,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.73689,0.96107,1,17565,2,-6.7667,0.1508,0.17734,1,3069,0,-6.7667,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.36491,0.8667,1,12470,3,-7.6812,0.28977,0.37379,1,5918,0,-7.6812,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.52716,0.91798,1,14939,2,-7.1459,0.6162,0.76295,1,12745,0,-7.1459,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,0.35384,0.86176,1,12285,3,-7.6268,0.82216,0.85547,1,17012,0,-7.6268,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA3",21,5,0.44319,0.87015,1,13683,3,-7.4811,0.54277,0.69099,1,11240,0,-7.4811,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.30008,0.82753,1,11153,4,-7.9405,0.22563,0.28811,1,4626,0,-7.9405,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA5",23461,6,0.24927,0.79095,1,9979,3,-7.6407,0.53557,0.70711,1,11100,0,-7.6407,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA6",23460,6,0.22402,0.76544,1,9315,2,-6.9531,0.49384,0.6827,1,10216,0,-6.9531,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA7",10347,6,0.66548,0.9499,1,16887,2,-6.8689,0.34032,0.46881,1,7004,0,-6.8689,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA8",10351,6,0.49657,0.91128,1,14468,3,-7.0069,0.13908,0.15686,1,2828,0,-7.0069,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCA9",10350,5,0.19108,0.69541,1,8455,3,-7.6517,0.54277,0.69099,1,11235,0,-7.6517,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB1",5243,6,0.28271,0.81935,1,10797,3,-7.441,0.7953,0.84046,1,16494,0,-7.441,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB10",23456,6,0.069198,0.54435,1,4332,3,-7.3957,0.17563,0.22242,1,3585,0,-7.3957,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB11",8647,6,0.74525,0.9626,1,17637,2,-7.0208,0.47734,0.67341,1,9879,0,-7.0208,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB4",5244,6,0.60621,0.93891,1,16122,3,-7.1385,0.31161,0.42101,1,6370,0,-7.1385,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB5",340273,5,0.097377,0.56636,1,5540,1,-2.4373,0.094001,0.11886,1,1902,0,-2.4373,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB6",10058,6,0.3824,0.87286,1,12762,2,-6.5005,0.5384,0.7156,1,11169,0,-6.5005,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB7",22,6,0.913,0.9834,1,19353,1,-6.2335,0.029939,0.06564,1,634,1,-6.2335,"LowConf","No","0","No","0","No","0","No","0",NA
"ABCB8",11194,6,0.28854,0.82087,1,10912,3,-7.684,0.80629,0.84556,1,16696,0,-7.684,"LowConf","No","0","No","0","No","0","No","0",NA
