"GeneSymbol","EntrezID","sgRNA","CRISPR.beta","CRISPR.z","CRISPR.p.value","CRISPR.fdr","CRISPR.wald.p.value","CRISPR.wald.fdr","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","Pathway"
"A1BG",1,6,0.28614,0.9158,0.21464,0.3654,0.35977,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A1CF",29974,6,0.21851,0.50948,0.10375,0.22195,0.61041,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A2M",2,6,0.25171,0.70365,0.15071,0.28669,0.48165,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A2ML1",144568,6,0.19061,0.5149,0.073236,0.17439,0.60662,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"A3GALT2",127550,6,0.18041,0.41047,0.064387,0.15906,0.68146,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GALT",53947,6,0.47961,1.1909,0.94847,0.96883,0.23368,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"A4GNT",51146,6,0.08692,0.27971,0.017744,0.065177,0.7797,0.96318,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAAS",8086,6,0.61103,0.97689,0.44688,0.59963,0.32862,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AACS",65985,6,0.32024,0.79632,0.30013,0.46002,0.42585,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AADAC",13,6,0.33969,0.90922,0.35447,0.5141,0.36323,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL2",344752,6,0.40935,0.83005,0.61903,0.74235,0.40651,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL3",126767,6,0.39113,0.73998,0.54275,0.68322,0.45931,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADACL4",343066,6,0.055232,0.16559,0.011476,0.048614,0.86848,0.97592,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AADAT",51166,6,0.30392,0.904,0.25644,0.41323,0.366,0.95824,"LowConf","No","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AAED1",195827,6,0.29629,0.52013,0.23842,0.39317,0.60297,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAGAB",79719,6,-0.28388,-1.0162,0,0,0.30952,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"AAK1",22848,6,0.44629,0.82796,0.78734,0.86702,0.40769,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMDC",28971,6,0.10539,0.17501,0.02369,0.080037,0.86107,0.97403,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AAMP",14,6,-0.25231,-0.79604,0,0,0.42601,0.95824,"HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf","Missing","MedConf","Yes","HighConf",NA
"AANAT",15,6,0.24962,0.65877,0.14749,0.28269,0.51004,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AAR2",25980,6,0.0025075,0.0059376,0.004655,0.025486,0.99526,0.9995,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARD",441376,6,0.24924,0.60055,0.14666,0.28137,0.54814,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AARS",16,6,-0.37636,-1.2954,0,0,0.1952,0.95824,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Aminoacyl-tRNA biosynthesis"
"AARS2",57505,6,0.29723,0.64836,0.24072,0.39565,0.51675,0.95824,"LowConf","Yes","0","No","0","Yes","0","No","0","Yes","0","No","0",NA
"AARSD1",80755,6,0.31123,0.91197,0.27575,0.4351,0.36179,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDH",132949,6,0.47982,1.104,0.94962,0.96955,0.26959,0.95824,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AASDHPPT",60496,6,0.40275,0.9709,0.59193,0.7229,0.3316,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AASS",10157,6,0.055503,0.13058,0.011522,0.048648,0.89611,0.98055,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"AATF",26574,6,0.087061,0.23297,0.017744,0.065177,0.81579,0.96741,"LowConf","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"AATK",9625,6,-0.25571,-0.84087,0,0,0.40042,0.95824,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"ABAT",18,6,0.42241,0.83582,0.67373,0.78389,0.40326,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA1",19,6,0.2987,0.84232,0.24404,0.39929,0.39961,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA10",10349,6,0.50398,1.048,0.92796,0.95694,0.29465,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA12",26154,6,0.37828,0.83037,0.4903,0.63877,0.40633,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA13",154664,6,0.34812,0.67521,0.38171,0.54052,0.49954,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA2",20,6,-0.025552,-0.062204,0.0029497,0.018508,0.9504,0.98998,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA3",21,6,-0.056124,-0.14986,0.0018897,0.013603,0.88088,0.97902,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA4",24,6,0.70805,1.2804,0.17122,0.31324,0.20041,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
"ABCA5",23461,6,0.38955,1.0992,0.53583,0.67751,0.27168,0.95824,"LowConf","No","0","No","0","No","0","No","0","No","0","No","0",NA
