"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.RNA transport","Ntwrk.RNA transport","NtwrkCount.Pyrimidine metabolism","Ntwrk.Pyrimidine metabolism","NtwrkCount.Ribosome","Ntwrk.Ribosome","Total_Path_Hits.net.count"
"1",14,"AAMP",549,"HighConf","Novel",NA,1,"RPL10",0,NA,0,NA,1,"RPL10",1
"2",16,"AARS",54,"HighConf","Novel","Aminoacyl-tRNA biosynthesis",6,"GARS, QARS, LARS, DARS, NARS, FARSB",0,NA,0,NA,0,NA,0
"3",22,"ABCB7",589,"HighConf","Novel",NA,5,"RTEL1, CIAO1, FAM96B, NUBP2, ERCC2",0,NA,0,NA,0,NA,0
"4",48,"ACO1",566,"HighConf","Novel","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism",2,"CS, IDH3B",0,NA,0,NA,0,NA,0
"5",50,"ACO2",526,"HighConf","Novel","Biosynthesis of amino acids, Carbon metabolism, Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, 2-Oxocarboxylic acid metabolism",2,"IDH3B, CS",0,NA,0,NA,0,NA,0
"6",60,"ACTB",201,"HighConf","Novel",NA,13,"RAC1, HMGB1, GTF2A1, CCT4, CFL1, GTF3A, ACTN4, PPP1CA, RUVBL1, TCP1, CCT8, CCT3, HCFC1",0,NA,0,NA,0,NA,0
"7",81,"ACTN4",161,"HighConf","Novel",NA,6,"ACTB, UBE2I, RAC1, ALDOA, HGS, PSMA6",1,"UBE2I",0,NA,0,NA,1
"8",102,"ADAM10",562,"HighConf","Novel",NA,1,"RPS27A",0,NA,0,NA,1,"RPS27A",1
"9",84962,"AJUBA",585,"HighConf","Novel",NA,6,"CEP78, TUBG1, YWHAE, PLK1, CENPJ, YWHAG",0,NA,0,NA,0,NA,0
"10",226,"ALDOA",304,"HighConf","Novel","Biosynthesis of amino acids, Carbon metabolism",6,"PGAM1, PFKP, GPI, ENO3, ACTN4, GAPDH",0,NA,0,NA,0,NA,0
"11",55626,"AMBRA1",554,"MedConf","Novel",NA,1,"DDB1",0,NA,0,NA,0,NA,0
"12",29882,"ANAPC2",315,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",23,"AURKB, ESPL1, ANAPC5, CCNE1, CDC16, PTTG1, PSMD7, MAD2L1, CDC20, PSMD14, CDC23, PSMD1, BUB3, PSMB7, PSMA6, PLK1, FZR1, PSMB4, PSMD12, PSMC1, PSMB5, PSMA4, RPS27A",0,NA,0,NA,1,"RPS27A",1
"13",51433,"ANAPC5",544,"HighConf","Novel","Cell cycle, Oocyte meiosis, Ubiquitin mediated proteolysis, Progesterone-mediated oocyte maturation",23,"AURKB, PSMB5, PSMB4, BUB3, PTTG1, PSMD12, CDC16, CDC23, ANAPC2, PSMA6, PSMB7, PSMC1, PSMD1, ESPL1, PSMD14, PSMA4, PLK1, MAD2L1, RPS27A, PSMD7, CCNE1, FZR1, CDC20",0,NA,0,NA,1,"RPS27A",1
"14",27301,"APEX2",13,"HighConf","Novel","Base excision repair",5,"FANCM, PCNA, PNKP, DUT, XPA",0,NA,1,"DUT",0,NA,1
"15",9716,"AQR",41,"HighConf","Novel","Spliceosome",6,"BUD31, PQBP1, CDC5L, ZNF830, WDR77, PRPF19",0,NA,0,NA,0,NA,0
"16",50650,"ARHGEF3",532,"MedConf","Novel",NA,1,"RAC1",0,NA,0,NA,0,NA,0
"17",79915,"ATAD5",36,"MedConf","Novel",NA,6,"PCNA, RFC4, NIPBL, SMC3, FANCM, RFC5",0,NA,0,NA,0,NA,0
"18",471,"ATIC",422,"MedConf","Novel","Purine metabolism, One carbon pool by folate",3,"MTHFD2, DHFR, SHMT2",0,NA,0,NA,0,NA,0
"19",476,"ATP1A1",419,"HighConf","Novel","Cardiac muscle contraction",1,"ATP1B3",0,NA,0,NA,0,NA,0
"20",483,"ATP1B3",567,"HighConf","Novel","Cardiac muscle contraction",1,"ATP1A1",0,NA,0,NA,0,NA,0
"21",23545,"ATP6V0A2",325,"HighConf","Novel","Oxidative phosphorylation",4,"ATP6V0D1, ATP6V0C, ATP6V0B, ATP6V1H",0,NA,0,NA,0,NA,0
"22",533,"ATP6V0B",535,"HighConf","Novel","Oxidative phosphorylation",4,"ATP6V0D1, ATP6V0C, ATP6V0A2, ATP6V1H",0,NA,0,NA,0,NA,0
"23",527,"ATP6V0C",395,"HighConf","Novel","Oxidative phosphorylation",4,"ATP6V0B, ATP6V0A2, ATP6V0D1, ATP6V1H",0,NA,0,NA,0,NA,0
"24",9114,"ATP6V0D1",393,"HighConf","Novel","Oxidative phosphorylation",4,"ATP6V0C, ATP6V0B, ATP6V1H, ATP6V0A2",0,NA,0,NA,0,NA,0
"25",51606,"ATP6V1H",184,"HighConf","Novel","Oxidative phosphorylation",4,"ATP6V0A2, ATP6V0D1, ATP6V0C, ATP6V0B",0,NA,0,NA,0,NA,0
"26",9212,"AURKB",340,"HighConf","Novel",NA,42,"CENPN, SPC24, RANGAP1, ESPL1, KIF23, CDCA8, ANAPC5, KIF20A, CENPI, SMC2, BUB3, RPS27A, PSMD12, SMC3, CUL3, SMC4, PSMD7, NUP107, PSMC1, MAD2L1, PTTG1, NDC80, PSMB7, STAG1, BIRC5, INCENP, CDC16, ANAPC2, NCL, FZR1, NPM1, PSMD14, PSMA4, PSMB4, PSMA6, PLK1, PSMD1, XPO1, PSMB5, CDC20, RPS27, CDC23",3,"XPO1, RANGAP1, NUP107",0,NA,2,"RPS27A, RPS27",5
"27",9531,"BAG3",475,"HighConf","Novel",NA,1,"HSPA8",0,NA,0,NA,0,NA,0
"28",8815,"BANF1",454,"HighConf","Novel",NA,1,"PPP2CA",0,NA,0,NA,0,NA,0
"29",8314,"BAP1",19,"HighConf","Novel",NA,9,"PSMA2, PSMD7, PSMB4, PSMA4, HCFC1, IPO5, EIF4EBP3, PSMC1, PSMA6",1,"EIF4EBP3",0,NA,0,NA,1
"30",10286,"BCAS2",456,"MedConf","Novel","Spliceosome",9,"MFAP1, BUD31, PRPF8, HSPA8, SF1, SF3A2, CDC5L, SNRNP200, PRPF19",0,NA,0,NA,0,NA,0
"31",100529063,"BCL2L2-PABPN1",573,"HighConf","Novel","mRNA surveillance pathway",1,"EXOSC10",0,NA,0,NA,0,NA,0
"32",55814,"BDP1",300,"HighConf","Novel",NA,10,"POLR3K, POLR3H, POU2F1, GTF3C5, GTF3C2, SNAPC2, GTF3A, POLR3A, POLR2F, POLR2L",0,NA,5,"POLR3K, POLR3H, POLR3A, POLR2L, POLR2F",0,NA,5
"33",332,"BIRC5",299,"HighConf","Novel",NA,25,"XPO1, TUBG1, NUMA1, TUBGCP3, AURKB, CENPN, SPC24, RANGAP1, ESPL1, KIF23, CDCA8, KIF20A, CENPI, PLK1, SMC3, STAG1, CUL3, CDC20, MAX, RPS27, BUB3, MAD2L1, NDC80, NUP107, INCENP",3,"XPO1, RANGAP1, NUP107",0,NA,1,"RPS27",4
"34",55299,"BRIX1",276,"HighConf","Novel",NA,8,"NIP7, DDX56, RRP1, PDCD11, PES1, GTPBP4, CEBPZ, RPL3",0,NA,0,NA,1,"RPL3",1
"35",55643,"BTBD2",522,"MedConf","Novel",NA,2,"COPS5, CUL3",0,NA,0,NA,0,NA,0
"36",9184,"BUB3",286,"HighConf","Novel","Cell cycle",35,"NUP107, BIRC5, CDC16, XPO1, ANAPC2, AURKB, CENPN, SPC24, RANGAP1, ESPL1, CDCA8, ANAPC5, CENPI, SMC3, PSMD12, STAG1, PSMB7, PSMB4, INCENP, PSMD7, SF3A2, PLK1, PSMD14, PSMD1, RPS27A, RPS27, CDC23, PSMA6, MAD2L1, PSMC1, CDC20, NKAP, NDC80, PSMA4, PSMB5",3,"XPO1, RANGAP1, NUP107",0,NA,2,"RPS27A, RPS27",5
"37",8896,"BUD31",43,"HighConf","Novel","Spliceosome",20,"CDC5L, EEF2, PRPF8, SNRPA1, SF3A2, SNRPD3, XAB2, SNW1, SNRPG, SNRNP200, SF3B5, PHF5A, CNOT1, CWC27, BCAS2, SDE2, RNF113A, NAA50, PRPF19, AQR",0,NA,0,NA,0,NA,0
"38",708,"C1QBP",477,"HighConf","Novel",NA,7,"SRSF7, SRSF6, SRSF2, SRSF3, SRSF1, NUP153, NUP107",2,"NUP153, NUP107",0,NA,0,NA,2
"39",51719,"CAB39",305,"HighConf","Novel",NA,1,"PRKAG2",0,NA,0,NA,0,NA,0
"40",786,"CACNG1",427,"HighConf","Novel","Cardiac muscle contraction",5,"CACNG7, RASGRP1, PPP1CA, PPP2CA, CAMK2B",0,NA,0,NA,0,NA,0
"41",59284,"CACNG7",428,"MedConf","Novel","Cardiac muscle contraction",5,"RASGRP1, PPP2CA, CACNG1, PPP1CA, CAMK2B",0,NA,0,NA,0,NA,0
"42",790,"CAD",3,"HighConf","Pyrimidine metabolism","Pyrimidine metabolism",10,"TUFM, RPS27A, RUVBL1, MAX, GFPT1, SEPSECS, SEH1L, ERH, DHODH, GATM",1,"SEH1L",1,"DHODH",1,"RPS27A",3
"43",816,"CAMK2B",426,"HighConf","Novel","Oocyte meiosis",6,"CACNG1, CACNG7, PPP1CA, RYR2, RAC1, MAP2K3",0,NA,0,NA,0,NA,0
"44",23624,"CBLC",537,"HighConf","Novel","Ubiquitin mediated proteolysis",1,"PIK3CD",0,NA,0,NA,0,NA,0
