"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Spliceosome",0,0,0,120,27,"Sf3b3, Snrpd2, Hspa8, Magoh, Srsf3, Snrpc, Snrpb, Snrpd1, Snrpe, Dhx8, Hnrnpa3, Sf3b2, Snrnp200, Plrg1, Ddx39b, Isy1, Rbm8a, Sf3b6, Sf3b5, Lsm5, Snrpd3, Sf3a1, Snrpg, Phf5a, Snrpa1, Sf3a3, Sf3b1"
"RNA transport",0,0,0,146,20,"Nup107, Xpo1, Eif4g2, Kpnb1, Nxf7, Magoh, Nup62, Casc3, Ran, Rasl2-9, Rnps1, Nup98, Thoc6, Nup85, Nxf1, Ddx39b, Rbm8a, Eif3f, Rpp25l, Seh1l"
"Proteasome",0,0,0,44,23,"Psma2, Psma3, Psmb1, Psmb4, Psmb6, Psmc1, Psmc3, Psmc5, Psmd2, Psmd3, Psmc4, Psma1, Psma4, Psma6, Psma7, Psmb2, Psmb3, Psmd14, Psmd6, Pomp, Psmc6, Psmd11, Psmd1"
"Pyrimidine metabolism",0,0,0.001,87,11,"Polr2a, Tk1, Polr2b, Nme6, Nme4, Polr2g, Polr2d, Polr2f, Cant1, Nme3, Uck2"
"Ribosome biogenesis in eukaryotes",0,0,0.002,74,10,"Imp3, Xpo1, Utp15, Nxf7, Ran, Rasl2-9, Fbll1, Nxf1, Gar1, Rpp25l"
"mRNA surveillance pathway",0,0.001,0.004,80,10,"Nxf7, Magoh, Casc3, Rnps1, Cpsf7, Cpsf6, Nxf1, Ddx39b, Pabpn1, Rbm8a"
"AMPK signaling pathway",0,0.001,0.007,121,12,"Cpt1a, Ins1, Pdpk1, Pfkfb1, Pik3ca, Prkag1, Creb3l3, Foxo3, Strada, Adipor1, Pik3cb, Creb3l4"
"Longevity regulating pathway",0,0.001,0.01,88,10,"Ins1, Pik3ca, Prkaca, Prkag1, Creb3l3, Sesn2, Foxo3, Adipor1, Pik3cb, Creb3l4"
"RNA polymerase",0,0.004,0.034,22,5,"Polr2a, Polr2b, Polr2g, Polr2d, Polr2f"
"Purine metabolism",0,0.007,0.071,154,12,"Polr2a, Ppat, Polr2b, Nme6, Nme4, Polr2g, Ak8, Polr2d, Polr2f, Cant1, Nme3, Allc"
"Longevity regulating pathway - multiple species",0.001,0.012,0.128,60,7,"Hspa8, Ins1, Pik3ca, Prkaca, Prkag1, Foxo3, Pik3cb"
"TNF signaling pathway",0.001,0.017,0.225,106,9,"Cebpb, Ikbkg, Pik3ca, Creb3l3, Tnfrsf1b, Mapk13, Tab1, Pik3cb, Creb3l4"
"FoxO signaling pathway",0.001,0.017,0.226,128,10,"Ins1, Pdpk1, Pik3ca, Plk1, Prkag1, Mapk13, Ep300, Foxo4, Foxo3, Pik3cb"
"Adipocytokine signaling pathway",0.001,0.02,0.273,68,7,"Cpt1a, Ikbkg, Prkag1, Rxrg, Acsl6, Tnfrsf1b, Adipor1"
"Estrogen signaling pathway",0.001,0.023,0.346,91,8,"Gnao1, Hspa8, Kcnj5, Pik3ca, Prkaca, Creb3l3, Pik3cb, Creb3l4"
"Regulation of lipolysis in adipocytes",0.002,0.024,0.378,53,6,"Fabp4, Ins1, Pik3ca, Prkaca, Pnpla2, Pik3cb"
"Protein export",0.002,0.024,0.405,22,4,"Srp68, Sec61a1, Sec11a, Sec61a2"
"VEGF signaling pathway",0.002,0.029,0.553,57,6,"Pik3ca, Ppp3r1, Vegfa, Mapk13, Pla2g4f, Pik3cb"
"Glucagon signaling pathway",0.002,0.029,0.557,98,8,"Cpt1a, Pfkfb1, Prkaca, Ppp3r1, Prkag1, Creb3l3, Ep300, Creb3l4"
"Vasopressin-regulated water reabsorption",0.003,0.038,0.751,42,5,"Arhgdig, Prkaca, Creb3l3, Dync1li1, Creb3l4"
"Insulin resistance",0.003,0.038,0.808,104,8,"Cpt1a, Ins1, Pdpk1, Pik3ca, Prkag1, Creb3l3, Pik3cb, Creb3l4"
"Fc epsilon RI signaling pathway",0.004,0.048,1,65,6,"Fyn, Pdpk1, Pik3ca, Mapk13, Pla2g4f, Pik3cb"
"Cholinergic synapse",0.005,0.048,1,110,8,"Chrm4, Fyn, Gnao1, Pik3ca, Prkaca, Creb3l3, Pik3cb, Creb3l4"
"Progesterone-mediated oocyte maturation",0.005,0.048,1,87,7,"Ins1, Mad1l1, Pik3ca, Prkaca, Plk1, Mapk13, Pik3cb"
"Osteoclast differentiation",0.007,0.069,1,118,8,"Fyn, Ikbkg, Pik3ca, Ppp3r1, Spi1, Mapk13, Tab1, Pik3cb"
"mTOR signaling pathway",0.008,0.073,1,145,9,"Dvl2, Ins1, Pdpk1, Pik3ca, Wnt9b, Sesn2, Seh1l, Strada, Pik3cb"
"Melanogenesis",0.009,0.08,1,98,7,"Dvl2, Gnao1, Prkaca, Creb3l3, Wnt9b, Ep300, Creb3l4"
"T cell receptor signaling pathway",0.009,0.081,1,99,7,"Fyn, Ikbkg, Pdpk1, Pik3ca, Ppp3r1, Mapk13, Pik3cb"
"PPAR signaling pathway",0.01,0.084,1,78,6,"Fabp4, Cpt1a, Pdpk1, Ppard, Rxrg, Acsl6"
"Relaxin signaling pathway",0.01,0.084,1,125,8,"Gnao1, Pik3ca, Prkaca, Creb3l3, Vegfa, Mapk13, Pik3cb, Creb3l4"
"Aldosterone-regulated sodium reabsorption",0.01,0.084,1,36,4,"Ins1, Pdpk1, Pik3ca, Pik3cb"
"Thyroid hormone signaling pathway",0.017,0.133,1,112,7,"Kat2a, Pdpk1, Pik3ca, Prkaca, Rxrg, Ep300, Pik3cb"
"Wnt signaling pathway",0.018,0.133,1,139,8,"Dvl2, Prkaca, Ppard, Ppp3r1, Wnt9b, Ep300, Bambi, Nkd2"
"Platelet activation",0.02,0.146,1,116,7,"Fyn, Pik3ca, Prkaca, Tbxa2r, Mapk13, Pla2g4f, Pik3cb"
"Neurotrophin signaling pathway",0.02,0.146,1,116,7,"Arhgdig, Ngfr, Pdpk1, Pik3ca, Mapk13, Foxo3, Pik3cb"
"Rap1 signaling pathway",0.023,0.158,1,203,10,"Arap3, Gnao1, Ins1, Itgb2l, Ngfr, Pik3ca, Vegfa, Mapk13, Lpar3, Pik3cb"
"Prolactin signaling pathway",0.025,0.165,1,70,5,"Ins1, Pik3ca, Mapk13, Foxo3, Pik3cb"
"Cell cycle",0.025,0.165,1,121,7,"Smc3, Mad1l1, Plk1, Rad21, Wee1, Smc1a, Ep300"
"HIF-1 signaling pathway",0.028,0.178,1,97,6,"Arnt, Ins1, Pik3ca, Vegfa, Ep300, Pik3cb"
"Dopaminergic synapse",0.03,0.19,1,126,7,"Gnal, Gnao1, Kcnj5, Prkaca, Creb3l3, Mapk13, Creb3l4"
"Phospholipase D signaling pathway",0.046,0.281,1,138,7,"Fyn, Ins1, Pik3ca, Avpr1b, Pla2g4f, Lpar3, Pik3cb"
"Calcium signaling pathway",0.051,0.297,1,171,8,"Adra1b, Cckbr, Gnal, Prkaca, Ppp3r1, Tbxa2r, Avpr1b, Cysltr1"
"Oocyte meiosis",0.051,0.297,1,112,6,"Smc3, Ins1, Prkaca, Plk1, Ppp3r1, Smc1a"
"Ras signaling pathway",0.074,0.42,1,217,9,"Ikbkg, Ins1, Ngfr, Pik3ca, Prkaca, Vegfa, Pla2g4f, Foxo4, Pik3cb"
"Toll-like receptor signaling pathway",0.079,0.435,1,96,5,"Ikbkg, Pik3ca, Mapk13, Tab1, Pik3cb"
"B cell receptor signaling pathway",0.082,0.442,1,69,4,"Ikbkg, Pik3ca, Ppp3r1, Pik3cb"
"Insulin signaling pathway",0.09,0.473,1,130,6,"Ins1, Pdpk1, Pik3ca, Prkaca, Prkag1, Pik3cb"
"Type II diabetes mellitus",0.091,0.473,1,45,3,"Ins1, Pik3ca, Pik3cb"
"EGFR tyrosine kinase inhibitor resistance",0.1,0.506,1,74,4,"Pik3ca, Vegfa, Foxo3, Pik3cb"
"Cellular senescence",0.106,0.517,1,168,7,"Foxm1, Mre11a, Pik3ca, Ppp3r1, Mapk13, Foxo3, Pik3cb"
"Notch signaling pathway",0.106,0.517,1,48,3,"Dvl2, Kat2a, Ep300"
"Natural killer cell mediated cytotoxicity",0.112,0.533,1,107,5,"Fyn, Itgb2l, Pik3ca, Ppp3r1, Pik3cb"
"Chemokine signaling pathway",0.113,0.533,1,171,7,"Ikbkg, Xcl1, Pik3ca, Prkaca, Prex1, Foxo3, Pik3cb"
"Oxytocin signaling pathway",0.126,0.58,1,143,6,"Gnao1, Kcnj5, Prkaca, Ppp3r1, Prkag1, Pla2g4f"
"Insulin secretion",0.131,0.595,1,82,4,"Ins1, Prkaca, Creb3l3, Creb3l4"
"Ovarian steroidogenesis",0.137,0.598,1,54,3,"Ins1, Prkaca, Pla2g4f"
"Inflammatory mediator regulation of TRP channels",0.139,0.598,1,115,5,"Pik3ca, Prkaca, Mapk13, Pla2g4f, Pik3cb"
"Sphingolipid signaling pathway",0.139,0.598,1,115,5,"Fyn, Pdpk1, Pik3ca, Mapk13, Pik3cb"
"PI3K-Akt signaling pathway",0.145,0.608,1,322,11,"Ikbkg, Ins1, Ngfr, Pdpk1, Pik3ca, Creb3l3, Vegfa, Foxo3, Lpar3, Pik3cb, Creb3l4"
"cAMP signaling pathway",0.146,0.608,1,183,7,"Arap3, Pik3ca, Prkaca, Creb3l3, Ep300, Pik3cb, Creb3l4"
"Endocrine resistance",0.162,0.662,1,89,4,"Pik3ca, Prkaca, Mapk13, Pik3cb"
"Autophagy - animal",0.174,0.697,1,124,5,"Ins1, Pdpk1, Pik3ca, Prkaca, Pik3cb"
"Carbohydrate digestion and absorption",0.185,0.732,1,33,2,"Pik3ca, Pik3cb"
"Long-term potentiation",0.195,0.761,1,64,3,"Prkaca, Ppp3r1, Ep300"
"Signaling pathways regulating pluripotency of stem cells",0.211,0.8,1,133,5,"Dvl2, Pik3ca, Wnt9b, Mapk13, Pik3cb"
"AGE-RAGE signaling pathway in diabetic complications",0.215,0.8,1,100,4,"Pik3ca, Vegfa, Mapk13, Pik3cb"
"Th17 cell differentiation",0.215,0.8,1,100,4,"Ikbkg, Ppp3r1, Rxrg, Mapk13"
"Non-alcoholic fatty liver disease (NAFLD)",0.228,0.819,1,137,5,"Ins1, Pik3ca, Prkag1, Adipor1, Pik3cb"
"Ferroptosis",0.229,0.819,1,38,2,"Ftl1, Acsl6"
"Thyroid hormone synthesis",0.233,0.819,1,70,3,"Prkaca, Creb3l3, Creb3l4"
"Glutamatergic synapse",0.236,0.819,1,104,4,"Gnao1, Prkaca, Ppp3r1, Pla2g4f"
"Adrenergic signaling in cardiomyocytes",0.237,0.819,1,139,5,"Adra1b, Prkaca, Creb3l3, Mapk13, Creb3l4"
"Leukocyte transendothelial migration",0.246,0.837,1,106,4,"Itgb2l, Pik3ca, Mapk13, Pik3cb"
"Fatty acid biosynthesis",0.252,0.837,1,12,1,"Acsl6"
"Platinum drug resistance",0.252,0.837,1,73,3,"Pdpk1, Pik3ca, Pik3cb"
"Thiamine metabolism",0.269,0.871,1,13,1,"Ak8"
"Non-homologous end-joining",0.269,0.871,1,13,1,"Mre11a"
"Fatty acid degradation",0.273,0.873,1,43,2,"Cpt1a, Acsl6"
"Vascular smooth muscle contraction",0.294,0.926,1,115,4,"Adra1b, Prkaca, Avpr1b, Pla2g4f"
"Protein processing in endoplasmic reticulum",0.305,0.951,1,154,5,"Hspa8, Rpn2, Sec61a1, Sec61a2, Dnajb1"
"Aldosterone synthesis and secretion",0.311,0.955,1,82,3,"Prkaca, Creb3l3, Creb3l4"
"cGMP-PKG signaling pathway",0.315,0.956,1,156,5,"Adra1b, Ins1, Ppp3r1, Creb3l3, Creb3l4"
"Drug metabolism - other enzymes",0.327,0.965,1,49,2,"Tk1, Uck2"
"Th1 and Th2 cell differentiation",0.33,0.965,1,85,3,"Ikbkg, Ppp3r1, Mapk13"
"MAPK signaling pathway",0.332,0.965,1,236,7,"Hspa8, Ikbkg, Prkaca, Ppp3r1, Mapk13, Pla2g4f, Tab1"
"Fatty acid metabolism",0.335,0.965,1,50,2,"Cpt1a, Acsl6"
"Serotonergic synapse",0.337,0.965,1,123,4,"Gnao1, Kcnj5, Prkaca, Pla2g4f"
"GnRH signaling pathway",0.344,0.972,1,87,3,"Prkaca, Mapk13, Pla2g4f"
"Cytosolic DNA-sensing pathway",0.353,0.987,1,52,2,"Ikbkg, Polr2f"
"IL-17 signaling pathway",0.363,1,1,90,3,"Cebpb, Ikbkg, Mapk13"
"Apoptosis",0.37,1,1,129,4,"Ikbkg, Pdpk1, Pik3ca, Pik3cb"
"Circadian entrainment",0.376,1,1,92,3,"Gnao1, Kcnj5, Prkaca"
"Retrograde endocannabinoid signaling",0.386,1,1,132,4,"Gnao1, Kcnj5, Prkaca, Mapk13"
"Long-term depression",0.396,1,1,57,2,"Gnao1, Pla2g4f"
"Focal adhesion",0.424,1,1,179,5,"Fyn, Pdpk1, Pik3ca, Vegfa, Pik3cb"
"Neuroactive ligand-receptor interaction",0.434,1,1,262,7,"Adra1b, Cckbr, Chrm4, Tbxa2r, Avpr1b, Cysltr1, Lpar3"
"alpha-Linolenic acid metabolism",0.44,1,1,24,1,"Pla2g4f"
"RIG-I-like receptor signaling pathway",0.445,1,1,63,2,"Ikbkg, Mapk13"
"Maturity onset diabetes of the young",0.467,1,1,26,1,"Ins1"
"RNA degradation",0.469,1,1,66,2,"Patl1, Lsm5"
"Renin secretion",0.485,1,1,68,2,"Prkaca, Ppp3r1"
"Inositol phosphate metabolism",0.493,1,1,69,2,"Pik3ca, Pik3cb"
"Gastric acid secretion",0.5,1,1,70,2,"Cckbr, Prkaca"
"Adherens junction",0.5,1,1,70,2,"Fyn, Ep300"
"Regulation of actin cytoskeleton",0.503,1,1,196,5,"Chrm4, Ins1, Itgb2l, Pik3ca, Pik3cb"
"Circadian rhythm",0.516,1,1,30,1,"Prkag1"
"Antifolate resistance",0.516,1,1,30,1,"Ikbkg"
"Fructose and mannose metabolism",0.527,1,1,31,1,"Pfkfb1"
"Apoptosis - multiple species",0.527,1,1,31,1,"Ngfr"
"Phagosome",0.533,1,1,160,4,"Itgb2l, Dync1li1, Sec61a1, Sec61a2"
"Salivary secretion",0.538,1,1,75,2,"Adra1b, Prkaca"
"Alanine, aspartate and glutamate metabolism",0.539,1,1,32,1,"Ppat"
"ErbB signaling pathway",0.559,1,1,78,2,"Pik3ca, Pik3cb"
"Axon guidance",0.572,1,1,168,4,"Fyn, Pik3ca, Ppp3r1, Pik3cb"
"Ribosome",0.582,1,1,126,3,"Rpl26, Rps3a1, Rplp1"
"GABAergic synapse",0.586,1,1,82,2,"Gnao1, Prkaca"
"TGF-beta signaling pathway",0.586,1,1,82,2,"Ep300, Bambi"
"Fc gamma R-mediated phagocytosis",0.599,1,1,84,2,"Pik3ca, Pik3cb"
"Mineral absorption",0.611,1,1,39,1,"Ftl1"
"Hedgehog signaling pathway",0.62,1,1,40,1,"Prkaca"
"Homologous recombination",0.62,1,1,40,1,"Mre11a"
"NF-kappa B signaling pathway",0.625,1,1,88,2,"Ikbkg, Tab1"
"Ether lipid metabolism",0.655,1,1,44,1,"Pla2g4f"
"Phosphatidylinositol signaling system",0.655,1,1,93,2,"Pik3ca, Pik3cb"
"Linoleic acid metabolism",0.663,1,1,45,1,"Pla2g4f"
"Hippo signaling pathway",0.686,1,1,147,3,"Dvl2, Itgb2l, Wnt9b"
"Jak-STAT signaling pathway",0.686,1,1,147,3,"Pik3ca, Ep300, Pik3cb"
"N-Glycan biosynthesis",0.687,1,1,48,1,"Rpn2"
"Endocrine and other factor-regulated calcium reabsorption",0.709,1,1,51,1,"Prkaca"
"NOD-like receptor signaling pathway",0.724,1,1,156,3,"Ikbkg, Mapk13, Tab1"
"Glycerolipid metabolism",0.736,1,1,55,1,"Pnpla2"
"Type I diabetes mellitus",0.749,1,1,57,1,"Ins1"
"Mitophagy - animal",0.772,1,1,61,1,"Foxo3"
"Bile secretion",0.793,1,1,65,1,"Prkaca"
"p53 signaling pathway",0.798,1,1,66,1,"Sesn2"
"Apelin signaling pathway",0.831,1,1,133,2,"Prkaca, Prkag1"
"Cytokine-cytokine receptor interaction",0.837,1,1,243,4,"Xcl1, Ngfr, Tnfrsf1b, Vegfa"
"Antigen processing and presentation",0.838,1,1,75,1,"Hspa8"
"Necroptosis",0.843,1,1,137,2,"Ftl1, Pla2g4f"
"Arachidonic acid metabolism",0.853,1,1,79,1,"Pla2g4f"
"Taste transduction",0.853,1,1,79,1,"Prkaca"
"Gap junction",0.856,1,1,80,1,"Prkaca"
"Peroxisome",0.863,1,1,82,1,"Acsl6"
"Complement and coagulation cascades",0.87,1,1,84,1,"Itgb2l"
"Tight junction",0.873,1,1,148,2,"Prkaca, Prkag1"
"Glycerophospholipid metabolism",0.879,1,1,87,1,"Pla2g4f"
"Ubiquitin mediated proteolysis",0.955,1,1,127,1,"Ube2c"
"Cell adhesion molecules (CAMs)",0.973,1,1,148,1,"Itgb2l"
"Endocytosis",0.982,1,1,244,2,"Arap3, Hspa8"
"Metabolic pathways",0.996,1,1,1190,17,"Rpn2, Polr2a, Acsl6, Tk1, Ppat, Polr2b, Pla2g4f, Nme6, Nme4, Pnpla2, Polr2g, Ak8, Polr2d, Polr2f, Nme3, Uck2, Allc"
"Pentose phosphate pathway",1,1,1,30,0,""
"Carbon metabolism",1,1,1,110,0,""
"Cysteine and methionine metabolism",1,1,1,43,0,""
"Valine, leucine and isoleucine degradation",1,1,1,54,0,""
"Tyrosine metabolism",1,1,1,36,0,""
"Phenylalanine metabolism",1,1,1,20,0,""
"Tryptophan metabolism",1,1,1,41,0,""
"Phenylalanine, tyrosine and tryptophan biosynthesis",1,1,1,6,0,""
"Pentose and glucuronate interconversions",1,1,1,33,0,""
