"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"188",10096,"ACTR3","HighConf","Yes",NA,"ARPC1A, PSMA7","Proteasome (1)"
"389",158067,"AK8","MedConf","Yes","Purine metabolism","NME4, NME3, NME6","Purine metabolism (3), Pyrimidine metabolism (3)"
"459",55821,"ALLC","MedConf","Yes","Purine metabolism",NA,NA
"809",10552,"ARPC1A","MedConf","Yes",NA,"PSMA7, ACTR3","Proteasome (1)"
"1074",29086,"BABAM1","MedConf","Yes",NA,"PSMA4","Proteasome (1)"
"1643",124583,"CANT1","HighConf","Yes","Pyrimidine metabolism, Purine metabolism","UCK2, NME4, NME3, NME6","Pyrimidine metabolism (4), Purine metabolism (3)"
"1662",829,"CAPZA1","HighConf","Yes",NA,"MAGOH","mRNA surveillance pathway (1), Spliceosome (1), RNA transport (1)"
"1677",22794,"CASC3","MedConf","Yes","RNA transport, mRNA surveillance pathway","RPL26, RPSA, RPS28, RPS3A, MAGOH","mRNA surveillance pathway (1), Spliceosome (1), RNA transport (1)"
"1687",837,"CASP4","MedConf","Yes",NA,"EIF4G2","RNA transport (1)"
"1688",839,"CASP6","MedConf","Yes",NA,"EIF4G2","RNA transport (1)"
"2032",728642,"CDK11A","MedConf","Yes",NA,"EIF3F","RNA transport (1)"
"2053",1025,"CDK9","MedConf","Yes",NA,"POLR2B, SUPT5H, POLR2K, POLR2D, POLR2G","RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4)"
"2287",4261,"CIITA","MedConf","Yes",NA,"XPO1, PSMC5","Ribosome biogenesis in eukaryotes (1), RNA transport (1), Proteasome (1)"
"2634",79869,"CPSF7","MedConf","Yes","mRNA surveillance pathway","PABPN1, NFX1, HNRNPA3, POLR2D, SF3B3, POLR2B, SNRPE, SF3B2, SF3B5, SF3A3, POLR2G, SF3A1, SNRPG, SF3B6, SNRPB, SNRPD1, SRSF3, SF3B1, SNRPA1, PHF5A, SNRPD3, POLR2K, MAGOH, SNRNP200","Spliceosome (18), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), mRNA surveillance pathway (2), RNA transport (1)"
"3046",7919,"DDX39B","HighConf","Yes","RNA transport, Spliceosome, mRNA surveillance pathway",NA,NA
"3159",1659,"DHX8","MedConf","Yes","Spliceosome","PHF5A, ISY1-RAB43, PLRG1","Spliceosome (3)"
"3242",3337,"DNAJB1","MedConf","Yes",NA,"HSPB2, HSPA8, EP300","Spliceosome (1)"
"3427",1856,"DVL2","MedConf","Yes",NA,"PSMD14, PSMA6, PSMA7, PSMD11, PSMD6, PSMC1, PSMC4, PSMB1, PSMA1, PSMA3, PSMB4, PSMD2, PSMC5, PSMB2, PSMD3, PSMB6, PSMA4","Proteasome (17)"
"3589",8665,"EIF3F","MedConf","Yes","RNA transport","EIF4G2, CDK11A, RPS28, RPS3A, RPSA, RPL26","RNA transport (1)"
"3608",1982,"EIF4G2","MedConf","Yes","RNA transport","CASP4, CASP6, EIF3F","RNA transport (1)"
"3612",1984,"EIF5A","MedConf","Yes",NA,"XPO1","Ribosome biogenesis in eukaryotes (1), RNA transport (1)"
"3717",2033,"EP300","MedConf","Yes",NA,"PLK1, DNAJB1, FOXO4, HSPB2, FOXO3, HSPA8","Spliceosome (1)"
"4386",2309,"FOXO3","MedConf","Yes",NA,"EP300, PLK1, XPO1, FOXO4","Ribosome biogenesis in eukaryotes (1), RNA transport (1)"
"4387",4303,"FOXO4","HighConf","Yes",NA,"FOXO3, XPO1, EP300","Ribosome biogenesis in eukaryotes (1), RNA transport (1)"
"4435",2512,"FTL","HighConf","Yes",NA,"HSPA8","Spliceosome (1)"
"4559",54433,"GAR1","HighConf","Yes","Ribosome biogenesis in eukaryotes",NA,NA
"4835",26003,"GORASP2","MedConf","Yes",NA,"PSMA6, PSMA3","Proteasome (2)"
"5364",220988,"HNRNPA3","MedConf","Yes","Spliceosome","PHF5A, SRSF3, CPSF7, PABPN1, NFX1, SNRPB, MAGOH, SF3B2, SNRPE, SF3B6, SF3A1, SNRPG, SNRPA1, POLR2B, SF3A3, POLR2G, SF3B5, SF3B1, SF3B3, POLR2K, SNRPD3, POLR2D, SNRPD1, SNRNP200","Spliceosome (17), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), mRNA surveillance pathway (3), RNA transport (1)"
"5504",3312,"HSPA8","HighConf","Yes","Spliceosome","VCP, PSMD6, PSMC1, PSMA6, PSMA7, PSMB6, PSMD14, PSMA3, PSMD11, PSMD2, PSMA1, PSMC4, PSMC5, PSMD3, PSMB4, PSMB1, PSMB2, MAGOH, PSMA4, EP300, DNAJB1, SGTA, UCHL1, ST13, FTL, HSPB2","Proteasome (17), mRNA surveillance pathway (1), Spliceosome (1), RNA transport (1)"
"5507",3316,"HSPB2","MedConf","Yes",NA,"DNAJB1, HSPA8, EP300","Spliceosome (1)"
"5760",55272,"IMP3","MedConf","Yes","Ribosome biogenesis in eukaryotes",NA,NA
"5810",55174,"INTS10","MedConf","Yes",NA,"POLR2D, POLR2B","RNA polymerase (2), Purine metabolism (2), Pyrimidine metabolism (2)"
"5881",100534599,"ISY1-RAB43","HighConf","Yes","Spliceosome","DHX8, SNRPA1, PLRG1","Spliceosome (3)"
"6270",3837,"KPNB1","MedConf","Yes","RNA transport","NUP107, NUP98, NUP62, NXF1, TPX2","RNA transport (4), Ribosome biogenesis in eukaryotes (1), mRNA surveillance pathway (1)"
"6281",3858,"KRT10","MedConf","Yes",NA,"MAGOH","mRNA surveillance pathway (1), Spliceosome (1), RNA transport (1)"
"6585",84967,"LSM10","HighConf","Yes",NA,"SNRPB, SNRPD3, SF3A3, SF3B2, SNRPG, PATL1, SNRPE, SF3A1, SNRPC, SNRPA1","Spliceosome (9)"
"6593",23658,"LSM5","MedConf","Yes","Spliceosome","SNRPD3, PATL1, SNRPD1","Spliceosome (2)"
"6663",4116,"MAGOH","MedConf","Yes","RNA transport, Spliceosome, mRNA surveillance pathway","RPSA, RPS3A, RPS28, PLRG1, SNRPA1, RPL26, SNRPB, SF3B3, SNRPD3, SF3A3, SNRPD1, SF3B2, SNRPG, SF3B1, SNRNP200, SNRPE, SF3A1, SF3B6, SF3B5, NXF1, NUP62, POLR2G, POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, NUP107, CPSF7, PABPN1, TSN, CAPZA1, SON, KRT10, CASC3, NFX1, HSPA8","Spliceosome (19), mRNA surveillance pathway (4), RNA transport (4), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), Ribosome biogenesis in eukaryotes (1)"
"7692",4799,"NFX1","MedConf","Yes",NA,"SF3A3, SF3A1, NUP62, NXF1, SNRPA1, SF3B5, SNRPE, POLR2G, CPSF7, SNRNP200, SF3B2, HNRNPA3, POLR2D, PABPN1, SRSF3, PHF5A, SNRPB, SF3B3, SNRPD3, POLR2K, SNRPD1, POLR2B, MAGOH, SF3B6, SNRPG, NUP107, SF3B1","Spliceosome (18), mRNA surveillance pathway (4), RNA transport (4), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), Ribosome biogenesis in eukaryotes (1)"
"7777",4832,"NME3","MedConf","Yes","Pyrimidine metabolism, Purine metabolism","CANT1, POLR2K, POLR2G, POLR2D, AK8, POLR2B","Purine metabolism (6), Pyrimidine metabolism (5), RNA polymerase (4)"
"7778",4833,"NME4","MedConf","Yes","Pyrimidine metabolism, Purine metabolism","CANT1, POLR2G, POLR2D, POLR2K, AK8, POLR2B","Purine metabolism (6), Pyrimidine metabolism (5), RNA polymerase (4)"
"7780",10201,"NME6","MedConf","Yes","Pyrimidine metabolism, Purine metabolism","CANT1, POLR2G, POLR2K, AK8, POLR2B, POLR2D","Purine metabolism (6), Pyrimidine metabolism (5), RNA polymerase (4)"
"8014",57122,"NUP107","MedConf","Yes","RNA transport","XPO1, NUP98, NFX1, SPC24, SEH1L, KPNB1, NXF1, SNRPE, MAGOH, SRSF3, SNRPB, PLK1, SNRPD1, RAD21, SNRPD3, NUP62, SNRPG, SMC3","Spliceosome (7), RNA transport (7), Ribosome biogenesis in eukaryotes (2), mRNA surveillance pathway (2)"
"8026",23636,"NUP62","HighConf","Yes","RNA transport","KPNB1, SRSF3, NUP107, XPO1, NUP98, NFX1, SNRPG, SNRPB, MAGOH, SNRPD1, SNRPD3, NXF1, SNRPE","Spliceosome (7), RNA transport (6), Ribosome biogenesis in eukaryotes (2), mRNA surveillance pathway (2)"
"8029",4928,"NUP98","MedConf","Yes","RNA transport","SEH1L, NUP107, KPNB1, NUP62, NXF1","RNA transport (5), Ribosome biogenesis in eukaryotes (1), mRNA surveillance pathway (1)"
"8040",10482,"NXF1","HighConf","Yes","RNA transport, mRNA surveillance pathway, Ribosome biogenesis in eukaryotes","NUP62, KPNB1, SRSF3, NUP107, XPO1, NUP98, NFX1, MAGOH","RNA transport (6), Spliceosome (2), mRNA surveillance pathway (1), Ribosome biogenesis in eukaryotes (1)"
"8041",56001,"NXF2","MedConf","Yes","RNA transport, mRNA surveillance pathway, Ribosome biogenesis in eukaryotes",NA,NA
"8501",8106,"PABPN1","MedConf","Yes","mRNA surveillance pathway","NFX1, SF3B2, SNRPE, HNRNPA3, POLR2D, POLR2K, SNRPA1, SNRPD1, SNRNP200, SF3A1, SF3B5, SF3B1, SF3A3, MAGOH, CPSF7, SRSF3, POLR2B, SF3B6, SNRPB, SNRPD3, SNRPG, PHF5A, POLR2G, SF3B3","Spliceosome (18), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), mRNA surveillance pathway (2), RNA transport (1)"
"8585",219988,"PATL1","MedConf","Yes",NA,"POLR2G, POLR2D, LSM5, LSM10, SNRPD3, SNRPD1","Spliceosome (3), RNA polymerase (2), Purine metabolism (2), Pyrimidine metabolism (2)"
"8883",84844,"PHF5A","HighConf","Yes","Spliceosome","SRSF3, CPSF7, PABPN1, NFX1, DHX8, MAGOH, SF3A3, SF3B2, POLR2B, HNRNPA3, SF3B6, SF3B1, SNRPB, POLR2G, SNRPG, SNRPE, POLR2D, POLR2K, SF3A1, SF3B3, SNRNP200, SNRPA1, SNRPD1, SF3B5, SNRPD3","Spliceosome (18), RNA polymerase (4), Purine metabolism (4), Pyrimidine metabolism (4), mRNA surveillance pathway (3), RNA transport (1)"
"9110",5347,"PLK1","MedConf","Yes",NA,"TPX2, WEE1, SMC3, RAD21, NUP107, XPO1, SPC24, FOXO3, EP300, PSMC4, PSMD11, PSMC5, PSMB1, PSMA4, PSMB4, PSMB6, PSMD6, UBE2C, PSMD3, PSMA7, PSMA3, PSMB2, PSMD2, PSMA6, PSMA1, PSMC1, PSMD14","Proteasome (17), RNA transport (2), Ribosome biogenesis in eukaryotes (1)"
"9122",5356,"PLRG1","MedConf","Yes","Spliceosome","SNRPA1, DHX8, SNRPB, SF3B3, SNRPD3, SF3A3, SF3B2, SF3B1, SF3A1, ISY1-RAB43, MAGOH","Spliceosome (11), mRNA surveillance pathway (1), RNA transport (1)"
"9211",5430,"POLR2A","HighConf","Yes","Pyrimidine metabolism, Purine metabolism, RNA polymerase",NA,NA
"9212",5431,"POLR2B","HighConf","Yes","Pyrimidine metabolism, Purine metabolism, RNA polymerase","HNRNPA3, PHF5A, SRSF3, CPSF7, PABPN1, NME4, NME3, NME6, NFX1, CDK9, INTS10, SNRPB, POLR2D, SF3B2, SF3A1, SF3B3, MAGOH, SF3A3, POLR2G, SNRPE, SF3B6, SNRPG, POLR2K, SNRPA1, SNRPD3, SF3B1, SNRNP200, SUPT5H, SF3B5, SNRPD1","Spliceosome (18), Purine metabolism (6), Pyrimidine metabolism (6), RNA polymerase (3), mRNA surveillance pathway (3), RNA transport (1)"
"9214",5433,"POLR2D","HighConf","Yes","Pyrimidine metabolism, Purine metabolism, RNA polymerase","POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, CPSF7, PABPN1, NME4, NME3, NME6, NFX1, CDK9, INTS10, MAGOH, SF3A1, SF3A3, SNRPD1, SNRPD3, SNRPB, SUPT5H, PATL1, POLR2G, SF3B2, SF3B3, SF3B6, SNRPE, SNRNP200, SNRPG, SF3B1, SF3B5, SNRPA1","Spliceosome (18), Purine metabolism (6), Pyrimidine metabolism (6), RNA polymerase (3), mRNA surveillance pathway (3), RNA transport (1)"
"9215",5436,"POLR2G","MedConf","Yes","Pyrimidine metabolism, Purine metabolism, RNA polymerase","POLR2D, POLR2K, POLR2B, HNRNPA3, PHF5A, SRSF3, CPSF7, PABPN1, NME4, NME3, NME6, NFX1, CDK9, SNRPD3, SF3B2, SNRPG, PATL1, MAGOH, SNRPB, SF3B1, SNRPA1, SF3B5, SF3A1, SF3A3, SF3B3, SNRPD1, SNRNP200, SUPT5H, SF3B6, SNRPE","Spliceosome (18), Purine metabolism (6), Pyrimidine metabolism (6), mRNA surveillance pathway (3), RNA polymerase (3), RNA transport (1)"
"9218",5440,"POLR2K","MedConf","Yes","Pyrimidine metabolism, Purine metabolism, RNA polymerase","POLR2B, HNRNPA3, PHF5A, SRSF3, CPSF7, PABPN1, NME4, NME3, NME6, NFX1, CDK9, SF3A1, SNRPB, SF3B2, SNRPG, POLR2G, SF3A3, SNRPE, SF3B6, MAGOH, SUPT5H, SNRPD3, SF3B3, POLR2D, SNRPA1, SF3B5, SNRPD1, SNRNP200, SF3B1","Spliceosome (18), Purine metabolism (6), Pyrimidine metabolism (6), RNA polymerase (3), mRNA surveillance pathway (3), RNA transport (1)"
