"","Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HighScoreGenes","HighScoreGenesNames","MedScoreGenesNames","EnrichScore"
"1","Endocytosis",0,0,0,240,121,120,"ARPC3, ARPC1B, STAM2, ARPC1A, ARFGEF2, EHD1, RAB35, ARAP1, AP2M1, AP2S1, ZFYVE27, CLTA, CLTC, GRK7, WIPF2, AP2A1, DAB2, DNM1, EGFR, EPS15, FGFR4, RAB11FIP2, KIAA1033, PIP5K1C, FOLR1, FOLR3, ACAP2, PSD4, CHMP2B, DNM3, RAB11FIP5, LDLRAP1, ARFGAP3, CYTH4, SNX5, CHMP2A, AMPH, BIN1, GRK4, GRK6, GIT1, EPN1, SNX12, SH3KBP1, HLA-F, HLA-G, HSPA1L, HSPA2, HSPA6, HSPA8, IGF1R, IL2RB, CXCR2, ARF1, KIF5A, KIF5C, ARF5, ARF6, FAM21A, LDLR, ARRB2, RAB8A, NEDD4, ASAP1, PARD6A, SH3GLB1, VPS28, PDGFRA, CHMP3, VPS29, PLD1, VPS37C, ASAP3, VPS35, PARD3, SH3GLB2, RAB4A, RAB5A, GRK1, SMAP1, SH3GL1, SMAP2, SMURF2, SNX1, TFRC, TGFBR1, TSG101, RAB7A, CHMP6, ARPC5L, CAPZA1, CAPZB, PIP5K1B, ARFGAP2, RAB11FIP4, PARD6G, CAV1, CAV2, CAV3, CBLB, SNX4, SNX3, GBF1, RAB11A, ASAP2, HGS, CHMP7, CHMP4C, CYTH2, CYTH1, MVB12A, CAPZA3, VPS4B, VPS26A, RAB11FIP3, ACAP1, IST1, GIT2, IQSEC1, CDC42","",0.748
"2","RNA transport",0,0,0,156,88,88,"SNUPN, SRRM1, SAP18, EIF1B, TACC3, RPP30, PAIP1, NUP50, RPP40, RNPS1, POP1, NUPL2, STRAP, DDX20, RPP25L, PABPC5, EEF1A1, EIF2S3, EIF4A1, EIF4B, EIF4E, EIF4EBP1, EIF4EBP2, CASC3, NCBP2, FMR1, NUP188, PABPC1, CYFIP2, NXT1, PABPC1L2A, EIF3E, KPNB1, RGPD1, MAGOH, NUP98, PABPC3, GEMIN4, TRNT1, POP5, PHAX, NUP54, GEMIN8, ELAC1, NDC1, NUP133, NXT2, NXF3, THOC2, RANBP2, RANGAP1, SENP2, SEC13, PABPC1L2B, SMN2, SUMO2, RGPD2, UBE2I, SUMO1, THOC6, GEMIN7, GEMIN6, RPP21, THOC7, AAAS, FXR1, SEH1L, THOC3, RAE1, GEMIN2, EIF4EBP3, EIF3B, EIF3C, EIF3H, EIF3I, EIF3J, PABPC4, EIF2B4, EIF2B3, EIF2B2, EIF2B5, NUP210L, EIF4E2, NUP155, EIF5B, POM121, NUP153, THOC1","",0.782
"3","Spliceosome",0,0,0,128,68,67,"PQBP1, SMNDC1, BCAS2, SF3A1, PPIE, PPIH, SLU7, PRPF8, USP39, TXNL4A, SRSF8, SF3A3, SF3B2, DDX42, U2AF2, ZMAT2, NCBP2, SNRNP200, U2SURP, LSM5, PRPF6, PRPF40B, LSM4, SYF2, PRPF31, LSM3, PRPF19, HNRNPA1, HNRNPK, HSPA1L, HSPA2, HSPA6, HSPA8, MAGOH, HNRNPM, PCBP1, CDC40, CWC15, PPIL1, WBP11, PLRG1, PRPF38B, XAB2, THOC2, LSM2, RP9, SRSF2, SRSF3, SRSF5, TRA2B, SNRPA, SNRPA1, SNRPB, SNRPD2, SNRPF, U2AF1, SF3B5, THOC3, SRSF9, BUD31, SART1, EFTUD2, DDX23, AQR, DDX46, CDC5L, THOC1","",0.758
"4","Neuroactive ligand-receptor interaction",0,0,0,273,133,133,"LPAR6, NMUR1, CGA, CHRM2, CHRNA1, CHRNA3, CHRNA5, CHRNA7, CHRNB1, CHRNB4, CHRNE, GRIN3A, GRIN3B, ADCYAP1R1, RXFP2, TAAR9, ADORA2A, ADRA2B, CTSG, ADRB3, DRD1, DRD2, DRD3, DRD5, S1PR1, LPAR1, EDNRB, F2RL2, P2RX2, LPAR3, FPR2, FPR3, NTSR2, FSHB, GABRA1, GABRA2, GABRA4, GABRA5, GABRA6, GABRB1, GABRB3, GABRE, GABRG1, GABRR2, GH2, GIPR, GLP1R, GLRA1, GLRA2, NPBWR2, PRLHR, LPAR4, MCHR1, MLNR, P2RY8, GRID1, GRIK3, GRIK5, GRIN2A, GRIN2C, GRIN2D, GRM1, GRM5, GRM6, GRM8, GRPR, HCRTR2, TAAR6, HTR1F, HTR2C, HTR4, HTR5A, HTR7, LEPR, LHB, MC1R, MC2R, MC3R, MC4R, MC5R, MTNR1A, MTNR1B, NMBR, NPY1R, NPY5R, OPRM1, OXTR, P2RX4, P2RY2, P2RY6, P2RY11, RXFP3, S1PR5, P2RY13, AVPR1A, AVPR1B, PRL, PARD3, LTB4R2, NMUR2, CHRNA10, CYSLTR2, PTAFR, PTGER2, PTGIR, PTH2R, HRH4, RXFP1, BDKRB1, BDKRB2, SSTR1, SSTR4, SSTR5, TACR2, TACR3, TBXA2R, TSPO, THRA, THRB, TRHR, TSHB, C5AR1, VIPR2, CALCR, MCHR2, KISS1R, GALR2, F2RL3, TAAR5, TAAR2, S1PR2, GLP2R, P2RY14","",0.744
"5","Tight junction",0,0,0.001,160,80,78,"TUBA1B, MYL9, CLDN16, CFTR, TUBA3E, CLDN4, CLDN23, CLDN19, IGSF5, AMOTL1, DLG3, CTTN, CLDN15, GATA4, HCLS1, ITGB1, LLGL1, MAP3K5, RAB8A, MSN, MYH2, MYH4, MYH11, MYL6, NEDD4, CLDN20, CLDN11, PARD6A, PCNA, AMOTL2, RAB8B, PRKAG3, ARHGAP17, PPP2R2B, PRKAB1, PRKACB, PRKACG, PRKAG1, MAPK8, PARD3, ACTR3B, CGN, MYH7B, RAP2C, JAM2, RDX, ROCK1, MPP5, STK11, TJP1, ACTG1, CLDN5, TUBA4A, EZR, CACNA1D, MICALL2, MYH14, TUBAL3, ACTN4, SYMPK, JAM3, PARD6G, TUBA1C, CGNL1, YBX3, ACTN1, MYH13, CLDN6, CLDN2, CD1A, CD1B, CD1C, CD1E, ARHGEF2, MAGI1, CRB3, ROCK2, CDC42","",0.738
"6","Phospholipase D signaling pathway",0,0,0.002,144,73,72,"AKT3, LPAR6, AGPAT1, AGPAT2, GNA13, ADCY1, PLA2G4E, DGKK, DGKB, DGKG, DGKQ, DNM1, LPAR1, EGFR, AKT2, MRAS, PIP5K1C, LPAR3, GAB1, PLA2G4F, SHC2, DNM3, CYTH4, GNA12, GNAS, PLA2G4D, LPAR4, GRM1, GRM5, GRM6, GRM8, CXCL8, CXCR2, INS, ARF1, KIT, ARF6, KITLG, PDGFA, PDGFB, PDGFRA, PIK3CG, PIK3R2, PLA2G4A, PLCB2, PLCB3, PLCB4, PLCG1, SHC3, PLD1, AVPR1A, AVPR1B, MAPK1, MAP2K1, SPHK2, PTPN11, RAF1, RALA, RALGDS, RHEB, SHC1, SOS1, SYK, TSC2, PDGFD, PIP5K1B, DGKZ, DGKE, SPHK1, CYTH2, CYTH1, GAB2","",0.747
"7","FoxO signaling pathway",0,0,0.003,129,66,66,"AKT3, BCL2L11, SGK2, CDKN1A, CDKN1B, KLF2, PLK4, GABARAPL2, CHUK, FBXO32, PLK3, CREBBP, CSNK1E, S1PR1, EGFR, EP300, AKT2, FOXG1, SGK3, G6PC, GRM1, IGF1, IGF1R, IKBKB, FASLG, IL6, IL7R, IL10, INS, IRS1, FOXO4, ATM, PCK2, PDPK1, NLK, PIK3R2, PLK1, PRKAG3, PRKAB1, PRKAG1, MAPK1, MAPK8, MAPK13, MAP2K1, PTEN, RAF1, RAG1, MAPK12, SGK1, SKP2, SLC2A4, BNIP3, SOD2, SOS1, BRAF, STK11, TGFB2, TGFBR1, USP7, SETD7, IRS4, CCNB3, CCNB1, CCNG2, CCNB2, HOMER3","",0.756
"8","Ras signaling pathway",0,0.001,0.008,223,102,101,"AKT3, PAK4, RALBP1, CHUK, RASGRP4, PLA2G4E, CSF1, EFNA2, EGFR, EPHA2, AKT2, ETS2, FGF6, FGF8, FGF11, FGF12, FGF13, FGF14, FGFR1, FGFR4, MRAS, RASA3, GAB1, PLA2G4F, SHC2, PLA2G2D, LAT, GNB3, GNG3, GNGT2, PLA2G4D, GRIN2A, PLA2G2E, HTR7, IGF1, IGF1R, IKBKB, FASLG, INS, KIT, ARF6, MET, KITLG, FOXO4, NF1, NFKB1, NGF, PDGFA, PDGFB, PDGFRA, CALML5, PIK3R2, PLA2G1B, PLA2G2A, PLA2G4A, PLA2G5, PLCG1, SHC3, PLD1, PRKACB, PRKACG, PRKCG, MAPK1, MAPK8, MAP2K1, PAK6, BAD, PTPN11, RAB5A, RAF1, RALA, RALGDS, RASA1, RASA2, RASGRF2, GNB4, RELA, PLA2G2F, SHC1, RASAL3, SOS1, VEGFC, CALM1, PDGFD, CALM2, FGF23, CALM3, PLA2G12A, BRAP, PLA2G6, RASAL1, IKBKG, FGF17, SYNGAP1, KSR1, CALML4, GNG8, RIN1, RAPGEF5, GAB2, CDC42","",0.724
"9","cGMP-PKG signaling pathway",0,0.001,0.008,162,78,78,"AKT3, KCNMB2, MYL9, CREB3, GNA13, ADCY1, CNGB1, CNGA1, ATF2, ATF6B, ADRA2B, ADRB3, KCNU1, EDNRB, AKT2, ATP1B4, GATA4, GNA11, GNA12, GNAI1, GNAI2, GNAI3, GTF2I, GUCY1A3, GUCY1B3, INS, IRS1, KCNMA1, MEF2C, MEF2D, MYLK, ATP1A1, NFATC4, ATP1B2, NOS3, FXYD2, ATP2A1, ATP2A2, ATP2A3, ATP2B3, ATP2B4, PDE3B, CALML5, PIK3CG, PLCB2, PLCB3, PLCB4, PLN, PPP1CC, PPP3CA, PPP3CC, PPP3R2, PRKG1, PRKG2, MAPK1, MAP2K1, BAD, RAF1, ROCK1, BDKRB2, SLC8A2, SRF, TRPC6, VDAC2, VDAC3, CACNA1D, CACNA1S, CALM1, CALM2, CALM3, CREB3L3, IRS4, PDE5A, CREB3L1, CALML4, ROCK2, GTF2IRD1, CREB5","",0.741
"10","Thyroid hormone signaling pathway",0,0.001,0.01,116,59,59,"AKT3, MED16, NCOA2, PLCD3, CREBBP, CTNNB1, DIO1, RCAN1, EP300, AKT2, ATP1B4, SIN3A, GATA4, MED4, GSK3B, HDAC1, ITGAV, MYH6, ATP1A1, ATP1B2, NOTCH1, NOTCH4, FXYD2, ATP2A2, PDPK1, PIK3R2, PLCB2, PLCB3, PLCB4, PLCG1, PLN, SLCO1C1, MED1, PRKACB, PRKACG, PRKCG, MAPK1, MAP2K1, BAD, RAF1, RHEB, RXRB, RXRG, BMP4, SLC16A2, THRA, THRB, ACTG1, TP53, TSC2, NCOA3, PLCD4, NCOA1, HDAC3, KAT2B, MED30, MED14, MED17, TBC1D4","",0.754
