"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"52",5414,"4-Sep","HighConf","Yes","Apoptosis","XIAP, UBC","Apoptosis (1), Focal adhesion (1), NF-kappa B signaling pathway (1)"
"132",8086,"AAAS","HighConf","Yes","RNA transport","NUPL2, PHAX, CDC40, KPNB1, NUP155, NUP153, UBC, NCBP2, GEMIN7, GCKR, SRRM1, SNRPB, NUP133, SRSF3, MAGOH, GEMIN2, DDX20, U2AF1, U2AF2, GEMIN6, NUP50, NUP188, SNRPF, SRSF9, GEMIN4, RANBP2, NEK9, SRSF5, NUP54, NPM1, SNUPN, SRSF2, RAE1, EIF4E","RNA transport (21), Spliceosome (11), EGFR tyrosine kinase inhibitor resistance (1), Longevity regulating pathway (1), mTOR signaling pathway (1), PI3K-Akt signaling pathway (1), Insulin signaling pathway (1)"
"143",15,"AANAT","HighConf","Yes",NA,"MAOA, SFN, DDC, YWHAZ","Dopaminergic synapse (2), Serotonergic synapse (2), PI3K-Akt signaling pathway (1)"
"144",25980,"AAR2","HighConf","Yes",NA,"LSM10, SART1, UBC, PRPF6, CD2BP2, SNRPB, EFTUD2, PRPF8, SNRNP200","Spliceosome (6)"
"155",19,"ABCA1","HighConf","Yes","Fat digestion and absorption","APOA1, DLG3, RXRG, NR1H3, HELZ2, SNTA1, UBC, NCOA1, NCOA2, CREBBP, MED1","Thyroid hormone signaling pathway (5), Adherens junction (1), Jak-STAT signaling pathway (1), Glucagon signaling pathway (1), cAMP signaling pathway (1), Melanogenesis (1), FoxO signaling pathway (1), Adipocytokine signaling pathway (1), Tight junction (1), Fat digestion and absorption (1)"
"159",20,"ABCA2","HighConf","Yes",NA,"ATP1A1, ABCB6, FXYD2, ATP12A, ABCD4, PLN","Adrenergic signaling in cardiomyocytes (3), cAMP signaling pathway (3), Thyroid hormone signaling pathway (3), cGMP-PKG signaling pathway (3), Endocrine and other factor-regulated calcium reabsorption (2), Pancreatic secretion (2), Calcium signaling pathway (1)"
"172",10058,"ABCB6","HighConf","Yes",NA,"FXYD2, ABCD4, ABCA2, ATP12A, PLN, UBC, ATP1A1","Adrenergic signaling in cardiomyocytes (3), cAMP signaling pathway (3), Thyroid hormone signaling pathway (3), cGMP-PKG signaling pathway (3), Endocrine and other factor-regulated calcium reabsorption (2), Pancreatic secretion (2), Calcium signaling pathway (1)"
"185",6833,"ABCC8","HighConf","Yes",NA,"PRKACG, PRKACB","Vasopressin-regulated water reabsorption (2), Ovarian steroidogenesis (2), Circadian entrainment (2), Longevity regulating pathway (2), Adrenergic signaling in cardiomyocytes (2), Glutamatergic synapse (2), Endocrine and other factor-regulated calcium reabsorption (2), Regulation of lipolysis in adipocytes (2), Platelet activation (2), Relaxin signaling pathway (2), Dopaminergic synapse (2), Inflammatory mediator regulation of TRP channels (2), Chemokine signaling pathway (2), MAPK signaling pathway (2), Glucagon signaling pathway (2), cAMP signaling pathway (2), Estrogen signaling pathway (2), Oxytocin signaling pathway (2), Vascular smooth muscle contraction (2), Serotonergic synapse (2), Calcium signaling pathway (2), Melanogenesis (2), Gap junction (2), Renin secretion (2), Olfactory transduction (2), Insulin signaling pathway (2), Thyroid hormone signaling pathway (2), Ras signaling pathway (2), Tight junction (2)"
"190",5826,"ABCD4","HighConf","Yes",NA,"ABCA2, PLN, ATP12A, ABCB6, FXYD2, ATP1A1","Adrenergic signaling in cardiomyocytes (3), cAMP signaling pathway (3), Thyroid hormone signaling pathway (3), cGMP-PKG signaling pathway (3), Endocrine and other factor-regulated calcium reabsorption (2), Pancreatic secretion (2), Calcium signaling pathway (1)"
"198",64240,"ABCG5","HighConf","Yes","Fat digestion and absorption",NA,NA
