"GeneSymbol","Replicate1","X","EntrezID","Zscore","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","ConfidenceCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","KEGG.3","KEGG.class.iteration3","Network.3","Network.class.iteration3","KEGG.4","KEGG.class.iteration4","Network.4","Network.class.iteration4","Pathway"
"1-Dec",0,9394,50514,0.738,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"1-Mar",0,10786,55016,0.515,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"1-Mar",0,13240,64757,-0.294,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"1-Sep",0,3394,1731,0.913,0,0.5,"Present",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"10-Mar",0,3135,162333,0.222,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"10-Sep",0,2779,151011,-0.551,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"10431",0,392,10431,0.041,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"11-Mar",0,8865,441061,1.313,0,0.5,"Absent",1.155,1.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"11-Sep",1,11336,55752,-2.372,0,0.5,"Absent",1.155,1.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"115669",0,1358,115669,1.222,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"12-Sep",0,1706,124404,-0.815,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"1231",1,1658,1231,-4.083,0,0.5,"Present",NA,0.155,"HitbyZS","HitbyNA","HitbyCSA","HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"123887",0,1686,123887,-0.16,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"14-Sep",0,7443,346288,0.335,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"149469",0,2706,149469,-0.253,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"15-Sep",0,17547,9403,0.472,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"164022",0,3205,164022,-0.622,0,1,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"165057",0,3233,165057,0.365,0,0,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"171489",0,3378,171489,0.772,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"196296",0,3585,196296,1.148,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"196346",0,3587,196346,-0.465,0,0.5,"Present",NA,0.155,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"2-Mar",0,9705,51257,-0.391,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
"2-Mar",0,10764,54996,-0.683,0,0.5,"Absent",1,1,"0","0","0",NA,"Missing","0","No","0","Missing","0","No","0","Missing","0","No","0","Missing","0","No","0",NA
