"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"TMEM177, UBC, SIN3A","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IGF2, IL1B, KALRN, RHOF, PF4, SERPING1, TGFB2, GAB2, HSPA5","Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (3), MAPK signaling pathway (3), Cytokine-cytokine receptor interaction (3), Ras signaling pathway (2), Chemokine signaling pathway (2), Regulation of actin cytoskeleton (2), Sphingolipid signaling pathway (1), Fc epsilon RI signaling pathway (1), Protein export (1), Protein processing in endoplasmic reticulum (1), Thyroid hormone synthesis (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Focal adhesion (1), Rap1 signaling pathway (1), Leukocyte transendothelial migration (1)"
"140",22848,"AAK1","MedConf","Yes",NA,"NUMBL","Notch signaling pathway (1)"
"154",18,"ABAT","HighConf","Yes",NA,"ALDH3A2, SGPL1","Sphingolipid signaling pathway (1), Lysine degradation (1)"
"159",20,"ABCA2","MedConf","Yes",NA,"ATP12A, ATP1A3, ATP1B3, UBC","Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Protein digestion and absorption (2), Thyroid hormone signaling pathway (2), Aldosterone-regulated sodium reabsorption (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"220",10006,"ABI1","HighConf","Yes",NA,"SYK, ARPC1B, PIK3R3, EGFR, ACTR2, UBC, ITGB1, EPS8","Regulation of actin cytoskeleton (4), PI3K-Akt signaling pathway (4), Focal adhesion (3), Rap1 signaling pathway (3), Fc epsilon RI signaling pathway (2), Ras signaling pathway (2), Relaxin signaling pathway (2), Osteoclast differentiation (2), Leukocyte transendothelial migration (2), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Thyroid hormone signaling pathway (1), Aldosterone-regulated sodium reabsorption (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1), Chemokine signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), GnRH signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Phagosome (1)"
"238",32,"ACACB","MedConf","Yes",NA,"UBQLN4, BRSK2, OASL, DPYSL2, SUN1, PPP4C, RRAGA, HSD17B4, UBB, RPS27A, RAD51, E2F3, PPP2CB, ISG15, SP1, UBC, CCT2","Mitophagy - animal (2), RIG-I-like receptor signaling pathway (1), Sphingolipid signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1), PI3K-Akt signaling pathway (1), Ribosome (1), Protein processing in endoplasmic reticulum (1)"
"246",36,"ACADSB","MedConf","Yes",NA,"HADHA, UBC","Lysine degradation (1)"
"262",1636,"ACE","MedConf","Yes","Renin secretion","UBC, AGT","Renin secretion (1)"
"268",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome","SON, SRPK2, SRPK1, BCAS2, UBC, SAFB","Spliceosome (1)"
