"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all","NtwrkCount.Proteasome","Ntwrk.Proteasome","NtwrkCount.NA","Ntwrk.NA","NtwrkCount.NA","Ntwrk.NA","Total_Path_Hits.net.count"
"1",55752,"11-Sep",319,"HighConf","Novel",NA,3,"TMEM177, UBC, SIN3A",0,NA,0,"",0,"",0
"2",2,"A2M",211,"HighConf","Novel",NA,17,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IGF2, IL1B, KALRN, RHOF, PF4, SERPING1, TGFB2, GAB2, HSPA5",0,NA,0,"",0,"",0
"3",22848,"AAK1",1183,"MedConf","Novel",NA,1,"NUMBL",0,NA,0,"",0,"",0
"4",18,"ABAT",597,"HighConf","Novel",NA,2,"ALDH3A2, SGPL1",0,NA,0,"",0,"",0
"5",20,"ABCA2",1091,"MedConf","Novel",NA,4,"ATP12A, ATP1A3, ATP1B3, UBC",0,NA,0,"",0,"",0
"6",10006,"ABI1",896,"HighConf","Novel",NA,8,"SYK, ARPC1B, PIK3R3, EGFR, ACTR2, UBC, ITGB1, EPS8",0,NA,0,"",0,"",0
"7",32,"ACACB",298,"MedConf","Novel",NA,17,"UBQLN4, BRSK2, OASL, DPYSL2, SUN1, PPP4C, RRAGA, HSD17B4, UBB, RPS27A, RAD51, E2F3, PPP2CB, ISG15, SP1, UBC, CCT2",0,NA,0,"",0,"",0
"8",36,"ACADSB",1042,"MedConf","Novel",NA,2,"HADHA, UBC",0,NA,0,"",0,"",0
"9",1636,"ACE",1017,"MedConf","Novel","Renin secretion",2,"UBC, AGT",0,NA,0,"",0,"",0
"10",22985,"ACIN1",335,"HighConf","Novel","RNA transport, Spliceosome",6,"SON, SRPK2, SRPK1, BCAS2, UBC, SAFB",0,NA,0,"",0,"",0
"11",50,"ACO2",880,"HighConf","Novel",NA,2,"SIN3A, UBC",0,NA,0,"",0,"",0
"12",59,"ACTA2",234,"MedConf","Novel","Relaxin signaling pathway",19,"YBX1, ACTR2, CFL1, SORBS3, VCL, MCM3AP, GSTP1, ITGA1, MYL1, TRIM9, TWF2, IMPACT, YEATS4, INO80, CFDP1, UBC, PXN, UBB, EGFR",0,NA,0,"",0,"",0
"13",10097,"ACTR2",265,"HighConf","Novel",NA,13,"RANGAP1, WIPF2, ABI1, CORO1B, PANK4, CDC42, PDGFRB, UBC, PSMA7, HCLS1, ACTA2, ARPC1B, UBB",1,"PSMA7",0,"",0,"",1
"14",94,"ACVRL1",460,"MedConf","Novel",NA,3,"ITGA5, BAMBI, SMAD1",0,NA,0,"",0,"",0
"15",8038,"ADAM12",1036,"MedConf","Novel",NA,4,"IGFBP3, ITGB1, LRIG1, EGFR",0,NA,0,"",0,"",0
"16",8754,"ADAM9",972,"MedConf","Novel",NA,5,"UBC, COL17A1, SNX9, ITGAV, SH3GLB1",0,NA,0,"",0,"",0
"17",104,"ADARB1",1177,"MedConf","Novel",NA,3,"NXF1, NIFK, UBL5",0,NA,0,"",0,"",0
"18",154,"ADRB2",488,"HighConf","Novel","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes",26,"AGT, ADRBK1, GNA15, SYNE2, VIPR1, PRKAR2B, MC2R, EDN1, IL1B, GNA11, GHRH, GPBAR1, HTR6, PTGER2, CAV3, DRD5, GRK4, CXCR4, GNAI3, CALCR, ERG, HRH2, CFTR, PTGIR, SCT, UBC",0,NA,0,"",0,"",0
