"","name","imports","weights","datasource","Confidence"
"1","Novel.A2M","Novel.CDC42",900,"database","High"
"2","Novel.AAK1","Novel.CFTR",900,"database","Medium"
"3","Novel.AAK1","Novel.DNM1",900,"database","Medium"
"4","Novel.AAK1","Novel.TACR1",900,"database","Medium"
"5","Novel.AAK1","Novel.CHRM2",900,"database","Medium"
"6","Novel.AAK1","Vasopressin-regulated water reabsorption.RAB5A",900,"database","Medium"
"7","Novel.AAK1","Novel.CLTC",900,"database","Medium"
"8","Novel.AAK1","Novel.SYT1",900,"database","Medium"
"9","Novel.AAK1","Novel.EGFR",900,"database","Medium"
"10","Novel.AAK1","Novel.CLTA",900,"database","Medium"
"11","Novel.AAK1","Novel.ADRB2",900,"database","Medium"
"12","Novel.ABAT","Novel.CFL1",417,"experimental","High"
"13","Novel.ABAT","Novel.PRPF8",417,"experimental","High"
"14","Novel.ABI1","Novel.EGFR",900,"database","High"
"15","Novel.ABI1","Novel.ARPC1B",900,"database","High"
"16","Novel.ABI1","Novel.CDC42",900,"database","High"
"17","Novel.ACTR2","Proteasome.PSMD7",417,"experimental","High"
"18","Novel.ACTR2","Proteasome.PSMA7",900,"database","High"
"19","Novel.ACTR2","Vasopressin-regulated water reabsorption.RAB5A",900,"database","High"
"20","Novel.ACTR2","Novel.CLTC",900,"database","High"
"21","Novel.ACTR2","Novel.CDC42",900,"database","High"
"22","Novel.ACTR2","Novel.SYT1",900,"database","High"
"23","Novel.ACTR2","Novel.CFL1",774,"experimental","High"
"24","Novel.ACTR2","Novel.EGFR",900,"database","High"
"25","Novel.ACTR2","Novel.ARPC1B",900,"database","High"
"26","Novel.ACTR2","Novel.PDGFRB",900,"database","High"
"27","Novel.ACTR2","Novel.CLTA",900,"database","High"
"28","Novel.ACTR2","Novel.ADRB2",900,"database","High"
"29","Novel.ACTR2","Novel.CFTR",900,"database","High"
"30","Novel.ACTR2","Novel.DNM1",900,"database","High"
"31","Novel.ACTR2","Novel.TACR1",900,"database","High"
"32","Novel.ACTR2","Novel.CHRM2",900,"database","High"
"33","Novel.ADPRHL1","RNA transport.EIF4B",614,"experimental","High"
"34","Novel.ADPRHL1","Novel.SRP68",424,"experimental","High"
"35","Novel.ADPRHL1","RNA transport.RAE1",614,"experimental","High"
"36","Novel.ADRB2","Novel.LDLR",900,"database","High"
"37","Novel.ADRB2","Novel.SNX18",900,"database","High"
"38","Novel.ADRB2","Novel.AAK1",900,"database","High"
"39","Novel.ADRB2","Novel.CFTR",900,"database","High"
"40","Novel.ADRB2","Novel.DNM1",900,"database","High"
"41","Novel.ADRB2","Novel.WNT5A",900,"database","High"
"42","Novel.ADRB2","Novel.TF",900,"database","High"
"43","Novel.ADRB2","Novel.AGFG1",900,"database","High"
"44","Novel.ADRB2","Novel.APOB",900,"database","High"
"45","Novel.ADRB2","Novel.EPN1",900,"database","High"
"46","Novel.ADRB2","Novel.TACR1",900,"database","High"
"47","Novel.ADRB2","Novel.CHRM2",900,"database","High"
"48","Novel.ADRB2","Novel.EDN1",900,"database","High"
"49","Novel.ADRB2","Novel.SNX9",900,"database","High"
"50","Novel.ADRB2","Vasopressin-regulated water reabsorption.RAB5A",900,"database","High"
"51","Novel.ADRB2","Novel.ACTR2",900,"database","High"
"52","Novel.ADRB2","Novel.RPS27A",900,"database","High"
"53","Novel.ADRB2","Novel.UBB",900,"database","High"
"54","Novel.ADRB2","Novel.CLTC",900,"database","High"
"55","Novel.ADRB2","Novel.PRKAR2B",900,"database","High"
"56","Novel.ADRB2","Novel.ADRBK1",900,"database","High"
"57","Novel.ADRB2","Novel.HRH2",900,"database","High"
"58","Novel.ADRB2","Novel.GNG3",900,"database","High"
"59","Novel.ADRB2","Novel.SYT1",900,"database","High"
"60","Novel.ADRB2","Novel.EGFR",900,"database","High"
"61","Novel.ADRB2","Novel.GNG10",900,"database","High"
"62","Novel.ADRB2","Novel.UBC",900,"database","High"
"63","Novel.ADRB2","Novel.SCARB2",900,"database","High"
"64","Novel.ADRB2","Novel.PIK3C2A",900,"database","High"
"65","Novel.ADRB2","Novel.ITSN2",900,"database","High"
"66","Novel.ADRB2","Novel.GNAI3",800,"database","High"
"67","Novel.ADRB2","Novel.CLTA",900,"database","High"
"68","Novel.ADRB2","Novel.AGT",900,"database","High"
"69","Novel.ADRBK1","Novel.CXCL8",900,"database","Medium"
"70","Novel.ADRBK1","Novel.ADRB2",900,"database","Medium"
"71","Novel.ADRBK1","Novel.TACR1",900,"database","Medium"
"72","Novel.ADRBK1","Novel.EDN1",900,"database","Medium"
"73","Novel.ADRBK1","Novel.PAPOLA",417,"experimental","Medium"
"74","Novel.AGFG1","Novel.TACR1",900,"database","Medium"
"75","Novel.AGFG1","Novel.CHRM2",900,"database","Medium"
"76","Novel.AGFG1","Vasopressin-regulated water reabsorption.RAB5A",900,"database","Medium"
"77","Novel.AGFG1","Novel.CLTC",900,"database","Medium"
"78","Novel.AGFG1","Novel.SYT1",900,"database","Medium"
"79","Novel.AGFG1","Novel.EGFR",900,"database","Medium"
"80","Novel.AGFG1","Novel.CLTA",900,"database","Medium"
"81","Novel.AGFG1","Novel.ADRB2",900,"database","Medium"
"82","Novel.AGFG1","Novel.CFTR",900,"database","Medium"
"83","Novel.AGFG1","Novel.DNM1",900,"database","Medium"
