"","name","imports","weights","datasource","Confidence"
"1","Novel.A2M","Toll-like receptor signaling pathway.IL1B",488,"experimental","High"
"2","Novel.A2M","Novel.CDC42",900,"database","High"
"3","Novel.A2M","Novel.TGFB2",900,"database","High"
"4","Novel.A2M","Novel.PF4",900,"database","High"
"5","Novel.A2M","Novel.GAB2",900,"database","High"
"6","Novel.AAK1","Novel.CFTR",900,"database","Medium"
"7","Novel.AAK1","Novel.DNM1",900,"database","Medium"
"8","Novel.AAK1","Novel.TACR1",900,"database","Medium"
"9","Novel.AAK1","Novel.CHRM2",900,"database","Medium"
"10","Novel.AAK1","Novel.RAB5A",900,"database","Medium"
"11","Novel.AAK1","Novel.EGFR",900,"database","Medium"
"12","Novel.ABAT","Novel.CFL1",417,"experimental","High"
"13","Novel.ABAT","Novel.PRPF8",417,"experimental","High"
"14","Novel.ABI1","Novel.EGFR",900,"database","High"
"15","Novel.ABI1","Novel.ARPC1B",900,"database","High"
"16","Novel.ABI1","Novel.SYK",900,"database","High"
"17","Novel.ABI1","Novel.ITGB1",900,"database","High"
"18","Novel.ABI1","Novel.CDC42",900,"database","High"
"19","Novel.ACE","Novel.AGT",900,"database","Medium"
"20","Novel.ACTR2","Proteasome.PSMD7",417,"experimental","High"
"21","Novel.ACTR2","Proteasome.PSMA7",900,"database","High"
"22","Novel.ACTR2","Novel.CLTC",900,"database","High"
"23","Novel.ACTR2","Novel.CDC42",900,"database","High"
"24","Novel.ACTR2","Novel.SYT1",900,"database","High"
"25","Novel.ACTR2","Novel.RAB5A",900,"database","High"
"26","Novel.ACTR2","Novel.CFL1",774,"experimental","High"
"27","Novel.ACTR2","Novel.EGFR",900,"database","High"
"28","Novel.ACTR2","Novel.ARPC1B",900,"database","High"
"29","Novel.ACTR2","Novel.PDGFRB",900,"database","High"
"30","Novel.ACTR2","Novel.CLTA",900,"database","High"
"31","Novel.ACTR2","Novel.ADRB2",900,"database","High"
"32","Novel.ACTR2","Novel.CFTR",900,"database","High"
"33","Novel.ACTR2","Novel.DNM1",900,"database","High"
"34","Novel.ACTR2","Novel.TACR1",900,"database","High"
"35","Novel.ACTR2","Novel.CHRM2",900,"database","High"
"36","Novel.ADPRHL1","RNA transport.EIF4B",614,"experimental","High"
"37","Novel.ADPRHL1","Novel.SRP68",424,"experimental","High"
"38","Novel.ADPRHL1","RNA transport.RAE1",614,"experimental","High"
"39","Novel.ADRB2","Novel.CFTR",900,"database","High"
"40","Novel.ADRB2","Novel.DNM1",900,"database","High"
"41","Novel.ADRB2","Novel.TACR1",900,"database","High"
"42","Novel.ADRB2","Novel.CHRM2",900,"database","High"
"43","Novel.ADRB2","Novel.EDN1",900,"database","High"
"44","Novel.ADRB2","Novel.CXCR4",900,"database","High"
"45","Novel.ADRB2","Novel.NPY",800,"database","High"
"46","Novel.ADRB2","Novel.RLN3",900,"database","High"
"47","Novel.ADRB2","Novel.P2RY11",900,"database","High"
"48","Novel.ADRB2","Novel.ACTR2",900,"database","High"
"49","Novel.ADRB2","Novel.RPS27A",900,"database","High"
"50","Novel.ADRB2","Novel.UBB",900,"database","High"
"51","Novel.ADRB2","Novel.ADRBK1",900,"database","High"
"52","Novel.ADRB2","Novel.GNG3",900,"database","High"
"53","Novel.ADRB2","Novel.RAB5A",900,"database","High"
"54","Novel.ADRB2","Novel.EGFR",900,"database","High"
