"","name","imports","weights","datasource","Confidence"
"1","Novel.ACTR2","Proteasome.PSMD7",417,"experimental","High"
"2","Novel.ACTR2","Proteasome.PSMA7",900,"database","High"
"3","Novel.ADPRHL1","RNA transport.EIF4B",614,"experimental","High"
"4","Novel.ADPRHL1","RNA transport.RAE1",614,"experimental","High"
"5","Novel.BAG1","RNA transport.NXF1",417,"experimental","Medium"
"6","Novel.BAG1","Proteasome.PSMC1",774,"experimental","Medium"
"7","Novel.BCAS2","RNA transport.SRRM1",900,"database","Medium"
"8","Novel.BCAS2","Proteasome.PSMD3",417,"experimental","Medium"
"9","Novel.BCAS2","RNA transport.ACIN1",503,"experimental","Medium"
"10","Novel.BUB1B","Proteasome.PSMF1",900,"database","Medium"
"11","Novel.BUB1B","RNA transport.RANBP2",900,"database","Medium"
"12","Novel.BUB1B","Proteasome.PSMC4",900,"database","Medium"
"13","Novel.BUB1B","Proteasome.PSMA3",900,"database","Medium"
"14","Novel.BUB1B","Proteasome.PSMD7",900,"database","Medium"
"15","Novel.BUB1B","Proteasome.PSMC1",900,"database","Medium"
"16","Novel.BUB1B","Proteasome.PSMA6",900,"database","Medium"
"17","Novel.BUB1B","Proteasome.PSMD11",900,"database","Medium"
"18","Novel.BUB1B","Proteasome.PSMB1",900,"database","Medium"
"19","Novel.BUB1B","Proteasome.PSMD3",900,"database","Medium"
"20","Novel.BUB1B","Proteasome.PSMA5",900,"database","Medium"
"21","Novel.BUB1B","Proteasome.PSMB4",900,"database","Medium"
"22","Novel.BUB1B","Proteasome.PSMC2",900,"database","Medium"
"23","Novel.BUB1B","Proteasome.PSMD6",900,"database","Medium"
"24","Novel.BUB1B","Proteasome.PSMD1",900,"database","Medium"
"25","Novel.BUB1B","Proteasome.PSMD2",900,"database","Medium"
"26","Novel.BUB1B","Proteasome.PSMC5",900,"database","Medium"
"27","Novel.BUB1B","Proteasome.PSMD12",900,"database","Medium"
"28","Novel.BUB1B","Proteasome.PSMB5",900,"database","Medium"
"29","Novel.BUB1B","Proteasome.PSMA7",900,"database","Medium"
"30","Novel.BUB1B","Proteasome.PSMB2",900,"database","Medium"
"31","Novel.BUB1B","Proteasome.PSMB9",900,"database","Medium"
"32","Novel.BUB1B","Proteasome.PSMA1",900,"database","Medium"
"33","Novel.BUB1B","RNA transport.RANGAP1",900,"database","Medium"
"34","Novel.BUB1B","Proteasome.PSMA4",900,"database","Medium"
"35","Novel.BUB1B","RNA transport.RAE1",774,"experimental","Medium"
"36","Novel.BUB1B","RNA transport.NUP43",900,"database","Medium"
"37","Novel.C9orf72","RNA transport.EIF2S2",534,"experimental","High"
"38","Novel.CCAR1","RNA transport.SRRM1",900,"database","High"
"39","Novel.CCNE1","Proteasome.PSMF1",900,"database","Medium"
"40","Novel.CCNE1","Proteasome.PSMC4",900,"database","Medium"
"41","Novel.CCNE1","Proteasome.PSMA3",900,"database","Medium"
"42","Novel.CCNE1","Proteasome.PSMD7",900,"database","Medium"
"43","Novel.CCNE1","Proteasome.PSMC1",900,"database","Medium"
"44","Novel.CCNE1","Proteasome.PSMA6",900,"database","Medium"
"45","Novel.CCNE1","Proteasome.PSMD11",900,"database","Medium"
"46","Novel.CCNE1","Proteasome.PSMB1",900,"database","Medium"
"47","Novel.CCNE1","Proteasome.PSMD3",900,"database","Medium"
"48","Novel.CCNE1","Proteasome.PSMA5",900,"database","Medium"
"49","Novel.CCNE1","Proteasome.PSMB4",900,"database","Medium"
"50","Novel.CCNE1","Proteasome.PSMC2",900,"database","Medium"
"51","Novel.CCNE1","Proteasome.PSMD6",900,"database","Medium"
"52","Novel.CCNE1","Proteasome.PSMD1",900,"database","Medium"
"53","Novel.CCNE1","Proteasome.PSMD2",900,"database","Medium"
"54","Novel.CCNE1","Proteasome.PSMC5",900,"database","Medium"
"55","Novel.CCNE1","Proteasome.PSMD12",900,"database","Medium"
"56","Novel.CCNE1","Proteasome.PSMB5",900,"database","Medium"
"57","Novel.CCNE1","Proteasome.PSMA7",900,"database","Medium"
"58","Novel.CCNE1","Proteasome.PSMB2",900,"database","Medium"
"59","Novel.CCNE1","Proteasome.PSMB9",900,"database","Medium"
"60","Novel.CCNE1","Proteasome.PSMA1",900,"database","Medium"
"61","Novel.CCNE1","Proteasome.PSMA4",900,"database","Medium"
"62","Novel.CDC5L","RNA transport.SRRM1",900,"database","Medium"
"63","Novel.CDC5L","RNA transport.EIF2S2",417,"experimental","Medium"
"64","Novel.CHTOP","RNA transport.NXT1",900,"database","High"
"65","Novel.CHTOP","RNA transport.RANBP2",900,"database","High"
"66","Novel.CHTOP","RNA transport.THOC1",900,"database","High"
"67","Novel.CHTOP","RNA transport.THOC7",900,"database","High"
"68","Novel.CHTOP","RNA transport.RAE1",900,"database","High"
"69","Novel.CHTOP","RNA transport.NUP43",900,"database","High"
"70","Novel.CHTOP","RNA transport.NXF1",900,"database","High"
"71","Novel.CHTOP","RNA transport.SRRM1",900,"database","High"
"72","Novel.CHTOP","RNA transport.THOC2",900,"database","High"
"73","Novel.CHTOP","RNA transport.NUP155",900,"database","High"
"74","Novel.CHTOP","RNA transport.NUP188",900,"database","High"
"75","Novel.COPS5","RNA transport.EIF3A",720,"database","Medium"
"76","Novel.COPS5","RNA transport.EIF3J",720,"database","Medium"
"77","Novel.COPS5","RNA transport.EIF3B",720,"database","Medium"
"78","Novel.COPS5","RNA transport.EIF3I",720,"database","Medium"
