"","name","imports","weights","datasource","Confidence","Color"
"1","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.RPS27A",900,"database","Medium","#8B0046"
"2","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.UBB",900,"database","Medium","#8B0046"
"3","MAPK signaling pathway & Osteoclast differentiation.IKBKB","MAPK signaling pathway.MAP3K3",900,"database","Medium","#8B0046"
"4","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.NFKBIB",900,"database","Medium","#8B0046"
"5","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.PEBP1",900,"database","Medium","#8B0046"
"6","MAPK signaling pathway & Osteoclast differentiation.IKBKB","MAPK signaling pathway & cAMP signaling pathway & Osteoclast differentiation.RELA",900,"database","Medium","#8B0046"
"7","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.NGFR",900,"database","Medium","#8B0046"
"8","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.GNB2L1",900,"database","Medium","#8B0046"
"9","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CDK12",720,"database","Medium","#8B0046"
"10","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.ERC1",900,"database","Medium","#8B0046"
"11","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.TICAM1",900,"database","Medium","#8B0046"
"12","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.UBC",900,"database","Medium","#8B0046"
"13","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.TIRAP",900,"database","Medium","#8B0046"
"14","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.PDPK1",900,"database","Medium","#8B0046"
"15","MAPK signaling pathway & Osteoclast differentiation.IKBKB","MAPK signaling pathway.CD14",900,"database","Medium","#8B0046"
"16","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CSF2",900,"database","Medium","#8B0046"
"17","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.PHKB",540,"database","Medium","#8B0046"
"18","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.ATG13",720,"database","Medium","#8B0046"
"19","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CDK14",900,"database","Medium","#8B0046"
"20","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.PYDC1",720,"database","Medium","#8B0046"
"21","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.TLR2",900,"database","Medium","#8B0046"
"22","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.TLR4",900,"database","Medium","#8B0046"
"23","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.MYD88",900,"database","Medium","#8B0046"
"24","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.NFKBIE",900,"database","Medium","#8B0046"
"25","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.IFIH1",900,"database","Medium","#8B0046"
"26","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.DIABLO",540,"database","Medium","#8B0046"
"27","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Osteoclast differentiation.CYLD",900,"database","Medium","#8B0046"
"28","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CDC34",900,"database","Medium","#8B0046"
"29","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CCNL2",540,"database","Medium","#8B0046"
"30","MAPK signaling pathway & Osteoclast differentiation.IKBKB","MAPK signaling pathway.MAP3K8",900,"database","Medium","#8B0046"
"31","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.LY96",900,"database","Medium","#8B0046"
"32","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CARD11",900,"database","Medium","#8B0046"
"33","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CCND2",900,"database","Medium","#8B0046"
"34","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.RIPK1",900,"database","Medium","#8B0046"
"35","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.CCND3",720,"database","Medium","#8B0046"
"36","MAPK signaling pathway & Osteoclast differentiation.IKBKB","Novel.IRAK1",900,"database","Medium","#8B0046"
"37","MAPK signaling pathway & Osteoclast differentiation.IL1A","Novel.MYD88",900,"database","Medium","#8B0046"
"38","MAPK signaling pathway & Osteoclast differentiation.IL1A","Novel.IRAK1",900,"database","Medium","#8B0046"
"39","MAPK signaling pathway & Osteoclast differentiation.IL1A","MAPK signaling pathway.MAPKAPK3",900,"database","Medium","#8B0046"
"40","MAPK signaling pathway & Osteoclast differentiation.IL1A","MAPK signaling pathway & cAMP signaling pathway & Osteoclast differentiation.RELA",900,"database","Medium","#8B0046"
"41","MAPK signaling pathway & Osteoclast differentiation.IL1A","MAPK signaling pathway & cAMP signaling pathway & Osteoclast differentiation.JUN",900,"database","Medium","#8B0046"
"42","MAPK signaling pathway & Osteoclast differentiation.IL1A","Novel.TOLLIP",900,"database","Medium","#8B0046"
"43","MAPK signaling pathway & Osteoclast differentiation.IL1A","Novel.IL1RN",900,"database","Medium","#8B0046"
"44","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.IL12A",900,"database","Medium","#8B0046"
"45","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.MYD88",900,"database","Medium","#8B0046"
"46","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.IL12RB2",900,"database","Medium","#8B0046"
"47","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.NLRC4",800,"database","Medium","#8B0046"
"48","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.IRAK1",900,"database","Medium","#8B0046"
"49","MAPK signaling pathway & Osteoclast differentiation.IL1B","MAPK signaling pathway.MAP3K3",900,"database","Medium","#8B0046"
"50","MAPK signaling pathway & Osteoclast differentiation.IL1B","MAPK signaling pathway & cAMP signaling pathway & Osteoclast differentiation.RELA",900,"database","Medium","#8B0046"
"51","MAPK signaling pathway & Osteoclast differentiation.IL1B","Novel.A2M",488,"experimental","Medium","#8B0046"
"52","MAPK signaling pathway & Osteoclast differentiation.IL1B","MAPK signaling pathway & cAMP signaling pathway & Osteoclast differentiation.JUN",800,"database","Medium","#8B0046"
