"","name","imports","weights","datasource","Confidence","Color"
"1","Cytosolic DNA-sensing pathway.IFNA1","Novel.JAK2",800,"database","High","#46008B"
"2","Cytosolic DNA-sensing pathway.IFNA1","Novel.JAK3",800,"database","High","#46008B"
"3","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL9R",800,"database","High","#46008B"
"4","Cytosolic DNA-sensing pathway.IFNA1","Novel.IFNGR2",800,"database","High","#46008B"
"5","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL22RA2",800,"database","High","#46008B"
"6","Cytosolic DNA-sensing pathway.IFNA1","Novel.MPL",800,"database","High","#46008B"
"7","Cytosolic DNA-sensing pathway.IFNA1","Novel.CSF3R",800,"database","High","#46008B"
"8","Cytosolic DNA-sensing pathway.IFNA1","Novel.CRLF2",800,"database","High","#46008B"
"9","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL2RG",800,"database","High","#46008B"
"10","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL2RA",800,"database","High","#46008B"
"11","Cytosolic DNA-sensing pathway.IFNA1","Novel.IFNAR1",800,"database","High","#46008B"
"12","Cytosolic DNA-sensing pathway.IFNA1","Novel.GHR",800,"database","High","#46008B"
"13","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL13RA1",800,"database","High","#46008B"
"14","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL4R",800,"database","High","#46008B"
"15","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL5RA",800,"database","High","#46008B"
"16","Cytosolic DNA-sensing pathway.IFNA1","Novel.EPOR",800,"database","High","#46008B"
"17","Cytosolic DNA-sensing pathway.IFNA1","Novel.OSMR",800,"database","High","#46008B"
"18","Cytosolic DNA-sensing pathway.IFNA1","Novel.IFNAR2",800,"database","High","#46008B"
"19","Cytosolic DNA-sensing pathway.IFNA1","Novel.IL22RA1",800,"database","High","#46008B"
"20","Cytosolic DNA-sensing pathway.IFNA1","Novel.IFNLR1",800,"database","High","#46008B"
"21","Cytosolic DNA-sensing pathway.IFNA10","Novel.JAK2",800,"database","High","#46008B"
"22","Cytosolic DNA-sensing pathway.IFNA10","Novel.JAK3",800,"database","High","#46008B"
"23","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL9R",800,"database","High","#46008B"
"24","Cytosolic DNA-sensing pathway.IFNA10","Novel.IFNGR2",800,"database","High","#46008B"
"25","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL22RA2",800,"database","High","#46008B"
"26","Cytosolic DNA-sensing pathway.IFNA10","Novel.MPL",800,"database","High","#46008B"
"27","Cytosolic DNA-sensing pathway.IFNA10","Novel.CSF3R",800,"database","High","#46008B"
"28","Cytosolic DNA-sensing pathway.IFNA10","Novel.CRLF2",800,"database","High","#46008B"
"29","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL2RG",800,"database","High","#46008B"
"30","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL2RA",800,"database","High","#46008B"
"31","Cytosolic DNA-sensing pathway.IFNA10","Novel.IFNAR1",900,"database","High","#46008B"
"32","Cytosolic DNA-sensing pathway.IFNA10","Novel.GHR",800,"database","High","#46008B"
"33","Cytosolic DNA-sensing pathway.IFNA10","Novel.PTPN1",900,"database","High","#46008B"
"34","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL13RA1",800,"database","High","#46008B"
"35","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL4R",800,"database","High","#46008B"
"36","Cytosolic DNA-sensing pathway.IFNA10","Novel.IL5RA",800,"database","High","#46008B"
"37","Cytosolic DNA-sensing pathway.IFNA10","Novel.EPOR",800,"database","High","#46008B"
"38","Cytosolic DNA-sensing pathway.IFNA10","Novel.OSMR",800,"database","High","#46008B"
"39","Cytosolic DNA-sensing pathway.IFNA10","Novel.IFNAR2",900,"database","High","#46008B"
