"","name","imports","weights","datasource","Confidence","Color"
"1","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.ENTPD1",900,"database","Medium","#46008B"
"2","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.ENTPD8",900,"database","Medium","#46008B"
"3","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.ENTPD6",900,"database","Medium","#46008B"
"4","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.NUDT16",900,"database","Medium","#46008B"
"5","Alanine, aspartate and glutamate metabolism.ADSSL1","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.ASS1",900,"database","Medium","#46008B"
"6","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.ATIC",900,"database","Medium","#46008B"
"7","Alanine, aspartate and glutamate metabolism.ADSSL1","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.GOT1",900,"database","Medium","#46008B"
"8","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.AMPD3",900,"database","Medium","#46008B"
"9","Alanine, aspartate and glutamate metabolism.ADSSL1","Novel.NT5C3B",900,"database","Medium","#46008B"
"10","Alanine, aspartate and glutamate metabolism.ASPA","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.ASS1",900,"database","Medium","#46008B"
"11","Alanine, aspartate and glutamate metabolism.ASPA","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.GOT1",900,"database","Medium","#46008B"
"12","Alanine, aspartate and glutamate metabolism.ASPA","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.GLUL",800,"database","Medium","#46008B"
"13","Alanine, aspartate and glutamate metabolism.ASPA","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.GLS",800,"database","Medium","#46008B"
"14","Alanine, aspartate and glutamate metabolism.CAD","Novel.ACTR1A",417,"experimental","Medium","#46008B"
"15","Alanine, aspartate and glutamate metabolism.CAD","Novel.CCT6A",417,"experimental","Medium","#46008B"
"16","Alanine, aspartate and glutamate metabolism.CAD","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.ASS1",900,"database","Medium","#46008B"
"17","Alanine, aspartate and glutamate metabolism.CAD","Alanine, aspartate and glutamate metabolism & Arginine biosynthesis.GOT1",900,"database","Medium","#46008B"
