"","EntrezID","GeneSymbol","GeneMappingID","ConfidenceCategory","Group","Pathway","Allnet.count","Ntwrk.all"
"1","268860","Abat",783,"MedConf","Novel","Valine, leucine and isoleucine degradation",7,"Acadm, Gatm, Aldh2, Hadh, Hibadh, Pccb, Aox3"
"2","11303","Abca1",669,"MedConf","Novel",NA,3,"Prkacb, Prkaca, Apoa1"
"3","27403","Abca7",1515,"MedConf","Novel",NA,1,"Apoa1"
"4","224742","Abcf1",1523,"MedConf","Novel",NA,1,"Eif2s2"
"5","11308","Abi1",475,"MedConf","Novel",NA,27,"Actr2, Vav3, Wipf1, Arpc2, Arpc3, Nck1, Myo10, Nckap1, Arpc1a, Arpc1b, Mapk1, Actr3, Arpc5, Abl1, Pxn, Rac1, Cdc42, Mapk3, Grb2, Cyfip1, Bcar1, Actb, Crk, Ptk2, Dock1, Wasf2, Wasl"
"6","11350","Abl1",18,"MedConf","Novel","Neurotrophin signaling pathway, Axon guidance, Ras signaling pathway, Cell cycle, ErbB signaling pathway",24,"Pxn, Mef2c, Rac1, Itgb1, Cdc42, Rapgef1, Cbl, Grb2, Cyfip1, Spag9, Abl2, Crk, Wasf2, Stat5b, Abi1, Nck1, Nckap1, Mef2a, Rac2, Ephb4, Mapk12, Bnip2, Ctnnb1, Ctnna1"
"7","11352","Abl2",314,"MedConf","Novel","Ras signaling pathway, ErbB signaling pathway",5,"Crk, Rac2, Sema6a, Abl1, Rac1"
"8","113868","Acaa1a",621,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, Valine, leucine and isoleucine degradation, Biosynthesis of unsaturated fatty acids",14,"Hadh, Acaa1b, Acadsb, Pccb, Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10, Acadl, Hsd17b4, Acat1"
"9","235674","Acaa1b",774,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, Valine, leucine and isoleucine degradation, Biosynthesis of unsaturated fatty acids",13,"Acadsb, Pccb, Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10, Acadl, Acat1, Acaa1a, Hadh"
"10","52538","Acaa2",781,"MedConf","Novel","Fatty acid metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation",14,"Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10, Acadl, Hsd17b4, Acat1, Hadh, Acadsb, Hadhb, Pccb"
"11","11363","Acadl",1438,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation",8,"Acaa1a, Acaa1b, Acadsb, Hadhb, Acaa2, Acadm, Acox1, Hadha"
"12","11364","Acadm",974,"MedConf","Novel","Carbon metabolism, Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, Valine, leucine and isoleucine degradation",19,"Acox1, Hadha, Acsl5, Slc27a2, Acadl, Slc27a5, Acat1, Aldh2, Acaa1a, Hadh, Gcdh, Acaa1b, Acadsb, Hadhb, Hibadh, Pccb, Acaa2, Aox3, Abat"
"13","66885","Acadsb",775,"MedConf","Novel","Fatty acid metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation",13,"Hadhb, Acaa2, Acadm, Acox1, Hadha, Acsl5, Slc27a2, Acadl, Slc27a5, Acat1, Acaa1a, Gcdh, Acaa1b"
"14","110446","Acat1",619,"MedConf","Novel","Carbon metabolism, Fatty acid metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Glyoxylate and dicarboxylate metabolism",14,"Acaa1a, Hadh, Acaa1b, Acadsb, Hadhb, Pccb, Acaa2, Dlst, Acadm, Acox1, Hmgcs2, Acly, Hadha, Hsd17b10"
"15","230379","Acer2",1008,"MedConf","Novel","Sphingolipid signaling pathway",5,"Degs1, Sgms1, Sgpp1, Ugcg, Asah1"
"16","104112","Acly",1004,"MedConf","Novel","Citrate cycle (TCA cycle)",14,"Mut, Mdh2, Acat1, Acaa1a, Glud1, Got2, Acaa1b, Hadhb, Acaa2, Asl, Pck1, Aco2, Hmgcs2, Mdh1"
"17","11429","Aco2",1001,"MedConf","Novel","Carbon metabolism, Citrate cycle (TCA cycle), Biosynthesis of amino acids, Glyoxylate and dicarboxylate metabolism",4,"Acly, Idh3b, Idh3g, Idh1"
"18","11430","Acox1",975,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Fatty acid degradation, cAMP signaling pathway, Biosynthesis of unsaturated fatty acids",10,"Hadha, Acadl, Acat1, Acaa1a, Gcdh, Acaa1b, Acadsb, Hadhb, Acaa2, Acadm"
"19","11431","Acp1",1104,"MedConf","Novel","Adherens junction",1,"Ctnnb1"
"20","14081","Acsl1",180,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Ferroptosis, Fatty acid degradation",11,"Pnpla2, Hsd11b1, Cyp3a11, Cpt1a, Mgll, Acsl5, Fmo5, Pgrmc1, Cyb5r3, Bcap31, Ppt1"
"21","433256","Acsl5",1062,"MedConf","Novel","Fatty acid metabolism, PPAR signaling pathway, Ferroptosis, Fatty acid degradation",7,"Ppt1, Acsl1, Pnpla2, Acadsb, Acadm, Cpt1a, Mgll"
"22","11461","Actb",253,"MedConf","Novel","Regulation of actin cytoskeleton, Focal adhesion, Adherens junction, Tight junction, Platelet activation, Thyroid hormone signaling pathway, Leukocyte transendothelial migration, Rap1 signaling pathway, Apoptosis, Phagosome, Hippo signaling pathway, Oxytocin signaling pathway",80,"Rbx1, Pip5k1c, Baz1b, Ddx21, Stk38, Ppp1cb, Kat2b, Tjp1, Itsn1, Vasp, Wasf2, Wasl, Abi1, Ezr, Xpc, Tmsb4x, Actr2, Parva, Wipf1, Arpc2, Arpc3, Polr1d, Vcl, Nck1, Myo10, Myl12b, Epc1, Trrap, Ddb1, Ruvbl1, Myo1c, Msn, Tjp2, Nckap1, Ephb4, Arpc1a, Nckipsd, Itgb7, Itga1, Itga9, Rhoc, Prkch, Cfl2, Trpm7, Zyx, Cotl1, Yeats4, Ep400, Arpc1b, Twistnb, Dek, Myl6, Epc2, Ino80e, Shroom2, Actr3, Arpc5, Cttn, Ctnna1, Ep300, Actn4, Pxn, Gsk3b, Pfn1, Efnb1, Rac1, Itgb1, Cdc42, Rps6ka1, Rhoa, Grb2, Ogt, Cyfip1, Ppp1ca, Rdx, Myh9, Rad23b, Tpt1, Morf4l1, Iqgap1"
"23","60595","Actn4",53,"MedConf","Novel","Regulation of actin cytoskeleton, Focal adhesion, Adherens junction, Tight junction, Leukocyte transendothelial migration",42,"App, Itgb1, Actb, Pip5k1c, Clu, Tjp1, Tmsb4x, Aldoa, Vcl, Lgals3bp, Ecm1, Plg, Kng1, Itih3, Itih4, Sparc, Timp3, Srgn, Ahsg, Hrg, Pros1, Ola1, Orm1, Alb, F8, Gas6, Fgg, Fgb, Serpina3k, Tex264, Serpinf2, Serpina3f, Fam3c, Fga, Itgb7, Itga1, Itga9, Pip4k2a, Magi3, Zyx, Apoh, Ctnna1"
"24","54130","Actr1a",1276,"MedConf","Novel",NA,16,"Prkaca, Dync1i2, Rab8a, Ppp2r1a, Csnk1e, Dynll1, Dctn2, Tubb5, Ywhae, Dync1h1, Tuba1a, Csnk1d, Rab7, Rab11a, Dctn4, Dynll2"
"25","226977","Actr1b",1431,"MedConf","Novel",NA,7,"Dync1i2, Dynll1, Dctn2, Dync1h1, Rab7, Dctn4, Dynll2"
"26","66713","Actr2",504,"MedConf","Novel","Tight junction",48,"Clta, Wipf1, Arpc2, Arpc3, Apob, Trf, Nck1, Myo10, Nckap1, Scarb2, Ephb4, M6pr, Arpc1a, Nckipsd, Picalm, Tgoln1, Fcho2, Hip1, Arpc1b, Fnbp1, Actr3, Arpc5, Cttn, Hspa8, Arrb1, Efnb1, Rac1, Arrb2, Cdc42, Ap2s1, Eps15, Ap2a2, Dnm2, Cbl, Grb2, Cyfip1, Actb, Snx9, Bin1, Cltc, Ap2m1, Epn1, Itsn1, Wasf2, Vamp3, Wasl, Gmfg, Abi1"
"27","74117","Actr3",3,"MedConf","Novel","Tight junction",48,"Arpc5, Cttn, Hspa8, Arrb1, Efnb1, Rac1, Arrb2, Cdc42, Ap2s1, Eps15, Ap2a2, Dnm2, Cbl, Grb2, Cyfip1, Actb, Snx9, Bin1, Cltc, Ap2m1, Ptk2, Epn1, Itsn1, Wasf2, Vamp3, Wasl, Abi1, Actr2, Clta, Wipf1, Arpc2, Arpc3, Apob, Trf, Nck1, Myo10, Nckap1, Scarb2, Ephb4, M6pr, Arpc1a, Nckipsd, Picalm, Tgoln1, Fcho2, Hip1, Arpc1b, Fnbp1"
"28","11482","Acvrl1",1080,"MedConf","Novel",NA,2,"Cdh5, Tgfbr2"
"29","11512","Adcy6",812,"MedConf","Novel","Platelet activation, Retrograde endocannabinoid signaling, Rap1 signaling pathway, Oocyte meiosis, Endocrine resistance, Longevity regulating pathway, cGMP-PKG signaling pathway, Relaxin signaling pathway, Vasopressin-regulated water reabsorption, Estrogen signaling pathway, Chemokine signaling pathway, Apelin signaling pathway, GnRH signaling pathway, cAMP signaling pathway, Longevity regulating pathway - multiple species, Oxytocin signaling pathway, Endocrine and other factor-regulated calcium reabsorption, Melanogenesis, Thyroid hormone synthesis, Phospholipase D signaling pathway, Adrenergic signaling in cardiomyocytes, Vascular smooth muscle contraction",15,"Twistnb, Prkaca, Akt1, Calm1, Camk2d, Gnb1, Pde6d, Pde2a, Polr1d, Gnai2, Prkacb, Gng11, Gnb2, Gng12, Gngt2"
"30","11518","Add1",1255,"MedConf","Novel",NA,3,"Capzb, Capza1, Capza2"
"31","11522","Adh1",770,"MedConf","Novel","Fatty acid degradation",11,"Ugt2b5, Ugt1a1, Aox3, Comt, Aldh1a1, Gstm1, Mgst1, Gsta3, Gstk1, Aldh2, Cyp2e1"
"32","11532","Adh5",771,"MedConf","Novel","Carbon metabolism, Fatty acid degradation",12,"Ugt2b5, Ugt1a1, Aox3, Comt, Aldh1a1, Gstm1, Mgst1, Gsta3, Esd, Gstk1, Aldh2, Cyp2e1"
"33","72674","Adipor1",1056,"MedConf","Novel","Non-alcoholic fatty liver disease (NAFLD), Longevity regulating pathway, AMPK signaling pathway",2,"Adipor2, Appl1"
"34","68465","Adipor2",1064,"MedConf","Novel","Non-alcoholic fatty liver disease (NAFLD), Longevity regulating pathway, AMPK signaling pathway",2,"Appl1, Adipor1"
"35","11534","Adk",1370,"MedConf","Novel",NA,1,"Pde2a"
"36","11566","Adss",1295,"MedConf","Novel",NA,1,"Got2"
"37","11569","Aebp2",280,"MedConf","Novel",NA,2,"Rbbp4, Hdac2"
"38","14797","Aes",1140,"MedConf","Novel",NA,1,"Hmgb1"
"39","106877","Afap1l1",1387,"MedConf","Novel",NA,4,"Cttn, Vcam1, Hnrnpk, Tpm4"
"40","17355","Aff1",1339,"MedConf","Novel",NA,1,"Thoc7"
"41","93736","Aff4",838,"MedConf","Novel",NA,1,"Thoc7"
"42","216549","Aftph",1463,"MedConf","Novel",NA,6,"Ap2s1, Eps15, Dab2, Cltc, Clta, Trf"
"43","28169","Agpat3",756,"MedConf","Novel","Phospholipase D signaling pathway",4,"Cds2, Agpat5, Dgka, Lpin1"
"44","52123","Agpat5",873,"MedConf","Novel","Phospholipase D signaling pathway",4,"Dgka, Lpin1, Agpat3, Cds2"
"45","11611","Agxt",946,"MedConf","Novel","Carbon metabolism, Glyoxylate and dicarboxylate metabolism",5,"Gatm, Sptlc2, Alas1, Gnmt, Sardh"
"46","226747","Ahctf1",1380,"MedConf","Novel",NA,18,"Ppp2ca, Smc3, Cdc42, Ppp2cb, Rps27, Ppp2r5e, Ppp2r1a, Smc1a, Ppp2r5c, Rad21, Clip1, Xpo1, Stag2, Stag1, Bub3, Rangap1, Ppp2r5a, Sec13"
"47","229709","Ahcyl1",987,"MedConf","Novel",NA,1,"Itpr2"
"48","11625","Ahsg",703,"MedConf","Novel",NA,14,"Pros1, Alb, F8, Gas6, Fgg, Fgb, Serpinf2, Fga, Actn4, Clu, Tmsb4x, Aldoa, Plg, Kng1"
"49","11637","Ak2",1369,"MedConf","Novel",NA,1,"Pde2a"
"50","75547","Akap13",1363,"MedConf","Novel",NA,4,"Rac1, Cdc42, Rhoq, Rac2"
"51","14187","Akr1b8",1014,"MedConf","Novel",NA,3,"Mgll, Aldh2, G6pc"
"52","11651","Akt1",173,"MedConf","Novel","Sphingolipid signaling pathway, Non-alcoholic fatty liver disease (NAFLD), Autophagy - animal, Focal adhesion, Fc gamma R-mediated phagocytosis, Platelet activation, Thyroid hormone signaling pathway, Cellular senescence, FoxO signaling pathway, Rap1 signaling pathway, Endocrine resistance, Longevity regulating pathway, PI3K-Akt signaling pathway, cGMP-PKG signaling pathway, Relaxin signaling pathway, AMPK signaling pathway, B cell receptor signaling pathway, AGE-RAGE signaling pathway in diabetic complications, Estrogen signaling pathway, MAPK signaling pathway, Neurotrophin signaling pathway, Chemokine signaling pathway, Dopaminergic synapse, Apoptosis, HIF-1 signaling pathway, TNF signaling pathway, Apelin signaling pathway, mTOR signaling pathway, T cell receptor signaling pathway, Insulin resistance, Osteoclast differentiation, Ras signaling pathway, Prolactin signaling pathway, Insulin signaling pathway, cAMP signaling pathway, Longevity regulating pathway - multiple species, ErbB signaling pathway, Glucagon signaling pathway, Phospholipase D signaling pathway, Adrenergic signaling in cardiomyocytes, VEGF signaling pathway, EGFR tyrosine kinase inhibitor resistance, Toll-like receptor signaling pathway, Fc epsilon RI signaling pathway",45,"Grb2, Ogt, Pik3ca, Ppp2r1a, Fyn, Atf2, Calm1, Nos3, Ppp2r5c, Gnb1, Rps6kb1, Rheb, Crtc2, Phf20, Adcy6, Ppp2r5a, Mapk12, Cdc37, Usp8, Khsrp, Zfp36l1, Ctnnb1, Ctnnd1, Cdkn1a, Creb1, Tsc1, Insr, Ppp2ca, Gsk3b, Arrb1, Hsp90ab1, Rps27a, Arrb2, Ppp2cb, Foxo1, Tsc2, Lyn, Il2rg, Kctd20, Ttc3, Ndufa13, Pten, Hsp90b1, Atf4, Ppp2r5e"
"53","11655","Alas1",1381,"MedConf","Novel",NA,1,"Agxt"
"54","11657","Alb",709,"MedConf","Novel","Thyroid hormone synthesis",33,"F8, Gas6, Fgg, Fgb, Serpina3k, Tex264, Serpinf2, Serpina3f, Fam3c, Fga, Apoh, Hpx, Slco1b2, Actn4, App, Clu, Apoa1, Tmsb4x, Aldoa, Lgals3bp, Ecm1, Plg, Kng1, Itih3, Itih4, Sparc, Timp3, Srgn, Ahsg, Hrg, Pros1, Ola1, Orm1"
"55","11668","Aldh1a1",1317,"MedConf","Novel",NA,3,"Adh1, Adh5, Aox3"
"56","11669","Aldh2",620,"MedConf","Novel","Fatty acid degradation, Valine, leucine and isoleucine degradation",14,"Glud1, Adh1, Adh5, Hadh, Hibadh, Pccb, Aox3, Abat, Glul, Gls, Acadm, Akr1b8, Gatm, Comt"
"57","11674","Aldoa",514,"MedConf","Novel","Carbon metabolism, HIF-1 signaling pathway, Biosynthesis of amino acids",40,"Lgals3bp, Ecm1, Plg, Kng1, Itih3, Itih4, Sparc, Timp3, Srgn, Ahsg, Hrg, Pros1, Ola1, Orm1, Alb, F8, Gas6, Fgg, Fgb, Serpina3k, Tex264, Serpinf2, Serpina3f, Fam3c, Fga, Hadh, G6pc, Tkt, Aldob, Ldhb, Pgam1, Apoh, Khk, Tpi1, Actn4, App, Fbp1, Clu, Tmsb4x, Taldo1"
"58","230163","Aldob",811,"MedConf","Novel","Carbon metabolism, Biosynthesis of amino acids",9,"Ldhb, Pgam1, Khk, Tpi1, Fbp1, Taldo1, Aldoa, G6pc, Tkt"
"59","23802","Amfr",392,"MedConf","Protein processing in endoplasmic reticulum","Protein processing in endoplasmic reticulum",11,"Psmc1, Ubxn1, Derl2, Os9, Atg3, Sel1l, Derl1, Rnf139, H13, Vcp, Rad23b"
"60","27494","Amot",1010,"MedConf","Novel","Tight junction, Hippo signaling pathway",5,"Mob1a, Ywhab, Wwtr1, Ywhae, Sav1"
"61","75723","Amotl1",1011,"MedConf","Novel","Tight junction",5,"Mob1a, Ywhab, Wwtr1, Ywhae, Sav1"
"62","66156","Anapc11",517,"MedConf","Novel","Oocyte meiosis, Ubiquitin mediated proteolysis, Cell cycle",39,"Psmb1, Psmd7, Bub3, Psmd3, Psmd2, Cdc26, Psmd11, Psme1, Aurkaip1, Anapc16, Anapc5, Rela, Cdkn1a, Ehmt2, Nfkb1, Psmb6, Psmb8, Psmb7, Psma7, Psma1, Psmb10, Psma4, Psma5, Psmb3, Psma2, Rnf2, Cebpb, Anapc2, Psmd4, Ppp3ca, Phc2, Rbx1, Ube2e1, Rnf7, Psmb4, Psmc6, Psmc3, Psmc1, Rnf4"
