name,imports,weights,datasource,Confidence,Color
Endocytosis.Ap2a2,Novel.Grb2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Snx9,900,database,Medium,blue
Endocytosis.Ap2a2,Protein processing in endoplasmic reticulum.Ubqln2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Vamp3,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Actr2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Apob,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Trf,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Cd74,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Dpysl2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.M6pr,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Picalm,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Hip1,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Fnbp1,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Mapk1,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Actr3,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Cttn,900,database,Medium,blue
Endocytosis.Ap2a2,Novel.Numb,900,database,Medium,blue
Endocytosis.Ap2a2,Endocytosis & Protein processing in endoplasmic reticulum.Hspa8,900,database,Medium,blue
Endocytosis.Ap2m1,Protein processing in endoplasmic reticulum.Ubqln2,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Vamp3,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Myo6,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Actr2,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Apob,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Trf,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Cd74,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.M6pr,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Picalm,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Hip1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Fnbp1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Mapk1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Actr3,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Cttn,900,database,Medium,blue
Endocytosis.Ap2m1,Endocytosis & Protein processing in endoplasmic reticulum.Hspa8,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Gja1,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Grb2,900,database,Medium,blue
Endocytosis.Ap2m1,Novel.Snx9,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Grb2,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Snx9,900,database,Medium,blue
Endocytosis.Ap2s1,Protein processing in endoplasmic reticulum.Ubqln2,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Vamp3,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Actr2,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Copb2,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Cope,540,database,Medium,blue
Endocytosis.Ap2s1,Novel.Copa,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Apob,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Scyl1,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Trf,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Cd74,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.M6pr,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Picalm,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Synj1,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Hip1,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Fnbp1,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Tmed3,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Pank1,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Necap2,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Aftph,720,database,Medium,blue
Endocytosis.Ap2s1,Novel.Mapk1,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Actr3,900,database,Medium,blue
Endocytosis.Ap2s1,Novel.Cttn,900,database,Medium,blue
Endocytosis.Ap2s1,Endocytosis & Protein processing in endoplasmic reticulum.Hspa8,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rac1,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rhoq,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rhog,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rhoj,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rac2,900,database,Medium,blue
Endocytosis.Arap1,Novel.Rhoc,900,database,Medium,blue
Endocytosis.Arap1,Novel.Dysf,469,experimental,Medium,blue
Endocytosis.Arap1,Novel.Rhob,900,database,Medium,blue
Endocytosis.Arap1,Novel.S100a10,529,experimental,Medium,blue
Endocytosis.Arf1,Novel.Snx9,900,database,Medium,blue
Endocytosis.Arf1,Novel.Snapin,900,database,Medium,blue
Endocytosis.Arf1,Novel.Cd74,900,database,Medium,blue
Endocytosis.Arf1,Novel.Ctsz,900,database,Medium,blue
Endocytosis.Arf1,Novel.M6pr,900,database,Medium,blue
Endocytosis.Arf1,Novel.Picalm,900,database,Medium,blue
Endocytosis.Arf1,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Arf1,Novel.Cpd,900,database,Medium,blue
Endocytosis.Arf1,Novel.Yipf6,900,database,Medium,blue
Endocytosis.Arf1,Novel.Gns,900,database,Medium,blue
Endocytosis.Arf1,Novel.Ap1b1,900,database,Medium,blue
Endocytosis.Arf6,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Arf6,Novel.Ralbp1,800,database,Medium,blue
Endocytosis.Arf6,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Arf6,Novel.Rac1,800,database,Medium,blue
Endocytosis.Arf6,Novel.Spag9,535,experimental,Medium,blue
Endocytosis.Arpc1a,Novel.Nckipsd,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Picalm,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Hip1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Fnbp1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Actr3,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Cttn,900,database,Medium,blue
Endocytosis.Arpc1a,Endocytosis & Protein processing in endoplasmic reticulum.Hspa8,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Efnb1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Rac1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Grb2,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Cyfip1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Actb,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Snx9,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Wasf2,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Vamp3,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Abi1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Actr2,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Apob,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Trf,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Nck1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Myo10,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Nckap1,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.Ephb4,900,database,Medium,blue
Endocytosis.Arpc1a,Novel.M6pr,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Apob,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Trf,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Nck1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Myo10,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Nckap1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Ephb4,900,database,Medium,blue
Endocytosis.Arpc2,Novel.M6pr,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Nckipsd,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Picalm,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Hip1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Fnbp1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Actr3,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Cttn,900,database,Medium,blue
Endocytosis.Arpc2,Endocytosis & Protein processing in endoplasmic reticulum.Hspa8,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Efnb1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Rac1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Grb2,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Cyfip1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Actb,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Snx9,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Itsn1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Wasf2,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Vamp3,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Abi1,900,database,Medium,blue
Endocytosis.Arpc2,Novel.Actr2,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Apob,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Trf,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Nck1,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Myo10,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Nckap1,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Scarb2,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Ephb4,900,database,Medium,blue
Endocytosis.Arpc3,Novel.M6pr,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Nckipsd,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Picalm,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Tgoln1,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Fcho2,900,database,Medium,blue
Endocytosis.Arpc3,Novel.Hip1,900,database,Medium,blue
