Pathway,pVal,pValFDR,pValBonferroni,Genes,HitGenes,HighScoreGenes,HighScoreGenesNames,MedScoreGenesNames,EnrichScore
Endocytosis,0,0,0,260,85,2,"Hspa8, Ehd3","Rab31, Arap3, Wwp1, Arrb1, Ap2a2, Ap2m1, Arf1, Arf5, Arf6, Rhoa, Arpc1b, Capza1, Capza2, Capzb, Cav2, Cbl, Cdc42, Clta, Dab2, Asap1, Dnm2, Ehd1, Epn1, Epn2, Eps15, Il2rg, Itch, Kif5b, Smad3, Rab8a, Nedd4, Pdcd6ip, Pip5k1c, Cyth2, Cyth3, Rab10, Rab11b, Rab5c, Rab7, Vps4b, Arfgef1, Wipf1, Rab11fip3, Eea1, Arrb2, Git1, Tgfbr2, Tsg101, Ubb, Iqsec1, Ap2s1, Git2, Snf8, Spg21, Vps25, Vps26a, Bin1, Rab11a, Snx3, Sh3glb1, Arpc3, Vps29, Arpc1a, Sh3kbp1, Smurf2, Chmp3, Cltc, Arpc5, Snx2, Chmp2b, Chmp2a, Snx5, Arap1, Smap2, Snx6, Wasl, Chmp4b, Smurf1, Arpc2, Acap2, Usp8, Smap1, Ehd4",0.175
Protein processing in endoplasmic reticulum,0,0,0,165,78,1,Hspa8,"Dnajc3, Rpn1, Ssr1, Edem2, Sec13, Derl2, Atf4, Bag1, Bax, Calr, Canx, Capn2, Dnajc5, Dad1, Ddost, Dnajc1, Ube2j2, Sec63, Ganab, Pdia3, Hspa5, Eif2ak1, Dnaja1, Hsp90ab1, Hsp90aa1, Stt3a, Man1a, Man1a2, Ppp1r15a, Nfe2l2, P4hb, Plaa, Edem1, Rad23b, Rnf185, Rpn2, Sel1l, Ssr4, Skp1a, Ckap4, Os9, Nploc4, Hsp90b1, Xbp1, Atf6, Man1b1, Man1c1, Amfr, Mapk9, Vcp, Bcap31, Nsfl1c, Sec61a1, Ubqln2, Ubqln1, Ube2j1, Rbx1, Dnaja2, Dnajb12, Ube4b, Herpud1, Ube2d3, Ssr2, Dnajc10, Lman2, Erp29, Ssr3, Derl1, Stt3b, Sec62, Lman1, Pdia6, Tram1, Sec24a, Dnajb1, Rrbp1, Sec24b",0.243
Sphingolipid signaling pathway,0,0,0,121,42,0,"","Akt1, Rhoa, Asah1, Bax, Ctsd, Degs1, S1pr1, Fcer1g, Fyn, Gna12, Gnai2, Gnaq, Kras, Nfkb1, Nos3, Nras, Pik3ca, Prkce, Plcb4, Ppp2ca, Ppp2cb, Pten, Rac1, Rac2, Rela, Rock1, Rock2, Sgpl1, Sptlc2, Sgms1, Tnfrsf1a, Ppp2r5a, Acer2, Map2k2, Mapk1, Mapk3, Mapk9, Ppp2r5c, Ppp2r5e, Mapk12, Ppp2r1a, Sgpp1",0.174
Oxidative phosphorylation,0,0,0,132,73,0,"","Ndufb11, Cox6b1, Atp6v0b, Atp5a1, Atp5b, Atp5c1, Atp5f1, Atp5j, Atp5k, Atp6v0d1, Atp6v1e1, Atp6v0e, Atp6v0a1, Atp6v0c, Cox4i1, Cox5a, Cox5b, Cox6a1, Cox6c, Cox7a2, Cox8a, Ndufa2, Ndufa4, Ndufs4, Cox7a2l, Atp6v0a2, Uqcrq, Uqcrc1, Ndufs2, Atp5g3, Ndufb6, Tcirg1, Atp5o, Ndufa1, Atp6ap1, Atp5j2, Atp5d, Sdhc, Ndufa3, Cox7b, Atp6v1f, Uqcr10, Ndufb9, Atp6v1g1, Ndufc1, Ndufa12, Ndufa7, Ndufb3, Uqcrh, Uqcr11, Uqcrfs1, Ndufb7, Sdha, Uqcrc2, Atp5e, Ndufa6, Ndufa13, Ndufb8, Ndufa10, Uqcrb, Sdhb, Ndufb4, Ndufc2, Ndufb10, Ndufs3, Ndufa8, Ndufa11, Ndufab1, Atp5h, Ndufv2, Atp6v1d, Ppa2, Ndufv3",0.277
Non-alcoholic fatty liver disease (NAFLD),0,0,0,149,68,0,"","Ndufb11, Cox6b1, Akt1, Atf4, Bax, Cdc42, Cox4i1, Cox5a, Cox5b, Cox6a1, Cox6c, Cox7a2, Cox8a, Cyp2e1, Insr, Itch, Jun, Ndufa2, Ndufa4, Ndufs4, Nfkb1, Pik3ca, Rac1, Rela, Rxra, Cox7a2l, Mlxip, Tnfrsf1a, Uqcrq, Uqcrc1, Xbp1, Ndufs2, Ndufb6, Mapk9, Ndufa1, Gsk3b, Sdhc, Ndufa3, Cox7b, Uqcr10, Ndufb9, Ndufc1, Ndufa12, Ndufa7, Ndufb3, Uqcrh, Uqcr11, Uqcrfs1, Ndufb7, Sdha, Uqcrc2, Ndufa6, Ndufa13, Ndufb8, Ndufa10, Uqcrb, Sdhb, Ndufb4, Ndufc2, Ndufb10, Ndufs3, Ndufa8, Adipor2, Ndufa11, Ndufab1, Adipor1, Ndufv2, Ndufv3",0.228
Spliceosome,0,0,0,130,52,1,Hspa8,"Snrpd2, Srsf1, Dhx15, Ddx5, Srsf10, Hnrnpc, Hnrnpk, Magoh, Prpf8, Slu7, Sart1, Srsf2, Srsf3, Srsf5, Tra2b, Snrnp70, Snrpb, Snrpe, Bud31, Pcbp1, Cherp, Prpf19, Sf3b2, Snrnp200, Thoc2, Ncbp1, Hnrnpu, Ddx39b, Pqbp1, Rp9, Prpf40a, Acin1, Wbp11, Cwc15, Sf3b5, Snw1, Zmat2, Snrnp27, Rbm22, Prpf38b, Snrpd3, Puf60, Srsf6, Syf2, Prpf6, Dhx16, Ccdc12, Sf3a3, Smndc1, Rbm17, Sf3b1",0.21
Ribosome,0,0,0,131,80,1,Rpl8,"Mrpl30, Rpl10, Rpl31, Rplp0, Fau, Rpsa, Rps2, Rpl10a, Rpl18, Rpl21, Rpl22, Rpl26, Rpl29, Rpl30, Rpl32, Rpl37a, Rpl6, Rpl7, Rpl9, Rps12, Rps14, Rps15, Rps16, Rps17, Rps18, Rps19, Rps24, Rps29, Rps4x, Rps5, Rps8, Rpl13a, Rpl27a, Rps15a, Rpl12, Rpl13, Rps3, Rps11, Rps26, Rpl17, Rps28, Rplp1, Mrpl12, Rps27, Rpl35a, Rpl23, Mrpl4, Mrpl35, Mrps21, Rps21, Rpl36al, Rpl35, Mrpl33, Rpl11, Rps10, Rpl14, Rplp2, Rpl39, Rpl37, Rps20, Rpl38, Mrpl18, Mrpl24, Rpl4, Rps27l, Rpl22l1, Rpl24, Rpl34, Mrpl14, Mrpl13, Mrpl32, Rps25, Rpl18a, Rps9, Mrps5, Rps27a, Mrpl27, Mrpl34, Mrpl36",0.312
Autophagy - animal,0,0,0,129,44,0,"","Akt1, Bnip3, Cflar, Ctsb, Ctsd, Ctsl, Dapk2, Dapk3, Hmgb1, Kras, Lamp1, Lamp2, Nras, Igbp1, Pik3ca, Prkaca, Prkacb, Prkcd, Ppp2ca, Ppp2cb, Pten, Rab7, Rheb, Rras, Tsc2, Ulk1, Map2k2, Mapk1, Mapk3, Mapk9, Ulk2, Sh3glb1, Becn1, Gabarap, Gabarapl1, Tsc1, Atg3, Trp53inp2, Rps6kb1, Mtmr3, Ddit4, Uvrag, Gabarapl2, Mtmr14",0.171
Regulation of actin cytoskeleton,0,0,0,213,65,0,"","Itga9, Itga1, Actb, Apc, Rhoa, Arpc1b, Cdc42, Cfl1, Cfl2, Bcar1, Crk, F2, F2r, Ptk2, Gna12, Gng12, Itgal, Itgb1, Itgb2, Itgb7, Kras, Arhgef1, Msn, Myh9, Ppp1r12a, Nras, Pfn1, Pik3ca, Pip5k1c, Pip4k2a, Ppp1ca, Ppp1cb, Tmsb4x, Pxn, Rac1, Rac2, Rdx, Rock1, Rock2, Rras, Cyfip1, Slc9a1, Git1, Vcl, Ezr, Pak2, Ssh2, Wasf2, Map2k2, Mapk1, Mapk3, Iqgap1, Dock1, Nckap1, Arhgef7, Iqgap2, Arpc3, Arpc1a, Vav3, Actn4, Arpc5, Myl12b, Arhgef12, Wasl, Arpc2",0.153
Lysosome,0,0,0,124,45,0,"","Ap1s2, Gusb, Manba, Atp6v0b, Ap1b1, Ap3d1, Arsa, Asah1, Atp6v0d1, Atp6v0a1, Atp6v0c, Scarb2, Tpp1, Clta, Ctsb, Ctsc, Ctsd, Ctsl, Ctss, Gaa, Gm2a, Hexa, Lamp1, Lamp2, Laptm5, Lipa, M6pr, Man2b1, Laptm4a, Ctsa, Ppt1, Lgmn, Psap, Atp6v0a2, Tcirg1, Naglu, Nagpa, Cd164, Atp6ap1, Ctsz, Cltc, Entpd4, Npc2, Fuca1, Gns",0.181
