name,imports,weights,datasource,Confidence,Color
Novel.ABCG5,Thyroid hormone synthesis.ATP1B2,720,database,Medium,green
Novel.ABCG5,Thyroid hormone synthesis.ATP1B3,720,database,Medium,green
Novel.ABCG5,Thyroid hormone synthesis.ATP1A3,720,database,Medium,green
Novel.ACTR2,Proteasome.PSMD7,417,experimental,High,green
Novel.ACTR2,Proteasome.PSMA7,900,database,High,green
Novel.ALOX5,Thyroid hormone synthesis.GPX3,900,database,Medium,green
Novel.ALOX5,Thyroid hormone synthesis.GPX1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMF1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC4,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA3,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD7,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA6,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD11,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD3,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB4,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD6,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMC5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMD12,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB5,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA7,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB2,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMB9,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA1,900,database,Medium,green
Novel.BUB1B,Proteasome.PSMA4,900,database,Medium,green
Novel.CALR,Thyroid hormone synthesis.HSPA5,900,database,Medium,green
Novel.CALR,Thyroid hormone synthesis.HSP90B1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMF1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC4,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA3,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD7,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA6,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD11,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMB1,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD3,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMA5,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMB4,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMC2,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD6,900,database,Medium,green
Novel.CCNE1,Proteasome.PSMD1,900,database,Medium,green
