name,imports,weights,datasource,Confidence,order,Color
Spliceosome.ACIN1,Novel.SON,442,experimental,High,1,red
Spliceosome.ACIN1,Novel.SAFB,429,experimental,High,1,red
Spliceosome.ACIN1,Novel.SRPK2,612,experimental,High,1,red
Spliceosome.ACIN1,Novel.SLC3A2,774,experimental,High,1,red
Spliceosome.BCAS2,Novel.NCSTN,429,experimental,Medium,2,red
Spliceosome.BCAS2,Novel.SRRM1,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.POLR2J,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.POLR2F,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.CD2BP2,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.GPKOW,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.PCF11,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.PSMD3,417,experimental,Medium,2,red
Spliceosome.BCAS2,Novel.YBX1,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.CCAR1,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.HNRNPA2B1,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.PAPOLA,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.PTBP1,900,database,Medium,2,red
Spliceosome.BCAS2,Novel.RBM39,503,experimental,Medium,2,red
Spliceosome.BCAS2,Novel.HNRNPH1,900,database,Medium,2,red
Spliceosome.CDC5L,Novel.HNRNPH1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.SRRM1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.EIF2S2,417,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.POLR2J,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.POLR2F,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.CD2BP2,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.TOP2A,476,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.SON,437,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.GPKOW,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.PCF11,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.YBX1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.CCAR1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.HNRNPA2B1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.PAPOLA,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.DYNC1H1,476,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.PTBP1,900,database,Medium,3,red
Spliceosome.CDC5L,Novel.EAPP,774,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.RBM39,417,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.NOP2,417,experimental,Medium,3,red
Spliceosome.CDC5L,Novel.SFPQ,476,experimental,Medium,3,red
Spliceosome.EFTUD2,Novel.HNRNPH1,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.SRRM1,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.IK,596,experimental,Medium,4,red
Spliceosome.EFTUD2,Novel.POLR2J,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.POLR2F,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.CD2BP2,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.GPKOW,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.PCF11,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.RANBP2,417,experimental,Medium,4,red
Spliceosome.EFTUD2,Novel.YBX1,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.CCAR1,900,database,Medium,4,red
Spliceosome.EFTUD2,Novel.HNRNPA2B1,900,database,Medium,4,red
