EntrezID,GeneSymbol,InputCategory,Group,TRIAGEpathways,Total.Network.Hits,All.Network.Hits
1244,ABCC2,MedConf,Novel,,1,EEF1A1
84448,ABLIM2,MedConf,Novel,,1,CDC42
80325,ABTB1,MedConf,Novel,,1,EEF1A1
39,ACAT2,MedConf,Novel,"Lysine degradation, Pyruvate metabolism, Propanoate metabolism",4,"TRAPPC8, HADHA, SPR, UBXN1"
55331,ACER3,MedConf,Novel,,1,SPHK1
58,ACTA1,MedConf,Novel,,5,"PAK2, FLT1, FLT4, MEF2C, CDC42"
59,ACTA2,MedConf,Novel,Relaxin signaling pathway,10,"MYL10, MYOCD, RPS15A, RPS23, RPL7A, RPS4X, RPL10A, RPL18, RPL17, SPTAN1"
102,ADAM10,HighConf,Novel,,1,EGF
192669,AGO3,HighConf,Novel,,1,PTEN
186,AGTR2,MedConf,Novel,,4,"GNG2, LPAR1, CHRM2, RXFP3"
25909,AHCTF1,MedConf,Novel,,10,"NUP160, TAOK1, RANBP2, RANGAP1, RPS27, NUP107, NUP133, XPO1, CDC42, NUP85"
84962,AJUBA,MedConf,Novel,,2,"POLR2J, EP300"
122481,AK7,MedConf,Novel,,1,ENTPD3
207,AKT1,HighConf,Novel,"EGFR tyrosine kinase inhibitor resistance, PI3K-Akt signaling pathway, Focal adhesion, Ras signaling pathway, mTOR signaling pathway, MAPK signaling pathway, HIF-1 signaling pathway, T cell receptor signaling pathway, FoxO signaling pathway, Relaxin signaling pathway, Rap1 signaling pathway, ErbB signaling pathway, Autophagy - animal, Phospholipase D signaling pathway",20,"JAK1, PTEN, CREB5, NCOR2, EP300, RPS6KB1, GNG2, RRAGB, CSF2, CRTC2, MEF2C, PCK2, PHF20, EDNRA, BRPF1, GRB2, PPP2R2A, UBE2D1, MTOR, OGT"
219,ALDH1B1,MedConf,Novel,"Lysine degradation, Pyruvate metabolism",3,"DBT, OAT, RPL6"
51529,ANAPC11,MedConf,Novel,,3,"ATG7, EHMT1, RELA"
1173,AP2M1,HighConf,Novel,,7,"EGF, DVL2, CHRM2, ARPC1A, ARPC5, EGFR, CD4"
116985,ARAP1,MedConf,Novel,,3,"ARF1, CDC42, RAP1B"
375,ARF1,HighConf,Novel,Phospholipase D signaling pathway,19,"LDHAL6B, CCT3, SPTAN1, RAB1B, SPTBN1, HIP1R, EIF2B1, RAB6A, TMED10, RAB2A, TMED2, GOSR2, RAB6B, GBF1, CTSZ, KIF3C, KIFC2, ARAP1, TRIP11"
55082,ARGLU1,HighConf,Novel,,2,"CHERP, SF3A2"
9743,ARHGAP32,HighConf,Novel,,1,CDC42
158763,ARHGAP36,MedConf,Novel,,1,CDC42
64333,ARHGAP9,MedConf,Novel,,1,CDC42
23365,ARHGEF12,HighConf,Novel,Regulation of actin cytoskeleton,3,"CDC42, CD4, GNG2"
128272,ARHGEF19,HighConf,Novel,,1,CDC42
9181,ARHGEF2,MedConf,Novel,,1,CDC42
10552,ARPC1A,HighConf,Novel,Regulation of actin cytoskeleton,13,"ARPC5, EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, DVL2, CHRM2, PSMA7, CTTN, CDC42, HIP1R"
10092,ARPC5,MedConf,Novel,Regulation of actin cytoskeleton,13,"EGFR, CD4, GAPVD1, AP2M1, SH3GL3, EGF, DVL2, CHRM2, EIF3H, CTTN, CDC42, HIP1R, ARPC1A"
466,ATF1,MedConf,Novel,,2,"CRTC2, CREB5"
9140,ATG12,HighConf,Novel,"FoxO signaling pathway, Autophagy - animal",3,"GABARAPL2, MAP1LC3A, ATG7"
