"GeneSymbol","EntrezID","WS5219_1_S1_L001_R1_001_seq20_MATCHED1","WS5219_2_S2_L001_R1_001_seq20_MATCHED1","WS5219_3_S3_L001_R1_001_seq20_MATCHED1","Confidence","InputCategory","KEGG.1","KEGG.class.iteration1","Network.1","Network.class.iteration1","KEGG.2","KEGG.class.iteration2","Network.2","Network.class.iteration2","Pathway"
"Ank3","11735",0,0,5,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"B2m","12010",4,50,5665,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Antigen processing and presentation"
"Cacna2d3","12294",5,10,251,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Cdyl","12593",1,0,1094,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Chil3","12655",2,0,8,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Cyp2e1","13106",2,5,317,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Ei24","13663",1,1,3,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Evi2a","14017",1,0,57,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Ftl1","14325",2,17,15,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Gp5","14729",0,0,171,1,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Hematopoietic cell lineage"
"S1pr2","14739",3,13,2,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"H2-K1","14972",3,31,7666,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Cell adhesion molecules (CAMs), Phagosome, Antigen processing and presentation, Type I diabetes mellitus, Endocytosis, Cellular senescence"
"H2-L","14980",0,24,99,1,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Cell adhesion molecules (CAMs), Phagosome, Antigen processing and presentation, Type I diabetes mellitus, Endocytosis, Cellular senescence"
"H2-Q7","15018",2,1,311,1,"HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Yes","HighConf","Cell adhesion molecules (CAMs), Phagosome, Antigen processing and presentation, Type I diabetes mellitus, Endocytosis, Cellular senescence"
"Il9r","16199",4,3,57,1,"HighConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Hematopoietic cell lineage"
"Jarid2","16468",2,0,210,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Kcnab2","16498",1,7,1044,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Lnx1","16924",0,0,2,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Mmp7","17393",0,3,76,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Laptm4a","17775",2,10,263,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Myt1","17932",1,4,14,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Prodh","19125",1,1,5,0.5,"MedConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Cyth1","19157",0,19,16,0.5,"MedConf","Yes","HighConf","No","HighConf","Yes","HighConf","No","HighConf","Endocytosis"
"Spa17","20686",2,8,4379,1,"HighConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Stfa1","20861",1,0,2,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Nr2e3","23958",1,0,7,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
"Oas1b","23961",2,0,56,1,"HighConf","No","MedConf","No","MedConf","No","MedConf","No","MedConf",NA
"Nlrp5","23968",0,0,17,0.5,"MedConf","Missing","MedConf","No","MedConf","Missing","MedConf","No","MedConf",NA
