EntrezID,GeneSymbol,InputCategory,TRIAGEhit
69349,1700008O03Rik,HighConf,No
210940,4931408C20Rik,HighConf,No
26357,Abcg2,HighConf,No
100043688,Amy2a2,HighConf,No
69090,Ascc1,HighConf,No
117592,B3galt6,HighConf,No
56175,Bace2,HighConf,No
12294,Cacna2d3,HighConf,No
12593,Cdyl,HighConf,No
76707,Clasp1,HighConf,No
83410,Cstf2t,HighConf,No
13106,Cyp2e1,HighConf,No
627872,Dnah7a,HighConf,No
14017,Evi2a,HighConf,No
319625,Galm,HighConf,No
67210,Gatad1,HighConf,No
328232,Gfod1,HighConf,No
83408,Gimap3,HighConf,No
216871,Gltpd2,HighConf,No
433486,Gm14151,HighConf,No
16468,Jarid2,HighConf,No
16498,Kcnab2,HighConf,No
17775,Laptm4a,HighConf,No
238455,Macc1,HighConf,No
17393,Mmp7,HighConf,No
23961,Oas1b,HighConf,No
258894,Olfr1223,HighConf,No
258384,Olfr1350,HighConf,No
258409,Olfr1431,HighConf,No
258380,Olfr461,HighConf,No
259091,Olfr585,HighConf,No
258068,Olfr804,HighConf,No
74760,Rab3il1,HighConf,No
66679,Rae1,HighConf,No
20686,Spa17,HighConf,No
170828,Vgll1,HighConf,No
171228,Vmn1r225,HighConf,No
