"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",169,"Novel","2",-1.982,NA,"LRP1, IL10, IL1B",3,NA,0,"IL10, IL1B",2,"IL1B",1,NA,0,NA,0,"IL1B",1,1
"2","ABI2",571,"Regulation of actin cytoskeleton","10152",0.984,NA,"UBC, BRK1, WASF1, NCKAP1, PDLIM7",5,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,3
"3","ACACB",202,"Novel","32",-1.036,"Propanoate metabolism","UBQLN4, PIKFYVE, OASL, RRAGA, SUN1, SPAG4, UBB, E2F3, RPS27A, UBC, ISG15",11,"PIKFYVE",1,NA,0,NA,0,"PIKFYVE",1,NA,0,NA,0,1
"4","ACIN1",224,"Novel","22985",-2.425,"Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ACTA2",197,"Novel","59",-1.863,NA,"CFL1, MYH9, MYH10, UBC",4,"MYH10, MYH9, CFL1",3,NA,0,NA,0,"MYH10, MYH9, CFL1",3,NA,0,NA,0,3
"6","ACTB",189,"Regulation of actin cytoskeleton","60",0.154,NA,"ACTG1, CFL1, PFN1, MYH9, CFL2, PPP1CA, IQGAP1, UBC, ACTN2",9,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,8
"7","ACTG1",198,"Regulation of actin cytoskeleton","71",-0.843,NA,"CFL1, CFL2, WASL, UBC, ACTB",5,"WASL, CFL2, CFL1, ACTB",4,NA,0,NA,0,"WASL, CFL2, CFL1, ACTB",4,NA,0,NA,0,4
"8","ACTN1",127,"Regulation of actin cytoskeleton","87",-0.452,NA,"UBE2I, ACTN4, PSMA6, UBC, ACTN2",5,"ACTN2, ACTN4",2,NA,0,NA,0,"ACTN2, ACTN4",2,NA,0,NA,0,2
"9","ACTN2",108,"Regulation of actin cytoskeleton","88",-0.65,NA,"ACTN4, ACTN1, UBE2I, ACTB, UBC, PSMA6",6,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,3
"10","ACTN4",109,"Regulation of actin cytoskeleton","81",-0.101,NA,"ACTN1, UBE2I, ACTN2, UBC, PSMA6",5,"ACTN2, ACTN1",2,NA,0,NA,0,"ACTN2, ACTN1",2,NA,0,NA,0,2
"11","ADRB2",282,"Novel","154",-2.131,"Endocytosis","ADRBK1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"12","ADRBK1",507,"Novel","156",-1.489,"Chemokine signaling pathway ; Endocytosis","GIT1, ADRB2, GNAQ, UBC",4,"GIT1",1,"GNAQ",1,NA,0,"GIT1",1,NA,0,NA,0,1
"13","AHRR",618,"Novel","57491",-1.182,NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"14","AIRE",473,"Novel","326",-2.03,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"15","AKT1",164,"Toll-like receptor signaling pathway","207",0.633,NA,"SMAD4, MAP2K4, PDPK1, GSK3A, VCP, BRAF, PPP1CA, SMAD3, PAK1, UBC, MAPK14, CHUK, IKBKB, RAF1, STUB1, TRAF6, PPP2CA, PPP2R1A",18,"RAF1, PPP1CA, PAK1, BRAF",4,"TRAF6, MAP2K4, PPP2R1A, PPP2CA, SMAD3, IKBKB, MAPK14, CHUK",8,"TRAF6, MAP2K4, IKBKB, MAPK14, CHUK",5,"RAF1, PPP1CA, PAK1, BRAF",4,NA,0,"IKBKB",1,5
"16","AKT2",201,"Toll-like receptor signaling pathway","208",-0.369,NA,"PDPK1, UBC, CHUK",3,NA,0,"CHUK",1,"CHUK",1,NA,0,NA,0,NA,0,0
"17","AKT3",544,"Toll-like receptor signaling pathway","10000",-0.412,NA,"PDPK1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"18","ALAS1",563,"Novel","211",-1.075,NA,"POLD4, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"19","ALCAM",574,"Novel","214",-1.913,"Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"20","ALDH3A2",610,"Novel","224",-2.21,"Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"21","ANKRD32",573,"Novel","84250",-1.026,NA,"POLE",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"22","APC",163,"Regulation of actin cytoskeleton","324",0.28,NA,"SMAD4, ARHGEF4, JUP, UBC",4,"ARHGEF4",1,NA,0,NA,0,"ARHGEF4",1,NA,0,NA,0,1
"23","APOB",405,"Novel","338",-1.529,NA,"HSP90B1, LDLR, VCP, UBC, HSPA5, CALR, CALCR",7,NA,0,"CALR",1,NA,0,NA,0,"CALR",1,NA,0,1
"24","ARAF",246,"Regulation of actin cytoskeleton","369",0.872,NA,"TIRAP, RRAS, MAP2K2, KRAS, HRAS, BRAF, MAP2K1, YWHAH",8,"RRAS, MAP2K2, MAP2K1, KRAS, HRAS, BRAF",6,NA,0,"TIRAP, MAP2K2, MAP2K1",3,"RRAS, MAP2K2, MAP2K1, KRAS, HRAS, BRAF",6,NA,0,"TIRAP",1,7
"25","ARHGAP32",547,"Novel","9743",-1.299,NA,"CRK, RAC1, RHOA, CDC42, BCAR1",5,"BCAR1, RAC1, CRK, CDC42, RHOA",5,NA,0,"RAC1",1,"BCAR1, RAC1, CRK, CDC42, RHOA",5,NA,0,NA,0,5
"26","ARHGAP35",509,"Regulation of actin cytoskeleton","2909",-0.967,NA,"RHOA",1,"RHOA",1,NA,0,NA,0,"RHOA",1,NA,0,NA,0,1
"27","ARHGAP5",637,"Novel","394",-1.985,"Leukocyte transendothelial migration ; Focal adhesion","RHOA",1,"RHOA",1,NA,0,NA,0,"RHOA",1,NA,0,NA,0,1
"28","ARHGDIB",430,"Novel","397",-1.094,"Vasopressin-regulated water reabsorption ; Neurotrophin signaling pathway","RAC1, CDC42, RHOA, RAC2",4,"RAC2, RAC1, CDC42, RHOA",4,NA,0,"RAC1",1,"RAC2, RAC1, CDC42, RHOA",4,NA,0,NA,0,4
"29","ARHGEF1",308,"Regulation of actin cytoskeleton","9138",1.953,NA,"GNA13, GNA12, UBC",3,"GNA13, GNA12",2,NA,0,NA,0,"GNA13, GNA12",2,NA,0,NA,0,2
"30","ARHGEF12",307,"Regulation of actin cytoskeleton","23365",1.57,NA,"GNA13, GNA12, RHOA",3,"GNA13, GNA12, RHOA",3,NA,0,NA,0,"GNA13, GNA12, RHOA",3,NA,0,NA,0,3
"31","ARHGEF4",453,"Regulation of actin cytoskeleton","50649",0.605,NA,"RAC1, APC",2,"RAC1, APC",2,NA,0,"RAC1",1,"RAC1, APC",2,NA,0,NA,0,2
"32","ARHGEF6",518,"Regulation of actin cytoskeleton","9459",-2.724,"Regulation of actin cytoskeleton ; Pancreatic cancer","GIT1, PAK1, ARHGEF7, CDC42",4,"GIT1, ARHGEF7, PAK1, CDC42",4,NA,0,NA,0,"GIT1, ARHGEF7, PAK1, CDC42",4,NA,0,NA,0,4
"33","ARHGEF7",288,"Regulation of actin cytoskeleton","8874",-0.245,NA,"ARHGEF6, PAK2, CDC42, RAC1, PAK1, UBC, GIT1",7,"GIT1, ARHGEF6, RAC1, PAK2, PAK1, CDC42",6,NA,0,"RAC1",1,"GIT1, ARHGEF6, RAC1, PAK2, PAK1, CDC42",6,NA,0,NA,0,6
"34","ARNT",316,"Novel","405",-2.072,"Pathways in cancer ; Renal cell carcinoma","NPAS4, SIM1, AHRR, EPAS1, PTGES3",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"35","ARPC1A",387,"Regulation of actin cytoskeleton","10552",-0.695,NA,"ARPC3, ARPC5, ARPC2, ARPC4",4,"ARPC2, ARPC3, ARPC4, ARPC5",4,NA,0,NA,0,"ARPC2, ARPC3, ARPC4, ARPC5",4,NA,0,NA,0,4
"36","ARPC1B",364,"Regulation of actin cytoskeleton","10095",-1.299,"Regulation of actin cytoskeleton ; Fc gamma R-mediated phagocytosis ; Shigellosis ; Bacterial invasion of epithelial cells ; Pathogenic Escherichia coli infection","ARPC4, ARPC5, WASL, ARPC3, UBC, ARPC2",6,"ARPC2, ARPC3, ARPC4, ARPC5, WASL",5,NA,0,NA,0,"ARPC2, ARPC3, ARPC4, ARPC5, WASL",5,NA,0,NA,0,5
"37","ARPC2",69,"Regulation of actin cytoskeleton","10109",0.028,NA,"ARPC3, ARPC5, ARPC1B, ARPC1A, WASL, ARPC4, UBC",7,"ARPC1A, ARPC1B, ARPC3, ARPC4, ARPC5, WASL",6,NA,0,NA,0,"ARPC1A, ARPC1B, ARPC3, ARPC4, ARPC5, WASL",6,NA,0,NA,0,6
"38","ARPC3",70,"Regulation of actin cytoskeleton","10094",-0.339,NA,"ARPC5, ARPC1B, ARPC1A, ARPC2, ARPC4, UBC",6,"ARPC1A, ARPC2, ARPC1B, ARPC4, ARPC5",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC4, ARPC5",5,NA,0,NA,0,5
"39","ARPC4",68,"Regulation of actin cytoskeleton","10093",0.599,NA,"ARPC2, ARPC3, ARPC5, ARPC1B, ARPC1A, UBC",6,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC5",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC5",5,NA,0,NA,0,5
"40","ARPC5",188,"Regulation of actin cytoskeleton","10092",1.477,NA,"ARPC1B, ARPC1A, ARPC3, ARPC4, ARPC2, UBC",6,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC4",5,NA,0,NA,0,"ARPC1A, ARPC2, ARPC1B, ARPC3, ARPC4",5,NA,0,NA,0,5
"41","ASAP1",481,"Novel","50807",-1.461,"Endocytosis ; Fc gamma R-mediated phagocytosis","UBC, PTK2, CRK",3,"PTK2, CRK",2,NA,0,NA,0,"PTK2, CRK",2,NA,0,NA,0,2
"42","ASAP2",384,"Novel","8853",-1.057,"Endocytosis ; Fc gamma R-mediated phagocytosis","UBC, PXN",2,"PXN",1,NA,0,NA,0,"PXN",1,NA,0,NA,0,1
"43","ASF1A",416,"Novel","25842",-1.313,NA,"ATR, TAF1, ASF1B",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"44","ASF1B",233,"Novel","55723",-1.327,NA,"ASF1A, TAF1, ATR, UBC, KAT2B",5,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"45","ATF3",330,"Novel","467",-1.17,NA,"SMAD3, JUN, UBC",3,NA,0,"SMAD3, JUN",2,"JUN",1,NA,0,NA,0,"JUN",1,1
"46","ATP6V1B2",338,"Novel","526",-1.99,"Phagosome ; Rheumatoid arthritis ; Epithelial cell signaling in Helicobacter pylori infection","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"47","ATR",208,"Novel","545",-2.114,"Cell cycle","ASF1B, ASF1A, UBC, MSH2, RAD51, XPA, CCNB2",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"48","BAIAP2",521,"Regulation of actin cytoskeleton","10458",1.56,NA,"CDC42, RAC1, EPS8",3,"RAC1, CDC42",2,NA,0,"RAC1",1,"RAC1, CDC42",2,NA,0,NA,0,2
"49","BCAR1",98,"Regulation of actin cytoskeleton","9564",1.058,NA,"PXN, PTK2, PTK2B, ARHGAP32, CRKL, CRK",6,"PXN, PTK2, CRKL, CRK",4,NA,0,NA,0,"PXN, PTK2, CRKL, CRK",4,NA,0,NA,0,4
"50","BCAS2",345,"Novel","10286",-1.15,"Spliceosome","CDC5L, PRPF8, PLRG1, UBC, EFTUD2, MFAP1",6,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
