"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",172,"Novel","2",-1.982,NA,"IL10, LRP1, IL1B",3,NA,0,"IL10, IL1B",2,"IL10, IL1B",2,NA,0,NA,0,"IL1B",1,1
"2","ABI2",663,"Regulation of actin cytoskeleton","10152",0.984,NA,"WASF1, PDLIM7, BRK1, NCKAP1, UBC",5,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,"BRK1, NCKAP1, WASF1",3,NA,0,NA,0,3
"3","ACACB",209,"Novel","32",-1.036,"Propanoate metabolism","UBQLN4, PIKFYVE, OASL, RRAGA, SUN1, SPAG4, E2F3, ISG15, UBB, UBC, IL4, RPS27A",12,"PIKFYVE",1,"IL4",1,NA,0,"PIKFYVE",1,NA,0,NA,0,1
"4","ACIN1",235,"Novel","22985",-2.425,"Spliceosome ; RNA transport","SRPK2, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ACKR3",704,"Cytokine-cytokine receptor interaction","57007",0.028,NA,"UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"6","ACTA2",201,"Novel","59",-1.863,NA,"CFL1, MYH9, UBC, MYH10",4,"MYH10, MYH9, CFL1",3,NA,0,NA,0,"MYH10, MYH9, CFL1",3,NA,0,NA,0,3
"7","ACTB",194,"Regulation of actin cytoskeleton","60",0.154,NA,"ACTG1, CFL1, PFN1, MYH9, CFL2, PPP1CA, IQGAP1, UBC, ACTN2",9,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,"IQGAP1, PPP1CA, PFN1, MYH9, CFL2, CFL1, ACTN2, ACTG1",8,NA,0,NA,0,8
"8","ACTG1",202,"Regulation of actin cytoskeleton","71",-0.843,NA,"CFL1, CFL2, WASL, ACTB, UBC",5,"WASL, CFL2, CFL1, ACTB",4,NA,0,NA,0,"WASL, CFL2, CFL1, ACTB",4,NA,0,NA,0,4
"9","ACTN1",128,"Regulation of actin cytoskeleton","87",-0.452,NA,"UBE2I, ACTN4, ACTN2, UBC, PSMA6",5,"ACTN2, ACTN4",2,NA,0,NA,0,"ACTN2, ACTN4",2,NA,0,NA,0,2
"10","ACTN2",109,"Regulation of actin cytoskeleton","88",-0.65,NA,"ACTN4, ACTN1, UBE2I, ACTB, UBC, PSMA6",6,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,"ACTN1, ACTN4, ACTB",3,NA,0,NA,0,3
"11","ACTN4",110,"Regulation of actin cytoskeleton","81",-0.101,NA,"ACTN1, UBE2I, ACTN2, PSMA6, UBC",5,"ACTN2, ACTN1",2,NA,0,NA,0,"ACTN2, ACTN1",2,NA,0,NA,0,2
"12","ACVR1",242,"Cytokine-cytokine receptor interaction","90",0.493,NA,"BMPR2, ACVR2A, SMAD6, INHBA, BMP2, SMAD1",6,NA,0,"INHBA, BMPR2, BMP2, ACVR2A",4,NA,0,NA,0,NA,0,NA,0,0
"13","ACVR1B",239,"Cytokine-cytokine receptor interaction","91",-0.169,NA,"INHBB, ACVR2B, ACVR2A, SMAD6, SMAD4, INHBA",6,NA,0,"INHBB, INHBA, ACVR2B, ACVR2A",4,NA,0,NA,0,NA,0,NA,0,0
"14","ACVR2A",481,"Cytokine-cytokine receptor interaction","92",-0.598,NA,"ACVR1B, BMP7, INHBB, ACVR1, INHBA",5,NA,0,"INHBB, INHBA, BMP7, ACVR1B, ACVR1",5,NA,0,NA,0,"BMP7",1,NA,0,1
"15","ACVR2B",480,"Cytokine-cytokine receptor interaction","93",-0.558,NA,"BMP2, ACVR1B, INHBA",3,NA,0,"INHBA, BMP2, ACVR1B",3,NA,0,NA,0,NA,0,NA,0,0
"16","ADRB2",315,"Novel","154",-2.131,"Endocytosis","ADRBK1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"17","ADRBK1",589,"Novel","156",-1.489,"Chemokine signaling pathway ; Endocytosis","GNAQ, ADRB2, GIT1, UBC",4,"GIT1",1,NA,0,"GNAQ",1,"GIT1",1,NA,0,NA,0,1
"18","AHRR",730,"Novel","57491",-1.182,NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"19","AIRE",548,"Novel","326",-2.03,NA,"HDAC2",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"20","AKT1",167,"Chagas disease (American trypanosomiasis)","207",0.633,NA,"SMAD4, MAP2K4, PDPK1, GSK3A, BRAF, MAPK14, VCP, STUB1, UBC, IKBKB, TRAF6, PAK1, CHUK, RAF1, PPP2CA, PPP2R1A, SMAD3, PPP1CA",18,"RAF1, PPP1CA, PAK1, BRAF",4,NA,0,"TRAF6, MAP2K4, PPP2R1A, PPP2CA, SMAD3, IKBKB, MAPK14, CHUK",8,"RAF1, PPP1CA, PAK1, BRAF",4,NA,0,"IKBKB",1,5
"21","AKT2",205,"Chagas disease (American trypanosomiasis)","208",-0.369,NA,"PDPK1, UBC, CHUK",3,NA,0,NA,0,"CHUK",1,NA,0,NA,0,NA,0,0
"22","AKT3",636,"Chagas disease (American trypanosomiasis)","10000",-0.412,NA,"PDPK1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"23","ALAS1",655,"Novel","211",-1.075,NA,"POLD4, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"24","ALCAM",668,"Novel","214",-1.913,"Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"25","ALDH3A2",721,"Novel","224",-2.21,"Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"26","ANKRD32",667,"Novel","84250",-1.026,NA,"POLE",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"27","APC",166,"Regulation of actin cytoskeleton","324",0.28,NA,"SMAD4, ARHGEF4, JUP, UBC",4,"ARHGEF4",1,NA,0,NA,0,"ARHGEF4",1,NA,0,NA,0,1
