"Pathway","pVal","pValFDR","pValBonferroni","Genes","HitGenes","HitGeneNames"
"Lysine degradation",0,0,0,43,11,"ALDH2, ALDH3A2, HADHA, SETMAR, SUV39H1, PLOD3, EHMT2, SUV420H1, ASH1L, SUV39H2, EHMT1"
"Osteoclast differentiation",0,0,0,128,25,"CALCR, CREB1, CSF1R, CYLD, FHL2, IKBKB, IL1A, IL1B, ITGB3, JUN, MAPK13, MAP2K6, RELA, SPI1, STAT1, SYK, MAP3K7, TGFB2, TNFRSF1A, PIK3R3, TNFRSF11A, GAB2, SIRPB1, IRF9, TAB2"
"Chagas disease (American trypanosomiasis)",0,0,0,104,19,"GNAI3, GNAO1, IKBKB, IL1B, IL8, IL12A, IRAK1, JUN, MYD88, MAPK13, RELA, CCL3, TGFB2, TLR2, TLR4, TNFRSF1A, PIK3R3, CFLAR, TICAM1"
"MAPK signaling pathway",0,0,0,265,28,"BRAF, CD14, CDC42, MAP3K8, EGFR, NR4A1, IKBKB, IL1A, IL1B, JUN, KRAS, MAP3K3, PDGFRA, PDGFRB, PLA2G4A, PPP3R2, MAPK13, MAP2K6, PRKX, RAP1A, RELA, MAP3K7, TGFB2, TNFRSF1A, PLA2G6, JMJD7-PLA2G4B, TAB2, PLA2G2D"
"Apoptosis",0,0,0,86,18,"BCL2L1, CAPN2, ENDOG, IKBKB, IL1A, IL1B, IL3, IL3RA, IRAK1, MYD88, PPP3R2, PRKAR2B, PRKX, RELA, TNFRSF1A, PIK3R3, RIPK1, CFLAR"
"Toll-like receptor signaling pathway",0,0,0,102,28,"CD14, MAP3K8, IFNA13, IFNA14, IFNA16, IKBKB, IL1B, IL8, IL12A, IRAK1, JUN, MYD88, MAPK13, MAP2K6, RELA, CCL3, CXCL11, STAT1, MAP3K7, TLR2, TLR4, PIK3R3, RIPK1, TAB2, LY96, TOLLIP, TIRAP, TICAM1"
"Toxoplasmosis",0,0,0,128,30,"ALOX5, BCL2L1, GNAI3, GNAO1, HLA-DQA2, IKBKB, IL12A, IRAK1, ITGB1, LAMA4, LAMA5, LDLR, MYD88, NFKBIB, PLA2G4A, MAPK13, MAP2K6, RELA, STAT1, MAP3K7, TGFB2, TLR2, TLR4, TNFRSF1A, PLA2G6, PIK3R3, JMJD7-PLA2G4B, TAB2, LY96, PLA2G2D"
"Hepatitis C",0,0,0,131,18,"BRAF, EGFR, IFNA13, IFNA14, IFNA16, IKBKB, IL8, KRAS, LDLR, MAPK13, EIF2AK2, RELA, STAT1, TNFRSF1A, PIK3R3, RIPK1, IRF9, TICAM1"
"Pancreatic cancer",0,0,0,70,15,"BCL2L1, BRAF, BRCA2, CDC42, E2F3, EGFR, IKBKB, KRAS, SMAD4, RAD51, RELA, STAT1, TGFB2, PIK3R3, ARHGEF6"
"Leishmaniasis",0,0,0,72,20,"HLA-DQA2, IL1A, IL1B, IL12A, IRAK1, ITGAM, ITGB1, JUN, MYD88, NFKBIB, MAPK13, PTPN6, RELA, STAT1, MAP3K7, TGFB2, TLR2, TLR4, TAB2, MARCKSL1"
"RIG-I-like receptor signaling pathway",0,0,0,71,13,"CYLD, DDX3X, IFNA13, IFNA14, IFNA16, IKBKB, IL8, IL12A, NFKBIB, MAPK13, RELA, MAP3K7, RIPK1"
"Spliceosome",0,0,0,125,31,"CDC5L, HNRNPC, HNRNPM, NHP2L1, PLRG1, SRSF1, SRSF2, SRSF3, TRA2B, SNRPC, SNRPD3, EFTUD2, RBM8A, THOC1, BCAS2, PPIH, PRPF8, SF3B2, LSM6, SNW1, ACIN1, SF3B1, LSM4, PRPF31, SF3B14, XAB2, THOC2, PHF5A, PRPF38A, HNRNPA1L2, CCDC12"
"Proteasome",0,0,0,43,29,"PSMA1, PSMA2, PSMA3, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB9, PSMC1, PSMC2, PSMC3, PSMC4, PSMC5, PSMC6, PSMD1, PSMD2, PSMD3, PSMD7, PSMD8, PSMD11, PSMD12, PSMF1, PSMD6, POMP"
"T cell receptor signaling pathway",0,0,0.002,108,15,"CDC42, MAP3K8, IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PPP3R2, MAPK13, PTPN6, RELA, MAP3K7, PIK3R3, LAT, CARD11"
"Neurotrophin signaling pathway",0,0,0.003,127,16,"ARHGDIB, BRAF, CDC42, IKBKB, IRAK1, JUN, KRAS, MAP3K3, NFKBIB, NFKBIE, MAPK13, RAP1A, RELA, YWHAG, YWHAH, PIK3R3"
"Chronic myeloid leukemia",0,0,0.003,73,12,"BCL2L1, BRAF, RUNX1, E2F3, HDAC2, IKBKB, KRAS, SMAD4, RELA, TGFB2, PIK3R3, GAB2"
"Fc epsilon RI signaling pathway",0,0,0.005,77,12,"IL3, KRAS, PLA2G4A, MAPK13, MAP2K6, SYK, PLA2G6, PIK3R3, JMJD7-PLA2G4B, GAB2, PLA2G2D, LAT"
"Renal cell carcinoma",0,0.001,0.01,70,11,"ARNT, BRAF, CDC42, EPAS1, JUN, KRAS, RAP1A, SLC2A1, TGFB2, PIK3R3, FLCN"
"GnRH signaling pathway",0,0.001,0.014,99,13,"CDC42, EGFR, PTK2B, JUN, KRAS, MAP3K3, PLA2G4A, MAPK13, MAP2K6, PRKX, PLA2G6, JMJD7-PLA2G4B, PLA2G2D"
"B cell receptor signaling pathway",0,0.001,0.018,75,11,"IKBKB, JUN, KRAS, NFKBIB, NFKBIE, PPP3R2, PTPN6, RELA, SYK, PIK3R3, CARD11"
"Amoebiasis",0,0.001,0.025,105,13,"CD14, IL1B, IL8, IL12A, ITGAM, LAMA4, LAMA5, PRKX, RELA, TGFB2, TLR2, TLR4, PIK3R3"
"Cytosolic DNA-sensing pathway",0.001,0.009,0.209,56,8,"IFNA13, IFNA14, IFNA16, IKBKB, IL1B, NFKBIB, RELA, RIPK1"
"NOD-like receptor signaling pathway",0.001,0.011,0.264,58,8,"IKBKB, IL1B, IL8, NFKBIB, MAPK13, RELA, MAP3K7, TAB2"
"Chemokine signaling pathway",0.001,0.012,0.29,186,16,"BRAF, CDC42, PTK2B, GNAI3, IKBKB, IL8, KRAS, NFKBIB, PRKX, RAP1A, RELA, CCL3, CXCL11, STAT1, CXCR4, PIK3R3"
"Prostate cancer",0.001,0.012,0.309,88,10,"BRAF, CREB1, E2F3, EGFR, IKBKB, KRAS, PDGFRA, PDGFRB, RELA, PIK3R3"
"VEGF signaling pathway",0.001,0.012,0.33,74,9,"CDC42, KRAS, PLA2G4A, PPP3R2, MAPK13, PLA2G6, PIK3R3, JMJD7-PLA2G4B, PLA2G2D"
"Shigellosis",0.001,0.012,0.331,60,8,"CDC42, HCLS1, IKBKB, IL8, ITGB1, NFKBIB, MAPK13, RELA"
"Rheumatoid arthritis",0.002,0.014,0.4,91,10,"HLA-DQA2, IL1A, IL1B, IL8, JUN, CCL3, TGFB2, TLR2, TLR4, TNFRSF11A"
"Malaria",0.002,0.015,0.435,49,7,"IL1B, IL8, IL12A, MYD88, TGFB2, TLR2, TLR4"
"Pathogenic Escherichia coli infection",0.003,0.023,0.69,53,7,"CD14, CDC42, HCLS1, ITGB1, TLR4, TUBA1A, LY96"
"Cytokine-cytokine receptor interaction",0.003,0.023,0.744,261,19,"CSF1R, EGFR, IFNA13, IFNA14, IFNA16, IL1A, IL1B, IL3, IL3RA, IL8, IL12A, PDGFRA, PDGFRB, CCL3, CXCL11, TGFB2, TNFRSF1A, CXCR4, TNFRSF11A"
"Epithelial cell signaling in Helicobacter pylori infection",0.003,0.023,0.744,68,8,"CDC42, EGFR, IKBKB, IL8, JUN, MAPK13, RELA, GIT1"
"Long-term depression",0.003,0.023,0.744,68,8,"BRAF, GNAI3, GNAO1, KRAS, PLA2G4A, PLA2G6, JMJD7-PLA2G4B, PLA2G2D"
"alpha-Linolenic acid metabolism",0.004,0.024,0.827,18,4,"PLA2G4A, PLA2G6, JMJD7-PLA2G4B, PLA2G2D"
"Acute myeloid leukemia",0.005,0.03,1,57,7,"BRAF, RUNX1, IKBKB, KRAS, RELA, SPI1, PIK3R3"
"Leukocyte transendothelial migration",0.008,0.053,1,113,10,"CDC42, CTNND1, PTK2B, GNAI3, ITGAM, ITGB1, MAPK13, RAP1A, CXCR4, PIK3R3"
"Natural killer cell mediated cytotoxicity",0.009,0.053,1,131,11,"BRAF, PTK2B, IFNA13, IFNA14, IFNA16, KRAS, PPP3R2, PTPN6, SYK, PIK3R3, LAT"
"Glioma",0.01,0.057,1,65,7,"BRAF, E2F3, EGFR, KRAS, PDGFRA, PDGFRB, PIK3R3"
"Small cell lung cancer",0.012,0.068,1,84,8,"BCL2L1, E2F3, IKBKB, ITGB1, LAMA4, LAMA5, RELA, PIK3R3"
