,GeneSymbol,EntrezID,Zscore,OffTarget_pValue,AssignedScore
1,A1BG,1,-0.412,1,0
2,A1CF,29974,0.481,1,0
3,A2M,2,-1.346,1,0.5
4,A2ML1,144568,-0.144,1,0
5,A3GALT2,127550,0.478,1,0
6,A4GALT,53947,1.436,1,0
7,A4GNT,51146,-0.578,1,0
8,AAAS,8086,-0.352,1,0
9,AACS,65985,-0.23,1,0
10,AADAC,13,0.2,1,0
11,AADACL2,344752,0.028,1,0
12,AADACL4,343066,-0.422,1,0
13,AADAT,51166,-0.482,1,0
14,AAGAB,79719,1.125,1,0
15,AAK1,22848,-1.944,1,0.5
16,AAMDC,28971,1.616,1,0
17,AAMP,14,0.717,1,0
18,AANAT,15,-0.758,1,0
19,AAR2,25980,-0.289,1,0
20,AARD,441376,-0.142,1,0
21,AARS,16,0.422,1,0
22,AARS2,57505,-0.022,1,0
23,AARSD1,80755,0.038,1,0
24,AASDH,132949,-0.106,1,0
25,AASDHPPT,60496,0.925,1,0
26,AASS,10157,-0.79,1,0
27,AATF,26574,0.986,1,0
28,AATK,9625,0,1,0
29,ABAT,18,-2.046,0.363,1
30,ABCA1,19,-0.582,0.779,0
31,ABCA10,10349,0.102,1,0
32,ABCA12,26154,-1.948,1,1
33,ABCA13,154664,-0.332,1,0
34,ABCA2,20,-0.65,1,0
35,ABCA3,21,0.827,1,0
36,ABCA4,24,-0.102,1,0
37,ABCA5,23461,-0.228,1,0
38,ABCA6,23460,-0.519,1,0
39,ABCA7,10347,0.884,1,0
40,ABCA8,10351,0.198,1,0
41,ABCA9,10350,0.632,1,0
42,ABCB1,5243,0.403,1,0
43,ABCB10,23456,-1.184,0.518,0.5
44,ABCB11,8647,-0.805,1,0
45,ABCB4,5244,0.598,1,0
46,ABCB5,340273,-0.382,1,0
47,ABCB6,10058,-0.739,1,0
48,ABCB7,22,0.791,1,0
49,ABCB8,11194,0.055,1,0
50,ABCB9,23457,0.344,1,0
51,ABCC1,4363,1.448,1,0
52,ABCC10,89845,-1.581,0.852,0.5
53,ABCC11,85320,0.768,1,0
54,ABCC12,94160,-0.296,1,0
55,ABCC2,1244,1.113,1,0
56,ABCC3,8714,-0.084,1,0
57,ABCC4,10257,0.656,1,0
58,ABCC5,10057,0.848,1,0
59,ABCC6,368,-0.572,1,0
60,ABCC8,6833,-0.344,1,0
