Index,Category,Common name,Human Symbol,Human EntrezGene ID,Mouse Symbol,Mouse EntrezGene ID
1,TLR,TLR1,TLR1,7096,Tlr1,21897
2,TLR,TLR2,TLR2,7097,Tlr2,24088
3,TLR,TLR3,TLR3,7098,Tlr3,142980
4,TLR,TLR4,TLR4,7099,Tlr4,21898
5,TLR,TLR5,TLR5,7100,Tlr5,53791
6,TLR,TLR6,TLR6,10333,Tlr6,21899
7,TLR,TLR7,TLR7,51284,Tlr7,170743
8,TLR,TLR8,TLR8,51311,Tlr8,170744
9,TLR,TLR9,TLR9,54106,Tlr9,81897
10,Initial signaling,LBP,LBP,3929,Lbp,16803
11,Initial signaling,MD2,LY96,23643,Ly96,17087
12,Initial signaling,CD14,CD14,929,Cd14,12475
13,Initial signaling,CD11b,ITGAM,3684,Itgam,16409
14,Initial signaling,CD11c,ITGAX,3687,Itgax,16411
15,Initial signaling,ARF6,ARF6,382,Arf6,11845
16,Initial signaling,MyD88,MyD88,4615,Myd88,17874
17,Initial signaling,Mal,TIRAP,114609,Tirap,117149
18,Initial signaling,IRAK1,IRAK1,3654,Irak1,16179
19,Initial signaling,IRAK2,IRAK2,3656,Irak2,108960
20,Initial signaling,IRAK4,IRAK4,51135,Irak4,266632
21,Initial signaling,Pellino,PELI1,57162,Peli1,67245
22,Initial signaling,Uev1a,UBE2V1,7335,Ube2v1,66589
23,Initial signaling,Ubc13,UBE2N,7334,Ube2n,93765
24,Initial signaling,TRAF6,TRAF6,7189,Traf6,22034
25,Initial signaling,TRAF3,TRAF3,7187,Traf3,22031
26,Initial signaling,TAK1,MAP3K7,6885,Map3k7,26409
27,Initial signaling,TAB1,MAP3K7IP1,10454,Tab1,66513
28,Initial signaling,TAB2,TAB2,23118,Tab2,68652
29,Initial signaling,TAB3,TAB3,257397,Tab3,66724
30,NFkB module,NEMO,IKBKG,8517,Ikbkg,16151
31,NFkB module,IKKa,CHUK,1147,Chuk,12675
32,NFkB module,IKKb,IKBKB,3551,Ikbkb,16150
33,NFkB module,IkBa,NFKBIA,4792,Nfkbia,18035
34,NFkB module,IkBb,NFKBIB,4793,Nfkbib,18036
35,NFkB module,IkBe,NFKBIE,4794,Nfkbie,18037
36,NFkB module,Nfkb1,NFKB1,4790,Nfkb1,18033
37,NFkB module,NFkb2,NFKB2,4791,Nfkb2,18034
38,NFkB module,RelA,RELA,5970,Rela,19697
39,NFkB module,RelB,RELB,5971,Relb,19698
40,NFkB module,cRel,Rel,5966,Rel,19696
41,MAPK module,Tpl2,MAP3K8,1326,Map3k8,26410
42,MAPK module,Mekk1,MAP3K1,4214,Map3k1,26401
43,MAPK module,Mkk1,MAP2K1,5604,Map2k1,26395
44,MAPK module,Mkk2,MAP2K2,5605,Map2k2,26396
45,MAPK module,Erk1,MAPK3,5595,Mapk3,26417
46,MAPK module,Erk2,MAPK1,5594,Mapk1,26413
47,MAPK module,Mkk3,MAP2K3,5606,Map2k3,26397
48,MAPK module,Mkk6,MAP2K6,5608,Map2k6,26399
49,MAPK module,p38a,MAPK14,1432,Mapk14,26416
50,MAPK module,p38b,MAPK11,5600,Mapk11,19094
51,MAPK module,MK2,MAPKAPK2,9261,Mapkapk2,17164
52,MAPK module,Mkk4,MAP2K4,6416,Map2k4,26398
53,MAPK module,Mkk7,MAP2K7,5609,Map2k7,26400
54,MAPK module,Jnk1,MAPK8,5599,Mapk8,26419
55,MAPK module,Jnk2,MAPK9,5601,Mapk9,26420
56,MAPK module,Jnk3,MAPK10,5602,Mapk10,26414
57,MAPK module,Erk3,MAPK12,6300,Mapk12,29857
58,MAPK module,p38d,MAPK13,5603,Mapk13,26415
59,TRIF module,TRIF,TICAM1,148022,Ticam1,106759
60,TRIF module,TRAM,TICAM2,353376,Ticam2,225471
61,TRIF module,RIP1,RIPK1,8737,Ripk1,19766
62,TRIF module,FADD,FADD,8772,Fadd,14082
63,TRIF module,Caspase 8,CASP8,841,Casp8,12370
64,TRIF module,TBK1,TBK1,29110,Tbk1,56480
