Column1,EntrezID,Zscore,GeneSymbol,NetworkDegree,Exp_Stat_Value,KEGGdb,LowestCSAscore,LowestCSAscoreCorrected,ZSdes,NAdes,CSAdes,Replicate1
8580,4097,-6.518,MAFG,1,1,Absent,0.125,0.125,HitbyZS,HitbyNA,HitbyCSA,1
13979,7099,-6.148,TLR4,9,1,Present,0.173,0.173,HitbyZS,HitbyNA,HitbyCSA,1
13652,6688,-6.079,SPI1,6,1,Present,0.494,0.494,HitbyZS,HitbyNA,HitbyCSA,1
16035,84445,-4.803,LZTS2,2,1,Absent,0.292,0.292,HitbyZS,HitbyNA,HitbyCSA,1
1257,114609,-4.62,TIRAP,7,1,Present,0.084,0.084,HitbyZS,HitbyNA,HitbyCSA,1
12481,59286,-4.585,UBL5,0,1,Absent,0.143,0.143,HitbyZS,HitbyNA,HitbyCSA,1
17446,9326,-4.545,ZNHIT3,3,1,Absent,0.11,0.11,HitbyZS,HitbyNA,HitbyCSA,1
9521,51028,-4.439,VPS36,5,1,Present,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
881,11016,-4.283,ATF7,3,1,Absent,0.074,0.074,HitbyZS,HitbyNA,HitbyCSA,1
3798,203076,-4.249,C8orf74,2,1,Absent,0.353,0.353,HitbyZS,HitbyNA,HitbyCSA,1
11869,5708,-4.21,PSMD2,34,1,Present,0.221,0.221,HitbyZS,HitbyNA,HitbyCSA,1
5448,25976,-4.115,TIPARP,0,1,Absent,0.254,0.254,HitbyZS,HitbyNA,HitbyCSA,1
17461,9338,-4.027,TCEAL1,0,1,Absent,0.178,0.178,HitbyZS,HitbyNA,HitbyCSA,1
10884,5514,-4.022,PPP1R10,1,1,Absent,0.101,0.101,HitbyZS,HitbyNA,HitbyCSA,1
5754,266743,-3.954,NPAS4,1,1,Absent,0.3,0.3,HitbyZS,HitbyNA,HitbyCSA,1
11837,5700,-3.929,PSMC1,30,1,Present,0.076,0.076,HitbyZS,HitbyNA,HitbyCSA,1
13234,64748,-3.915,LPPR2,0,1,Absent,0.27,0.27,HitbyZS,HitbyNA,HitbyCSA,1
16848,8985,-3.839,PLOD3,5,1,Present,0.296,0.296,HitbyZS,HitbyNA,HitbyCSA,1
14403,7639,-3.823,ZNF85,0,1,Absent,1.013,1.013,HitbyZS,HitbyNA,HitbyCSA,1
6981,3181,-3.747,HNRNPA2B1,25,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
13664,6699,-3.743,SPRR1B,0,1,Absent,0.07,0.07,HitbyZS,HitbyNA,HitbyCSA,1
6983,3183,-3.724,HNRNPC,19,1,Present,0.072,0.072,HitbyZS,HitbyNA,HitbyCSA,1
9943,51585,-3.716,PCF11,0,1,Present,0.462,0.462,HitbyZS,HitbyNA,HitbyCSA,1
15804,8405,-3.68,SPOP,4,1,Absent,0.077,0.077,HitbyZS,HitbyNA,HitbyCSA,1
13681,6716,-3.654,SRD5A2,0,1,Present,0.07,0.07,HitbyZS,HitbyNA,HitbyCSA,1
1896,128061,-3.643,C1orf131,0,1,Absent,0.238,0.238,HitbyZS,HitbyNA,HitbyCSA,1
3517,1877,-3.624,E4F1,0,1,Absent,0.245,0.245,HitbyZS,HitbyNA,HitbyCSA,1
6471,286826,-3.582,LIN9,1,1,Absent,0.157,0.157,HitbyZS,HitbyNA,HitbyCSA,1
13539,6594,-3.555,SMARCA1,2,1,Absent,0.301,0.301,HitbyZS,HitbyNA,HitbyCSA,1
7586,3563,-3.469,IL3RA,2,1,Present,0.125,0.125,HitbyZS,HitbyNA,HitbyCSA,1
7531,352909,-3.466,DNAAF3,0,1,Absent,0.092,0.092,HitbyZS,HitbyNA,HitbyCSA,1
1658,1231,-3.449,NA,0,0.5,Present,NA,0.055,HitbyZS,HitbyNA,HitbyCSA,1
13692,6729,-3.442,SRP54,0,1,Present,0.09,0.09,HitbyZS,HitbyNA,HitbyCSA,1
10605,54820,-3.427,NDE1,1,1,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
14162,729767,-3.414,CEACAM18,0,1,Absent,0.405,0.405,HitbyZS,HitbyNA,HitbyCSA,1
1887,1278,-3.39,COL1A2,3,1,Present,0.098,0.098,HitbyZS,HitbyNA,HitbyCSA,1
11881,57096,-3.381,RPGRIP1,0,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
10177,5307,-3.373,PITX1,1,1,Absent,0.44,0.44,HitbyZS,HitbyNA,HitbyCSA,1
8359,399664,-3.366,MEX3D,0,1,Absent,0.162,0.162,HitbyZS,HitbyNA,HitbyCSA,1
17733,9580,-3.358,SOX13,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
11575,56144,-3.346,PCDHA4,2,1,Absent,0.211,0.211,HitbyZS,HitbyNA,HitbyCSA,1
10888,55144,-3.334,LRRC8D,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
9446,50813,-3.332,COPS7A,7,1,Absent,0.055,0.055,HitbyZS,HitbyNA,HitbyCSA,1
9840,51429,-3.331,SNX9,5,1,Absent,0.089,0.089,HitbyZS,HitbyNA,HitbyCSA,1
11945,5717,-3.316,PSMD11,32,1,Present,0.081,0.081,HitbyZS,HitbyNA,HitbyCSA,1
1202,11341,-3.302,SCRG1,0,1,Absent,0.15,0.15,HitbyZS,HitbyNA,HitbyCSA,1
1218,113622,-3.299,ADPRHL1,0,1,Absent,0.402,0.402,HitbyZS,HitbyNA,HitbyCSA,1
5883,27106,-3.291,ARRDC2,0,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
9330,50,-3.282,ACO2,0,1,Present,0.209,0.209,HitbyZS,HitbyNA,HitbyCSA,1
11750,5690,-3.271,PSMB2,27,1,Present,0.186,0.186,HitbyZS,HitbyNA,HitbyCSA,1
10973,55229,-3.257,PANK4,5,1,Present,0.001,0.001,HitbyZS,HitbyNA,0,0
3699,2005,-3.248,ELK4,0,1,Present,0.234,0.234,HitbyZS,HitbyNA,HitbyCSA,1
14543,78994,-3.233,PRR14,1,1,Absent,0.118,0.118,HitbyZS,HitbyNA,HitbyCSA,1
11919,5714,-3.229,PSMD8,27,1,Present,0.598,0.598,HitbyZS,HitbyNA,HitbyCSA,1
15293,80834,-3.225,TAS1R2,0,1,Present,0.213,0.213,HitbyZS,HitbyNA,HitbyCSA,1
11759,5691,-3.186,PSMB3,28,1,Present,0.318,0.318,HitbyZS,HitbyNA,HitbyCSA,1
1307,114904,-3.184,C1QTNF6,0,1,Absent,0.278,0.278,HitbyZS,HitbyNA,HitbyCSA,1
2047,1315,-3.179,COPB1,8,1,Absent,0.056,0.056,HitbyZS,HitbyNA,HitbyCSA,1
5798,2691,-3.159,GHRH,0,1,Absent,0.063,0.063,HitbyZS,HitbyNA,HitbyCSA,1
13638,6667,-3.147,SP1,31,1,Present,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
8170,390054,-3.146,OR52A5,0,1,Present,0.076,0.076,HitbyZS,HitbyNA,HitbyCSA,1
3648,1995,-3.131,ELAVL3,0,1,Absent,0.318,0.318,HitbyZS,HitbyNA,HitbyCSA,1
7065,3274,-3.13,HRH2,0,0,Present,0.135,0.135,HitbyZS,HitbyNA,HitbyCSA,0.5
442,10482,-3.113,NXF1,18,1,Present,0.111,0.111,HitbyZS,HitbyNA,HitbyCSA,1
9466,50856,-3.111,CLEC4A,0,1,Absent,0.394,0.394,HitbyZS,HitbyNA,HitbyCSA,1
2431,1436,-3.099,CSF1R,0,1,Present,0.203,0.203,HitbyZS,HitbyNA,HitbyCSA,1
2906,1540,-3.084,CYLD,8,1,Present,0.184,0.184,HitbyZS,HitbyNA,HitbyCSA,1
16772,8894,-3.08,EIF2S2,5,1,Present,0.105,0.105,HitbyZS,HitbyNA,HitbyCSA,1
14910,79813,-3.07,EHMT1,4,1,Present,0.086,0.086,HitbyZS,HitbyNA,HitbyCSA,1
16547,8638,-3.07,OASL,0,1,Absent,0.087,0.087,HitbyZS,HitbyNA,HitbyCSA,1
15333,81168,-3.062,OR8J3,0,1,Present,0.099,0.099,HitbyZS,HitbyNA,HitbyCSA,1
9097,473,-3.049,RERE,5,1,Absent,0.785,0.785,HitbyZS,HitbyNA,HitbyCSA,1
16825,8975,-3.049,USP13,2,1,Absent,0.058,0.058,HitbyZS,HitbyNA,HitbyCSA,1
10477,54551,-3.039,MAGEL2,0,1,Absent,0.14,0.14,HitbyZS,HitbyNA,HitbyCSA,1
