"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"1",11287,0.214,"Pzp",0,0,"Absent",0.07,0.07,"0","0","0",0
"2",11298,0.45,"Aanat",0,0,"Present",0.055,0.055,"0","0","0",0
"3",11302,-0.13,"Aatk",0,1,"Absent",0.01,0.01,"0","0","0",0
"4",11303,2.126,"Abca1",0,0,"Present",0.492,0.492,"0","0","0",0
"5",11304,-0.054,"Abca4",0,0,"Present",0.005,0.005,"0","0","0",0
"6",11305,-0.538,"Abca2",0,1,"Present",0,0,"0","0","0",0
"7",11306,0.655,"Abcb7",0,1,"Present",0.066,0.066,"0","0","0",0
"8",11307,1.646,"Abcg1",0,1,"Present",0.118,0.118,"0","0","0",0
"9",11308,0.311,"Abi1",0,1,"Absent",0.032,0.032,"0","0","0",0
"10",11350,-0.808,"Abl1",0,1,"Present",0.065,0.065,"0","0","0",0
"11",11352,0.662,"Abl2",0,0,"Present",0.056,0.056,"0","0","0",0
"12",11354,0.088,"Scgb1b27",0,1,"Absent",0.061,0.061,"0","0","0",0
"13",11363,0.041,"Acadl",0,1,"Present",0.109,0.109,"0","0","0",0
"14",11364,0.67,"Acadm",0,1,"Present",0.02,0.02,"0","0","0",0
"15",11370,-0.29,"Acadvl",0,1,"Present",0.005,0.005,"0","0","0",0
"16",11409,0.415,"Acads",0,1,"Present",0.07,0.07,"0","0","0",0
"17",11416,-1.362,"Slc33a1",0,0,"Present",0.014,0.014,"HitbyZS","HitbyNA","0",0
"18",11418,0.405,"Asic2",0,0,"Present",0.001,0.001,"0","0","0",0
"19",11419,0.303,"Asic1",0,0,"Absent",0.158,0.158,"0","0","0",0
"20",11421,0.845,"Ace",0,0,"Present",0.06,0.06,"0","0","0",0
"21",11423,-0.726,"Ache",0,0,"Present",0.077,0.077,"0","0","0",0
"22",11425,-0.536,"Apoc4",0,0,"Absent",0,0,"0","0","0",0
"23",11428,0.034,"Aco1",0,1,"Present",0.018,0.018,"0","0","0",0
"24",11429,-0.149,"Aco2",0,1,"Present",0.002,0.002,"0","0","0",0
"25",11430,0.596,"Acox1",0,1,"Present",0.017,0.017,"0","0","0",0
"26",11431,-0.045,"Acp1",0,1,"Present",0,0,"0","0","0",0
"27",11432,1.291,"Acp2",0,1,"Present",0.062,0.062,"0","0","0",0
"28",11433,0.708,"Acp5",0,1,"Present",0.064,0.064,"0","0","0",0
"29",11434,-0.043,"Acr",0,0,"Absent",0.003,0.003,"0","0","0",0
"30",11435,-0.204,"Chrna1",0,0,"Present",0.002,0.002,"0","0","0",0
"31",11438,-0.436,"Chrna4",0,0,"Present",0.299,0.299,"0","0","0",0
"32",11440,-0.399,"Chrna6",0,0,"Present",0.163,0.163,"0","0","0",0
