"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"1",11287,0.308,"Pzp",0,0,"Absent",0.18,0.18,"0","0","0",0
"2",11298,-0.932,"Aanat",0,0,"Present",0,0,"0","0","0",0
"3",11302,1.187,"Aatk",0,1,"Absent",0.144,0.144,"0","0","0",0
"4",11303,-0.212,"Abca1",0,0,"Present",0.442,0.442,"0","0","0",0
"5",11304,-0.074,"Abca4",0,0,"Present",0.006,0.006,"0","0","0",0
"6",11305,0.742,"Abca2",0,1,"Present",0.077,0.077,"0","0","0",0
"7",11306,-0.282,"Abcb7",0,1,"Present",0.14,0.14,"0","0","0",0
"8",11307,0.831,"Abcg1",0,1,"Present",0.139,0.139,"0","0","0",0
"9",11308,-0.682,"Abi1",0,1,"Absent",0.001,0.001,"0","0","0",0
"10",11350,-0.168,"Abl1",0,1,"Present",0.026,0.026,"0","0","0",0
"11",11352,-0.647,"Abl2",0,0,"Present",0.007,0.007,"0","0","0",0
"12",11354,-0.649,"Scgb1b27",0,1,"Absent",0.008,0.008,"0","0","0",0
"13",11363,1.048,"Acadl",0,1,"Present",0.429,0.429,"0","0","0",0
"14",11364,0.418,"Acadm",0,1,"Present",0.055,0.055,"0","0","0",0
"15",11370,-0.221,"Acadvl",0,1,"Present",0.661,0.661,"0","0","0",0
"16",11409,0.17,"Acads",0,1,"Present",0.746,0.746,"0","0","0",0
"17",11416,-1.089,"Slc33a1",0,0,"Present",0.035,0.035,"0","0","0",0
"18",11418,-0.625,"Asic2",0,0,"Present",0.018,0.018,"0","0","0",0
"19",11419,1.855,"Asic1",0,0,"Absent",0.62,0.62,"0","0","0",0
"20",11421,0.564,"Ace",0,0,"Present",0.124,0.124,"0","0","0",0
"21",11423,1.734,"Ache",0,0,"Present",0.23,0.23,"0","0","0",0
"22",11425,-1.306,"Apoc4",1,0,"Absent",0.055,0.055,"0","HitbyNA","HitbyCSA",0.5
"23",11428,-0.49,"Aco1",0,1,"Present",0.267,0.267,"0","0","0",0
"24",11429,-0.27,"Aco2",0,1,"Present",0.072,0.072,"0","0","0",0
"25",11430,2.129,"Acox1",0,1,"Present",0.568,0.568,"0","0","0",0
"26",11431,-0.504,"Acp1",0,1,"Present",0,0,"0","0","0",0
"27",11432,0.145,"Acp2",0,1,"Present",0.835,0.835,"0","0","0",0
"28",11433,1.315,"Acp5",0,1,"Present",0.746,0.746,"0","0","0",0
"29",11434,0.088,"Acr",0,0,"Absent",0.361,0.361,"0","0","0",0
"30",11435,0.451,"Chrna1",0,0,"Present",0.079,0.079,"0","0","0",0
"31",11438,-0.037,"Chrna4",0,0,"Present",0.477,0.477,"0","0","0",0
"32",11440,0.108,"Chrna6",0,0,"Present",0.343,0.343,"0","0","0",0
"33",11441,-0.178,"Chrna7",0,1,"Present",0.079,0.079,"0","0","0",0
"34",11443,0.045,"Chrnb1",0,0,"Present",0.409,0.409,"0","0","0",0
"35",11444,-0.18,"Chrnb2",0,1,"Present",0.019,0.019,"0","0","0",0
"36",11447,-1.566,"Chrnd",0,0,"Present",0.083,0.083,"0","0","0",0.5
"37",11448,-1.236,"Chrne",0,1,"Present",0.514,0.514,"0","0","0",0.5
"38",11449,-0.678,"Chrng",0,0,"Present",0.114,0.114,"0","0","0",0
"39",11450,1.688,"Adipoq",0,0,"Present",0.773,0.773,"0","0","0",0
"40",11451,0.363,"Acrv1",0,0,"Absent",0.6,0.6,"0","0","0",0
"41",11459,0.319,"Acta1",0,0,"Absent",0.502,0.502,"0","0","0",0
"42",11461,0.31,"Actb",0,1,"Present",0.093,0.093,"0","0","0",0
"43",11464,1.446,"Actc1",0,0,"Present",0.754,0.754,"0","0","0",0
"44",11465,-0.678,"Actg1",0,1,"Present",0.034,0.034,"0","0","0",0
"45",11468,0.674,"Actg2",0,0,"Present",0.049,0.049,"0","0","0",0
"46",11470,-0.801,"Actl7a",0,0,"Absent",0,0,"0","0","0",0
"47",11471,-0.154,"Actl7b",0,0,"Absent",0.021,0.021,"0","0","0",0
"48",11472,-0.194,"Actn2",0,0,"Present",0.347,0.347,"0","0","0",0
"49",11474,-0.661,"Actn3",0,1,"Present",0.038,0.038,"0","0","0",0
"50",11475,-0.0825,"Acta2 ,Acta2",0,1,"Present",0,0,"0","0","0",0
"51",11477,0.498,"Acvr1",0,1,"Present",0.045,0.045,"0","0","0",0
"52",11479,-0.048,"Acvr1b",0,1,"Present",0.06,0.06,"0","0","0",0
"53",11480,-0.355,"Acvr2a",0,0,"Present",0.231,0.231,"0","0","0",0
"54",11481,-1.275,"Acvr2b",0,1,"Present",0.251,0.251,"0","0","0",0.5
"55",11482,-1.126,"Acvrl1",0,1,"Absent",0.031,0.031,"0","0","0",0
"56",11484,1.595,"Aspa",0,1,"Present",0.885,0.885,"0","0","0",0
"57",11486,-0.062,"Ada",0,1,"Present",0.246,0.246,"0","0","0",0
"58",11487,0.188,"Adam10",0,0,"Present",0.227,0.227,"0","0","0",0
"59",11488,0.588,"Adam11",0,0,"Absent",0.061,0.061,"0","0","0",0
"60",11489,0.07,"Adam12",0,0,"Absent",0.244,0.244,"0","0","0",0
"61",11490,-1.02,"Adam15",0,1,"Absent",0.096,0.096,"0","0","0",0.5
"62",11491,0.476,"Adam17",0,1,"Present",0.244,0.244,"0","0","0",0
"63",11492,-0.386,"Adam19",0,0,"Absent",0.015,0.015,"0","0","0",0
"64",11495,0.794,"Adam2",0,0,"Absent",0.197,0.197,"0","0","0",0
"65",11496,0.837,"Adam22",0,1,"Absent",0.12,0.12,"0","0","0",0
"66",11497,0.714,"Adam3",0,0,"Absent",0.457,0.457,"0","0","0",0
"67",11498,1.613,"Adam4",0,1,"Absent",0.874,0.874,"0","0","0",0
"68",11499,0.055,"Adam5",0,0,"Absent",0.412,0.412,"0","0","0",0
"69",11500,-1.054,"Adam7",0,1,"Absent",0.111,0.111,"0","0","0",0.5
"70",11501,0.41,"Adam8",0,1,"Absent",0.311,0.311,"0","0","0",0
"71",11502,-0.34,"Adam9",0,1,"Absent",0.198,0.198,"0","0","0",0
"72",11504,0.265,"Adamts1",0,1,"Absent",0.032,0.032,"0","0","0",0
"73",11512,-0.557,"Adcy6",0,0,"Present",0.003,0.003,"0","0","0",0
"74",11513,0.564,"Adcy7",0,1,"Present",0.344,0.344,"0","0","0",0
"75",11514,0.427,"Adcy8",0,0,"Present",0.072,0.072,"0","0","0",0
"76",11515,-1.773,"Adcy9",0,0,"Present",0.056,0.056,"HitbyZS","HitbyNA","HitbyCSA",0.5
"77",11516,0.422,"Adcyap1",0,0,"Absent",0.156,0.156,"0","0","0",0
"78",11517,0.694,"Adcyap1r1",0,1,"Present",0.055,0.055,"0","0","0",0
"79",11518,-0.862,"Add1",0,1,"Absent",0.396,0.396,"0","0","0",0
"80",11519,-1.737,"Add2",0,0,"Absent",0.364,0.364,"HitbyZS","HitbyNA","HitbyCSA",0.5
"81",11520,-0.117,"Plin2",0,1,"Absent",0.06,0.06,"0","0","0",0
"82",11522,-0.412,"Adh1",0,0,"Present",0.529,0.529,"0","0","0",0
"83",11529,0.22,"Adh7",0,0,"Present",0.456,0.456,"0","0","0",0
"84",11532,-0.273,"Adh5",0,1,"Present",0.143,0.143,"0","0","0",0
"85",11534,0.272,"Adk",0,1,"Present",0.132,0.132,"0","0","0",0
"86",11535,-0.412,"Adm",0,1,"Absent",0.478,0.478,"0","0","0",0
"87",11536,1.503,"Gpr182",0,0,"Absent",0.887,0.887,"0","0","0",0
"88",11537,-1.038,"Cfd",0,1,"Present",0.021,0.021,"0","0","0",0
"89",11538,-1.353,"Adnp",1,1,"Absent",NA,0.055,"0","HitbyNA","HitbyCSA",0.5
"90",11539,-1.638,"Adora1",3,1,"Present",0.197,0.197,"HitbyZS","HitbyNA","HitbyCSA",1
"91",11540,0.612,"Adora2a",0,0,"Present",0.13,0.13,"0","0","0",0
"92",11541,1.504,"Adora2b",0,1,"Present",0.669,0.669,"0","0","0",0
"93",11542,0.684,"Adora3 ,Adora3",0,0,"Present",0.124,0.124,"0","0","0",0
"94",11544,0.093,"Adprh",0,1,"Absent",0.371,0.371,"0","0","0",0
"95",11545,0.903,"Parp1",0,1,"Present",0.224,0.224,"0","0","0",0
"96",11546,0.419,"Parp2",0,1,"Present",0.965,0.965,"0","0","0",0
"97",11548,-0.7285,"Adra1b ,Adra1b",0,0,"Present",0.002,0.002,"0","0","0",0
"98",11549,-1.0375,"Adra1a ,Adra1a",0,1,"Present",0.035,0.035,"0","0","0",0
"99",11550,0.312,"Adra1d",0,0,"Present",0.127,0.127,"0","0","0",0
"100",11551,1.47,"Adra2a",0,1,"Present",0.688,0.688,"0","0","0",0
"101",11552,0.373,"Adra2b",0,1,"Present",0.167,0.167,"0","0","0",0
"102",11553,0.61,"Adra2c",0,1,"Present",0.647,0.647,"0","0","0",0
"103",11554,0.95,"Adrb1",0,1,"Present",0.838,0.838,"0","0","0",0
"104",11555,0.012,"Adrb2 ,Adrb2",0,1,"Present",0.088,0.088,"0","0","0",0
"105",11556,0.893,"Adrb3",0,1,"Present",0.874,0.874,"0","0","0",0
"106",11564,-0.263,"Adsl",0,1,"Present",0.051,0.051,"0","0","0",0
"107",11565,-1.4,"Adssl1",0,1,"Present",0.194,0.194,"0","0","0",0.5
"108",11566,-0.638,"Adss",0,1,"Present",0.153,0.153,"0","0","0",0
"109",11567,0.737,"Avil",0,1,"Absent",0.19,0.19,"0","0","0",0
"110",11568,-0.31,"Aebp1",0,0,"Absent",0.47,0.47,"0","0","0",0
"111",11569,-1.705,"Aebp2",0,1,"Absent",0.194,0.194,"HitbyZS","HitbyNA","HitbyCSA",1
"112",11571,-1.59,"Crisp1",0,0,"Absent",0.106,0.106,"HitbyZS","HitbyNA","HitbyCSA",0.5
"113",11572,0.836,"Crisp3",0,0,"Absent",0.57,0.57,"0","0","0",0
"114",11576,0.238,"Afp",0,0,"Absent",0.286,0.286,"0","0","0",0
"115",11593,0.114,"Aga",0,0,"Present",0.804,0.804,"0","0","0",0
"116",11595,-0.622,"Acan",0,0,"Absent",0.062,0.062,"0","0","0",0
"117",11596,-0.174,"Ager",0,1,"Absent",0.268,0.268,"0","0","0",0
"118",11600,-0.948,"Angpt1",0,1,"Present",0.015,0.015,"0","0","0",0
"119",11601,-1.102,"Angpt2",1,1,"Absent",0.428,0.428,"0","HitbyNA","HitbyCSA",0.5
"120",11602,0.042,"Angpt4",0,0,"Absent",0.779,0.779,"0","0","0",0
"121",11603,-0.732,"Agrn",0,1,"Present",0.898,0.898,"0","0","0",0
"122",11604,-0.756,"Agrp",0,1,"Present",0.143,0.143,"0","0","0",0
"123",11605,-0.952,"Gla",0,1,"Present",0.004,0.004,"0","0","0",0
"124",11606,0.458,"Agt",0,0,"Present",0.378,0.378,"0","0","0",0
"125",11607,-0.176,"Agtr1a",0,0,"Present",0.143,0.143,"0","0","0",0
"126",11608,-0.088,"Agtr1b",0,0,"Present",0.413,0.413,"0","0","0",0
"127",11609,-0.2575,"Agtr2 ,Agtr2",0,1,"Present",0.134,0.134,"0","0","0",0
"128",11610,-1.316,"Agtrap",0,1,"Absent",0.154,0.154,"0","0","0",0.5
"129",11611,0.282,"Agxt",0,0,"Present",0.199,0.199,"0","0","0",0
"130",11614,-0.061,"Nr0b1",0,0,"Absent",0.651,0.651,"0","0","0",0
"131",11622,2.55,"Ahr",0,0,"Absent",0.699,0.699,"0","0","0",0
"132",11624,0.865,"Ahrr",0,1,"Absent",0.439,0.439,"0","0","0",0
"133",11625,-1.07,"Ahsg",0,0,"Absent",0.027,0.027,"0","0","0",0
"134",11628,1.798,"Aicda",0,0,"Present",0.398,0.398,"0","0","0",0
"135",11629,2.206,"Aif1",0,1,"Absent",0.537,0.537,"0","0","0",0
"136",11630,-0.032,"Aim1",0,1,"Absent",0.017,0.017,"0","0","0",0
"137",11632,2.889,"Aip",0,1,"Absent",0.698,0.698,"0","0","0",0
"138",11634,2.082,"Aire",0,1,"Present",0.365,0.365,"0","0","0",0
"139",11636,1.167,"Ak1",0,1,"Present",0.32,0.32,"0","0","0",0
"140",11637,-0.199,"Ak2",0,1,"Present",0.144,0.144,"0","0","0",0
"141",11639,-0.434,"Ak4",0,1,"Present",0.169,0.169,"0","0","0",0
"142",11640,-1.371,"Akap1",0,1,"Absent",0.015,0.015,"0","0","0",0
"143",11641,0.96,"Akap2",0,1,"Absent",0.63,0.63,"0","0","0",0
"144",11642,-1.703,"Akap3",0,0,"Absent",0,0,"HitbyZS","HitbyNA","0",0
"145",11643,1.455,"Akap4",0,0,"Absent",0.394,0.394,"0","0","0",0
"146",11647,-2.578,"Alpl",0,1,"Present",0.066,0.066,"HitbyZS","HitbyNA","HitbyCSA",1
"147",11648,-1.02,"Akp3",0,0,"Present",0.143,0.143,"0","0","0",0.5
"148",11650,-0.798,"Alppl2",0,1,"Present",0,0,"0","0","0",0
"149",11651,1.118,"Akt1 ,Akt1",0,1,"Present",0.14,0.14,"0","0","0",0
"150",11652,0.438,"Akt2",0,1,"Present",0.192,0.192,"0","0","0",0
"151",11655,-0.302,"Alas1",0,1,"Present",0.025,0.025,"0","0","0",0
"152",11656,0.226,"Alas2",0,0,"Present",0.144,0.144,"0","0","0",0
"153",11657,-0.872,"Alb",0,0,"Absent",0.103,0.103,"0","0","0",0
"154",11658,0.628,"Alcam",0,1,"Present",0.404,0.404,"0","0","0",0
"155",11666,0.259,"Abcd1",0,1,"Present",0.033,0.033,"0","0","0",0
