"","EntrezID","Zscore","GeneSymbol","NetworkDegree","Exp_Stat_Value","KEGGdb","LowestCSAscore","LowestCSAscoreCorrected","ZSdes","NAdes","CSAdes","Replicate1"
"1","1",-0.543,"A1BG",0,1,"Absent",0.676,0.676,"0","0","0",0
"2","10",0.033,"NAT2",0,1,"Present",0.348,0.348,"0","0","0",0
"3","100",-0.792,"ADA",0,1,"Present",0.024,0.024,"0","0","0",0
"4","1000",0.216,"CDH2",0,1,"Present",0.167,0.167,"0","0","0",0
"5","10000",-0.412,"AKT3",0,1,"Present",0.065,0.065,"0","0","0",0
"6","10001",-0.23,"MED6",0,1,"Absent",0.091,0.091,"0","0","0",0
"7","10002",0.304,"NR2E3",0,0,"Absent",0.457,0.457,"0","0","0",0
"8","10003",-1.691,"NAALAD2",0,1,"Absent",0.318,0.318,"HitbyZS","HitbyNA","HitbyCSA",1
"9","100037417",0.773,"DDTL",0,1,"Absent",0.825,0.825,"0","0","0",0
"10","100038246",0.376,"TLX1NB",0,1,"Absent",NA,0.055,"0","0","0",0
"11","10004",0.146,"NAALADL1",0,1,"Absent",0.264,0.264,"0","0","0",0
"12","10005",-0.156,"ACOT8",0,1,"Present",0.476,0.476,"0","0","0",0
"13","10006",-2.161,"ABI1",5,1,"Absent",0.555,0.555,"HitbyZS","HitbyNA","HitbyCSA",1
"14","10007",-0.985,"GNPDA1",0,1,"Present",0.439,0.439,"0","0","0",0
"15","10008",0.308,"KCNE3",0,1,"Present",0.384,0.384,"0","0","0",0
"16","10009",0.867,"ZBTB33",0,1,"Absent",0.633,0.633,"0","0","0",0
"17","1001",-0.515,"CDH3",0,0,"Present",0.638,0.638,"0","0","0",0
"18","10010",0.653,"TANK",0,1,"Present",0.248,0.248,"0","0","0",0
"19","10011",0.827,"SRA1",0,1,"Absent",0.247,0.247,"0","0","0",0
"20","10013",1.431,"HDAC6",0,1,"Absent",0.879,0.879,"0","0","0",0
"21","10014",0.122,"HDAC5",0,1,"Absent",0.867,0.867,"0","0","0",0
"22","10015",0.549,"PDCD6IP",0,1,"Present",0.314,0.314,"0","0","0",0
"23","10016",1.847,"PDCD6",0,1,"Absent",1.051,1.051,"0","0","0",0
"24","10017",0.448,"BCL2L10",0,1,"Absent",0.256,0.256,"0","0","0",0
"25","10018",-0.104,"BCL2L11",0,1,"Absent",0.344,0.344,"0","0","0",0
"26","10019",0.085,"SH2B3",0,1,"Present",0.021,0.021,"0","0","0",0
"27","1002",-0.03,"CDH4",0,0,"Present",0.363,0.363,"0","0","0",0
"28","10020",0.159,"GNE",0,1,"Present",0.298,0.298,"0","0","0",0
"29","10021",0.534,"HCN4",0,1,"Absent",0.26,0.26,"0","0","0",0
"30","10022",-0.243,"INSL5",0,1,"Absent",0.933,0.933,"0","0","0",0
"31","10023",-0.489,"FRAT1",0,1,"Present",0.65,0.65,"0","0","0",0
"32","10024",0.939,"TROAP",0,1,"Absent",0.539,0.539,"0","0","0",0
"33","10025",-0.474,"MED16",0,1,"Absent",0.394,0.394,"0","0","0",0
"34","10026",-0.845,"PIGK",0,1,"Present",0.019,0.019,"0","0","0",0
"35","1003",-1.293,"CDH5",2,0,"Present",0.262,0.262,"0","HitbyNA","HitbyCSA",0.5
"36","10036",0.978,"CHAF1A",0,1,"Absent",0.357,0.357,"0","0","0",0
"37","10038",0.878,"PARP2",0,1,"Present",0.714,0.714,"0","0","0",0
"38","10039",-0.624,"PARP3",0,1,"Present",0.358,0.358,"0","0","0",0
"39","1004",-0.413,"CDH6",0,1,"Absent",0.335,0.335,"0","0","0",0
"40","10040",1.136,"TOM1L1",0,1,"Absent",0.746,0.746,"0","0","0",0
"41","10042",-0.218,"HMGXB4",0,1,"Absent",0.108,0.108,"0","0","0",0
