"","GeneSymbol","GeneMappingID","Group","EntrezID","Zscore","Pathway","Ntwrk.all","Allnet.count","Ntwrk.TLR","TLRnet.count","Ntwrk.PROT","PROTnet.count","Ntwrk.SPLICE","SPLICEnet.count","Ntwrk.TLR.hits","TLRhits.net.count","Ntwrk.PROT.hits","PROThits.net.count","Ntwrk.SPLICE.hits","SPLICEhits.net.count","Total_Path_Hits.net.count"
"1","A2M",202,"Novel","2",-1.982,NA,"LRP1, IL1B",2,"IL1B",1,NA,0,NA,0,"IL1B",1,NA,0,NA,0,1
"2","ACACB",250,"Novel","32",-1.036,"Propanoate metabolism","UBQLN4, OASL, RRAGA, SUN1, SPAG4, RPS27A, E2F3, ISG15, UBC, UBB",10,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"3","ACIN1",218,"Spliceosome","22985",-2.425,"Spliceosome ; RNA transport","ALYREF, SRPK2, SF3A2, UBC, MAGOH",5,NA,0,NA,0,"ALYREF, SF3A2, MAGOH",3,NA,0,NA,0,NA,0,0
"4","ACTA2",243,"Novel","59",-1.863,NA,"CFL1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"5","ADRB2",318,"Novel","154",-2.131,"Endocytosis","ADRBK1, UBC",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"6","ADRBK1",513,"Novel","156",-1.489,"Chemokine signaling pathway ; Endocytosis","UBC, GIT1, ADRB2",3,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"7","AHRR",596,"Novel","57491",-1.182,NA,"ARNT",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"8","AIRE",486,"Novel","326",-2.03,NA,"HDAC2, CREBBP",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"9","AKT1",200,"TLRpathway","207",0.633,NA,"SMAD4, MAP2K4, PDPK1, DAB2IP, GSK3A, BRAF, VCP, TRAF6, UBC, CREBBP, IKBKB, STUB1, MAPK14, EP300, CHUK",15,"DAB2IP, MAP2K4, MAPK14, IKBKB, CHUK, TRAF6",6,NA,0,NA,0,"DAB2IP, MAP2K4, MAPK14, IKBKB, CHUK, TRAF6",6,NA,0,NA,0,6
"10","AKT2",244,"TLRpathway","208",-0.369,NA,"PDPK1, UBC, CHUK",3,"CHUK",1,NA,0,NA,0,"CHUK",1,NA,0,NA,0,1
"11","AKT3",537,"TLRpathway","10000",-0.412,NA,"PDPK1",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"12","ALAS1",551,"Novel","211",-1.075,NA,"UBC, POLD4",2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"13","ALCAM",557,"Novel","214",-1.913,"Cell adhesion molecules (CAMs)","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"14","ALDH3A2",588,"Novel","224",-2.21,"Lysine degradation ; Propanoate metabolism ; beta-Alanine metabolism","UBC",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"15","ALYREF",219,"Spliceosome","10189",1.209,NA,"SRSF1, U2AF2, THOC3, THOC7, SRSF7, THOC2, SRSF2, DDX3X, MCM3AP, EIF4A3, DDX23, ACIN1, SF3A2, SMAD4, UBC, NCBP1, NCBP2, EFTUD2, PRPF6, SRRM1, THOC1, DHX8, MAGOH, NXF1",24,NA,0,NA,0,"THOC3, THOC2, PRPF6, ACIN1, NCBP2, U2AF2, THOC1, EIF4A3, DDX23, EFTUD2, SF3A2, SRSF7, SRSF2, SRSF1, NCBP1, MAGOH, DHX8",17,NA,0,NA,0,"THOC2, THOC1, SRSF2, SRSF1, EFTUD2, ACIN1",6,6
"16","ANKRD32",556,"Novel","84250",-1.026,NA,"POLE",1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"17","APOB",428,"Novel","338",-1.529,NA,"VCP, CALCR, LDLR, UBC, CALR, HSPA5, HSP90B1",7,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,0
"18","AQR",54,"Spliceosome","9716",-0.389,NA,"MAGOH, CDC40, BUD31, CDC5L, RBM22, PQBP1, UBC, PRPF19",8,NA,0,NA,0,"RBM22, CDC40, PRPF19, PQBP1, BUD31, MAGOH, CDC5L",7,NA,0,NA,0,"CDC5L",1,1
