"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","100017","Ldlrap1",4144,"Endocytosis"
"2","100019","Mdn1",3008,"Ribosome biogenesis in eukaryotes"
"3","100037258","Dnajc3",4141,"Protein processing in endoplasmic reticulum"
"4","100038859","Olfr55",4740,"Olfactory transduction"
"5","100038860","Olfr239",4740,"Olfactory transduction"
"6","100038882","Isg15",4622,"RIG-I-like receptor signaling pathway"
"7","100038909","Gm14548",4380,"Osteoclast differentiation"
"8","100038947","LOC100038947",4380,"Osteoclast differentiation"
"9","100038993","Gm2002",4060,"Cytokine-cytokine receptor interaction"
"10","100038993","Gm2002",4630,"Jak-STAT signaling pathway"
"11","100038993","Gm2002",4640,"Hematopoietic cell lineage"
"12","100039053","Gm2023",4060,"Cytokine-cytokine receptor interaction"
"13","100039053","Gm2023",4062,"Chemokine signaling pathway"
"14","100039053","Gm2023",4064,"NF-kappa B signaling pathway"
"15","100039319","Gm14920",4217,"Necroptosis"
"16","100039707","Mthfsl",670,"One carbon pool by folate"
"17","100039707","Mthfsl",1100,"Metabolic pathways"
"18","100039801","Cldn24",4514,"Cell adhesion molecules (CAMs)"
"19","100039801","Cldn24",4530,"Tight junction"
"20","100039801","Cldn24",4670,"Leukocyte transendothelial migration"
"21","100039815","Gm2436",3015,"mRNA surveillance pathway"
"22","100039815","Gm2436",4071,"Sphingolipid signaling pathway"
"23","100039815","Gm2436",4151,"PI3K-Akt signaling pathway"
"24","100039815","Gm2436",4152,"AMPK signaling pathway"
"25","100039815","Gm2436",4261,"Adrenergic signaling in cardiomyocytes"
"26","100039815","Gm2436",4728,"Dopaminergic synapse"
"27","100039830","Gm2446",3015,"mRNA surveillance pathway"
"28","100039830","Gm2446",4071,"Sphingolipid signaling pathway"
"29","100039830","Gm2446",4151,"PI3K-Akt signaling pathway"
"30","100039830","Gm2446",4152,"AMPK signaling pathway"
"31","100039830","Gm2446",4261,"Adrenergic signaling in cardiomyocytes"
"32","100039830","Gm2446",4728,"Dopaminergic synapse"
"33","100039848","Gm2457",4060,"Cytokine-cytokine receptor interaction"
"34","100039848","Gm2457",4062,"Chemokine signaling pathway"
"35","100039848","Gm2457",4064,"NF-kappa B signaling pathway"
"36","100039863","Gm13306",4060,"Cytokine-cytokine receptor interaction"
"37","100039863","Gm13306",4062,"Chemokine signaling pathway"
"38","100039939","Gm2506",4060,"Cytokine-cytokine receptor interaction"
"39","100039939","Gm2506",4062,"Chemokine signaling pathway"
"40","100040048","Ccl27b",4060,"Cytokine-cytokine receptor interaction"
"41","100040048","Ccl27b",4062,"Chemokine signaling pathway"
"42","100040233","Gm10334",4080,"Neuroactive ligand-receptor interaction"
"43","100040233","Gm10334",4972,"Pancreatic secretion"
"44","100040233","Gm10334",4974,"Protein digestion and absorption"
"45","100040268","Olfr157",4740,"Olfactory transduction"
"46","100040591","Kcnj13",4974,"Protein digestion and absorption"
"47","100040608","Fancf",3460,"Fanconi anemia pathway"
"48","100040843","Cyp4a32",71,"Fatty acid degradation"
"49","100040843","Cyp4a32",590,"Arachidonic acid metabolism"
"50","100040843","Cyp4a32",830,"Retinol metabolism"
"51","100040843","Cyp4a32",1100,"Metabolic pathways"
"52","100040843","Cyp4a32",3320,"PPAR signaling pathway"
"53","100040843","Cyp4a32",4270,"Vascular smooth muscle contraction"
"54","100040843","Cyp4a32",4750,"Inflammatory mediator regulation of TRP channels"
"55","100041146","Gm15448",4380,"Osteoclast differentiation"
"56","100041187","Olfr596",4740,"Olfactory transduction"
"57","100041273","Gm3244",190,"Oxidative phosphorylation"
"58","100041273","Gm3244",1100,"Metabolic pathways"
"59","100041273","Gm3244",4723,"Retrograde endocannabinoid signaling"
"60","100041273","Gm3244",4932,"Non-alcoholic fatty liver disease (NAFLD)"
"61","100041375","Cyp3a41b",140,"Steroid hormone biosynthesis"
"62","100041375","Cyp3a41b",591,"Linoleic acid metabolism"
"63","100041375","Cyp3a41b",830,"Retinol metabolism"
"64","100041375","Cyp3a41b",1100,"Metabolic pathways"
"65","100041504","LOC100041504",4060,"Cytokine-cytokine receptor interaction"
"66","100041504","LOC100041504",4062,"Chemokine signaling pathway"
"67","100041504","LOC100041504",4064,"NF-kappa B signaling pathway"
"68","100041579","Gm20878",4060,"Cytokine-cytokine receptor interaction"
"69","100041579","Gm20878",4062,"Chemokine signaling pathway"
"70","100041593","LOC100041593",4060,"Cytokine-cytokine receptor interaction"
"71","100041593","LOC100041593",4062,"Chemokine signaling pathway"
"72","100041593","LOC100041593",4064,"NF-kappa B signaling pathway"
"73","100041953","Sap18b",3013,"RNA transport"
"74","100041953","Sap18b",3015,"mRNA surveillance pathway"
"75","100042025","Gapdh-ps15",10,"Glycolysis / Gluconeogenesis"
"76","100042025","Gapdh-ps15",1100,"Metabolic pathways"
"77","100042025","Gapdh-ps15",1200,"Carbon metabolism"
"78","100042025","Gapdh-ps15",1230,"Biosynthesis of amino acids"
"79","100042025","Gapdh-ps15",4066,"HIF-1 signaling pathway"
"80","100042150","Nrg2",1521,"EGFR tyrosine kinase inhibitor resistance"
"81","100042150","Nrg2",4012,"ErbB signaling pathway"
