"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"1190",11609,"Agtr2","HighConf","Yes",NA,"Cxcl10, Cxcl5, Kng2, Bdkrb1, Saa1, Ccr5, Saa2","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), Complement and coagulation cascades (2), IL-17 signaling pathway (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"2133",12035,"Bcat1","HighConf","Yes","Valine, leucine and isoleucine biosynthesis",NA,NA
"2153",12051,"Bcl3","HighConf","Yes","TNF signaling pathway",NA,NA
"2169",12061,"Bdkrb1","HighConf","Yes","Complement and coagulation cascades","Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Tacr1, Saa2, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), Complement and coagulation cascades (1)"
"2744",20307,"Ccl8","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Ccr5","Chemokine signaling pathway (1), Cytokine-cytokine receptor interaction (1)"
"2780",12774,"Ccr5","HighConf","Yes","Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Saa2, Bdkrb1, Saa1, Kng2, Agtr2, Cxcl10, Cxcl5, Ccl8","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Complement and coagulation cascades (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"3124",12630,"Cfi","HighConf","Yes","Complement and coagulation cascades",NA,NA
"3478",12816,"Col12a1","MedConf","Yes","Protein digestion and absorption","Col3a1, Col5a1, Col14a1, Col5a2, Col1a1","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"3480",12818,"Col14a1","MedConf","Yes","Protein digestion and absorption","Col5a2, Col12a1, Col3a1, Col5a1, Mmp13, Mmp10, Mmp2, Mmp3, Col1a1","Protein digestion and absorption (5), Relaxin signaling pathway (4), AGE-RAGE signaling pathway in diabetic complications (3), IL-17 signaling pathway (2), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1), TNF signaling pathway (1)"
"3486",12842,"Col1a1","MedConf","Yes","Protein digestion and absorption, ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway, Relaxin signaling pathway, AGE-RAGE signaling pathway in diabetic complications","Col14a1, Col5a2, Col12a1, Col3a1, Col5a1, P3h1, Itga11","Protein digestion and absorption (5), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1)"
"3494",12825,"Col3a1","HighConf","Yes","Protein digestion and absorption, Relaxin signaling pathway, AGE-RAGE signaling pathway in diabetic complications","Col5a1, P3h1, Col1a1, Itga11, Col5a2, Col14a1, Col12a1","Protein digestion and absorption (5), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1)"
"3502",12831,"Col5a1","HighConf","Yes","Protein digestion and absorption","Col5a2, Col3a1, Itga11, Col1a1, Col14a1, Col12a1","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"3503",12832,"Col5a2","MedConf","Yes","Protein digestion and absorption","Col12a1, Col3a1, Col5a1, Col1a1, Col14a1, Itga11","Protein digestion and absorption (5), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2), PI3K-Akt signaling pathway (2), Focal adhesion (2), ECM-receptor interaction (2)"
"3871",15945,"Cxcl10","HighConf","Yes","IL-17 signaling pathway, Cytokine-cytokine receptor interaction, TNF signaling pathway, Cytosolic DNA-sensing pathway, Chemokine signaling pathway","Cxcl5, Kng2, Bdkrb1, Saa1, Ccr5, Agtr2, Saa2","Complement and coagulation cascades (2), Chemokine signaling pathway (2), Cytokine-cytokine receptor interaction (2), IL-17 signaling pathway (1)"
"3881",20311,"Cxcl5","HighConf","Yes","IL-17 signaling pathway, Cytokine-cytokine receptor interaction, Chemokine signaling pathway","Cxcl10, Ccr5, Bdkrb1, Agtr2, Kng2, Saa1, Saa2","Chemokine signaling pathway (2), Cytokine-cytokine receptor interaction (2), Complement and coagulation cascades (2), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1), IL-17 signaling pathway (1)"
"4842",13717,"Eln","MedConf","Yes","Protein digestion and absorption",NA,NA
"5854",14456,"Gas6","MedConf","Yes",NA,"Timp1, Kng2","Complement and coagulation cascades (1), HIF-1 signaling pathway (1)"
"6712",15251,"Hif1a","MedConf","Yes","HIF-1 signaling pathway",NA,NA
"7113",16000,"Igf1","MedConf","Yes","Focal adhesion, PI3K-Akt signaling pathway, HIF-1 signaling pathway",NA,NA
"7161",16156,"Il11","HighConf","Yes","Cytokine-cytokine receptor interaction","Il4ra","Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1)"
"7220",77125,"Il33","HighConf","Yes","Cytosolic DNA-sensing pathway",NA,NA
"7225",16190,"Il4ra","HighConf","Yes","PI3K-Akt signaling pathway, Cytokine-cytokine receptor interaction","Socs1, Il11","Cytokine-cytokine receptor interaction (1)"
"7383",319480,"Itga11","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Col1a1, Col5a2, Col3a1, Col5a1, Tnn, Thbs4, Lamb1, Thbs2","PI3K-Akt signaling pathway (5), Focal adhesion (5), ECM-receptor interaction (5), Protein digestion and absorption (4), AGE-RAGE signaling pathway in diabetic complications (2), Relaxin signaling pathway (2)"
"7805",385643,"Kng2","HighConf","Yes","Complement and coagulation cascades","Agtr2, Cxcl10, Cxcl5, Tacr1, Gas6, Bdkrb1, Saa2, Saa1, Timp1, Ccr5","Chemokine signaling pathway (3), Cytokine-cytokine receptor interaction (3), IL-17 signaling pathway (2), Complement and coagulation cascades (1), HIF-1 signaling pathway (1), Cytosolic DNA-sensing pathway (1), TNF signaling pathway (1)"
"7898",16777,"Lamb1","MedConf","Yes","ECM-receptor interaction, Focal adhesion, PI3K-Akt signaling pathway","Itga11, Mmp14","TNF signaling pathway (1), PI3K-Akt signaling pathway (1), Focal adhesion (1), ECM-receptor interaction (1)"
"8490",17174,"Masp1","HighConf","Yes","Complement and coagulation cascades",NA,NA
"8816",17384,"Mmp10","HighConf","Yes",NA,"Mmp3, Mmp13, Col14a1, Mmp14, Mmp2","Relaxin signaling pathway (2), TNF signaling pathway (2), IL-17 signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (1), Protein digestion and absorption (1)"
"8819",17386,"Mmp13","HighConf","Yes","Relaxin signaling pathway, IL-17 signaling pathway","Col14a1, Mmp14, Mmp2, Mmp10, Mmp3","TNF signaling pathway (2), IL-17 signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Relaxin signaling pathway (1), Protein digestion and absorption (1)"
