"","EntrezID","GeneSymbol","ConfidenceCategory","TRIAGEhit","Pathway","InteractingGenes","NetworkGenePathways"
"9",55752,"11-Sep","HighConf","Yes",NA,"TMEM177, UBC, SIN3A","Thyroid hormone signaling pathway (1)"
"127",2,"A2M","HighConf","Yes",NA,"CDC42, LRP1, RHOB, ALDOA, RHOV, ARHGDIB, ARHGEF3, ARHGEF6, IGF2, IL1B, KALRN, RHOF, PF4, SERPING1, GAB2, HSPA5, TGFB2","Osteoclast differentiation (3), AGE-RAGE signaling pathway in diabetic complications (3), MAPK signaling pathway (3), Cytokine-cytokine receptor interaction (3), Ras signaling pathway (2), Chemokine signaling pathway (2), Regulation of actin cytoskeleton (2), Sphingolipid signaling pathway (1), Fc epsilon RI signaling pathway (1), Protein export (1), Protein processing in endoplasmic reticulum (1), Thyroid hormone synthesis (1), Th17 cell differentiation (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), Vasopressin-regulated water reabsorption (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Focal adhesion (1), Leukocyte transendothelial migration (1), Rap1 signaling pathway (1)"
"141",22848,"AAK1","MedConf","Yes",NA,"NUMBL","Notch signaling pathway (1)"
"155",18,"ABAT","HighConf","Yes",NA,"ALDH3A2, SGPL1","Sphingolipid signaling pathway (1), Lysine degradation (1)"
"160",20,"ABCA2","MedConf","Yes",NA,"ATP1A3, ATP12A, UBC, ATP1B3","Endocrine and other factor-regulated calcium reabsorption (2), Adrenergic signaling in cardiomyocytes (2), Insulin secretion (2), Protein digestion and absorption (2), Aldosterone-regulated sodium reabsorption (2), Thyroid hormone signaling pathway (2), cAMP signaling pathway (2), Thyroid hormone synthesis (2)"
"221",10006,"ABI1","HighConf","Yes",NA,"ACTR2, UBC, SYK, ITGB1, EGFR, PIK3R3, EPS8, ARPC1B","Regulation of actin cytoskeleton (4), PI3K-Akt signaling pathway (4), Focal adhesion (3), Rap1 signaling pathway (3), Fc epsilon RI signaling pathway (2), Ras signaling pathway (2), Relaxin signaling pathway (2), Osteoclast differentiation (2), Leukocyte transendothelial migration (2), Jak-STAT signaling pathway (1), Sphingolipid signaling pathway (1), T cell receptor signaling pathway (1), Aldosterone-regulated sodium reabsorption (1), Thyroid hormone signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), cAMP signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1), GnRH signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Phagosome (1)"
"240",32,"ACACB","MedConf","Yes",NA,"UBQLN4, BRSK2, OASL, DPYSL2, SUN1, PPP4C, RRAGA, HSD17B4, SP1, UBC, UBB, RAD51, ISG15, CCT2, RPS27A, PPP2CB, E2F3","Mitophagy - animal (2), RIG-I-like receptor signaling pathway (1), Sphingolipid signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Long-term depression (1), PI3K-Akt signaling pathway (1), Protein processing in endoplasmic reticulum (1)"
"248",36,"ACADSB","MedConf","Yes",NA,"HADHA, UBC","Lysine degradation (1)"
"264",1636,"ACE","MedConf","Yes","Renin secretion","AGT, UBC","Renin secretion (1)"
"270",22985,"ACIN1","HighConf","Yes","RNA transport, Spliceosome","SON, SRPK2, SRPK1, UBC, SAFB, BCAS2","Spliceosome (1)"
"279",50,"ACO2","HighConf","Yes",NA,"UBC, SIN3A","Thyroid hormone signaling pathway (1)"
"325",59,"ACTA2","MedConf","Yes","Relaxin signaling pathway","YBX1, ACTR2, CFL1, SORBS3, VCL, MCM3AP, GSTP1, ITGA1, MYL1, TRIM9, TWF2, IMPACT, UBB, INO80, UBC, EGFR, CFDP1, YEATS4, PXN","Regulation of actin cytoskeleton (5), Focal adhesion (4), Leukocyte transendothelial migration (2), PI3K-Akt signaling pathway (2), Chemokine signaling pathway (1), GnRH signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), Rap1 signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Mitophagy - animal (1), Hematopoietic cell lineage (1)"
"345",10097,"ACTR2","HighConf","Yes",NA,"RANGAP1, WIPF2, ABI1, CORO1B, PANK4, PSMA7, ARPC1B, PDGFRB, ACTA2, CDC42, UBB, HCLS1, UBC","Regulation of actin cytoskeleton (3), Ras signaling pathway (2), Focal adhesion (2), Rap1 signaling pathway (2), MAPK signaling pathway (2), Cytokine-cytokine receptor interaction (1), PI3K-Akt signaling pathway (1), Relaxin signaling pathway (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), AGE-RAGE signaling pathway in diabetic complications (1), Chemokine signaling pathway (1), Leukocyte transendothelial migration (1), Proteasome (1), Mitophagy - animal (1), RNA transport (1)"
"360",94,"ACVRL1","MedConf","Yes",NA,"ITGA5, BAMBI, SMAD1","Hematopoietic cell lineage (1), Phagosome (1), Focal adhesion (1), Regulation of actin cytoskeleton (1), PI3K-Akt signaling pathway (1)"
"371",8038,"ADAM12","MedConf","Yes",NA,"EGFR, IGFBP3, ITGB1, LRIG1","Focal adhesion (2), Rap1 signaling pathway (2), Regulation of actin cytoskeleton (2), PI3K-Akt signaling pathway (2), GnRH signaling pathway (1), Ras signaling pathway (1), Relaxin signaling pathway (1), MAPK signaling pathway (1), Cytokine-cytokine receptor interaction (1), Phagosome (1), Leukocyte transendothelial migration (1)"
"388",8754,"ADAM9","MedConf","Yes",NA,"SNX9, UBC, COL17A1, ITGAV, SH3GLB1","Protein digestion and absorption (1), Phagosome (1), Thyroid hormone signaling pathway (1), Focal adhesion (1), Regulation of actin cytoskeleton (1), PI3K-Akt signaling pathway (1)"
"417",104,"ADARB1","MedConf","Yes",NA,"NXF1, NIFK, UBL5","RNA transport (1)"
"438",117,"ADCYAP1R1","MedConf","Yes","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Insulin secretion",NA,NA
"467",140,"ADORA3","HighConf","Yes","Neuroactive ligand-receptor interaction, Sphingolipid signaling pathway",NA,NA
"480",154,"ADRB2","HighConf","Yes","cAMP signaling pathway, Neuroactive ligand-receptor interaction, Renin secretion, Adrenergic signaling in cardiomyocytes","AGT, ADRBK1, GNA15, SYNE2, VIPR1, PRKAR2B, MC2R, EDN1, IL1B, GNA11, GHRH, GPBAR1, HTR6, PTGER2, CAV3, DRD5, GRK4, GNAI3, ERG, CALCR, SCT, UBC, CFTR, CXCR4, HRH2, PTGIR","Neuroactive ligand-receptor interaction (8), cAMP signaling pathway (6), Chemokine signaling pathway (3), Renin secretion (3), Relaxin signaling pathway (3), Leukocyte transendothelial migration (2), Cytokine-cytokine receptor interaction (2), Osteoclast differentiation (2), Long-term depression (2), Serotonergic synapse (2), AGE-RAGE signaling pathway in diabetic complications (2), TNF signaling pathway (2), Sphingolipid signaling pathway (1), Adrenergic signaling in cardiomyocytes (1), Rap1 signaling pathway (1), Focal adhesion (1), GnRH signaling pathway (1), Insulin secretion (1), Th17 cell differentiation (1), Hematopoietic cell lineage (1), NOD-like receptor signaling pathway (1), MAPK signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
"482",156,"ADRBK1","MedConf","Yes",NA,"CXCR5, GNA15, CXCL8, EDN1, TACR1, CXCR3, DRD2, TACR3, GNA11, AVPR1A, NMS, BDKRB1, KISS1, PROK1, TRH, LTB4R, MLNR, UTS2B, GPR4, XCL2, GNRH2, NCS1, ADRB2, OPRM1, PDGFRB, CX3CR1, GIT1, AGT, CXCR4, CAPN2, NMUR2, EGFR, CCR8, UBC, RPLP2, PEBP1","Neuroactive ligand-receptor interaction (10), Cytokine-cytokine receptor interaction (9), Chemokine signaling pathway (7), Regulation of actin cytoskeleton (4), Focal adhesion (3), Rap1 signaling pathway (3), GnRH signaling pathway (3), Relaxin signaling pathway (3), Renin secretion (2), cAMP signaling pathway (2), Ras signaling pathway (2), MAPK signaling pathway (2), PI3K-Akt signaling pathway (2), AGE-RAGE signaling pathway in diabetic complications (2), Adrenergic signaling in cardiomyocytes (1), Leukocyte transendothelial migration (1), Protein processing in endoplasmic reticulum (1), Long-term depression (1), Insulin secretion (1), TNF signaling pathway (1), RIG-I-like receptor signaling pathway (1), NOD-like receptor signaling pathway (1), Toll-like receptor signaling pathway (1), NF-kappa B signaling pathway (1)"
"503",174,"AFP","MedConf","Yes",NA,"TRIM41, JUN, SON, UBC, CEBPD","Th17 cell differentiation (1), GnRH signaling pathway (1), T cell receptor signaling pathway (1), Mitophagy - animal (1), Relaxin signaling pathway (1), Focal adhesion (1), AGE-RAGE signaling pathway in diabetic complications (1), cAMP signaling pathway (1), Osteoclast differentiation (1), NOD-like receptor signaling pathway (1), MAPK signaling pathway (1), TNF signaling pathway (1), Toll-like receptor signaling pathway (1)"
